cycle,time,stage,operation,det_error,trace_A,nonfinite
0,0,0,init_reconstructed,0,5.5511151231257827e-17,0
0,0,0,init_projected,0,5.5511151231257827e-17,0
0,0,1,rhs_full_vs_bg,0,5.5511151231257827e-17,0
0,0,1,pre_projection,2.2204460492503131e-16,1.5664335098926429e-16,0
0,0,1,post_projection,2.2204460492503131e-16,7.946014650251435e-17,0
0,0,2,rhs_full_vs_bg,2.2204460492503131e-16,7.946014650251435e-17,0
0,0,2,pre_projection,1.5543122344752192e-15,2.9359474618856523e-13,0
0,0,2,post_projection,3.3306690738754696e-16,8.2475010438126047e-17,0
0,0,3,rhs_full_vs_bg,3.3306690738754696e-16,8.2475010438126047e-17,0
0,0,3,pre_projection,1.7763568394002505e-15,3.3672036037222652e-13,0
0,0,3,post_projection,3.3306690738754696e-16,1.123450966759583e-16,0
267,10.01249999999995,1,rhs_full_vs_bg,3.3306690738754696e-16,8.2383447241222503e-17,0
267,10.01249999999995,1,pre_projection,7.0166095156309893e-14,8.1931941489805663e-12,0
267,10.01249999999995,1,post_projection,3.3306690738754696e-16,8.2668015872632727e-17,0
267,10.01249999999995,2,rhs_full_vs_bg,3.3306690738754696e-16,8.2668015872632727e-17,0
267,10.01249999999995,2,pre_projection,1.8207657603852567e-14,2.0610680170293364e-12,0
267,10.01249999999995,2,post_projection,3.3306690738754696e-16,8.2397490396901129e-17,0
267,10.01249999999995,3,rhs_full_vs_bg,3.3306690738754696e-16,8.2397490396901129e-17,0
267,10.01249999999995,3,pre_projection,4.7739590058881731e-14,5.4752373533979551e-12,0
267,10.01249999999995,3,post_projection,3.3306690738754696e-16,8.3116347922480053e-17,0
534,20.025000000000045,1,rhs_full_vs_bg,3.3306690738754696e-16,8.2843099545600664e-17,0
534,20.025000000000045,1,pre_projection,1.3655743202889425e-14,1.3858422147027482e-12,0
534,20.025000000000045,1,post_projection,3.3306690738754696e-16,8.3147522343120003e-17,0
534,20.025000000000045,2,rhs_full_vs_bg,3.3306690738754696e-16,8.3147522343120003e-17,0
534,20.025000000000045,2,pre_projection,3.219646771412954e-15,3.4214999969414049e-13,0
534,20.025000000000045,2,post_projection,3.3306690738754696e-16,8.2188263393305488e-17,0
534,20.025000000000045,3,rhs_full_vs_bg,3.3306690738754696e-16,8.2188263393305488e-17,0
534,20.025000000000045,3,pre_projection,8.7707618945387367e-15,9.1695664129867595e-13,0
534,20.025000000000045,3,post_projection,3.3306690738754696e-16,8.2336491152974436e-17,0
801,30.037500000000424,1,rhs_full_vs_bg,3.3306690738754696e-16,8.0446414047906663e-17,0
801,30.037500000000424,1,pre_projection,3.0642155479654321e-14,4.7313113907504365e-13,0
801,30.037500000000424,1,post_projection,3.3306690738754696e-16,8.3073865962596457e-17,0
801,30.037500000000424,2,rhs_full_vs_bg,3.3306690738754696e-16,8.3073865962596457e-17,0
801,30.037500000000424,2,pre_projection,7.6605388699135801e-15,1.2057177336063738e-13,0
801,30.037500000000424,2,post_projection,3.3306690738754696e-16,8.2679149543730556e-17,0
801,30.037500000000424,3,rhs_full_vs_bg,3.3306690738754696e-16,8.2679149543730556e-17,0
801,30.037500000000424,3,pre_projection,2.0650148258027912e-14,3.1855848789538152e-13,0
801,30.037500000000424,3,post_projection,3.3306690738754696e-16,8.2377412173222559e-17,0
1068,40.0500000000008,1,rhs_full_vs_bg,3.3306690738754696e-16,8.2929503137167627e-17,0
1068,40.0500000000008,1,pre_projection,5.3068660577082483e-14,4.2815164752554311e-13,0
1068,40.0500000000008,1,post_projection,3.3306690738754696e-16,8.2205135296002968e-17,0
1068,40.0500000000008,2,rhs_full_vs_bg,3.3306690738754696e-16,8.2205135296002968e-17,0
1068,40.0500000000008,2,pre_projection,1.3322676295501878e-14,1.0784686882725216e-13,0
1068,40.0500000000008,2,post_projection,3.3306690738754696e-16,8.3033032161776169e-17,0
1068,40.0500000000008,3,rhs_full_vs_bg,3.3306690738754696e-16,8.3033032161776169e-17,0
1068,40.0500000000008,3,pre_projection,3.5416114485542494e-14,2.8649094638208342e-13,0
1068,40.0500000000008,3,post_projection,3.3306690738754696e-16,8.2128800657178287e-17,0
