kernel	calls	total_seconds	average_seconds	percent
ref_gh projected trumpet metric boundaries	41	21.864834826	0.533288654293	48.5799037067
ref_gh stationary trumpet fixed-radius field error	3	10.939913754	3.646637918	24.3066074342
ref_gh scalar source and pi rhs	41	6.526355971	0.159179413927	14.5004408746
ref_gh stationary trumpet data	1	1.932592644	1.932592644	4.2938885794
ref_gh stationary trumpet error	1	1.534437987	1.534437987	3.40925738728
ref_gh stationary frame reference audits	1	0.684103674	0.684103674	1.51996074394
ref_gh stationary reference Ricci	1	0.666493958	0.666493958	1.48083498267
ref_gh flat constraints	2	0.273332061	0.1366660305	0.607296844865
ref_gh psi rhs	41	0.267506522	0.00652454931707	0.594353498807
ref_gh to ADM	1	0.079997814	0.079997814	0.17774138848
ref_gh dissipation	41	0.050306336	0.00122698380488	0.111772029296
ref_gh analytic radial-q static reference	1	0.035835843	0.035835843	0.0796210817983
ref_gh dt	11	0.031305687	0.00284597154545	0.0695558540475
ref_gh RK update	40	0.026752789	0.000668819725	0.0594400974829
ref_gh minimum puncture radius	1	0.022985909	0.022985909	0.0510707377722
ref_gh compact current-q reduction	40	0.021141169	0.000528529225	0.046972042663
ref_gh compatible phi rhs	41	0.01753998	0.000427804390244	0.0389708198666
ref_gh rk4 base	30	0.015450902	0.000515030066667	0.0343292477311
SendBuff	82	0.005898726	7.19356829268e-05	0.013105954989
RecvBuff	82	0.004725047	5.76225243902e-05	0.0104982420446
ref_gh analytic radial-q stage reference	41	0.001728329	4.21543658537e-05	0.003840049882
Kokkos::View::initialization [] via memset	107	0.001272014	1.18879813084e-05	0.00282619640739
ref_gh stationary fixed-radius initial RHS	3	0.001070624	0.000356874666667	0.00237874245289
Kokkos::View::initialization [ref_gh reference table_mirror] via memset	1	0.000553494	0.000553494	0.00122976850437
ref_gh stationary initial RHS	1	0.000453831	0.000453831	0.00100833445368
ref_gh stationary trumpet fixed-radius constraints	3	0.000233487	7.7829e-05	0.000518767969986
Kokkos::View::initialization [u_rhs ref_gh] via memset	2	0.000165542	8.2771e-05	0.000367805861943
Kokkos::View::initialization [u1 ref_gh] via memset	2	0.000162999	8.14995e-05	0.000362155753167
Kokkos::View::initialization [mb_gid] via memset	1	0.000128199	0.000128199	0.00028483613642
Kokkos::View::initialization [u0 ref_gh] via memset	2	0.000117604	5.8802e-05	0.000261295868045
ref_gh stationary trumpet constraints	1	0.000102078	0.000102078	0.00022679976547
ref_gh cache metric condition	1	5.3612e-05	5.3612e-05	0.000119116646352
Kokkos::View::initialization [u_con ref_gh] via memset	2	5.2937e-05	2.64685e-05	0.000117616912407
Kokkos::View::initialization [u_adm] via memset	2	4.8307e-05	2.41535e-05	0.000107329848455
Kokkos::View::initialization [u_common_adm_constraints] via memset	2	3.0314e-05	1.5157e-05	6.73524960368e-05
Kokkos::View::initialization [uin] via memset	2	2.9676e-05	1.4838e-05	6.59349697298e-05
Kokkos::View::initialization [ref_gh reference table] via memset	2	2.3813e-05	1.19065e-05	5.29083917703e-05
Kokkos::View::initialization [iin] via memset	2	1.9925e-05	9.9625e-06	4.4269924244e-05
Kokkos::View::initialization [recv_agg_offset] via memset	2	1.9798e-05	9.899e-06	4.39877520795e-05
Kokkos::View::initialization [bin] via memset	2	1.9172e-05	9.586e-06	4.25968877092e-05
Kokkos::View::initialization [ru] via memset	1	1.7583e-05	1.7583e-05	3.906640291e-05
Kokkos::View::initialization [send_agg_offset] via memset	2	1.6818e-05	8.409e-06	3.73667044384e-05
Kokkos::View::initialization [ref_gh q sample weights] via memset	1	1.6087e-05	1.6087e-05	3.57425481211e-05
Kokkos::View::initialization [mb_lev] via memset	1	1.452e-05	1.452e-05	3.22609435394e-05
Kokkos::View::initialization [mbsize] via memset	1	1.4374e-05	1.4374e-05	3.19365566416e-05
Kokkos::View::initialization [excision_flux] via memset	1	1.2785e-05	1.2785e-05	2.84060718424e-05
Kokkos::View::initialization [mbbcs] via memset	1	1.2701e-05	1.2701e-05	2.82194382847e-05
Kokkos::View::initialization [excision_floor] via memset	1	1.2646e-05	1.2646e-05	2.8097237741e-05
Kokkos::View::initialization [ref_gh q sample cells] via memset	1	1.1455e-05	1.1455e-05	2.54510405127e-05
Kokkos::View::initialization [rank_sendbuf_vars] via memset	1	9.979e-06	9.979e-06	2.21716222851e-05
Kokkos::View::initialization [rank_recvbuf_vars] via memset	1	9.912e-06	9.912e-06	2.20227598046e-05
Kokkos::View::initialization [coarse u0 ref_gh] via memset	1	9.272e-06	9.272e-06	2.06007898414e-05
Kokkos::View::initialization [ref_gh q sample weights_mirror] via memset	1	7.172e-06	7.172e-06	1.59349508998e-05
Kokkos::View::initialization [DualView::modified_flags] via memset	8	6.334e-06	7.9175e-07	1.40730589793e-05
Kokkos::View::initialization [ref_gh q sample cells_mirror] via memset	1	3.209e-06	3.209e-06	7.12984626846e-06
Kokkos::View::initialization [uin_mirror] via memset	2	1.883e-06	9.415e-07	4.18370225102e-06
Kokkos::View::initialization [iin_mirror] via memset	2	1.496e-06	7.48e-07	3.32385478891e-06
Kokkos::View::initialization [bin_mirror] via memset	2	1.333e-06	6.665e-07	2.96169681392e-06
Kokkos::View::initialization [_mirror] via memset	1	1.013e-06	1.013e-06	2.25071183233e-06
Kokkos::View::initialization [rank_sendhdr_vars] via memset	1	8.44e-07	8.44e-07	1.87522288893e-06
Kokkos::View::initialization [mbsize_mirror] via memset	1	8.11e-07	8.11e-07	1.80190256271e-06
Kokkos::View::initialization [mb_gid_mirror] via memset	1	8.04e-07	8.04e-07	1.78634976623e-06
Kokkos::View::initialization [recv_agg_offset_mirror] via memset	1	6.65e-07	6.65e-07	1.47751566486e-06
Kokkos::View::initialization [mbbcs_mirror] via memset	1	6.64e-07	6.64e-07	1.47529383679e-06
Kokkos::View::initialization [rank_recvhdr_vars] via memset	1	5.34e-07	5.34e-07	1.18645618802e-06
Kokkos::View::initialization [mb_lev_mirror] via memset	1	5.22e-07	5.22e-07	1.15979425121e-06
Kokkos::View::initialization [send_agg_offset_mirror] via memset	1	2.8e-07	2.8e-07	6.22111858887e-07
