### WARNING in /pscratch/sd/h/hzhu/refgh-fixed-reference-20260831.uk93aa/src_clean/src/mesh/load_balance.cpp at line 83
Number of MeshBlocks cannot be divided evenly by number of MPI ranks. This will result in poor load balancing.

Root grid = 3 x 3 x 3 MeshBlocks
Total number of MeshBlocks = 328
Number of logical  levels of refinement = 5 (6 levels total)
Number of physical levels of refinement = 3 (4 levels total)
  Physical level = 1 (logical level = 3): 208 MeshBlocks, cost = 208
  Physical level = 2 (logical level = 4): 56 MeshBlocks, cost = 56
  Physical level = 3 (logical level = 5): 64 MeshBlocks, cost = 64
Number of parallel ranks = 16
  Rank = 0: 20 MeshBlocks, cost = 20
  Rank = 1: 20 MeshBlocks, cost = 20
  Rank = 2: 20 MeshBlocks, cost = 20
  Rank = 3: 20 MeshBlocks, cost = 20
  Rank = 4: 20 MeshBlocks, cost = 20
  Rank = 5: 20 MeshBlocks, cost = 20
  Rank = 6: 20 MeshBlocks, cost = 20
  Rank = 7: 20 MeshBlocks, cost = 20
  Rank = 8: 21 MeshBlocks, cost = 21
  Rank = 9: 21 MeshBlocks, cost = 21
  Rank = 10: 21 MeshBlocks, cost = 21
  Rank = 11: 21 MeshBlocks, cost = 21
  Rank = 12: 21 MeshBlocks, cost = 21
  Rank = 13: 21 MeshBlocks, cost = 21
  Rank = 14: 21 MeshBlocks, cost = 21
  Rank = 15: 21 MeshBlocks, cost = 21
Load Balancing:
  Maximum normalized cost = 1.05, Average = 1.025
ref_gh reference allocation backend=generic_cache_oracle generic_bytes=11991040000 analytic_static_components=0 analytic_stage_components=0 analytic_static_bytes=0 analytic_stage_bytes=0
ref_gh power diagnostic native-cell list h=0.0625 stencil_radius=3 inner_count=264 blend_count=3168 outside_count=5032 legacy_count=1960
reference-GH puncture vertex audit passed; minimum cell radius=0.0541266, wormhole match state=0, G=7.77156e-16, lapse=5.55112e-16, shift=7.01116e-18, derivative=8.55103e-16, reference-time-jet=0, initial-GH-L2=0, initial-reduction-L2=0, initial-curl-L2=0
### WARNING in /pscratch/sd/h/hzhu/refgh-fixed-reference-20260831.uk93aa/src_clean/src/parameter_input.cpp: input parameter <mesh_refinement>/num_levels = 4 was not used by the code (check for a typo)
### WARNING in /pscratch/sd/h/hzhu/refgh-fixed-reference-20260831.uk93aa/src_clean/src/parameter_input.cpp: input parameter <mesh_refinement>/max_nmb_per_rank = 128 was not used by the code (check for a typo)

Setup complete, executing task list(s)...

elapsed=1.763609e+01 cycle=0 time=0.000000e+00 dt=4.138311e-03
elapsed=2.151922e+01 cycle=10 time=4.138310e-02 dt=4.138306e-03
elapsed=2.535085e+01 cycle=20 time=8.276609e-02 dt=4.138291e-03
elapsed=2.918802e+01 cycle=30 time=1.241489e-01 dt=4.138266e-03
elapsed=3.302236e+01 cycle=40 time=1.655314e-01 dt=4.138233e-03
elapsed=3.685616e+01 cycle=50 time=2.069136e-01 dt=4.138192e-03
elapsed=4.068953e+01 cycle=60 time=2.482953e-01 dt=4.138143e-03
elapsed=4.452413e+01 cycle=70 time=2.896765e-01 dt=4.138086e-03
elapsed=4.836064e+01 cycle=80 time=3.310570e-01 dt=4.138023e-03
elapsed=5.219708e+01 cycle=90 time=3.724370e-01 dt=4.137954e-03
elapsed=5.603351e+01 cycle=100 time=4.138162e-01 dt=4.137879e-03
elapsed=5.986816e+01 cycle=110 time=4.551946e-01 dt=4.137798e-03
elapsed=6.370271e+01 cycle=120 time=4.965722e-01 dt=4.137712e-03
elapsed=8.270158e+01 cycle=130 time=5.379489e-01 dt=4.137622e-03
elapsed=8.653509e+01 cycle=140 time=5.793247e-01 dt=4.137527e-03
elapsed=9.070432e+01 cycle=150 time=6.206995e-01 dt=4.137428e-03
elapsed=9.453938e+01 cycle=160 time=6.620734e-01 dt=4.137325e-03
elapsed=9.837410e+01 cycle=170 time=7.034461e-01 dt=4.137219e-03
elapsed=1.022101e+02 cycle=180 time=7.448178e-01 dt=4.137110e-03
elapsed=1.060471e+02 cycle=190 time=7.861884e-01 dt=4.136997e-03
elapsed=1.098840e+02 cycle=200 time=8.275579e-01 dt=4.136883e-03
elapsed=1.137211e+02 cycle=210 time=8.689262e-01 dt=4.136765e-03
elapsed=1.175573e+02 cycle=220 time=9.102933e-01 dt=4.136646e-03
elapsed=1.213928e+02 cycle=230 time=9.516592e-01 dt=4.136525e-03
elapsed=1.252292e+02 cycle=240 time=9.930239e-01 dt=4.136401e-03
elapsed=1.442156e+02 cycle=250 time=1.034387e+00 dt=4.136276e-03
elapsed=1.480510e+02 cycle=260 time=1.075750e+00 dt=4.136150e-03
elapsed=1.518865e+02 cycle=270 time=1.117110e+00 dt=4.136023e-03
elapsed=1.557242e+02 cycle=280 time=1.158470e+00 dt=4.135894e-03
elapsed=1.595614e+02 cycle=290 time=1.199828e+00 dt=4.135765e-03
elapsed=1.637346e+02 cycle=300 time=1.241186e+00 dt=4.135634e-03
elapsed=1.675732e+02 cycle=310 time=1.282541e+00 dt=4.135503e-03
