time	cycle	diagnostic	maximum	radius	r_over_r_core	level	rank	gid	x	y	z	i	j	k
0.00000000000000000e+00	0	reference_Ricci	0.00000000000000000e+00	3.24759526419164501e+00	1.08253175473054846e+01	0	0	0	1.87500000000000000e+00	1.87500000000000000e+00	1.87500000000000000e+00	15	15	15
0.00000000000000000e+00	0	reference_Riemann	0.00000000000000000e+00	3.24759526419164501e+00	1.08253175473054846e+01	0	0	0	1.87500000000000000e+00	1.87500000000000000e+00	1.87500000000000000e+00	15	15	15
0.00000000000000000e+00	0	spin_connection	0.00000000000000000e+00	3.24759526419164501e+00	1.08253175473054846e+01	0	0	0	1.87500000000000000e+00	1.87500000000000000e+00	1.87500000000000000e+00	15	15	15
0.00000000000000000e+00	0	spin_derivative	0.00000000000000000e+00	3.24759526419164501e+00	1.08253175473054846e+01	0	0	0	1.87500000000000000e+00	1.87500000000000000e+00	1.87500000000000000e+00	15	15	15
0.00000000000000000e+00	0	Psi	2.00000000000000000e+00	3.24759526419164501e+00	1.08253175473054846e+01	0	0	0	1.87500000000000000e+00	1.87500000000000000e+00	1.87500000000000000e+00	15	15	15
0.00000000000000000e+00	0	Q	0.00000000000000000e+00	3.24759526419164501e+00	1.08253175473054846e+01	0	0	0	1.87500000000000000e+00	1.87500000000000000e+00	1.87500000000000000e+00	15	15	15
0.00000000000000000e+00	0	Delta	0.00000000000000000e+00	3.24759526419164501e+00	1.08253175473054846e+01	0	0	0	1.87500000000000000e+00	1.87500000000000000e+00	1.87500000000000000e+00	15	15	15
0.00000000000000000e+00	0	Pi	0.00000000000000000e+00	3.24759526419164501e+00	1.08253175473054846e+01	0	0	0	1.87500000000000000e+00	1.87500000000000000e+00	1.87500000000000000e+00	15	15	15
0.00000000000000000e+00	0	Phi	0.00000000000000000e+00	3.24759526419164501e+00	1.08253175473054846e+01	0	0	0	1.87500000000000000e+00	1.87500000000000000e+00	1.87500000000000000e+00	15	15	15
0.00000000000000000e+00	0	GH_constraint	4.96208837126172396e-14	2.16506350946109649e-01	7.21687836487032164e-01	0	0	0	1.25000000000000000e-01	1.25000000000000000e-01	1.25000000000000000e-01	8	8	8
0.00000000000000000e+00	0	reduction_constraint	0.00000000000000000e+00	3.24759526419164501e+00	1.08253175473054846e+01	0	0	0	1.87500000000000000e+00	1.87500000000000000e+00	1.87500000000000000e+00	15	15	15
0.00000000000000000e+00	0	curl_constraint	0.00000000000000000e+00	3.24759526419164501e+00	1.08253175473054846e+01	0	0	0	1.87500000000000000e+00	1.87500000000000000e+00	1.87500000000000000e+00	15	15	15
0.00000000000000000e+00	0	source_curvature	9.22504854443080834e-13	2.16506350946109649e-01	7.21687836487032164e-01	0	0	0	1.25000000000000000e-01	1.25000000000000000e-01	1.25000000000000000e-01	8	8	8
0.00000000000000000e+00	0	source_QQ	0.00000000000000000e+00	3.24759526419164501e+00	1.08253175473054846e+01	0	0	0	1.87500000000000000e+00	1.87500000000000000e+00	1.87500000000000000e+00	15	15	15
0.00000000000000000e+00	0	source_DeltaDelta	0.00000000000000000e+00	3.24759526419164501e+00	1.08253175473054846e+01	0	0	0	1.87500000000000000e+00	1.87500000000000000e+00	1.87500000000000000e+00	15	15	15
0.00000000000000000e+00	0	source_damping	0.00000000000000000e+00	3.24759526419164501e+00	1.08253175473054846e+01	0	0	0	1.87500000000000000e+00	1.87500000000000000e+00	1.87500000000000000e+00	15	15	15
0.00000000000000000e+00	0	source_frame_correction	0.00000000000000000e+00	3.24759526419164501e+00	1.08253175473054846e+01	0	0	0	1.87500000000000000e+00	1.87500000000000000e+00	1.87500000000000000e+00	15	15	15
0.00000000000000000e+00	0	Psi_RHS_Linf	0.00000000000000000e+00	3.24759526419164501e+00	1.08253175473054846e+01	0	0	0	1.87500000000000000e+00	1.87500000000000000e+00	1.87500000000000000e+00	15	15	15
0.00000000000000000e+00	0	Pi_RHS_Linf	5.68187252623301281e-14	1.55623744974859157e+00	5.18745816582863917e+00	0	0	0	1.37500000000000000e+00	6.25000000000000000e-01	3.75000000000000000e-01	13	10	9
0.00000000000000000e+00	0	Phi_RHS_Linf	0.00000000000000000e+00	3.24759526419164501e+00	1.08253175473054846e+01	0	0	0	1.87500000000000000e+00	1.87500000000000000e+00	1.87500000000000000e+00	15	15	15
0.00000000000000000e+00	0	Hhat_RHS_Linf	0.00000000000000000e+00	3.24759526419164501e+00	1.08253175473054846e+01	0	0	0	1.87500000000000000e+00	1.87500000000000000e+00	1.87500000000000000e+00	15	15	15
0.00000000000000000e+00	0	theta_RHS_Linf	0.00000000000000000e+00	3.24759526419164501e+00	1.08253175473054846e+01	0	0	0	1.87500000000000000e+00	1.87500000000000000e+00	1.87500000000000000e+00	15	15	15
0.00000000000000000e+00	0	Upsilon_RHS_Linf	0.00000000000000000e+00	3.24759526419164501e+00	1.08253175473054846e+01	0	0	0	1.87500000000000000e+00	1.87500000000000000e+00	1.87500000000000000e+00	15	15	15
0.00000000000000000e+00	0	chi_beta	5.21086218393712564e+00	2.16506350946109649e-01	7.21687836487032164e-01	0	0	0	1.25000000000000000e-01	1.25000000000000000e-01	1.25000000000000000e-01	8	8	8
0.00000000000000000e+00	0	chi_beta_near_r_lt_1	5.21086218393712564e+00	2.16506350946109649e-01	7.21687836487032164e-01	0	0	0	1.25000000000000000e-01	1.25000000000000000e-01	1.25000000000000000e-01	8	8	8
0.00000000000000000e+00	0	chi_beta_inner_r_lt_0p5	5.21086218393712564e+00	2.16506350946109649e-01	7.21687836487032164e-01	0	0	0	1.25000000000000000e-01	1.25000000000000000e-01	1.25000000000000000e-01	8	8	8
0.00000000000000000e+00	0	chi_beta_annulus_0p5_1	1.72238296171915528e+00	5.44862367942584247e-01	1.81620789314194764e+00	0	0	0	1.25000000000000000e-01	3.75000000000000000e-01	3.75000000000000000e-01	8	9	9
0.00000000000000000e+00	0	chi_beta_annulus_1_1p5	7.54278605637148214e-01	1.02316909648405630e+00	3.41056365494685432e+00	0	0	0	8.75000000000000000e-01	3.75000000000000000e-01	3.75000000000000000e-01	11	9	9
0.00000000000000000e+00	0	chi_beta_annulus_1p5_2	4.31863326788953172e-01	1.51554445662276760e+00	5.05181485540922548e+00	0	0	0	8.75000000000000000e-01	8.75000000000000000e-01	8.75000000000000000e-01	11	11	11
0.00000000000000000e+00	0	chi_beta_outer_r_ge_2	2.82101887736575518e-01	2.01168461742888516e+00	6.70561539142961749e+00	0	0	0	3.75000000000000000e-01	6.25000000000000000e-01	1.87500000000000000e+00	9	10	15
0.00000000000000000e+00	0	chi_beta_first_ge_1	1.00000000000000000e+00	2.16506350946109649e-01	7.21687836487032164e-01	0	0	0	1.25000000000000000e-01	1.25000000000000000e-01	1.25000000000000000e-01	8	8	8
1.00000000000000002e-02	1	reference_Ricci	0.00000000000000000e+00	3.24759526419164501e+00	1.08977274290420940e+01	0	0	0	1.87500000000000000e+00	1.87500000000000000e+00	1.87500000000000000e+00	15	15	15
1.00000000000000002e-02	1	reference_Riemann	0.00000000000000000e+00	3.24759526419164501e+00	1.08977274290420940e+01	0	0	0	1.87500000000000000e+00	1.87500000000000000e+00	1.87500000000000000e+00	15	15	15
1.00000000000000002e-02	1	spin_connection	0.00000000000000000e+00	3.24759526419164501e+00	1.08977274290420940e+01	0	0	0	1.87500000000000000e+00	1.87500000000000000e+00	1.87500000000000000e+00	15	15	15
1.00000000000000002e-02	1	spin_derivative	0.00000000000000000e+00	3.24759526419164501e+00	1.08977274290420940e+01	0	0	0	1.87500000000000000e+00	1.87500000000000000e+00	1.87500000000000000e+00	15	15	15
1.00000000000000002e-02	1	Psi	1.99999999999999667e+00	3.24759526419164501e+00	1.08977274290420940e+01	0	0	0	1.87500000000000000e+00	1.87500000000000000e+00	1.87500000000000000e+00	15	15	15
1.00000000000000002e-02	1	Q	2.17393679967961929e-15	5.44862367942584247e-01	1.82835639577725728e+00	0	0	0	1.25000000000000000e-01	3.75000000000000000e-01	3.75000000000000000e-01	8	9	9
1.00000000000000002e-02	1	Delta	1.58264139577882616e-15	5.44862367942584247e-01	1.82835639577725728e+00	0	0	0	1.25000000000000000e-01	3.75000000000000000e-01	3.75000000000000000e-01	8	9	9
