case	target_time	time	region	maximum	radius
a	0.00000000000000000e+00	0.00000000000000000e+00	chi_beta	3.88264775877866910e+01	3.60843918243516776e-02
a	0.00000000000000000e+00	0.00000000000000000e+00	chi_beta_near_r_lt_1	3.88264775877866910e+01	3.60843918243516776e-02
a	0.00000000000000000e+00	0.00000000000000000e+00	chi_beta_inner_r_lt_0p5	3.88264775877866910e+01	3.60843918243516776e-02
a	0.00000000000000000e+00	0.00000000000000000e+00	chi_beta_annulus_0p5_1	1.91125488339994543e+00	5.01300392313165144e-01
a	0.00000000000000000e+00	0.00000000000000000e+00	chi_beta_annulus_1_1p5	7.77645210784213115e-01	1.00065082987690235e+00
a	0.00000000000000000e+00	0.00000000000000000e+00	chi_beta_annulus_1p5_2	4.38254956725824207e-01	1.50043396500256998e+00
a	0.00000000000000000e+00	0.00000000000000000e+00	chi_beta_outer_r_ge_2	2.84571871002504861e-01	2.00032549434669082e+00
a	0.00000000000000000e+00	0.00000000000000000e+00	chi_beta_first_ge_1	1.00000000000000000e+00	3.60843918243516776e-02
a	2.00000000000000011e-01	2.00865336769630448e-01	chi_beta	3.88264775877873802e+01	3.60843918243516776e-02
a	2.00000000000000011e-01	2.00865336769630448e-01	chi_beta_near_r_lt_1	3.88264775877873802e+01	3.60843918243516776e-02
a	2.00000000000000011e-01	2.00865336769630448e-01	chi_beta_inner_r_lt_0p5	3.88264775877873802e+01	3.60843918243516776e-02
a	2.00000000000000011e-01	2.00865336769630448e-01	chi_beta_annulus_0p5_1	1.91125488339994698e+00	5.01300392313165144e-01
a	2.00000000000000011e-01	2.00865336769630448e-01	chi_beta_annulus_1_1p5	7.77645210784213559e-01	1.00065082987690235e+00
a	2.00000000000000011e-01	2.00865336769630448e-01	chi_beta_annulus_1p5_2	4.38254956725824374e-01	1.50043396500256976e+00
a	2.00000000000000011e-01	2.00865336769630448e-01	chi_beta_outer_r_ge_2	2.84571871002505028e-01	2.00032549434669127e+00
a	2.00000000000000011e-01	2.00865336769630448e-01	chi_beta_first_ge_1	1.00000000000000000e+00	3.60843918243516776e-02
a	5.00000000000000000e-01	5.00461093307382532e-01	chi_beta	3.88264775877862007e+01	3.60843918243516776e-02
a	5.00000000000000000e-01	5.00461093307382532e-01	chi_beta_near_r_lt_1	3.88264775877862007e+01	3.60843918243516776e-02
a	5.00000000000000000e-01	5.00461093307382532e-01	chi_beta_inner_r_lt_0p5	3.88264775877862007e+01	3.60843918243516776e-02
a	5.00000000000000000e-01	5.00461093307382532e-01	chi_beta_annulus_0p5_1	1.91125488339994698e+00	5.01300392313165144e-01
a	5.00000000000000000e-01	5.00461093307382532e-01	chi_beta_annulus_1_1p5	7.77645210784213781e-01	1.00065082987690235e+00
a	5.00000000000000000e-01	5.00461093307382532e-01	chi_beta_annulus_1p5_2	4.38254956725824540e-01	1.50043396500256976e+00
a	5.00000000000000000e-01	5.00461093307382532e-01	chi_beta_outer_r_ge_2	2.84571871002505139e-01	2.00032549434669127e+00
a	5.00000000000000000e-01	5.00461093307382532e-01	chi_beta_first_ge_1	1.00000000000000000e+00	3.60843918243516776e-02
a	1.00000000000000000e+00	1.00092218661476307e+00	chi_beta	3.88264775877867478e+01	3.60843918243516776e-02
a	1.00000000000000000e+00	1.00092218661476307e+00	chi_beta_near_r_lt_1	3.88264775877867478e+01	3.60843918243516776e-02
a	1.00000000000000000e+00	1.00092218661476307e+00	chi_beta_inner_r_lt_0p5	3.88264775877867478e+01	3.60843918243516776e-02
a	1.00000000000000000e+00	1.00092218661476307e+00	chi_beta_annulus_0p5_1	1.91125488339994876e+00	5.01300392313165144e-01
a	1.00000000000000000e+00	1.00092218661476307e+00	chi_beta_annulus_1_1p5	7.77645210784214225e-01	1.00065082987690235e+00
a	1.00000000000000000e+00	1.00092218661476307e+00	chi_beta_annulus_1p5_2	4.38254956725824985e-01	1.50043396500256976e+00
a	1.00000000000000000e+00	1.00092218661476307e+00	chi_beta_outer_r_ge_2	2.84571871002505306e-01	2.00032549434669127e+00
a	1.00000000000000000e+00	1.00092218661476307e+00	chi_beta_first_ge_1	1.00000000000000000e+00	3.60843918243516776e-02
a	3.00000000000000000e+00	3.00000000000000000e+00	chi_beta	3.88264775877853268e+01	3.60843918243516776e-02
a	3.00000000000000000e+00	3.00000000000000000e+00	chi_beta_near_r_lt_1	3.88264775877853268e+01	3.60843918243516776e-02
a	3.00000000000000000e+00	3.00000000000000000e+00	chi_beta_inner_r_lt_0p5	3.88264775877853268e+01	3.60843918243516776e-02
a	3.00000000000000000e+00	3.00000000000000000e+00	chi_beta_annulus_0p5_1	1.91125488339997784e+00	5.01300392313165144e-01
a	3.00000000000000000e+00	3.00000000000000000e+00	chi_beta_annulus_1_1p5	7.77645210784228325e-01	1.00065082987690235e+00
a	3.00000000000000000e+00	3.00000000000000000e+00	chi_beta_annulus_1p5_2	4.38254956725833089e-01	1.50043396500256998e+00
a	3.00000000000000000e+00	3.00000000000000000e+00	chi_beta_outer_r_ge_2	2.84571871002507470e-01	2.00032549434669127e+00
a	3.00000000000000000e+00	3.00000000000000000e+00	chi_beta_first_ge_1	1.00000000000000000e+00	3.60843918243516776e-02
b	0.00000000000000000e+00	0.00000000000000000e+00	chi_beta	3.88264775877866910e+01	3.60843918243516776e-02
b	0.00000000000000000e+00	0.00000000000000000e+00	chi_beta_near_r_lt_1	3.88264775877866910e+01	3.60843918243516776e-02
b	0.00000000000000000e+00	0.00000000000000000e+00	chi_beta_inner_r_lt_0p5	3.88264775877866910e+01	3.60843918243516776e-02
b	0.00000000000000000e+00	0.00000000000000000e+00	chi_beta_annulus_0p5_1	1.91125488339994543e+00	5.01300392313165144e-01
b	0.00000000000000000e+00	0.00000000000000000e+00	chi_beta_annulus_1_1p5	7.77645210784213115e-01	1.00065082987690235e+00
b	0.00000000000000000e+00	0.00000000000000000e+00	chi_beta_annulus_1p5_2	4.38254956725824207e-01	1.50043396500256998e+00
b	0.00000000000000000e+00	0.00000000000000000e+00	chi_beta_outer_r_ge_2	2.84571871002504861e-01	2.00032549434669082e+00
b	0.00000000000000000e+00	0.00000000000000000e+00	chi_beta_first_ge_1	1.00000000000000000e+00	3.60843918243516776e-02
b	2.00000000000000011e-01	2.00865336769630448e-01	chi_beta	3.88264775877873802e+01	3.60843918243516776e-02
b	2.00000000000000011e-01	2.00865336769630448e-01	chi_beta_near_r_lt_1	3.88264775877873802e+01	3.60843918243516776e-02
b	2.00000000000000011e-01	2.00865336769630448e-01	chi_beta_inner_r_lt_0p5	3.88264775877873802e+01	3.60843918243516776e-02
b	2.00000000000000011e-01	2.00865336769630448e-01	chi_beta_annulus_0p5_1	1.91125488339994698e+00	5.01300392313165144e-01
b	2.00000000000000011e-01	2.00865336769630448e-01	chi_beta_annulus_1_1p5	7.77645210784213559e-01	1.00065082987690235e+00
b	2.00000000000000011e-01	2.00865336769630448e-01	chi_beta_annulus_1p5_2	4.38254956725824374e-01	1.50043396500256976e+00
b	2.00000000000000011e-01	2.00865336769630448e-01	chi_beta_outer_r_ge_2	2.84571871002505028e-01	2.00032549434669127e+00
b	2.00000000000000011e-01	2.00865336769630448e-01	chi_beta_first_ge_1	1.00000000000000000e+00	3.60843918243516776e-02
b	5.00000000000000000e-01	5.00461093307382532e-01	chi_beta	3.88264775877862007e+01	3.60843918243516776e-02
b	5.00000000000000000e-01	5.00461093307382532e-01	chi_beta_near_r_lt_1	3.88264775877862007e+01	3.60843918243516776e-02
b	5.00000000000000000e-01	5.00461093307382532e-01	chi_beta_inner_r_lt_0p5	3.88264775877862007e+01	3.60843918243516776e-02
b	5.00000000000000000e-01	5.00461093307382532e-01	chi_beta_annulus_0p5_1	1.91125488339994631e+00	5.01300392313165144e-01
b	5.00000000000000000e-01	5.00461093307382532e-01	chi_beta_annulus_1_1p5	7.77645210784213781e-01	1.00065082987690235e+00
b	5.00000000000000000e-01	5.00461093307382532e-01	chi_beta_annulus_1p5_2	4.38254956725824540e-01	1.50043396500256976e+00
b	5.00000000000000000e-01	5.00461093307382532e-01	chi_beta_outer_r_ge_2	2.84571871002505139e-01	2.00032549434669127e+00
b	5.00000000000000000e-01	5.00461093307382532e-01	chi_beta_first_ge_1	1.00000000000000000e+00	3.60843918243516776e-02
b	1.00000000000000000e+00	1.00092218661476307e+00	chi_beta	3.88264775877867478e+01	3.60843918243516776e-02
b	1.00000000000000000e+00	1.00092218661476307e+00	chi_beta_near_r_lt_1	3.88264775877867478e+01	3.60843918243516776e-02
b	1.00000000000000000e+00	1.00092218661476307e+00	chi_beta_inner_r_lt_0p5	3.88264775877867478e+01	3.60843918243516776e-02
b	1.00000000000000000e+00	1.00092218661476307e+00	chi_beta_annulus_0p5_1	1.91125488339994809e+00	5.01300392313165144e-01
b	1.00000000000000000e+00	1.00092218661476307e+00	chi_beta_annulus_1_1p5	7.77645210784214225e-01	1.00065082987690213e+00
b	1.00000000000000000e+00	1.00092218661476307e+00	chi_beta_annulus_1p5_2	4.38254956725824929e-01	1.50043396500256976e+00
b	1.00000000000000000e+00	1.00092218661476307e+00	chi_beta_outer_r_ge_2	2.84571871002505361e-01	2.00032549434669127e+00
b	1.00000000000000000e+00	1.00092218661476307e+00	chi_beta_first_ge_1	1.00000000000000000e+00	3.60843918243516776e-02
b	3.00000000000000000e+00	3.00000000000000000e+00	chi_beta	3.88264775877819446e+01	3.60843918243516776e-02
b	3.00000000000000000e+00	3.00000000000000000e+00	chi_beta_near_r_lt_1	3.88264775877819446e+01	3.60843918243516776e-02
b	3.00000000000000000e+00	3.00000000000000000e+00	chi_beta_inner_r_lt_0p5	3.88264775877819446e+01	3.60843918243516776e-02
b	3.00000000000000000e+00	3.00000000000000000e+00	chi_beta_annulus_0p5_1	1.91125488339997740e+00	5.01300392313165144e-01
b	3.00000000000000000e+00	3.00000000000000000e+00	chi_beta_annulus_1_1p5	7.77645210784227325e-01	1.00065082987690213e+00
b	3.00000000000000000e+00	3.00000000000000000e+00	chi_beta_annulus_1p5_2	4.38254956725763700e-01	1.50043396500256998e+00
b	3.00000000000000000e+00	3.00000000000000000e+00	chi_beta_outer_r_ge_2	2.84571871002425980e-01	2.00032549434669127e+00
b	3.00000000000000000e+00	3.00000000000000000e+00	chi_beta_first_ge_1	1.00000000000000000e+00	3.60843918243516776e-02
c	0.00000000000000000e+00	0.00000000000000000e+00	chi_beta	3.88264775877866910e+01	3.60843918243516776e-02
c	0.00000000000000000e+00	0.00000000000000000e+00	chi_beta_near_r_lt_1	3.88264775877866910e+01	3.60843918243516776e-02
c	0.00000000000000000e+00	0.00000000000000000e+00	chi_beta_inner_r_lt_0p5	3.88264775877866910e+01	3.60843918243516776e-02
c	0.00000000000000000e+00	0.00000000000000000e+00	chi_beta_annulus_0p5_1	1.91125488339994543e+00	5.01300392313165144e-01
