system	radius	chi_beta	crossing_angle	dimension	geometric_dimension	basis_condition	maximum_imaginary_eigenvalue
compatible_gamma2_0	0.03	47.57271974304296	1.5497743279839875	50	40	inf	3.339233191768188e-10
compatible_gamma2_1	0.03	47.57271974304296	1.5497743279839875	50	40	inf	2.880518577267233e-10
compatible_gamma2_0	0.05	27.09480314535254	1.5338804960907442	50	40	inf	5.14663601634553e-10
compatible_gamma2_1	0.05	27.09480314535254	1.5338804960907442	50	40	inf	5.14663601634553e-10
compatible_gamma2_0	0.08	16.085635862767862	1.5085889475212715	50	40	inf	7.846253058387901e-10
compatible_gamma2_1	0.08	16.085635862767862	1.5085889475212715	50	40	inf	6.090717356770054e-10
compatible_gamma2_0	0.125	9.754496604224354	1.4680990792210002	50	40	inf	7.653489560668696e-10
compatible_gamma2_1	0.125	9.754496604224354	1.4680990792210002	50	40	inf	7.653489560668696e-10
compatible_gamma2_0	0.2	5.7104466871179325	1.3947710641471236	50	40	inf	1.420441193156973e-09
compatible_gamma2_1	0.2	5.7104466871179325	1.3947710641471236	50	40	inf	1.454092479646141e-09
compatible_gamma2_0	0.4	2.5214887893189184	1.1629958955968565	50	40	inf	2.33868473488021e-09
compatible_gamma2_1	0.4	2.5214887893189184	1.1629958955968565	50	40	inf	2.33868473488021e-09
compatible_gamma2_0	0.8	1.0506823458063503	0.31186673736933096	50	40	inf	2.8102873896922987e-09
compatible_gamma2_1	0.8	1.0506823458063503	0.31186673736933096	50	40	inf	2.8102873896922987e-09
