# reproduction_conditioned_linf=8.07793566946316089e-28
# production_rerun_conditioned_linf=0.00000000000000000e+00
# tolerance=4.99999999999999990e-13
# global_actual_maximum=5.84252885406934375e-11 component=54 radius=1.48779758927976014e-01 rank=3 gid=63
# at_global_max_actual=5.84252885406934375e-11 principal=0.00000000000000000e+00 vacuum=0.00000000000000000e+00 ordinary_gauge=0.00000000000000000e+00 gamma0=0.00000000000000000e+00 gamma2=0.00000000000000000e+00 driver=-6.21685436268259952e-13 KO=5.90469739769616922e-11 sum=5.84252885406934375e-11
sector	family	maximum	component	radius	rank	gid	x	y	z	i	j	k
actual	Psi	1.19704246515084371e-14	0	1.48779758927976097e-01	3	56	-2.08333333333333703e-02	-2.08333333333333703e-02	-1.45833333333333370e-01	15	15	12
actual	Pi	3.12728068752635343e-12	10	1.60023869747262681e-01	3	62	-1.45833333333333370e-01	2.08333333333333287e-02	6.24999999999999861e-02	12	0	1
actual	Phi	1.67342342017344872e-14	40	1.80421959121758013e-01	3	63	2.08333333333333287e-02	1.45833333333333315e-01	1.04166666666666644e-01	0	3	2
actual	Hhat	3.47833922369627678e-12	52	1.48779758927976069e-01	3	60	-2.08333333333333703e-02	-1.45833333333333370e-01	2.08333333333333287e-02	15	12	0
actual	theta	5.84252885406934375e-11	54	1.48779758927976014e-01	3	63	2.08333333333333287e-02	1.45833333333333315e-01	2.08333333333333287e-02	0	3	0
actual	Upsilon	2.27966844970735440e-15	59	2.31052843883529535e-01	3	56	-2.08333333333333703e-02	-2.29166666666666685e-01	-2.08333333333333703e-02	15	10	15
principal	Psi	1.38297177446558632e-28	0	1.48779758927976069e-01	3	57	2.08333333333333287e-02	-1.45833333333333370e-01	-2.08333333333333703e-02	0	12	15
principal	Pi	7.24800459914063128e-13	10	1.48779758927976069e-01	3	60	-2.08333333333333703e-02	-1.45833333333333370e-01	2.08333333333333287e-02	15	12	0
principal	Phi	1.00394359133235994e-27	30	1.48779758927976014e-01	3	63	2.08333333333333287e-02	1.45833333333333315e-01	2.08333333333333287e-02	0	3	0
covariant_vacuum_source	Pi	3.12756935515654468e-13	10	1.70528182747342744e-01	3	56	-6.25000000000000000e-02	-1.45833333333333370e-01	-6.25000000000000000e-02	14	12	14
ordinary_gauge_increment	Pi	3.11365751209392385e-12	10	1.60023869747262709e-01	3	58	-1.45833333333333370e-01	2.08333333333333287e-02	-6.25000000000000000e-02	12	0	14
gamma0_damping	Pi	9.86408639069195681e-15	17	1.60023869747262654e-01	3	59	2.08333333333333287e-02	1.45833333333333315e-01	-6.25000000000000000e-02	0	3	14
gamma2_damping	Pi	5.69547505348179470e-14	10	1.48779758927976069e-01	3	59	2.08333333333333287e-02	2.08333333333333287e-02	-1.45833333333333370e-01	0	0	12
gamma2_damping	Phi	8.96930188531083060e-15	30	2.75843088951349680e+00	1	18	-1.97916666666666674e+00	3.12499999999999944e-01	-1.89583333333333326e+00	0	7	2
driver	Hhat	3.36208963548994875e-12	51	1.48779758927976014e-01	3	63	1.45833333333333315e-01	2.08333333333333287e-02	2.08333333333333287e-02	3	0	0
driver	theta	3.00005428237239743e-12	56	1.48779758927976069e-01	3	61	2.08333333333333287e-02	-1.45833333333333370e-01	2.08333333333333287e-02	0	12	0
driver	Upsilon	2.27966844970735440e-15	59	2.31052843883529535e-01	3	56	-2.08333333333333703e-02	-2.29166666666666685e-01	-2.08333333333333703e-02	15	10	15
KO	Psi	1.19704246515084371e-14	0	1.48779758927976097e-01	3	56	-2.08333333333333703e-02	-2.08333333333333703e-02	-1.45833333333333370e-01	15	15	12
KO	Pi	3.04110035789714949e-13	10	1.48779758927976041e-01	3	57	1.45833333333333315e-01	-2.08333333333333703e-02	-2.08333333333333703e-02	3	15	15
KO	Phi	1.33892221703577956e-14	30	1.60023869747262654e-01	3	63	2.08333333333333287e-02	1.45833333333333315e-01	6.24999999999999861e-02	0	3	1
KO	Hhat	2.00469640887490690e-12	53	1.48779758927976041e-01	3	60	-2.08333333333333703e-02	-2.08333333333333703e-02	1.45833333333333315e-01	15	15	3
KO	theta	5.90469739769616922e-11	54	1.48779758927976014e-01	3	63	2.08333333333333287e-02	1.45833333333333315e-01	2.08333333333333287e-02	0	3	0
KO	Upsilon	0.00000000000000000e+00	58	9.43499322852020983e-01	5	90	6.87499999999999889e-01	2.08333333333333287e-02	-6.45833333333333370e-01	0	0	0
