time	cycle	diagnostic	maximum	radius	r_over_r_core	level	rank	gid	x	y	z	i	j	k
2.02065312311301870e+00	489	reference_Ricci	7.51232877920844255e-01	5.33085065913499356e-01	1.77695021971166467e+00	5	3	70	-3.12500000000000000e-02	-4.06250000000000000e-01	-3.43750000000000000e-01	31	25	26
2.02065312311301870e+00	489	reference_Riemann	9.62828745163851418e-01	5.33085065913499356e-01	1.77695021971166467e+00	5	3	70	-3.12500000000000000e-02	-3.12500000000000000e-02	-5.31250000000000000e-01	31	31	23
2.02065312311301870e+00	489	spin_connection	1.45380936574260322e+00	4.08646775956938157e-01	1.36215591985646056e+00	5	3	70	-3.12500000000000000e-02	-2.18750000000000000e-01	-3.43750000000000000e-01	31	28	26
2.02065312311301870e+00	489	spin_derivative	1.78013076279241123e+00	5.25706370039397575e-01	1.75235456679799206e+00	5	3	70	-2.81250000000000000e-01	-2.81250000000000000e-01	-3.43750000000000000e-01	27	27	26
2.02065312311301870e+00	489	reference_dt_frame	0.00000000000000000e+00	3.91796742584723390e+01	1.30598914194907792e+02	3	0	0	-2.38750000000000000e+01	-1.98750000000000000e+01	-2.38750000000000000e+01	0	16	0
2.02065312311301870e+00	489	reference_dt_connection	0.00000000000000000e+00	3.91796742584723390e+01	1.30598914194907792e+02	3	0	0	-2.38750000000000000e+01	-1.98750000000000000e+01	-2.38750000000000000e+01	0	16	0
2.02065312311301870e+00	489	reference_spatial_frame_gradient	3.49443564690678568e+03	5.41265877365274123e-02	1.80421959121758041e-01	5	3	70	-3.12500000000000000e-02	-3.12500000000000000e-02	-3.12500000000000000e-02	31	31	31
2.02065312311301870e+00	489	reference_window_gradient	1.72464776403172237e+01	5.54632479665589040e-01	1.84877493221863021e+00	5	3	70	-3.12500000000000000e-02	-1.56250000000000000e-01	-5.31250000000000000e-01	31	29	23
2.02065312311301870e+00	489	Psi	2.20105397984445572e+00	4.70828724166230117e-01	1.56942908055410046e+00	5	3	70	-3.12500000000000000e-02	-3.12500000000000000e-02	-4.68750000000000000e-01	31	31	24
2.02065312311301870e+00	489	Q	2.21415213978193526e+00	4.70828724166230117e-01	1.56942908055410046e+00	5	6	122	-3.12500000000000000e-02	-3.12500000000000000e-02	4.68750000000000000e-01	31	31	7
2.02065312311301870e+00	489	Delta	1.55696542169759322e+00	4.62457768342148190e-01	1.54152589447382726e+00	5	5	109	2.18750000000000000e-01	4.06250000000000000e-01	-3.12500000000000000e-02	3	6	31
2.02065312311301870e+00	489	Pi	1.81023882540738223e+00	4.70828724166230117e-01	1.56942908055410046e+00	5	3	70	-3.12500000000000000e-02	-3.12500000000000000e-02	-4.68750000000000000e-01	31	31	24
2.02065312311301870e+00	489	Phi	3.98804610218450373e-01	3.89059362437147893e-01	1.29686454145715979e+00	5	7	148	-1.56250000000000000e-01	2.81250000000000000e-01	2.18750000000000000e-01	29	4	3
2.02065312311301870e+00	489	GH_constraint	9.79474093283041802e-01	5.10629207449005973e-01	1.70209735816335339e+00	5	6	122	-2.18750000000000000e-01	-2.18750000000000000e-01	4.06250000000000000e-01	28	28	6
2.02065312311301870e+00	489	reduction_constraint	1.15594765886137198e-03	4.70828724166230117e-01	1.56942908055410046e+00	5	8	161	3.12500000000000000e-02	3.12500000000000000e-02	4.68750000000000000e-01	0	0	7
2.02065312311301870e+00	489	curl_constraint	2.35434220008506716e-02	3.68432066329737351e-01	1.22810688776579124e+00	5	3	70	-9.37500000000000000e-02	-9.37500000000000000e-02	-3.43750000000000000e-01	30	30	26
2.02065312311301870e+00	489	source_curvature	1.66468910975235795e+00	5.33085065913499356e-01	1.77695021971166467e+00	5	6	135	3.43750000000000000e-01	-2.18750000000000000e-01	3.43750000000000000e-01	5	28	5
2.02065312311301870e+00	489	source_QQ	4.80861025588592828e+00	4.70828724166230117e-01	1.56942908055410046e+00	5	3	70	-4.68750000000000000e-01	-3.12500000000000000e-02	-3.12500000000000000e-02	24	31	31
2.02065312311301870e+00	489	source_DeltaDelta	1.61541756523513347e+00	4.79053428648621604e-01	1.59684476216207205e+00	5	6	122	-4.68750000000000000e-01	-3.12500000000000000e-02	9.37500000000000000e-02	24	31	1
2.02065312311301870e+00	489	source_damping	0.00000000000000000e+00	3.91796742584723390e+01	1.30598914194907792e+02	3	0	0	-2.38750000000000000e+01	-1.98750000000000000e+01	-2.38750000000000000e+01	0	16	0
2.02065312311301870e+00	489	source_frame_correction	2.90419869559445587e+00	5.02921154357221289e-01	1.67640384785740437e+00	5	4	96	-4.06250000000000000e-01	9.37500000000000000e-02	-2.81250000000000000e-01	25	1	27
2.02065312311301870e+00	489	Psi_RHS_Linf	2.97869546172011057e-01	5.33085065913499356e-01	1.77695021971166467e+00	5	4	96	-3.12500000000000000e-02	5.31250000000000000e-01	-3.12500000000000000e-02	31	8	31
2.02065312311301870e+00	489	Pi_RHS_Linf	1.13949596339399695e+00	5.02921154357221289e-01	1.67640384785740437e+00	5	6	135	9.37500000000000000e-02	-1.56250000000000000e-01	4.68750000000000000e-01	1	29	7
2.02065312311301870e+00	489	Phi_RHS_Linf	4.34105777154212169e-01	5.33085065913499356e-01	1.77695021971166467e+00	5	6	122	-3.12500000000000000e-02	-3.12500000000000000e-02	5.31250000000000000e-01	31	31	8
2.02065312311301870e+00	489	Hhat_RHS_Linf	0.00000000000000000e+00	3.91796742584723390e+01	1.30598914194907792e+02	3	0	0	-2.38750000000000000e+01	-1.98750000000000000e+01	-2.38750000000000000e+01	0	16	0
2.02065312311301870e+00	489	theta_RHS_Linf	0.00000000000000000e+00	3.91796742584723390e+01	1.30598914194907792e+02	3	0	0	-2.38750000000000000e+01	-1.98750000000000000e+01	-2.38750000000000000e+01	0	16	0
2.02065312311301870e+00	489	Upsilon_RHS_Linf	0.00000000000000000e+00	3.91796742584723390e+01	1.30598914194907792e+02	3	0	0	-2.38750000000000000e+01	-1.98750000000000000e+01	-2.38750000000000000e+01	0	16	0
2.02065312311301870e+00	489	chi_beta	2.07865219279515234e-01	5.47544233372975975e-01	1.82514744457658673e+00	5	3	70	-5.31250000000000000e-01	-9.37500000000000000e-02	-9.37500000000000000e-02	23	30	30
2.02065312311301870e+00	489	chi_beta_near_r_lt_1	2.07865219279515234e-01	5.47544233372975975e-01	1.82514744457658673e+00	5	3	70	-5.31250000000000000e-01	-9.37500000000000000e-02	-9.37500000000000000e-02	23	30	30
2.02065312311301870e+00	489	chi_beta_inner_r_lt_0p5	1.88156348050677519e-01	4.95093109929839348e-01	1.65031036643279783e+00	5	3	70	-3.43750000000000000e-01	-2.18750000000000000e-01	-2.81250000000000000e-01	26	28	27
2.02065312311301870e+00	489	chi_beta_annulus_0p5_1	2.07865219279515234e-01	5.47544233372975975e-01	1.82514744457658673e+00	5	3	70	-5.31250000000000000e-01	-9.37500000000000000e-02	-9.37500000000000000e-02	23	30	30
2.02065312311301870e+00	489	chi_beta_annulus_1_1p5	9.55642405852786814e-02	1.00146377243512918e+00	3.33821257478376410e+00	5	6	122	-4.68750000000000000e-01	-6.56250000000000000e-01	5.93750000000000000e-01	24	21	9
2.02065312311301870e+00	489	chi_beta_annulus_1p5_2	5.16767344529272393e-02	1.50097624481535341e+00	5.00325414938451196e+00	5	4	96	-9.06250000000000000e-01	7.81250000000000000e-01	-9.06250000000000000e-01	17	12	17
2.02065312311301870e+00	489	chi_beta_outer_r_ge_2	3.23396278005005089e-02	2.00073228781363932e+00	6.66910762604546470e+00	5	8	161	1.34375000000000000e+00	8.43750000000000000e-01	1.21875000000000000e+00	21	13	19
2.02065312311301870e+00	489	chi_beta_first_ge_1	0.00000000000000000e+00	inf	0.00000000000000000e+00	0	0	0	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0	0	0
2.04130529164795771e+00	494	reference_Ricci	7.51232877920844255e-01	5.33085065913499356e-01	1.77695021971166467e+00	5	3	70	-3.12500000000000000e-02	-4.06250000000000000e-01	-3.43750000000000000e-01	31	25	26
2.04130529164795771e+00	494	reference_Riemann	9.62828745163851418e-01	5.33085065913499356e-01	1.77695021971166467e+00	5	3	70	-3.12500000000000000e-02	-3.12500000000000000e-02	-5.31250000000000000e-01	31	31	23
2.04130529164795771e+00	494	spin_connection	1.45380936574260322e+00	4.08646775956938157e-01	1.36215591985646056e+00	5	3	70	-3.12500000000000000e-02	-2.18750000000000000e-01	-3.43750000000000000e-01	31	28	26
2.04130529164795771e+00	494	spin_derivative	1.78013076279241123e+00	5.25706370039397575e-01	1.75235456679799206e+00	5	3	70	-2.81250000000000000e-01	-2.81250000000000000e-01	-3.43750000000000000e-01	27	27	26
2.04130529164795771e+00	494	reference_dt_frame	0.00000000000000000e+00	3.91796742584723390e+01	1.30598914194907792e+02	3	0	0	-2.38750000000000000e+01	-1.98750000000000000e+01	-2.38750000000000000e+01	0	16	0
2.04130529164795771e+00	494	reference_dt_connection	0.00000000000000000e+00	3.91796742584723390e+01	1.30598914194907792e+02	3	0	0	-2.38750000000000000e+01	-1.98750000000000000e+01	-2.38750000000000000e+01	0	16	0
2.04130529164795771e+00	494	reference_spatial_frame_gradient	3.49443564690678568e+03	5.41265877365274123e-02	1.80421959121758041e-01	5	3	70	-3.12500000000000000e-02	-3.12500000000000000e-02	-3.12500000000000000e-02	31	31	31
2.04130529164795771e+00	494	reference_window_gradient	1.72464776403172237e+01	5.54632479665589040e-01	1.84877493221863021e+00	5	3	70	-3.12500000000000000e-02	-1.56250000000000000e-01	-5.31250000000000000e-01	31	29	23
2.04130529164795771e+00	494	Psi	2.20670579761322028e+00	4.70828724166230117e-01	1.56942908055410046e+00	5	3	70	-3.12500000000000000e-02	-3.12500000000000000e-02	-4.68750000000000000e-01	31	31	24
