metric	coarse_resolution	fine_resolution	coarse_error	fine_error	fine_over_coarse	observed_order
GH_RMS	64	96	3.3707606986521296e-13	5.009640449814568e-13	1.4862047168812011	-0.9772128170811609
GH_RMS	96	128	5.009640449814568e-13	6.560730008900979e-13	1.3096209348005854	-0.9376244070167045
reduction_RMS	64	96	1.0246148909485834e-12	1.8174565458110423e-12	1.7737947807184902	-1.4134907888879584
reduction_RMS	96	128	1.8174565458110423e-12	2.7641909838131917e-12	1.5209117324891352	-1.4575464347433813
curl_RMS	64	96	8.00442561354083e-14	1.350601277425907e-13	1.687318169515047	-1.2902229466830029
curl_RMS	96	128	1.350601277425907e-13	1.882342639698132e-13	1.3937071370802074	-1.1539377454415582
metric_error_RMS	64	96	1.654073468259941e-11	4.8266514593394966e-11	2.9180393446592534	-2.64119380935144
metric_error_RMS	96	128	4.8266514593394966e-11	1.0694009388197767e-10	2.2156166605950016	-2.7653122770042144
relative_D_Linf	64	96	1.209865541087409e-12	1.837141550003518e-12	1.5184675384277186	-1.0301789710844178
relative_D_Linf	96	128	1.837141550003518e-12	2.399858090038309e-12	1.3063000453251485	-0.9287987462357982
relative_source_Linf	64	96	9.225050298417263e-12	1.402521063846692e-11	1.5203397471852502	-1.0332179499279133
relative_source_Linf	96	128	1.402521063846692e-11	1.867226394440324e-11	1.3313357229153375	-0.9947882353728948
