time	cycle	diagnostic	maximum	radius	r_over_r_core	level	rank	gid	x	y	z	i	j	k
4.05324740880643652e+00	983	reference_Ricci	7.54867677009095317e+00	5.33085065913499356e-01	1.77695021971166467e+00	5	35	70	-2.18750000000000000e-01	-3.43750000000000000e-01	-3.43750000000000000e-01	28	26	26
4.05324740880643652e+00	983	reference_Riemann	1.05538300836932901e+01	5.33085065913499356e-01	1.77695021971166467e+00	5	35	70	-3.43750000000000000e-01	-2.18750000000000000e-01	-3.43750000000000000e-01	26	28	26
4.05324740880643652e+00	983	spin_connection	2.94381532024239245e+00	4.36382501367779396e-01	1.45460833789259802e+00	5	35	70	-4.06250000000000000e-01	-1.56250000000000000e-01	-3.12500000000000000e-02	25	29	31
4.05324740880643652e+00	983	spin_derivative	1.09584462075984064e+01	5.25706370039397575e-01	1.75235456679799206e+00	5	35	70	-2.81250000000000000e-01	-2.81250000000000000e-01	-3.43750000000000000e-01	27	27	26
4.05324740880643652e+00	983	Psi	4.45787721033103601e+00	4.70828724166230117e-01	1.56942908055410046e+00	5	35	70	-3.12500000000000000e-02	-4.68750000000000000e-01	-3.12500000000000000e-02	31	24	31
4.05324740880643652e+00	983	Q	1.69358968062513817e+01	4.87139289628746752e-01	1.62379763209582251e+00	5	80	161	2.81250000000000000e-01	2.81250000000000000e-01	2.81250000000000000e-01	4	4	4
4.05324740880643652e+00	983	Delta	1.20436926632878354e+01	4.70828724166230117e-01	1.56942908055410046e+00	5	61	122	-1.56250000000000000e-01	-3.43750000000000000e-01	2.81250000000000000e-01	29	26	4
4.05324740880643652e+00	983	Pi	8.95657609063663784e+00	4.70828724166230117e-01	1.56942908055410046e+00	5	54	109	3.12500000000000000e-02	3.12500000000000000e-02	-4.68750000000000000e-01	0	0	24
4.05324740880643652e+00	983	Phi	5.72117133780786613e+00	5.33085065913499356e-01	1.77695021971166467e+00	5	41	83	3.12500000000000000e-02	-3.12500000000000000e-02	-5.31250000000000000e-01	0	31	23
4.05324740880643652e+00	983	GH_constraint	4.43442923552392287e-01	5.33085065913499356e-01	1.77695021971166467e+00	5	48	96	-3.12500000000000000e-02	5.31250000000000000e-01	-3.12500000000000000e-02	31	8	31
4.05324740880643652e+00	983	reduction_constraint	4.07129162770845723e-02	4.87139289628746752e-01	1.62379763209582251e+00	5	54	109	9.37500000000000000e-02	4.68750000000000000e-01	-9.37500000000000000e-02	1	7	30
4.05324740880643652e+00	983	curl_constraint	6.40105789323036523e-01	4.95093109929839348e-01	1.65031036643279783e+00	5	35	70	-3.12500000000000000e-02	-4.68750000000000000e-01	-1.56250000000000000e-01	31	24	29
4.05324740880643652e+00	983	source_curvature	1.82082045270867141e+01	5.10629207449005973e-01	1.70209735816335339e+00	5	61	122	-2.18750000000000000e-01	-2.18750000000000000e-01	4.06250000000000000e-01	28	28	6
4.05324740880643652e+00	983	source_QQ	4.60415044027966829e+01	4.70828724166230117e-01	1.56942908055410046e+00	5	80	161	2.81250000000000000e-01	1.56250000000000000e-01	3.43750000000000000e-01	4	2	5
4.05324740880643652e+00	983	source_DeltaDelta	1.96051785992753338e+01	4.70828724166230117e-01	1.56942908055410046e+00	5	61	122	-3.43750000000000000e-01	-1.56250000000000000e-01	2.81250000000000000e-01	26	29	4
4.05324740880643652e+00	983	source_damping	0.00000000000000000e+00	4.13527130307069442e+01	1.37842376769023161e+02	3	0	0	-2.38750000000000000e+01	-2.38750000000000000e+01	-2.38750000000000000e+01	0	0	0
4.05324740880643652e+00	983	source_frame_correction	5.68924901757995372e+00	4.70828724166230117e-01	1.56942908055410046e+00	5	48	96	-3.12500000000000000e-02	4.68750000000000000e-01	-3.12500000000000000e-02	31	7	31
4.05324740880643652e+00	983	Psi_RHS_Linf	2.77673519322949547e+00	4.70828724166230117e-01	1.56942908055410046e+00	5	41	83	3.12500000000000000e-02	-3.12500000000000000e-02	-4.68750000000000000e-01	0	31	24
4.05324740880643652e+00	983	Pi_RHS_Linf	1.02826855438961715e+01	4.70828724166230117e-01	1.56942908055410046e+00	5	61	122	-4.68750000000000000e-01	-3.12500000000000000e-02	3.12500000000000000e-02	24	31	0
4.05324740880643652e+00	983	Phi_RHS_Linf	7.04225229315809997e+00	5.33085065913499356e-01	1.77695021971166467e+00	5	41	83	3.12500000000000000e-02	-3.12500000000000000e-02	-5.31250000000000000e-01	0	31	23
4.05324740880643652e+00	983	Hhat_RHS_Linf	0.00000000000000000e+00	4.13527130307069442e+01	1.37842376769023161e+02	3	0	0	-2.38750000000000000e+01	-2.38750000000000000e+01	-2.38750000000000000e+01	0	0	0
4.05324740880643652e+00	983	theta_RHS_Linf	0.00000000000000000e+00	4.13527130307069442e+01	1.37842376769023161e+02	3	0	0	-2.38750000000000000e+01	-2.38750000000000000e+01	-2.38750000000000000e+01	0	0	0
4.05324740880643652e+00	983	Upsilon_RHS_Linf	0.00000000000000000e+00	4.13527130307069442e+01	1.37842376769023161e+02	3	0	0	-2.38750000000000000e+01	-2.38750000000000000e+01	-2.38750000000000000e+01	0	0	0
4.05324740880643652e+00	983	chi_beta	9.80069935735391473e-01	5.40363014555955701e-01	1.80121004851985234e+00	5	48	96	-2.81250000000000000e-01	4.06250000000000000e-01	-2.18750000000000000e-01	27	6	28
4.05324740880643652e+00	983	chi_beta_near_r_lt_1	9.80069935735391473e-01	5.40363014555955701e-01	1.80121004851985234e+00	5	48	96	-2.81250000000000000e-01	4.06250000000000000e-01	-2.18750000000000000e-01	27	6	28
4.05324740880643652e+00	983	chi_beta_inner_r_lt_0p5	9.11699894574377057e-01	4.95093109929839348e-01	1.65031036643279783e+00	5	67	135	1.56250000000000000e-01	-4.68750000000000000e-01	3.12500000000000000e-02	2	24	0
4.05324740880643652e+00	983	chi_beta_annulus_0p5_1	9.80069935735391473e-01	5.40363014555955701e-01	1.80121004851985234e+00	5	48	96	-2.81250000000000000e-01	4.06250000000000000e-01	-2.18750000000000000e-01	27	6	28
4.05324740880643652e+00	983	chi_beta_annulus_1_1p5	4.61238781580656065e-01	1.00146377243512918e+00	3.33821257478376410e+00	5	61	122	-4.68750000000000000e-01	-6.56250000000000000e-01	5.93750000000000000e-01	24	21	9
