case	target_time	time	GH_RMS	reduction_RMS	curl_RMS	Psi_error_RMS	physical_lapse_min	physical_lapse_max	relative_metric_condition_max	relative_lapse_min	relative_lapse_max	relative_v2_max	relative_D_Linf	relative_source_Linf	transition_amplitude	e_G	e_alpha	bad_state	characteristic_speed_max	effective_CFL
n96	0.0	0.0	0.0	0.0	0.0	0.0	0.009541207056404379	0.9094201652226722	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8270450369136325	0.05
n96	0.2	0.2052683082115688	6.179971799956369e-06	5.278446186717932e-08	8.872897802464374e-07	0.0002788168284229498	0.009541207894633886	0.9094203698395065	1.001608816657226	1.000000087853612	1.000245288828645	2.382285555592188e-10	1.537708032608105e-05	0.0007104943681790538	0.0001624908562550011	8.717790270268141e-05	0.0001306515373048194	0.0	0.8270463560308005	0.05000007159783969
n96	0.5	0.5023403664607298	2.69835462644539e-05	7.654943919566427e-07	1.6256925730677917e-05	0.001739056781706929	0.00954121131434117	0.9094186885083424	1.009593002218279	1.000000446268147	1.002011445077313	5.234475340385442e-08	0.0002285610862153919	0.004427120111345463	0.002248509545990638	0.0006280218306658344	0.0009393205574355196	0.0	0.8270604835421915	0.0500002957070965
n96	1.0	1.004379512597998	9.343625911358466e-05	7.144892529164782e-06	0.00017724337959060466	0.0075430589426311225	0.00954121868729192	0.9093992134065323	1.03785009729383	1.000001219016365	1.012276464247117	3.380275159862882e-06	0.001847537402882568	0.018120205956648	0.0162494527871834	0.003512855746830935	0.005257127725614256	0.0	0.8271509069611086	0.05000091398127321
n96	1.2	1.203912999921116	0.00015015224310968548	1.3828227211740633e-05	0.0003317580821657167	0.011251251834164058	0.009541220425153527	0.9093831472989385	1.056824175258561	1.000001401159106	1.020276770442435	1.000078417669585e-05	0.003185130618783523	0.02619672839337753	0.02685105599184238	0.005736197096433579	0.008600489952429666	0.0	0.8272192263206888	0.05000121583803845
n96	1.4	1.403266824911014	0.00023298024179259182	2.5060190175874113e-05	0.0005626924100351151	0.015918823529313328	0.009541220363171763	0.9093615821395262	1.083211065622306	1.000001394662888	1.031276828058672	2.491552785296936e-05	0.005039486419554511	0.03564639051101069	0.04076599842370129	0.008801318864885888	0.01323052209641578	0.0	0.827309232723647	0.05000153598701852
n96	1.6	1.602394073958797	0.00034505814199588367	4.310839241449219e-05	0.0008892756555437395	0.021688895924640465	0.009541217562514897	0.9093343309417878	1.117810682530507	1.000001101130125	1.045826437810539	5.465736915423367e-05	0.007482327840876516	0.04645207780741613	0.05815008903224797	0.01287080483030123	0.01940975091417762	0.0	0.8274223854466177	0.05000186603184983
n96	1.8	1.80124653159406	0.0004889368967189312	7.100348738745373e-05	0.0013357605935181093	0.02873721717155274	0.009541210905351951	0.9093014200328882	1.162303008563602	1.000000403402583	1.064378878828617	0.0001086480673046204	0.0105749797063568	0.05860581143128878	0.0790649984648382	0.01810871691346348	0.02740882605314733	0.0	0.8275596152107034	0.05000219809536852
n96	2.0	2.005136605416721	0.0006734628457325886	0.00011412182929099876	0.001954869835356924	0.03753305704525386	0.009541198665597725	0.9092619402821961	1.220509231632747	0.9999991205717887	1.088312928079053	0.0002026506948173788	0.01447761608528885	0.08004515693249535	0.1041939733430833	0.02487310232033493	0.03780398040695538	0.0	0.8277260697957126	0.05000253358488221
n96	2.2	2.2	0.0008913127020909286	0.00017441061704696184	0.00275010923520025	0.0476952038952524	0.009541180284143351	0.9092191146313402	1.290729574258177	0.999997194038357	1.116160040500528	0.0003455877443827381	0.01893453556950142	0.1121619274701945	0.13161822265625	0.03281567628521745	0.05009089814401747	0.0	0.8279096954186304	0.03860218429925689
