time	cycle	diagnostic	maximum	radius	r_over_r_core	level	rank	gid	x	y	z	i	j	k
4.02043556679267944e+00	975	reference_Ricci	7.39659144188498807e+00	5.33085065913499356e-01	1.77695021971166467e+00	5	35	70	-2.18750000000000000e-01	-3.43750000000000000e-01	-3.43750000000000000e-01	28	26	26
4.02043556679267944e+00	975	reference_Riemann	1.03106152745540953e+01	5.33085065913499356e-01	1.77695021971166467e+00	5	35	70	-3.12500000000000000e-02	-3.12500000000000000e-02	-5.31250000000000000e-01	31	31	23
4.02043556679267944e+00	975	spin_connection	2.91278921584198347e+00	4.36382501367779396e-01	1.45460833789259802e+00	5	35	70	-1.56250000000000000e-01	-3.12500000000000000e-02	-4.06250000000000000e-01	29	31	25
4.02043556679267944e+00	975	spin_derivative	1.07515060890995322e+01	5.25706370039397575e-01	1.75235456679799206e+00	5	35	70	-2.18750000000000000e-01	-9.37500000000000000e-02	-4.68750000000000000e-01	28	30	24
4.02043556679267944e+00	975	Psi	4.37355595418810772e+00	4.70828724166230117e-01	1.56942908055410046e+00	5	35	70	-3.12500000000000000e-02	-4.68750000000000000e-01	-3.12500000000000000e-02	31	24	31
4.02043556679267944e+00	975	Q	1.61386976708974750e+01	4.87139289628746752e-01	1.62379763209582251e+00	5	80	161	2.81250000000000000e-01	2.81250000000000000e-01	2.81250000000000000e-01	4	4	4
4.02043556679267944e+00	975	Delta	1.15129262000269996e+01	4.70828724166230117e-01	1.56942908055410046e+00	5	61	122	-1.56250000000000000e-01	-3.43750000000000000e-01	2.81250000000000000e-01	29	26	4
4.02043556679267944e+00	975	Pi	8.63923889557789870e+00	4.70828724166230117e-01	1.56942908055410046e+00	5	54	109	3.12500000000000000e-02	3.12500000000000000e-02	-4.68750000000000000e-01	0	0	24
4.02043556679267944e+00	975	Phi	5.48245274952796535e+00	5.33085065913499356e-01	1.77695021971166467e+00	5	41	83	3.12500000000000000e-02	-3.12500000000000000e-02	-5.31250000000000000e-01	0	31	23
4.02043556679267944e+00	975	GH_constraint	3.48952150348946610e-01	6.01917508883069496e-01	2.00639169627689862e+00	5	80	161	3.12500000000000000e-02	5.93750000000000000e-01	9.37500000000000000e-02	0	9	1
4.02043556679267944e+00	975	reduction_constraint	3.87351180795536959e-02	4.62457768342148190e-01	1.54152589447382726e+00	5	48	96	-1.56250000000000000e-01	1.56250000000000000e-01	-4.06250000000000000e-01	29	2	25
4.02043556679267944e+00	975	curl_constraint	5.83734027393870036e-01	4.87139289628746752e-01	1.62379763209582251e+00	5	67	135	4.68750000000000000e-01	-9.37500000000000000e-02	9.37500000000000000e-02	7	30	1
4.02043556679267944e+00	975	source_curvature	1.77061807107733031e+01	5.18222623493031276e-01	1.72740874497677099e+00	5	41	83	1.56250000000000000e-01	-2.81250000000000000e-01	-4.06250000000000000e-01	2	27	25
4.02043556679267944e+00	975	source_QQ	4.38177023030593702e+01	4.70828724166230117e-01	1.56942908055410046e+00	5	80	161	3.43750000000000000e-01	1.56250000000000000e-01	2.81250000000000000e-01	5	2	4
4.02043556679267944e+00	975	source_DeltaDelta	1.87865697375147072e+01	4.70828724166230117e-01	1.56942908055410046e+00	5	61	122	-3.43750000000000000e-01	-1.56250000000000000e-01	2.81250000000000000e-01	26	29	4
4.02043556679267944e+00	975	source_damping	0.00000000000000000e+00	4.13527130307069442e+01	1.37842376769023161e+02	3	0	0	-2.38750000000000000e+01	-2.38750000000000000e+01	-2.38750000000000000e+01	0	0	0
4.02043556679267944e+00	975	source_frame_correction	5.38479580025868909e+00	4.70828724166230117e-01	1.56942908055410046e+00	5	48	96	-3.12500000000000000e-02	4.68750000000000000e-01	-3.12500000000000000e-02	31	7	31
4.02043556679267944e+00	975	Psi_RHS_Linf	2.66163081129208301e+00	4.70828724166230117e-01	1.56942908055410046e+00	5	35	70	-3.12500000000000000e-02	-4.68750000000000000e-01	-3.12500000000000000e-02	31	24	31
4.02043556679267944e+00	975	Pi_RHS_Linf	1.02105304130903516e+01	4.70828724166230117e-01	1.56942908055410046e+00	5	61	122	-3.12500000000000000e-02	-3.12500000000000000e-02	4.68750000000000000e-01	31	31	7
4.02043556679267944e+00	975	Phi_RHS_Linf	6.71749673542534964e+00	5.33085065913499356e-01	1.77695021971166467e+00	5	41	83	3.12500000000000000e-02	-3.12500000000000000e-02	-5.31250000000000000e-01	0	31	23
4.02043556679267944e+00	975	Hhat_RHS_Linf	0.00000000000000000e+00	4.13527130307069442e+01	1.37842376769023161e+02	3	0	0	-2.38750000000000000e+01	-2.38750000000000000e+01	-2.38750000000000000e+01	0	0	0
4.02043556679267944e+00	975	theta_RHS_Linf	0.00000000000000000e+00	4.13527130307069442e+01	1.37842376769023161e+02	3	0	0	-2.38750000000000000e+01	-2.38750000000000000e+01	-2.38750000000000000e+01	0	0	0
4.02043556679267944e+00	975	Upsilon_RHS_Linf	0.00000000000000000e+00	4.13527130307069442e+01	1.37842376769023161e+02	3	0	0	-2.38750000000000000e+01	-2.38750000000000000e+01	-2.38750000000000000e+01	0	0	0
4.02043556679267944e+00	975	chi_beta	9.65748499920272785e-01	5.40363014555955701e-01	1.80121004851985234e+00	5	48	96	-2.81250000000000000e-01	4.06250000000000000e-01	-2.18750000000000000e-01	27	6	28
4.02043556679267944e+00	975	chi_beta_near_r_lt_1	9.65748499920272785e-01	5.40363014555955701e-01	1.80121004851985234e+00	5	48	96	-2.81250000000000000e-01	4.06250000000000000e-01	-2.18750000000000000e-01	27	6	28
4.02043556679267944e+00	975	chi_beta_inner_r_lt_0p5	8.96770401243306536e-01	4.95093109929839348e-01	1.65031036643279783e+00	5	41	83	1.56250000000000000e-01	-4.68750000000000000e-01	-3.12500000000000000e-02	2	24	31
