time	cycle	diagnostic	maximum	radius	r_over_r_core	level	rank	gid	x	y	z	i	j	k
2.02257190176059787e+00	489	reference_Ricci	3.41287755829417438e+00	4.27337322849291990e-01	1.42445774283097326e+00	5	35	70	-1.56250000000000000e-01	-2.81250000000000000e-01	-2.81250000000000000e-01	29	27	27
2.02257190176059787e+00	489	reference_Riemann	4.57157395096441821e+00	4.18096505008114128e-01	1.39365501669371383e+00	5	35	70	-4.06250000000000000e-01	-3.12500000000000000e-02	-9.37500000000000000e-02	25	31	30
2.02257190176059787e+00	489	spin_connection	1.48028220546983391e+00	4.18096505008114128e-01	1.39365501669371383e+00	5	35	70	-9.37500000000000000e-02	-3.12500000000000000e-02	-4.06250000000000000e-01	30	31	25
2.02257190176059787e+00	489	spin_derivative	3.38704509667624709e+00	4.27337322849291990e-01	1.42445774283097326e+00	5	35	70	-9.37500000000000000e-02	-4.06250000000000000e-01	-9.37500000000000000e-02	30	25	30
2.02257190176059787e+00	489	Psi	2.20261670472429083e+00	4.70828724166230117e-01	1.56942908055410046e+00	5	35	70	-3.12500000000000000e-02	-3.12500000000000000e-02	-4.68750000000000000e-01	31	31	24
2.02257190176059787e+00	489	Q	1.88883317386423344e+00	4.45243964024218952e-01	1.48414654674739666e+00	5	48	96	-4.06250000000000000e-01	9.37500000000000000e-02	-1.56250000000000000e-01	25	1	29
2.02257190176059787e+00	489	Delta	1.35970667933223766e+00	4.36382501367779396e-01	1.45460833789259802e+00	5	48	96	-1.56250000000000000e-01	4.06250000000000000e-01	-3.12500000000000000e-02	29	6	31
2.02257190176059787e+00	489	Pi	1.66251288650952045e+00	4.36382501367779396e-01	1.45460833789259802e+00	5	48	96	-1.56250000000000000e-01	4.06250000000000000e-01	-3.12500000000000000e-02	29	6	31
2.02257190176059787e+00	489	Phi	4.01082306942837752e-01	3.89059362437147893e-01	1.29686454145715979e+00	5	74	148	-2.18750000000000000e-01	1.56250000000000000e-01	2.81250000000000000e-01	28	2	4
2.02257190176059787e+00	489	GH_constraint	1.30340210772468840e-02	6.08372572935368283e-01	2.02790857645122768e+00	5	74	148	-5.93750000000000000e-01	9.37500000000000000e-02	9.37500000000000000e-02	22	1	1
2.02257190176059787e+00	489	reduction_constraint	1.16134318092983883e-03	4.70828724166230117e-01	1.56942908055410046e+00	5	48	96	-3.12500000000000000e-02	4.68750000000000000e-01	-3.12500000000000000e-02	31	7	31
2.02257190176059787e+00	489	curl_constraint	2.37017798426358769e-02	3.68432066329737351e-01	1.22810688776579124e+00	5	48	96	-9.37500000000000000e-02	9.37500000000000000e-02	-3.43750000000000000e-01	30	1	26
2.02257190176059787e+00	489	source_curvature	6.94341933840489123e+00	4.27337322849291990e-01	1.42445774283097326e+00	5	35	70	-9.37500000000000000e-02	-9.37500000000000000e-02	-4.06250000000000000e-01	30	30	25
2.02257190176059787e+00	489	source_QQ	3.52742974746752669e+00	4.45243964024218952e-01	1.48414654674739666e+00	5	74	148	-1.56250000000000000e-01	4.06250000000000000e-01	9.37500000000000000e-02	29	6	1
2.02257190176059787e+00	489	source_DeltaDelta	1.81057971275069707e+00	4.36382501367779396e-01	1.45460833789259802e+00	5	54	109	1.56250000000000000e-01	3.12500000000000000e-02	-4.06250000000000000e-01	2	0	25
2.02257190176059787e+00	489	source_damping	0.00000000000000000e+00	4.13527130307069442e+01	1.37842376769023161e+02	3	0	0	-2.38750000000000000e+01	-2.38750000000000000e+01	-2.38750000000000000e+01	0	0	0
2.02257190176059787e+00	489	source_frame_correction	4.22817392174955009e-01	3.35118915461362743e-01	1.11706305153787588e+00	5	54	109	2.81250000000000000e-01	9.37500000000000000e-02	-1.56250000000000000e-01	4	1	29
2.02257190176059787e+00	489	Psi_RHS_Linf	3.11428964087288596e-01	4.70828724166230117e-01	1.56942908055410046e+00	5	35	70	-4.68750000000000000e-01	-3.12500000000000000e-02	-3.12500000000000000e-02	24	31	31
2.02257190176059787e+00	489	Pi_RHS_Linf	1.25210717743012423e+00	4.08646775956938157e-01	1.36215591985646056e+00	5	74	148	-3.12500000000000000e-02	3.12500000000000000e-02	4.06250000000000000e-01	31	0	6
2.02257190176059787e+00	489	Phi_RHS_Linf	4.27350118746550656e-01	5.33085065913499356e-01	1.77695021971166467e+00	5	41	83	5.31250000000000000e-01	-3.12500000000000000e-02	-3.12500000000000000e-02	8	31	31
2.02257190176059787e+00	489	Hhat_RHS_Linf	0.00000000000000000e+00	4.13527130307069442e+01	1.37842376769023161e+02	3	0	0	-2.38750000000000000e+01	-2.38750000000000000e+01	-2.38750000000000000e+01	0	0	0
