time	cycle	diagnostic	maximum	radius	r_over_r_core	level	rank	gid	x	y	z	i	j	k
0.00000000000000000e+00	0	reference_Ricci	6.08194173724915021e-01	2.52590742770461396e-01	8.41969142568204654e-01	3	3	7	-2.08333333333332593e-02	-1.04166666666666741e-01	-2.29166666666666741e-01	47	45	42
0.00000000000000000e+00	0	reference_Riemann	8.71055829930838965e-01	2.15501675683095889e-01	7.18338918943652982e-01	3	3	9	-1.87500000000000000e-01	2.08333333333333322e-02	-1.04166666666666741e-01	43	0	45
0.00000000000000000e+00	0	spin_connection	1.45149799156521442e+00	2.52590742770461396e-01	8.41969142568204654e-01	3	4	11	-1.04166666666666741e-01	-2.29166666666666741e-01	2.08333333333333322e-02	45	42	0
0.00000000000000000e+00	0	spin_derivative	9.69826156107839510e-01	3.60242009703970412e-01	1.20080669901323467e+00	3	3	7	-2.70833333333333259e-01	-1.45833333333333259e-01	-1.87500000000000000e-01	41	44	43
0.00000000000000000e+00	0	Psi	2.00000000000000000e+00	1.03201360617645594e+01	3.44004535392151993e+01	2	0	0	-5.95833333333333304e+00	-5.95833333333333304e+00	-5.95833333333333304e+00	0	0	0
0.00000000000000000e+00	0	Q	0.00000000000000000e+00	1.03201360617645594e+01	3.44004535392151993e+01	2	0	0	-5.95833333333333304e+00	-5.95833333333333304e+00	-5.95833333333333304e+00	0	0	0
0.00000000000000000e+00	0	Delta	0.00000000000000000e+00	1.03201360617645594e+01	3.44004535392151993e+01	2	0	0	-5.95833333333333304e+00	-5.95833333333333304e+00	-5.95833333333333304e+00	0	0	0
0.00000000000000000e+00	0	Pi	0.00000000000000000e+00	1.03201360617645594e+01	3.44004535392151993e+01	2	0	0	-5.95833333333333304e+00	-5.95833333333333304e+00	-5.95833333333333304e+00	0	0	0
0.00000000000000000e+00	0	Phi	0.00000000000000000e+00	1.03201360617645594e+01	3.44004535392151993e+01	2	0	0	-5.95833333333333304e+00	-5.95833333333333304e+00	-5.95833333333333304e+00	0	0	0
0.00000000000000000e+00	0	GH_constraint	0.00000000000000000e+00	1.03201360617645594e+01	3.44004535392151993e+01	2	0	0	-5.95833333333333304e+00	-5.95833333333333304e+00	-5.95833333333333304e+00	0	0	0
0.00000000000000000e+00	0	reduction_constraint	0.00000000000000000e+00	1.03201360617645594e+01	3.44004535392151993e+01	2	0	0	-5.95833333333333304e+00	-5.95833333333333304e+00	-5.95833333333333304e+00	0	0	0
0.00000000000000000e+00	0	curl_constraint	0.00000000000000000e+00	1.03201360617645594e+01	3.44004535392151993e+01	2	0	0	-5.95833333333333304e+00	-5.95833333333333304e+00	-5.95833333333333304e+00	0	0	0
0.00000000000000000e+00	0	source_curvature	1.21638834744983004e+00	2.52590742770461396e-01	8.41969142568204654e-01	3	3	7	-2.08333333333332593e-02	-1.04166666666666741e-01	-2.29166666666666741e-01	47	45	42
0.00000000000000000e+00	0	source_QQ	0.00000000000000000e+00	1.03201360617645594e+01	3.44004535392151993e+01	2	0	0	-5.95833333333333304e+00	-5.95833333333333304e+00	-5.95833333333333304e+00	0	0	0
0.00000000000000000e+00	0	source_DeltaDelta	0.00000000000000000e+00	1.03201360617645594e+01	3.44004535392151993e+01	2	0	0	-5.95833333333333304e+00	-5.95833333333333304e+00	-5.95833333333333304e+00	0	0	0
0.00000000000000000e+00	0	source_damping	0.00000000000000000e+00	1.03201360617645594e+01	3.44004535392151993e+01	2	0	0	-5.95833333333333304e+00	-5.95833333333333304e+00	-5.95833333333333304e+00	0	0	0
0.00000000000000000e+00	0	source_frame_correction	0.00000000000000000e+00	1.03201360617645594e+01	3.44004535392151993e+01	2	0	0	-5.95833333333333304e+00	-5.95833333333333304e+00	-5.95833333333333304e+00	0	0	0
0.00000000000000000e+00	0	Psi_RHS_Linf	0.00000000000000000e+00	1.03201360617645594e+01	3.44004535392151993e+01	2	0	0	-5.95833333333333304e+00	-5.95833333333333304e+00	-5.95833333333333304e+00	0	0	0
0.00000000000000000e+00	0	Pi_RHS_Linf	0.00000000000000000e+00	1.03201360617645594e+01	3.44004535392151993e+01	2	0	0	-5.95833333333333304e+00	-5.95833333333333304e+00	-5.95833333333333304e+00	0	0	0
0.00000000000000000e+00	0	Phi_RHS_Linf	0.00000000000000000e+00	1.03201360617645594e+01	3.44004535392151993e+01	2	0	0	-5.95833333333333304e+00	-5.95833333333333304e+00	-5.95833333333333304e+00	0	0	0
0.00000000000000000e+00	0	Hhat_RHS_Linf	0.00000000000000000e+00	1.03201360617645594e+01	3.44004535392151993e+01	2	0	0	-5.95833333333333304e+00	-5.95833333333333304e+00	-5.95833333333333304e+00	0	0	0
0.00000000000000000e+00	0	theta_RHS_Linf	0.00000000000000000e+00	1.03201360617645594e+01	3.44004535392151993e+01	2	0	0	-5.95833333333333304e+00	-5.95833333333333304e+00	-5.95833333333333304e+00	0	0	0
0.00000000000000000e+00	0	Upsilon_RHS_Linf	0.00000000000000000e+00	1.03201360617645594e+01	3.44004535392151993e+01	2	0	0	-5.95833333333333304e+00	-5.95833333333333304e+00	-5.95833333333333304e+00	0	0	0
0.00000000000000000e+00	0	chi_beta	0.00000000000000000e+00	1.03201360617645594e+01	3.44004535392151993e+01	2	0	0	-5.95833333333333304e+00	-5.95833333333333304e+00	-5.95833333333333304e+00	0	0	0
0.00000000000000000e+00	0	chi_beta_near_r_lt_1	0.00000000000000000e+00	1.03201360617645594e+01	3.44004535392151993e+01	2	0	0	-5.95833333333333304e+00	-5.95833333333333304e+00	-5.95833333333333304e+00	0	0	0
0.00000000000000000e+00	0	chi_beta_inner_r_lt_0p5	0.00000000000000000e+00	1.03201360617645594e+01	3.44004535392151993e+01	2	0	0	-5.95833333333333304e+00	-5.95833333333333304e+00	-5.95833333333333304e+00	0	0	0
0.00000000000000000e+00	0	chi_beta_annulus_0p5_1	0.00000000000000000e+00	1.03201360617645594e+01	3.44004535392151993e+01	2	0	0	-5.95833333333333304e+00	-5.95833333333333304e+00	-5.95833333333333304e+00	0	0	0
0.00000000000000000e+00	0	chi_beta_annulus_1_1p5	0.00000000000000000e+00	1.03201360617645594e+01	3.44004535392151993e+01	2	0	0	-5.95833333333333304e+00	-5.95833333333333304e+00	-5.95833333333333304e+00	0	0	0
0.00000000000000000e+00	0	chi_beta_annulus_1p5_2	0.00000000000000000e+00	1.03201360617645594e+01	3.44004535392151993e+01	2	0	0	-5.95833333333333304e+00	-5.95833333333333304e+00	-5.95833333333333304e+00	0	0	0
0.00000000000000000e+00	0	chi_beta_outer_r_ge_2	0.00000000000000000e+00	1.03201360617645594e+01	3.44004535392151993e+01	2	0	0	-5.95833333333333304e+00	-5.95833333333333304e+00	-5.95833333333333304e+00	0	0	0
0.00000000000000000e+00	0	chi_beta_first_ge_1	0.00000000000000000e+00	inf	0.00000000000000000e+00	0	0	0	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0	0	0
2.15492193940607923e-02	6	reference_Ricci	6.08194173724915021e-01	2.52590742770461396e-01	8.54152297375487812e-01	3	3	7	-2.08333333333332593e-02	-1.04166666666666741e-01	-2.29166666666666741e-01	47	45	42
2.15492193940607923e-02	6	reference_Riemann	8.71055829930838965e-01	2.15501675683095889e-01	7.28733164778948561e-01	3	3	9	-1.87500000000000000e-01	2.08333333333333322e-02	-1.04166666666666741e-01	43	0	45
2.15492193940607923e-02	6	spin_connection	1.45149799156521442e+00	2.52590742770461396e-01	8.54152297375487812e-01	3	4	11	-1.04166666666666741e-01	-2.29166666666666741e-01	2.08333333333333322e-02	45	42	0
2.15492193940607923e-02	6	spin_derivative	9.70664603498909595e-01	3.65029488915317391e-01	1.23437135164590894e+00	3	3	7	-6.25000000000000000e-02	-6.25000000000000000e-02	-3.54166666666666741e-01	46	46	39
2.15492193940607923e-02	6	Psi	2.00000527377229131e+00	6.32935730456804735e-01	2.14031402073985344e+00	3	3	7	-2.08333333333332593e-02	-1.87500000000000000e-01	-6.04166666666666741e-01	47	43	33
2.15492193940607923e-02	6	Q	4.99298563065485486e-03	4.97825131056188364e-01	1.68342859567624159e+00	3	3	9	-3.12500000000000000e-01	2.29166666666666657e-01	-3.12500000000000000e-01	40	5	40
2.15492193940607923e-02	6	Delta	4.07700254457021849e-03	4.97825131056188419e-01	1.68342859567624181e+00	3	3	7	-3.12500000000000000e-01	-3.12500000000000000e-01	-2.29166666666666741e-01	40	40	42
