kernel	calls	total_seconds	average_seconds	percent
ref_gh scalar source and pi rhs	81	5.854910456	0.0722828451358	45.6289543382
ref_gh stationary trumpet data	1	1.806497396	1.806497396	14.0785393412
ref_gh stationary trumpet error	1	1.566031976	1.566031976	12.204525084
ref_gh stationary reference Ricci	1	0.775243694	0.775243694	6.04169088159
ref_gh stationary frame reference audits	1	0.773828307	0.773828307	6.03066037493
ref_gh stationary trumpet fixed-radius field error	3	0.551981292	0.183993764	4.301744554
ref_gh projected trumpet metric boundaries	81	0.545136972	0.00673008607407	4.24840485442
ref_gh psi rhs	81	0.369865018	0.00456623479012	2.88246150722
ref_gh flat constraints	2	0.116103208	0.058051604	0.904824764814
ref_gh dissipation	81	0.099470569	0.00122803171605	0.775201958255
ref_gh to ADM	1	0.080192593	0.080192593	0.624963300764
ref_gh dt	21	0.056784695	0.00270403309524	0.442539006316
ref_gh RK update	80	0.053148203	0.0006643525375	0.414198807321
ref_gh compact current-q reduction	80	0.042248026	0.000528100325	0.329250680044
ref_gh compatible phi rhs	81	0.034040342	0.000420251135802	0.265285903593
ref_gh analytic radial-q static reference	1	0.031584089	0.031584089	0.246143637145
ref_gh rk4 base	60	0.03103222	0.000517203666667	0.241842767714
ref_gh minimum puncture radius	1	0.01635849	0.01635849	0.127486286744
SendBuff	162	0.010666888	6.58449876543e-05	0.0831300408675
RecvBuff	162	0.009129674	5.63560123457e-05	0.0711501023286
ref_gh analytic radial-q stage reference	81	0.003347708	4.13297283951e-05	0.0260896245327
ref_gh stationary fixed-radius initial RHS	3	0.001060127	0.000353375666667	0.00826186614454
Kokkos::View::initialization [] via memset	107	0.000911117	8.51511214953e-06	0.00710058954825
ref_gh stationary initial RHS	1	0.000413585	0.000413585	0.00322318355196
Kokkos::View::initialization [ref_gh reference table_mirror] via memset	1	0.000405715	0.000405715	0.00316185044134
Kokkos::View::initialization [u_rhs ref_gh] via memset	2	0.000163276	8.1638e-05	0.00127245552336
Kokkos::View::initialization [u1 ref_gh] via memset	2	0.000161229	8.06145e-05	0.00125650267998
ref_gh stationary trumpet fixed-radius constraints	3	0.000149818	4.99393333333e-05	0.00116757356623
Kokkos::View::initialization [mb_gid] via memset	1	0.000110163	0.000110163	0.000858531062864
ref_gh stationary trumpet constraints	1	0.000102554	0.000102554	0.000799231998229
Kokkos::View::initialization [u0 ref_gh] via memset	2	9.461e-05	4.7305e-05	0.000737322184922
ref_gh cache metric condition	1	5.6503e-05	5.6503e-05	0.000440343678413
Kokkos::View::initialization [u_con ref_gh] via memset	2	5.0962e-05	2.5481e-05	0.000397161116034
Kokkos::View::initialization [u_adm] via memset	2	3.6421e-05	1.82105e-05	0.000283839037068
Kokkos::View::initialization [ref_gh q sample weights] via memset	1	1.9517e-05	1.9517e-05	0.000152101438359
Kokkos::View::initialization [u_common_adm_constraints] via memset	2	1.9375e-05	9.6875e-06	0.000150994792653
Kokkos::View::initialization [ru] via memset	1	1.9127e-05	1.9127e-05	0.000149062059307
Kokkos::View::initialization [uin] via memset	2	1.837e-05	9.185e-06	0.000143162546634
Kokkos::View::initialization [ref_gh reference table] via memset	2	1.7101e-05	8.5505e-06	0.000133272874795
Kokkos::View::initialization [recv_agg_offset] via memset	2	1.6864e-05	8.432e-06	0.000131425867525
Kokkos::View::initialization [bin] via memset	2	1.4559e-05	7.2795e-06	0.000113462357999
Kokkos::View::initialization [send_agg_offset] via memset	2	1.3842e-05	6.921e-06	0.000107874576511
Kokkos::View::initialization [iin] via memset	2	1.3271e-05	6.6355e-06	0.000103424613847
Kokkos::View::initialization [mbsize] via memset	1	1.1527e-05	1.1527e-05	8.98331341887e-05
Kokkos::View::initialization [mb_lev] via memset	1	1.0075e-05	1.0075e-05	7.85172921794e-05
Kokkos::View::initialization [excision_floor] via memset	1	9.959e-06	9.959e-06	7.76132717433e-05
Kokkos::View::initialization [ref_gh q sample cells] via memset	1	9.278e-06	9.278e-06	7.23060483216e-05
Kokkos::View::initialization [excision_flux] via memset	1	9.26e-06	9.26e-06	7.21657692884e-05
Kokkos::View::initialization [mbbcs] via memset	1	9.12e-06	9.12e-06	7.10747101415e-05
Kokkos::View::initialization [rank_recvbuf_vars] via memset	1	7.298e-06	7.298e-06	5.68753546724e-05
Kokkos::View::initialization [rank_sendbuf_vars] via memset	1	7.157e-06	7.157e-06	5.57765022459e-05
