kernel	calls	total_seconds	average_seconds	percent
z4c rhs loop	80	0.566967241	0.0070870905125	76.2348653418
ADM constraints loop	21	0.061097535	0.00290940642857	8.21522306161
K-O Dissipation	80	0.035537056	0.0004442132	4.77834076273
z4c RK update	80	0.016610147	0.0002076268375	2.23341355246
z4crhs_bc_x1	81	0.01033547	0.000127598395062	1.38971550156
CopyCons	60	0.009809551	0.000163492516667	1.31900001529
SendBuff	162	0.007624878	4.70671481481e-05	1.02524714929
RecvBuff	162	0.00637543	3.93545061728e-05	0.857245379272
z4cbc_x1	81	0.006293112	7.76927407407e-05	0.84617683564
initialize z4c fields	22	0.00556063	0.000252755909091	0.7476867244
z4crhs_bc_x2	81	0.003973285	4.90529012346e-05	0.534251055502
z4crhs_bc_x3	81	0.003866447	4.77339135802e-05	0.519885533203
Alg constr loop	21	0.001994155	9.49597619048e-05	0.268135664465
Z4c dt	21	0.001542254	7.34406666667e-05	0.20737269724
Kokkos::View::initialization [] via memset	209	0.00154113	7.3738277512e-06	0.207221563308
z4cbc_x2	81	0.001393713	1.72063333333e-05	0.187399756453
z4cbc_x3	81	0.001343077	1.65811975309e-05	0.180591199693
pgen one puncture	1	0.000761262	0.000761262	0.102359892888
GaugePreCollapsedLapse	1	0.000398847	0.000398847	0.0536292842658
initialize Gamma	1	8.9808e-05	8.9808e-05	0.0120756549788
invert z4c metric	1	5.7129e-05	5.7129e-05	0.00768161069488
Kokkos::View::initialization [mb_gid] via memset	1	5.2037e-05	5.2037e-05	0.00699693633232
Kokkos::View::initialization [u_rhs z4c] via memset	2	4.5909e-05	2.29545e-05	0.00617296058729
Kokkos::View::initialization [u1 z4c] via memset	2	4.2774e-05	2.1387e-05	0.0057514259984
Kokkos::View::initialization [u0 z4c] via memset	2	3.9726e-05	1.9863e-05	0.00534158949859
Kokkos::View::initialization [uin] via memset	4	3.2081e-05	8.02025e-06	0.0043136367292
Kokkos::View::initialization [u_adm] via memset	2	3.0474e-05	1.5237e-05	0.0040975582334
Kokkos::View::initialization [bin] via memset	4	2.7646e-05	6.9115e-06	0.00371730310824
Kokkos::View::initialization [iin] via memset	4	2.7383e-05	6.84575e-06	0.00368193991944
Kokkos::View::initialization [g_uu] via memset	1	2.4855e-05	2.4855e-05	0.00334202303246
Kokkos::View::initialization [u_con] via memset	2	2.4375e-05	1.21875e-05	0.00327748185138
Kokkos::View::initialization [recv_agg_offset] via memset	3	2.3299e-05	7.76633333333e-06	0.00313280203714
Kokkos::View::initialization [send_agg_offset] via memset	3	2.029e-05	6.76333333333e-06	0.00272820950829
Kokkos::View::initialization [u_weyl] via memset	2	1.8412e-05	9.206e-06	0.00247569213734
Kokkos::View::initialization [u_common_adm_constraints] via memset	2	1.8334e-05	9.167e-06	0.00246520419542
Kokkos::View::initialization [ru] via memset	1	1.4805e-05	1.4805e-05	0.00199069205373
Kokkos::View::initialization [rank_sendbuf_vars] via memset	2	1.4508e-05	7.254e-06	0.00195075719794
Kokkos::View::initialization [rank_recvbuf_vars] via memset	2	1.4049e-05	7.0245e-06	0.00188903969354
Kokkos::View::initialization [mb_lev] via memset	1	8.672e-06	8.672e-06	0.00116604400473
Kokkos::View::initialization [excision_floor] via memset	1	8.342e-06	8.342e-06	0.00112167194274
Kokkos::View::initialization [mbsize] via memset	1	8.165e-06	8.165e-06	0.00109787238222
Kokkos::View::initialization [excision_flux] via memset	1	7.786e-06	7.786e-06	0.00104691174133
Kokkos::View::initialization [mbbcs] via memset	1	7.515e-06	7.515e-06	0.00101047286618
Kokkos::View::initialization [coarse u0 z4c] via memset	1	7.281e-06	7.281e-06	0.000979009040407
Kokkos::View::initialization [coarse_u_weyl] via memset	1	7.226e-06	7.226e-06	0.000971613696742
Kokkos::View::initialization [DualView::modified_flags] via memset	11	4.623e-06	4.20272727273e-07	0.000621612250213
Kokkos::View::initialization [uin_mirror] via memset	4	1.396e-06	3.49e-07	0.000187707268288
Kokkos::View::initialization [bin_mirror] via memset	4	1.345e-06	3.3625e-07	0.000180849767799
Kokkos::View::initialization [iin_mirror] via memset	4	1.156e-06	2.89e-07	0.000155436677752
Kokkos::View::initialization [rank_sendhdr_vars] via memset	2	7.55e-07	3.775e-07	0.000101517899397
Kokkos::View::initialization [recv_agg_offset_mirror] via memset	1	6.19e-07	6.19e-07	8.32312314259e-05
Kokkos::View::initialization [rank_recvhdr_vars] via memset	2	5.96e-07	2.98e-07	8.01386331661e-05
Kokkos::View::initialization [mbbcs_mirror] via memset	1	5.39e-07	5.39e-07	7.24743679137e-05
Kokkos::View::initialization [mbsize_mirror] via memset	1	5.09e-07	5.09e-07	6.84405440966e-05
Kokkos::View::initialization [mb_gid_mirror] via memset	1	5.07e-07	5.07e-07	6.81716225088e-05
Kokkos::View::initialization [_mirror] via memset	1	4.78e-07	4.78e-07	6.42722594856e-05
Kokkos::View::initialization [mb_lev_mirror] via memset	1	3.01e-07	3.01e-07	4.04726989648e-05
Kokkos::View::initialization [send_agg_offset_mirror] via memset	1	2.87e-07	2.87e-07	3.85902478501e-05
