arm,state,measure,family,region,integral,volume,cell_count,max_magnitude,max_rho,max_z,nonfinite_count,negative_squared_count,rms
high_order,T0,proper_ring,C,AXIS_OR_PHYSICAL_BOUNDARY,0.0,0.0,0,,,,0,0,
high_order,T0,proper_ring,C,COARSE_FINE_INTERFACE,0.0733757399144644,176.9069296385536,2720,0.49348297164094895,5.0546875,-0.0390625,0,22,0.020365910191876186
high_order,T0,proper_ring,C,MESHBLOCK_EDGE_OR_CORNER,0.6159181090110109,308.08763858909987,4448,1.1700843738538842,5.1171875,0.0390625,0,27,0.0447120260772349
high_order,T0,proper_ring,C,INTERIOR,0.09682712198679069,623.8743627180932,9216,0.598171510487167,5.1171875,0.0703125,0,33,0.012458046343039418
high_order,T0,proper_ring,C,GLOBAL,0.7861209709122651,1108.8689309457443,16384,1.1700843738538842,5.1171875,0.0390625,0,82,0.026625917578017026
high_order,T0,proper_ring,H,AXIS_OR_PHYSICAL_BOUNDARY,0.0,0.0,0,,,,0,0,
high_order,T0,proper_ring,H,COARSE_FINE_INTERFACE,0.019394517497817888,176.9069296385536,2720,0.2764056230552716,5.0390625,-0.0546875,0,0,0.01047049146868175
high_order,T0,proper_ring,H,MESHBLOCK_EDGE_OR_CORNER,0.26645924956501427,308.08763858909987,4448,0.9783363884037645,5.1171875,0.0546875,0,0,0.02940886498252929
high_order,T0,proper_ring,H,INTERIOR,0.012384290581921023,623.8743627180932,9216,0.23452806037944812,5.1328125,-0.0859375,0,0,0.004455403043618089
high_order,T0,proper_ring,H,GLOBAL,0.29823805764475314,1108.8689309457443,16384,0.9783363884037645,5.1171875,0.0546875,0,0,0.016399908442418967
high_order,T0,proper_ring,M,AXIS_OR_PHYSICAL_BOUNDARY,0.0,0.0,0,,,,0,0,
high_order,T0,proper_ring,M,COARSE_FINE_INTERFACE,0.04425584849214115,176.9069296385536,2720,0.41742439502372786,5.0546875,-0.0234375,0,106,0.015816592053382407
high_order,T0,proper_ring,M,MESHBLOCK_EDGE_OR_CORNER,0.21406792504656813,308.08763858909987,4448,0.5736902967141573,5.1015625,0.0390625,0,142,0.026359590734640417
high_order,T0,proper_ring,M,INTERIOR,0.058582092055178406,623.8743627180932,9216,0.3461504175752925,5.0859375,0.0703125,0,324,0.009690225171220545
high_order,T0,proper_ring,M,GLOBAL,0.31690586559388945,1108.8689309457443,16384,0.5736902967141573,5.1015625,0.0390625,0,572,0.016905383653316095
high_order,T0,coordinate_ring,C,AXIS_OR_PHYSICAL_BOUNDARY,0.0,0.0,0,,,,0,0,
high_order,T0,coordinate_ring,C,COARSE_FINE_INTERFACE,0.031117348543360596,67.31107697242255,2720,0.49348297164094895,5.0546875,-0.0390625,0,22,0.021500968481435505
high_order,T0,coordinate_ring,C,MESHBLOCK_EDGE_OR_CORNER,0.26583742394371,116.86479234427973,4448,1.1700843738538842,5.1171875,0.0390625,0,27,0.047694270891450556
high_order,T0,coordinate_ring,C,INTERIOR,0.0409784978523482,236.79754626433163,9216,0.598171510487167,5.1171875,0.0703125,0,33,0.013154956559705654
high_order,T0,coordinate_ring,C,GLOBAL,0.33793327033942294,420.9734155810335,16384,1.1700843738538842,5.1171875,0.0390625,0,82,0.028332711543881357
high_order,T0,coordinate_ring,H,AXIS_OR_PHYSICAL_BOUNDARY,0.0,0.0,0,,,,0,0,
high_order,T0,coordinate_ring,H,COARSE_FINE_INTERFACE,0.00823062782652461,67.31107697242255,2720,0.2764056230552716,5.0390625,-0.0546875,0,0,0.01105791411267789
high_order,T0,coordinate_ring,H,MESHBLOCK_EDGE_OR_CORNER,0.11517875358464032,116.86479234427973,4448,0.9783363884037645,5.1171875,0.0546875,0,0,0.03139383283172268
high_order,T0,coordinate_ring,H,INTERIOR,0.005217072719881966,236.79754626433163,9216,0.23452806037944812,5.1328125,-0.0859375,0,0,0.004693802870675893
high_order,T0,coordinate_ring,H,GLOBAL,0.12862645413104604,420.9734155810335,16384,0.9783363884037645,5.1171875,0.0546875,0,0,0.017479854497216604
high_order,T0,coordinate_ring,M,AXIS_OR_PHYSICAL_BOUNDARY,0.0,0.0,0,,,,0,0,
high_order,T0,coordinate_ring,M,COARSE_FINE_INTERFACE,0.01880847240885114,67.31107697242255,2720,0.41742439502372786,5.0546875,-0.0234375,0,106,0.01671604349589145
high_order,T0,coordinate_ring,M,MESHBLOCK_EDGE_OR_CORNER,0.09210133162563719,116.86479234427973,4448,0.5736902967141573,5.1015625,0.0390625,0,142,0.02807314758560959
high_order,T0,coordinate_ring,M,INTERIOR,0.024825609283046248,236.79754626433163,9216,0.3461504175752925,5.0859375,0.0703125,0,324,0.010239089968715892
high_order,T0,coordinate_ring,M,GLOBAL,0.13573541331753458,420.9734155810335,16384,0.5736902967141573,5.1015625,0.0390625,0,572,0.017956399093071455
high_order,T5,proper_ring,C,AXIS_OR_PHYSICAL_BOUNDARY,0.0,0.0,0,,,,0,0,
high_order,T5,proper_ring,C,COARSE_FINE_INTERFACE,5.355981804021623,176.90692962724853,2720,5.621077840675188,5.0546875,-0.0078125,0,0,0.17399914888844534
high_order,T5,proper_ring,C,MESHBLOCK_EDGE_OR_CORNER,54.78882864756709,308.0876379294228,4448,12.249057943824583,5.1328125,-0.0078125,0,0,0.4217051176986251
high_order,T5,proper_ring,C,INTERIOR,14.712518186668321,623.8743627289833,9216,5.050010412269836,5.1328125,-0.0859375,0,0,0.1535659521090071
high_order,T5,proper_ring,C,GLOBAL,74.85732863825753,1108.868930285652,16384,12.249057943824583,5.1328125,-0.0078125,0,0,0.2598226780868372
high_order,T5,proper_ring,H,AXIS_OR_PHYSICAL_BOUNDARY,0.0,0.0,0,,,,0,0,
high_order,T5,proper_ring,H,COARSE_FINE_INTERFACE,0.4242093095121811,176.90692962724853,2720,2.3568921015754363,5.0546875,-0.0078125,0,0,0.04896859856040157
high_order,T5,proper_ring,H,MESHBLOCK_EDGE_OR_CORNER,12.10164597699102,308.0876379294228,4448,9.025836895618998,5.1328125,0.0078125,0,0,0.19819152786918195
high_order,T5,proper_ring,H,INTERIOR,0.1846984252916562,623.8743627289833,9216,1.130605549841443,5.1015625,0.0703125,0,0,0.017206123140970715
high_order,T5,proper_ring,H,GLOBAL,12.710553711794805,1108.868930285652,16384,9.025836895618998,5.1328125,0.0078125,0,0,0.10706367030828855
high_order,T5,proper_ring,M,AXIS_OR_PHYSICAL_BOUNDARY,0.0,0.0,0,,,,0,0,
high_order,T5,proper_ring,M,COARSE_FINE_INTERFACE,4.929129673098901,176.90692962724853,2720,5.102527585626591,5.0546875,-0.0078125,0,0,0.1669216616238079
high_order,T5,proper_ring,M,MESHBLOCK_EDGE_OR_CORNER,42.61975191118754,308.0876379294228,4448,10.283351203099992,5.0703125,-0.0078125,0,0,0.37193609103413766
high_order,T5,proper_ring,M,INTERIOR,14.51129508300608,623.8743627289833,9216,5.023183366188403,5.1328125,-0.0859375,0,0,0.1525121758557743
high_order,T5,proper_ring,M,GLOBAL,62.06017666729245,1108.868930285652,16384,10.283351203099992,5.0703125,-0.0078125,0,0,0.23657366404611893
high_order,T5,coordinate_ring,C,AXIS_OR_PHYSICAL_BOUNDARY,0.0,0.0,0,,,,0,0,
high_order,T5,coordinate_ring,C,COARSE_FINE_INTERFACE,2.2769394636266354,67.31107697242255,2720,5.621077840675188,5.0546875,-0.0078125,0,0,0.18392148825731458
high_order,T5,coordinate_ring,C,MESHBLOCK_EDGE_OR_CORNER,23.719189469573305,116.86479234427973,4448,12.249057943824583,5.1328125,-0.0078125,0,0,0.4505137767460178
high_order,T5,coordinate_ring,C,INTERIOR,6.243418687710275,236.79754626433163,9216,5.050010412269836,5.1328125,-0.0859375,0,0,0.16237629624994968
high_order,T5,coordinate_ring,C,GLOBAL,32.23954762091062,420.9734155810335,16384,12.249057943824583,5.1328125,-0.0078125,0,0,0.276736939772312
high_order,T5,coordinate_ring,H,AXIS_OR_PHYSICAL_BOUNDARY,0.0,0.0,0,,,,0,0,
high_order,T5,coordinate_ring,H,COARSE_FINE_INTERFACE,0.18118548464765874,67.31107697242255,2720,2.3568921015754363,5.0546875,-0.0078125,0,0,0.05188220571485749
high_order,T5,coordinate_ring,H,MESHBLOCK_EDGE_OR_CORNER,5.273686899257887,116.86479234427973,4448,9.025836895618998,5.1328125,0.0078125,0,0,0.21242974370976642
high_order,T5,coordinate_ring,H,INTERIOR,0.07858731791515254,236.79754626433163,9216,1.130605549841443,5.1015625,0.0703125,0,0,0.018217452030631996
high_order,T5,coordinate_ring,H,GLOBAL,5.5334597018207115,420.9734155810335,16384,9.025836895618998,5.1328125,0.0078125,0,0,0.11464920305159866
high_order,T5,coordinate_ring,M,AXIS_OR_PHYSICAL_BOUNDARY,0.0,0.0,0,,,,0,0,
high_order,T5,coordinate_ring,M,COARSE_FINE_INTERFACE,2.0946831341613708,67.31107697242255,2720,5.102527585626591,5.0546875,-0.0078125,0,0,0.17640703409590983
high_order,T5,coordinate_ring,M,MESHBLOCK_EDGE_OR_CORNER,18.4163258629392,116.86479234427973,4448,10.283351203099992,5.0703125,-0.0078125,0,0,0.39697179363690743
high_order,T5,coordinate_ring,M,INTERIOR,6.157915635350757,236.79754626433163,9216,5.023183366188403,5.1328125,-0.0859375,0,0,0.1612605989170621
high_order,T5,coordinate_ring,M,GLOBAL,26.66892463245141,420.9734155810335,16384,10.283351203099992,5.0703125,-0.0078125,0,0,0.2516954800144394
limited_o2,T0,proper_ring,C,AXIS_OR_PHYSICAL_BOUNDARY,0.0,0.0,0,,,,0,0,
limited_o2,T0,proper_ring,C,COARSE_FINE_INTERFACE,0.0733757399144644,176.9069296385536,2720,0.49348297164094895,5.0546875,-0.0390625,0,22,0.020365910191876186
limited_o2,T0,proper_ring,C,MESHBLOCK_EDGE_OR_CORNER,0.6159181090110109,308.08763858909987,4448,1.1700843738538842,5.1171875,0.0390625,0,27,0.0447120260772349
limited_o2,T0,proper_ring,C,INTERIOR,0.09682712198679069,623.8743627180932,9216,0.598171510487167,5.1171875,0.0703125,0,33,0.012458046343039418
