gid,i,j,rho,z,axis_distance,block_edge_distance,coarse_fine_interface_distance,delta_C,delta_H,delta_M,delta_Z
30,8,31,5.1328125,-0.0078125,5.1328125,0.0078125,0.1328125,147.45580333159432,8.274720193449092,66.81149232186186,0.0005981851370825729
51,8,0,5.1328125,0.0078125,5.1328125,0.0078125,0.1328125,147.1861840316202,8.281966975184975,66.30245474730249,0.0006340615088131331
30,6,30,5.1015625,-0.0234375,5.1015625,0.0234375,0.1015625,116.92629114187172,-6.860412643526347,75.64906334261319,0.0021484400847080216
51,6,1,5.1015625,0.0234375,5.1015625,0.0234375,0.1015625,116.19687409556416,-6.842765483018151,75.28749964541421,0.0020773961256879813
30,4,31,5.0703125,-0.0078125,5.0703125,0.0078125,0.0703125,106.73295969958791,-1.077067479175893,105.40995592307898,0.0016564476733086954
51,4,0,5.0703125,0.0078125,5.0703125,0.0078125,0.0703125,106.55717841863269,-1.0756361536411194,105.20188545324457,0.0016555348720578953
30,7,31,5.1171875,-0.0078125,5.1171875,0.0078125,0.1171875,103.04343128763963,7.049155349994627,41.58111167347606,-0.006103953794907616
51,7,0,5.1171875,0.0078125,5.1171875,0.0078125,0.1171875,102.79637383276766,7.059674540517327,40.93149649807983,-0.006052093020028556
30,9,30,5.1484375,-0.0234375,5.1484375,0.0234375,0.1484375,98.72354786699209,-2.856390601402503,91.95364131327649,-0.0012640558099972737
51,9,1,5.1484375,0.0234375,5.1484375,0.0234375,0.1484375,98.63689692267721,-2.8467487084519907,91.90410114060224,-0.0012982778395729173
30,7,28,5.1171875,-0.0546875,5.1171875,0.0546875,0.1171875,82.75098768551904,3.0797523754970517,79.04507798345288,0.0021407515810049995
51,7,3,5.1171875,0.0546875,5.1171875,0.0546875,0.1171875,81.5697564153339,3.0769073668989098,77.9218828639208,0.0021339623636701284
51,9,0,5.1484375,0.0078125,5.1484375,0.0078125,0.1484375,67.68303441801312,-2.658795286621471,62.431316200835525,0.002563306351961057
30,9,31,5.1484375,-0.0078125,5.1484375,0.0078125,0.1484375,67.15882443955377,-2.673472481925525,61.85116917818434,0.0025570121697472605
51,5,1,5.0859375,0.0234375,5.0859375,0.0234375,0.0859375,65.61625916345977,-0.3467026031290551,65.72143474212984,0.0005707932274505202
30,5,30,5.0859375,-0.0234375,5.0859375,0.0234375,0.0859375,65.57464268795064,-0.3399624404815379,65.68338736750457,0.0005975311391966569
