sequence,case_id,target,role,path,sha256,prefix_bytes,prefix_lines
0,standard_r0,0.1,history,cases/standard_r0/z4c_standard_r0.user.hst,03bd5668e8076b150d825499866e7913638a11ffac246af1da4b13aad2c9c27f,1397,4
0,standard_r0,0.1,constraints,cases/standard_r0/z4c_standard_r0.z4c.user.hst,0bc3909a554d73b1cf3f07a638d506a02196056c404fba818b393fe6ef3797ed,727,4
0,standard_r0,0.1,gauge_diagnostics,cases/standard_r0/gauge_source_diagnostics.csv,1e42bc3eb164a09f0de9f65d2d4214f7e08cc6730717a14b0482d107c1c0d546,2579,3
0,standard_r0,0.1,horizon,cases/standard_r0/z4c_standard_r0.horizon_summary_0.txt,514144191997f319db34ddbf8cd70b96de08085e501e66237c143ebc71f76809,321,2
9,standard_r0,0.25,history,cases/standard_r0/z4c_standard_r0.user.hst,f271a0cf645376bf250a3c5e0e54770c9dcccf5efceedf70a592b82e3da3cf0d,2794,8
9,standard_r0,0.25,constraints,cases/standard_r0/z4c_standard_r0.z4c.user.hst,a56801bd335a49f9e0c30a416ecd8fb54bfefbe01a448167e452dd6ce2fe3c97,1454,8
9,standard_r0,0.25,gauge_diagnostics,cases/standard_r0/gauge_source_diagnostics.csv,0afe206d7bfd82dba9b036172aadbb6bbbcd60cce9d24eda9377ce69cdc7c31d,3900,5
9,standard_r0,0.25,horizon,cases/standard_r0/z4c_standard_r0.horizon_summary_0.txt,e41de04118339fc7ab76afca18e61b6f70d29d0ae1bd0c6c38f3cb1e08e127d8,552,3
18,standard_r0,0.5,history,cases/standard_r0/z4c_standard_r0.user.hst,2e7356f3565aa98cc5f680422dc8db166fb660d7ba3476e098f406d8558ec1cd,4191,12
18,standard_r0,0.5,constraints,cases/standard_r0/z4c_standard_r0.z4c.user.hst,20d8fee8cf5e641eada34e192c4f4383d8124b353eedcdef0bdb8a24f76b9d43,2181,12
18,standard_r0,0.5,gauge_diagnostics,cases/standard_r0/gauge_source_diagnostics.csv,8f55c7f8f6008d5e5d3fb14ed9226700b5ed0387379e098bb1b412bba4b1896d,5185,7
18,standard_r0,0.5,horizon,cases/standard_r0/z4c_standard_r0.horizon_summary_0.txt,b5317e1fc9df423412c383b3746bbd71c0fdfd77143ac7982f4ef3b20994d52c,782,4
27,standard_r0,1.0,history,cases/standard_r0/z4c_standard_r0.user.hst,808e4a837197242780c2c0ba9aaaaee13fda420c62647095a26accc036209890,7175,19
27,standard_r0,1.0,constraints,cases/standard_r0/z4c_standard_r0.z4c.user.hst,3f394aca0a58f37c65d208d3c4d84f4e2d73a96b86dbb5441c491f5d65a3fc63,3703,19
27,standard_r0,1.0,gauge_diagnostics,cases/standard_r0/gauge_source_diagnostics.csv,46d571781ee9b492e8a64ca9eeef1249ab30971d49befd309fa359feb7b915f9,8389,12
27,standard_r0,1.0,horizon,cases/standard_r0/z4c_standard_r0.horizon_summary_0.txt,eb2f8273e0dcec1d8d594c716f59fb1ca1032d0ea1e2ff598429e4d73c1432b7,1008,5
36,standard_r0,2.0,history,cases/standard_r0/z4c_standard_r0.user.hst,d2d9db57762c7b1f4ae19f019e989ed55fd7adbd0e76de3a1e0e83c0320656e6,12804,31
36,standard_r0,2.0,constraints,cases/standard_r0/z4c_standard_r0.z4c.user.hst,af1bc9005b6a344dde1ca772447ee3877c1fedc346d692848018a5d66562378f,6550,31
36,standard_r0,2.0,gauge_diagnostics,cases/standard_r0/gauge_source_diagnostics.csv,5bd006820cc6007859abea3067ed08baa88eb54449a3131eaaf40a87a5340f2e,14726,22
36,standard_r0,2.0,horizon,cases/standard_r0/z4c_standard_r0.horizon_summary_0.txt,be164aebb14e52e4aa76b4de1abef521ea1fa5ac5255dc7a99c445abe3ed15cf,1235,6
45,standard_r0,5.0,history,cases/standard_r0/z4c_standard_r0.user.hst,4d01e4fe5d6d9e2c06c16f9ea59c6d5380d3e5444dd96a584e51afdffdc3d5de,29013,63
