gauge,time,coarse,fine,field,linf,rms
standard,0.0,R0,R1,z4c_chi,0.0021488500000000008,0.000815158729943114
standard,0.0,R0,R1,z4c_gxx,0.0,0.0
standard,0.0,R0,R1,z4c_gxy,0.0,0.0
standard,0.0,R0,R1,z4c_gxz,0.0,0.0
standard,0.0,R0,R1,z4c_gyy,0.0,0.0
standard,0.0,R0,R1,z4c_gyz,0.0,0.0
standard,0.0,R0,R1,z4c_gzz,0.0,0.0
standard,0.0,R0,R1,z4c_Khat,0.0,0.0
standard,0.0,R0,R1,z4c_Axx,0.0,0.0
standard,0.0,R0,R1,z4c_Axy,0.0,0.0
standard,0.0,R0,R1,z4c_Axz,0.0,0.0
standard,0.0,R0,R1,z4c_Ayy,0.0,0.0
standard,0.0,R0,R1,z4c_Ayz,0.0,0.0
standard,0.0,R0,R1,z4c_Azz,0.0,0.0
standard,0.0,R0,R1,z4c_Gamx,1.620927860472558e-15,4.2606447196680364e-16
standard,0.0,R0,R1,z4c_Gamy,3.019805e-15,6.795754117879101e-16
standard,0.0,R0,R1,z4c_Gamz,3.019805e-15,6.795754117879101e-16
standard,0.0,R0,R1,z4c_Theta,0.0,0.0
standard,0.0,R0,R1,z4c_alpha,0.01708759005766363,0.0038918253848336756
standard,0.0,R0,R1,z4c_betax,0.0,0.0
standard,0.0,R0,R1,z4c_betay,0.0,0.0
standard,0.0,R0,R1,z4c_betaz,0.0,0.0
standard,0.0,R1,R2,z4c_chi,0.0008227913886621474,0.0003480474821987731
standard,0.0,R1,R2,z4c_gxx,0.0,0.0
standard,0.0,R1,R2,z4c_gxy,0.0,0.0
standard,0.0,R1,R2,z4c_gxz,0.0,0.0
standard,0.0,R1,R2,z4c_gyy,0.0,0.0
standard,0.0,R1,R2,z4c_gyz,0.0,0.0
standard,0.0,R1,R2,z4c_gzz,0.0,0.0
standard,0.0,R1,R2,z4c_Khat,0.0,0.0
standard,0.0,R1,R2,z4c_Axx,0.0,0.0
standard,0.0,R1,R2,z4c_Axy,0.0,0.0
standard,0.0,R1,R2,z4c_Axz,0.0,0.0
standard,0.0,R1,R2,z4c_Ayy,0.0,0.0
standard,0.0,R1,R2,z4c_Ayz,0.0,0.0
standard,0.0,R1,R2,z4c_Azz,0.0,0.0
standard,0.0,R1,R2,z4c_Gamx,3.9578846179021975e-15,1.3726150993698874e-15
standard,0.0,R1,R2,z4c_Gamy,4.940610864005524e-15,1.4368298716335141e-15
standard,0.0,R1,R2,z4c_Gamz,4.940610864005524e-15,1.4368298716335141e-15
standard,0.0,R1,R2,z4c_Theta,0.0,0.0
standard,0.0,R1,R2,z4c_alpha,0.00364661212768776,0.0009858588934850655
standard,0.0,R1,R2,z4c_betax,0.0,0.0
standard,0.0,R1,R2,z4c_betay,0.0,0.0
standard,0.0,R1,R2,z4c_betaz,0.0,0.0
standard,0.1,R0,R1,z4c_chi,0.0021473499999999993,0.0008150750388327328
standard,0.1,R0,R1,z4c_gxx,9.999999999843467e-06,2.7951261259967303e-06
standard,0.1,R0,R1,z4c_gxy,2.3827049999999997e-05,8.36605523377015e-06
standard,0.1,R0,R1,z4c_gxz,2.3827049999999997e-05,8.36605523377015e-06
standard,0.1,R0,R1,z4c_gyy,3.5000000000451337e-06,1.243747165056858e-06
standard,0.1,R0,R1,z4c_gyz,7.793045e-06,2.3873494655977966e-06
standard,0.1,R0,R1,z4c_gzz,3.5000000000451337e-06,1.243747165056858e-06
standard,0.1,R0,R1,z4c_Khat,0.00027598978460553845,5.895061658199063e-05
standard,0.1,R0,R1,z4c_Axx,0.0006029299999999998,0.00018633343230471487
standard,0.1,R0,R1,z4c_Axy,0.00114527,0.0003881411709676894
standard,0.1,R0,R1,z4c_Axz,0.00114527,0.0003881411709676894
standard,0.1,R0,R1,z4c_Ayy,0.0003015100000000003,9.31815619795229e-05
standard,0.1,R0,R1,z4c_Ayz,0.001123187094693794,0.00024173383514728352
standard,0.1,R0,R1,z4c_Azz,0.0003015100000000003,9.31815619795229e-05
standard,0.1,R0,R1,z4c_Gamx,0.00012003761586933847,2.289127864140819e-05
standard,0.1,R0,R1,z4c_Gamy,0.0002561267448989127,7.222486489786994e-05
standard,0.1,R0,R1,z4c_Gamz,0.0002561267448989127,7.222486489786994e-05
standard,0.1,R0,R1,z4c_Theta,0.0028986882271153465,0.0005175776547855906
standard,0.1,R0,R1,z4c_alpha,0.01711604001382391,0.0038955595704036356
standard,0.1,R0,R1,z4c_betax,4.5440555823642736e-06,8.520532754782884e-07
standard,0.1,R0,R1,z4c_betay,8.455950546236506e-06,2.354133700884364e-06
standard,0.1,R0,R1,z4c_betaz,8.455950546236506e-06,2.354133700884364e-06
standard,0.1,R1,R2,z4c_chi,0.0008225414006624021,0.0003479809533018386
standard,0.1,R1,R2,z4c_gxx,7.500120001946442e-06,2.935959216953553e-06
standard,0.1,R1,R2,z4c_gxy,7.864698300789129e-06,3.6383777152147795e-06
standard,0.1,R1,R2,z4c_gxz,7.864698300789129e-06,3.6383777152147795e-06
standard,0.1,R1,R2,z4c_gyy,1.2499855999159593e-06,5.688498054264179e-07
standard,0.1,R1,R2,z4c_gyz,1.2708505794597087e-06,5.218739405495067e-07
standard,0.1,R1,R2,z4c_gzz,1.2499855999159593e-06,5.688498054264179e-07
