# Athena++ data at time=6.500000e+00  cycle=833 
# gid   i       x1v         z4c_chi         z4c_gxx         z4c_gxy         z4c_gxz         z4c_gyy         z4c_gyz         z4c_gzz         z4c_Khat         z4c_Axx         z4c_Axy         z4c_Axz         z4c_Ayy         z4c_Ayz         z4c_Azz         z4c_Gamx         z4c_Gamy         z4c_Gamz         z4c_Theta         z4c_alpha         z4c_betax         z4c_betay         z4c_betaz     
00174 0004 -9.68750e+00  8.17041e-01  1.00490e+00 -2.46819e-04 -2.46819e-04  9.97558e-01  8.33615e-06  9.97558e-01 -8.03660e-04 -1.25638e-03  6.27908e-05  6.27908e-05  6.23569e-04 -2.16682e-06  6.23569e-04  5.77782e-04 -2.03006e-05 -2.03006e-05 -4.23087e-06  9.06877e-01  1.48125e-04 -5.17658e-06 -5.17658e-06
00174 0005 -9.06250e+00  8.05874e-01  1.00677e+00 -3.58794e-04 -3.58794e-04  9.96632e-01  1.27103e-05  9.96632e-01 -1.09103e-03 -1.74105e-03  9.10829e-05  9.10829e-05  8.61695e-04 -3.25088e-06  8.61695e-04  8.71057e-04 -3.18158e-05 -3.18158e-05 -6.71249e-06  9.01702e-01  2.16640e-04 -7.85615e-06 -7.85615e-06
00174 0006 -8.43750e+00  7.93213e-01  1.00937e+00 -5.29313e-04 -5.29313e-04  9.95348e-01  1.98530e-05  9.95348e-01 -1.51883e-03 -2.45013e-03  1.36659e-04  1.36659e-04  1.20790e-03 -5.13463e-06  1.20790e-03  1.23728e-03 -4.70177e-05 -4.70177e-05 -1.03788e-05  8.96112e-01  2.98988e-04 -1.12638e-05 -1.12638e-05
00174 0007 -7.81250e+00  7.78738e-01  1.01308e+00 -7.93268e-04 -7.93268e-04  9.93526e-01  3.19040e-05  9.93526e-01 -2.13819e-03 -3.49645e-03  2.10006e-04  2.10006e-04  1.71416e-03 -8.45910e-06  1.71416e-03  1.68343e-03 -6.75715e-05 -6.75715e-05 -9.59904e-06  8.90117e-01  3.97071e-04 -1.58429e-05 -1.58429e-05
00174 0008 -7.18750e+00  7.62048e-01  1.01844e+00 -1.20906e-03 -1.20906e-03  9.90909e-01  5.26804e-05  9.90909e-01 -2.99254e-03 -5.04367e-03  3.28026e-04  3.28026e-04  2.45290e-03 -1.43130e-05  2.45290e-03  2.15536e-03 -9.29402e-05 -9.29402e-05 -8.32420e-06  8.83738e-01  5.02232e-04 -2.15804e-05 -2.15804e-05
00174 0009 -6.56250e+00  7.42639e-01  1.02626e+00 -1.87637e-03 -1.87637e-03  9.87127e-01  8.93885e-05  9.87127e-01 -4.08683e-03 -7.31176e-03  5.18273e-04  5.18273e-04  3.51460e-03 -2.47090e-05  3.51460e-03  2.44155e-03 -1.15102e-04 -1.15102e-04 -1.00821e-05  8.76989e-01  5.77567e-04 -2.71287e-05 -2.71287e-05
00174 0010 -5.93750e+00  7.19888e-01  1.03772e+00 -2.96481e-03 -2.96481e-03  9.81667e-01  1.55984e-04  9.81667e-01 -5.33511e-03 -1.05895e-02  8.24617e-04  8.24617e-04  5.00409e-03 -4.34102e-05  5.00409e-03  2.02184e-03 -1.05415e-04 -1.05415e-04 -1.07084e-05  8.69795e-01  5.29676e-04 -2.75734e-05 -2.75734e-05
00174 0011 -5.31250e+00  6.93032e-01  1.05454e+00 -4.76731e-03 -4.76731e-03  9.73820e-01  2.80188e-04  9.73820e-01 -6.52539e-03 -1.53083e-02  1.32148e-03  1.32148e-03  7.05648e-03 -7.77029e-05  7.05648e-03 -1.41907e-04  9.40694e-06  9.40694e-06 -8.17154e-06  8.61840e-01  1.73865e-04 -1.00223e-05 -1.00223e-05
00175 0004 -4.84375e+00  6.68819e-01  1.07354e+00 -3.50051e-03 -3.50051e-03  9.65153e-01  1.12825e-04  9.65153e-01 -7.19503e-03 -2.05974e-02  9.64293e-04  9.64293e-04  9.25274e-03 -3.10702e-05  9.25274e-03 -4.22578e-03  1.36730e-04  1.36730e-04 -9.37081e-06  8.54692e-01 -5.11927e-04  1.65919e-05  1.65919e-05
00175 0005 -4.53125e+00  6.51244e-01  1.08907e+00 -4.51623e-03 -4.51623e-03  9.58252e-01  1.55659e-04  9.58252e-01 -7.40458e-03 -2.49546e-02  1.24023e-03  1.24023e-03  1.09685e-02 -4.27448e-05  1.09685e-02 -8.78015e-03  3.02846e-04  3.02846e-04 -1.20402e-05  8.49276e-01 -1.26332e-03  4.36662e-05  4.36662e-05
