# Athena++ data at time=8.203125e+00  cycle=1051 
# gid   i       x1v         z4c_chi         z4c_gxx         z4c_gxy         z4c_gxz         z4c_gyy         z4c_gyz         z4c_gzz         z4c_Khat         z4c_Axx         z4c_Axy         z4c_Axz         z4c_Ayy         z4c_Ayz         z4c_Azz         z4c_Gamx         z4c_Gamy         z4c_Gamz         z4c_Theta         z4c_alpha         z4c_betax         z4c_betay         z4c_betaz     
00174 0004 -9.68750e+00  8.16139e-01  1.00973e+00 -4.86345e-04 -4.86345e-04  9.95170e-01  1.63151e-05  9.95170e-01 -1.94959e-03 -2.66865e-03  1.32239e-04  1.32239e-04  1.31496e-03 -4.53343e-06  1.31496e-03  1.21278e-03 -4.31923e-05 -4.31923e-05  1.72106e-05  9.10924e-01 -6.05607e-04  2.20289e-05  2.20289e-05
00174 0005 -9.06250e+00  8.04723e-01  1.01339e+00 -7.04505e-04 -7.04505e-04  9.93371e-01  2.49110e-05  9.93371e-01 -2.59792e-03 -3.73718e-03  1.94700e-04  1.94700e-04  1.83140e-03 -6.92549e-06  1.83140e-03  1.81183e-03 -6.68587e-05 -6.68587e-05  1.56965e-05  9.07159e-01 -8.14671e-04  2.93350e-05  2.93350e-05
00174 0006 -8.43750e+00  7.91725e-01  1.01848e+00 -1.03535e-03 -1.03535e-03  9.90889e-01  3.88663e-05  9.90889e-01 -3.37923e-03 -5.18831e-03  2.86911e-04  2.86911e-04  2.52330e-03 -1.07827e-05  2.52330e-03  2.35555e-03 -9.13235e-05 -9.13235e-05  1.66276e-06  9.03471e-01 -1.12744e-03  4.25141e-05  4.25141e-05
00174 0007 -7.81250e+00  7.76868e-01  1.02554e+00 -1.53727e-03 -1.53727e-03  9.87474e-01  6.19125e-05  9.87474e-01 -4.20145e-03 -7.07640e-03  4.20241e-04  4.20241e-04  3.40563e-03 -1.69285e-05  3.40563e-03  2.64118e-03 -1.08884e-04 -1.08884e-04 -7.73588e-06  8.99861e-01 -1.58773e-03  6.40482e-05  6.40482e-05
00174 0008 -7.18750e+00  7.59855e-01  1.03521e+00 -2.29346e-03 -2.29346e-03  9.82854e-01  1.00047e-04  9.82854e-01 -4.91023e-03 -9.49068e-03  6.10105e-04  6.10105e-04  4.50268e-03 -2.66228e-05  4.50268e-03  2.21204e-03 -9.85558e-05 -9.85558e-05 -1.04461e-05  8.96196e-01 -2.27325e-03  9.92548e-05  9.92548e-05
00174 0009 -6.56250e+00  7.40381e-01  1.04819e+00 -3.42254e-03 -3.42254e-03  9.76754e-01  1.63225e-04  9.76754e-01 -5.30437e-03 -1.25691e-02  8.79944e-04  8.79944e-04  5.85058e-03 -4.19853e-05  5.85058e-03  3.01041e-04 -1.59894e-05 -1.59894e-05 -1.09032e-05  8.92118e-01 -3.34214e-03  1.59478e-04  1.59478e-04
00174 0010 -5.93750e+00  7.18138e-01  1.06519e+00 -5.09203e-03 -5.09203e-03  9.68942e-01  2.68143e-04  9.68942e-01 -5.16777e-03 -1.65484e-02  1.27160e-03  1.27160e-03  7.51458e-03 -6.69827e-05  7.51458e-03 -4.27388e-03  2.23526e-04  2.23526e-04 -1.03309e-05  8.86966e-01 -5.09245e-03  2.68208e-04  2.68208e-04
00174 0011 -5.31250e+00  6.92790e-01  1.08679e+00 -7.53656e-03 -7.53656e-03  9.59291e-01  4.43296e-04  9.59291e-01 -4.28664e-03 -2.19028e-02  1.86383e-03  1.86383e-03  9.64125e-03 -1.09656e-04  9.64125e-03 -1.32588e-02  7.78034e-04  7.78034e-04 -1.28240e-05  8.79686e-01 -8.04122e-03  4.72879e-04  4.72879e-04
00175 0004 -4.84375e+00  6.70768e-01  1.10785e+00 -5.09915e-03 -5.09915e-03  9.50104e-01  1.64462e-04  9.50104e-01 -2.94597e-03 -2.77590e-02  1.28060e-03  1.28060e-03  1.18918e-02 -4.13073e-05  1.18918e-02 -2.49077e-02  8.02142e-04  8.02142e-04 -1.37723e-05  8.71612e-01 -1.17037e-02  3.77401e-04  3.77401e-04
00175 0005 -4.53125e+00  6.55238e-01  1.12262e+00 -6.17602e-03 -6.17602e-03  9.43840e-01  2.12930e-04  9.43840e-01 -1.69706e-03 -3.24831e-02  1.59375e-03  1.59375e-03  1.36379e-02 -5.49428e-05  1.36379e-02 -3.54279e-02  1.22090e-03  1.22090e-03 -1.05066e-05  8.64727e-01 -1.49885e-02  5.16715e-04  5.16715e-04
00175 0006 -4.21875e+00  6.38581e-01  1.13848e+00 -7.46617e-03 -7.46617e-03  9.37259e-01  2.76498e-04  9.37259e-01 -9.01324e-05 -3.83381e-02  2.00766e-03  2.00766e-03  1.57555e-02 -7.43662e-05  1.57555e-02 -4.89736e-02  1.81325e-03  1.81325e-03 -1.13420e-05  8.56126e-01 -1.92465e-02  7.12754e-04  7.12754e-04
00175 0007 -3.90625e+00  6.20634e-01  1.15514e+00 -9.00297e-03 -9.00297e-03  9.30500e-01  3.60101e-04  9.30500e-01  1.94933e-03 -4.57021e-02  2.56828e-03  2.56828e-03  1.83686e-02 -1.02763e-04  1.83686e-02 -6.62353e-02  2.64905e-03  2.64905e-03 -1.13016e-05  8.45358e-01 -2.47493e-02  9.89925e-04  9.89925e-04
00175 0008 -3.59375e+00  6.01155e-01  1.17210e+00 -1.08201e-02 -1.08201e-02  9.23772e-01  4.70435e-04  9.23772e-01  4.52571e-03 -5.51035e-02  3.34502e-03  3.34502e-03  2.16550e-02 -1.45444e-04  2.16550e-02 -8.80309e-02  3.82755e-03  3.82755e-03 -9.16590e-06  8.31865e-01 -3.18375e-02  1.38420e-03  1.38420e-03
00175 0009 -3.28125e+00  5.79793e-01  1.18857e+00 -1.29453e-02 -1.29453e-02  9.17391e-01  6.16445e-04  9.17391e-01  7.79490e-03 -6.72729e-02  4.44631e-03  4.44631e-03  2.58692e-02 -2.11707e-04  2.58692e-02 -1.15293e-01  5.49013e-03  5.49013e-03 -1.32084e-05  8.14948e-01 -4.09345e-02  1.94917e-03  1.94917e-03
00175 0010 -2.96875e+00  5.56020e-01  1.20332e+00 -1.53887e-02 -1.53887e-02  9.11807e-01  8.09946e-04  9.11807e-01  1.19967e-02 -8.31831e-02  6.04654e-03  6.04654e-03  3.13677e-02 -3.18235e-04  3.13677e-02 -1.48997e-01  7.84149e-03  7.84149e-03 -1.30761e-05  7.93734e-01 -5.25545e-02  2.76580e-03  2.76580e-03
00175 0011 -2.65625e+00  5.29037e-01  1.21460e+00 -1.81231e-02 -1.81231e-02  9.07637e-01  1.06609e-03  9.07637e-01  1.75045e-02 -1.04158e-01  8.43149e-03  8.43149e-03  3.86768e-02 -4.95958e-04  3.86768e-02 -1.90002e-01  1.11752e-02  1.11752e-02 -1.44254e-05  7.67136e-01 -6.72963e-02  3.95808e-03  3.95808e-03
00176 0004 -2.42188e+00  5.05202e-01  1.22144e+00 -1.02240e-02 -1.02240e-02  9.04911e-01  3.29829e-04  9.04911e-01  2.30334e-02 -1.26021e-01  5.56627e-03  5.56627e-03  4.65930e-02 -1.79580e-04  4.65930e-02 -2.27741e-01  7.34475e-03  7.34475e-03 -9.66660e-06  7.42006e-01 -8.15089e-02  2.62911e-03  2.62911e-03
00176 0005 -2.26562e+00  4.87997e-01  1.22239e+00 -1.09743e-02 -1.09743e-02  9.04571e-01  3.78425e-04  9.04571e-01  2.74113e-02 -1.42412e-01  6.73456e-03  6.73456e-03  5.25775e-02 -2.32174e-04  5.25775e-02 -2.54299e-01  8.76888e-03  8.76888e-03 -7.20003e-06  7.23235e-01 -9.19474e-02  3.17033e-03  3.17033e-03
00176 0006 -2.10938e+00  4.69093e-01  1.22097e+00 -1.17167e-02 -1.17167e-02  9.05110e-01  4.33961e-04  9.05110e-01  3.25947e-02 -1.61294e-01  8.19460e-03  8.19460e-03  5.96340e-02 -3.03551e-04  5.96340e-02 -2.82556e-01  1.04646e-02  1.04646e-02 -9.53222e-06  7.02241e-01 -1.03510e-01  3.83355e-03  3.83355e-03
