# Athena++ data at time=2.041667e-01  cycle=40 
# gid   i       x1v         z4c_chi         z4c_gxx         z4c_gxy         z4c_gxz         z4c_gyy         z4c_gyz         z4c_gzz         z4c_Khat         z4c_Axx         z4c_Axy         z4c_Axz         z4c_Ayy         z4c_Ayz         z4c_Azz         z4c_Gamx         z4c_Gamy         z4c_Gamz         z4c_Theta         z4c_alpha         z4c_betax         z4c_betay         z4c_betaz     
00054 0004 -9.79167e+00  8.19449e-01  1.00000e+00 -3.30641e-08 -3.30641e-08  1.00000e+00  7.09176e-10  1.00000e+00 -3.02100e-06 -7.41888e-06  2.45216e-07  2.45216e-07  3.70944e-06 -5.28337e-09  3.70944e-06  3.70391e-07 -1.00319e-09 -1.00319e-09 -6.20552e-07  9.05235e-01 -1.24932e-07  6.29444e-11  6.29444e-11
00054 0005 -9.37500e+00  8.12419e-01  1.00000e+00 -1.41097e-07 -1.41097e-07  9.99998e-01  3.13463e-09  9.99998e-01 -7.85693e-06 -2.25368e-05  7.61721e-07  7.61721e-07  1.12683e-05 -1.69092e-08  1.12683e-05  7.87502e-07 -4.71345e-09 -4.71345e-09 -8.97724e-07  9.01344e-01 -5.70866e-08  3.34380e-10  3.34380e-10
00054 0006 -8.95833e+00  8.04822e-01  1.00001e+00 -1.74498e-07 -1.74498e-07  9.99997e-01  4.05826e-09  9.99997e-01 -1.02914e-05 -2.73537e-05  9.53761e-07  9.53761e-07  1.36767e-05 -2.21787e-08  1.36767e-05  1.49971e-07 -6.16812e-09 -6.16812e-09  4.39365e-08  8.97121e-01 -2.20348e-08  5.72510e-10  5.72510e-10
00054 0007 -8.54167e+00  7.96587e-01  1.00001e+00 -2.15567e-07 -2.15567e-07  9.99997e-01  5.25787e-09  9.99997e-01 -1.21628e-05 -3.23249e-05  1.18355e-06  1.18355e-06  1.61623e-05 -2.88695e-08  1.61623e-05  3.24190e-07 -7.52104e-09 -7.52104e-09  1.73921e-08  8.92520e-01 -2.83723e-08  7.31153e-10  7.31153e-10
00054 0008 -8.12500e+00  7.87631e-01  1.00001e+00 -2.69020e-07 -2.69020e-07  9.99997e-01  6.89801e-09  9.99997e-01 -1.45110e-05 -3.86017e-05  1.48557e-06  1.48557e-06  1.93007e-05 -3.80921e-08  1.93007e-05  3.64843e-07 -9.28605e-09 -9.28605e-09 -3.13759e-09  8.87489e-01 -3.72114e-08  9.57258e-10  9.57258e-10
00054 0009 -7.70833e+00  7.77855e-01  1.00001e+00 -3.39114e-07 -3.39114e-07  9.99996e-01  9.16538e-09  9.99996e-01 -1.74679e-05 -4.64506e-05  1.88446e-06  1.88446e-06  2.32250e-05 -5.09330e-08  2.32250e-05  4.24175e-07 -1.14769e-08 -1.14769e-08 -6.46842e-10  8.81965e-01 -4.64413e-08  1.27125e-09  1.27125e-09
00054 0010 -7.29167e+00  7.67143e-01  1.00001e+00 -4.32247e-07 -4.32247e-07  9.99995e-01  1.23502e-08  9.99995e-01 -2.12140e-05 -5.63958e-05  2.41886e-06  2.41886e-06  2.81975e-05 -6.91131e-08  2.81975e-05  4.96296e-07 -1.41784e-08 -1.41784e-08 -1.14517e-09  8.75871e-01 -5.90425e-08  1.71292e-09  1.71292e-09
00054 0011 -6.87500e+00  7.55353e-01  1.00001e+00 -5.57723e-07 -5.57723e-07  9.99994e-01  1.69012e-08  9.99994e-01 -2.60168e-05 -6.91403e-05  3.14549e-06  3.14549e-06  3.45695e-05 -9.53232e-08  3.45695e-05  5.75662e-07 -1.74454e-08 -1.74454e-08 -1.81894e-09  8.69116e-01 -7.59750e-08  2.34613e-09  2.34613e-09
00055 0004 -6.45833e+00  7.42318e-01  1.00002e+00 -7.29383e-07 -7.29383e-07  9.99992e-01  2.35295e-08  9.99992e-01 -3.22535e-05 -8.56804e-05  4.14988e-06  4.14988e-06  4.28392e-05 -1.33878e-07  4.28392e-05  6.58219e-07 -2.12352e-08 -2.12352e-08 -2.87846e-09  8.61585e-01 -9.91053e-08  3.27326e-09  3.27326e-09
00055 0005 -6.04167e+00  7.27830e-01  1.00002e+00 -9.68229e-07 -9.68229e-07  9.99991e-01  3.33894e-08  9.99991e-01 -4.04672e-05 -1.07449e-04  5.56383e-06  5.56383e-06  5.37230e-05 -1.91879e-07  5.37230e-05  7.32144e-07 -2.52519e-08 -2.52519e-08 -4.66205e-09  8.53138e-01 -1.31273e-07  4.66368e-09  4.66368e-09
00055 0006 -5.62500e+00  7.11637e-01  1.00002e+00 -1.30686e-06 -1.30686e-06  9.99988e-01  4.84069e-08  9.99988e-01 -5.14552e-05 -1.36548e-04  7.59540e-06  7.59540e-06  6.82714e-05 -2.81360e-07  6.82714e-05  7.71038e-07 -2.85725e-08 -2.85725e-08 -7.74579e-09  8.43596e-01 -1.76920e-07  6.80725e-09  6.80725e-09
00055 0007 -5.20833e+00  6.93424e-01  1.00003e+00 -1.79712e-06 -1.79712e-06  9.99985e-01  7.18956e-08  9.99985e-01 -6.64135e-05 -1.76122e-04  1.05821e-05  1.05821e-05  8.80568e-05 -4.23400e-07  8.80568e-05  7.17888e-07 -2.87629e-08 -2.87629e-08 -1.27321e-08  8.32734e-01 -2.43143e-07  1.02201e-08  1.02201e-08
00055 0008 -4.79167e+00  6.72797e-01  1.00004e+00 -2.52376e-06 -2.52376e-06  9.99981e-01  1.09755e-07  9.99981e-01 -8.71794e-05 -2.30996e-04  1.50887e-05  1.50887e-05  1.15491e-04 -6.56310e-07  1.15491e-04  4.52748e-07 -1.96927e-08 -1.96927e-08 -2.31735e-08  8.20258e-01 -3.42100e-07  1.58653e-08  1.58653e-08
00055 0009 -4.37500e+00  6.49253e-01  1.00005e+00 -3.62961e-06 -3.62961e-06  9.99975e-01  1.72904e-07  9.99975e-01 -1.16647e-04 -3.08750e-04  2.20928e-05  2.20928e-05  1.54363e-04 -1.05276e-06  1.54363e-04 -2.86038e-07  1.30473e-08  1.30473e-08 -3.96350e-08  8.05784e-01 -4.93853e-07  2.56196e-08  2.56196e-08
00055 0010 -3.95833e+00  6.22147e-01  1.00007e+00 -5.36227e-06 -5.36227e-06  9.99966e-01  2.82470e-07  9.99966e-01 -1.59516e-04 -4.21647e-04  3.33465e-05  3.33465e-05  2.10802e-04 -1.75750e-06  2.10802e-04 -2.12537e-06  1.09952e-07  1.09952e-07 -3.34142e-08  7.88792e-01 -7.29088e-07  4.35898e-08  4.35898e-08
00055 0011 -3.54167e+00  5.90641e-01  1.00009e+00 -8.17962e-06 -8.17962e-06  9.99954e-01  4.81458e-07  9.99954e-01 -2.23918e-04 -5.90456e-04  5.22129e-05  5.22129e-05  2.95186e-04 -3.07603e-06  2.95186e-04 -5.98042e-06  3.42735e-07  3.42735e-07 -4.17018e-07  7.68571e-01 -1.18908e-06  7.75860e-08  7.75860e-08
