# Athena++ data at time=9.000000e+00  cycle=577 
# gid   i       x1v         z4c_chi         z4c_gxx         z4c_gxy         z4c_gxz         z4c_gyy         z4c_gyz         z4c_gzz         z4c_Khat         z4c_Axx         z4c_Axy         z4c_Axz         z4c_Ayy         z4c_Ayz         z4c_Azz         z4c_Gamx         z4c_Gamy         z4c_Gamz         z4c_Theta         z4c_alpha         z4c_betax         z4c_betay         z4c_betaz     
00132 0004 -9.68750e+00  8.14716e-01  1.01671e+00 -8.22735e-04 -8.22735e-04  9.91749e-01  2.75118e-05  9.91749e-01 -2.75696e-03 -3.68398e-03  1.83997e-04  1.83997e-04  1.79647e-03 -6.28787e-06  1.79647e-03  2.14002e-03 -7.10090e-05 -7.10090e-05  8.71021e-05  9.14322e-01  8.90087e-04 -2.98998e-05 -2.98998e-05
00132 0005 -9.06250e+00  8.02985e-01  1.02280e+00 -1.18798e-03 -1.18798e-03  9.88791e-01  4.18776e-05  9.88791e-01 -3.45775e-03 -5.06823e-03  2.65303e-04  2.65303e-04  2.44923e-03 -9.43235e-06  2.44923e-03  2.58327e-03 -9.27379e-05 -9.27379e-05  7.40406e-05  9.11544e-01  1.16082e-03 -4.19750e-05 -4.19750e-05
00132 0006 -8.43750e+00  7.89746e-01  1.03076e+00 -1.70875e-03 -1.70875e-03  9.84967e-01  6.40731e-05  9.84967e-01 -4.12167e-03 -6.83607e-03  3.78152e-04  3.78152e-04  3.26493e-03 -1.41841e-05  3.26493e-03  2.39182e-03 -9.31828e-05 -9.31828e-05  2.83584e-05  9.08919e-01  1.22149e-03 -4.76279e-05 -4.76279e-05
00132 0007 -7.81250e+00  7.74890e-01  1.04087e+00 -2.44111e-03 -2.44111e-03  9.80176e-01  9.83143e-05  9.80176e-01 -4.58541e-03 -8.94393e-03  5.28208e-04  5.28208e-04  4.20874e-03 -2.12630e-05  4.20874e-03  1.14106e-03 -5.07776e-05 -5.07776e-05  5.02252e-07  9.06251e-01  8.85240e-04 -3.79870e-05 -3.79870e-05
00132 0008 -7.18750e+00  7.58292e-01  1.05341e+00 -3.45529e-03 -3.45529e-03  9.74331e-01  1.50785e-04  9.74331e-01 -4.67857e-03 -1.14564e-02  7.29806e-04  7.29806e-04  5.29347e-03 -3.18361e-05  5.29347e-03 -1.67784e-03  6.77062e-05  6.77062e-05 -1.10644e-05  9.03159e-01 -1.01422e-04  1.83515e-06  1.83515e-06
00132 0009 -6.56250e+00  7.39802e-01  1.06860e+00 -4.84277e-03 -4.84277e-03  9.67394e-01  2.31049e-04  9.67394e-01 -4.25053e-03 -1.45220e-02  1.00693e-03  1.00693e-03  6.56438e-03 -4.80282e-05  6.56438e-03 -6.71787e-03  3.14898e-04  3.14898e-04 -1.21591e-05  8.99023e-01 -2.07988e-03  9.65587e-05  9.65587e-05
00132 0010 -5.93750e+00  7.19207e-01  1.08655e+00 -6.72572e-03 -6.72572e-03  9.59388e-01  3.54319e-04  9.59388e-01 -3.17367e-03 -1.84389e-02  1.40282e-03  1.40282e-03  8.12343e-03 -7.39000e-05  8.12343e-03 -1.48600e-02  7.77281e-04  7.77281e-04 -1.26044e-05  8.92943e-01 -5.50093e-03  2.87096e-04  2.87096e-04
00132 0011 -5.31250e+00  6.96165e-01  1.10722e+00 -9.26944e-03 -9.26944e-03  9.50428e-01  5.45459e-04  9.50428e-01 -1.32318e-03 -2.37027e-02  1.99920e-03  1.99920e-03  1.01404e-02 -1.17653e-04  1.01404e-02 -2.73116e-02  1.60184e-03  1.60184e-03 -1.06623e-05  8.83681e-01 -1.09731e-02  6.42934e-04  6.42934e-04
00133 0004 -4.84375e+00  6.76278e-01  1.12599e+00 -5.93516e-03 -5.93516e-03  9.42427e-01  1.91505e-04  9.42427e-01  7.36012e-04 -2.95138e-02  1.35096e-03  1.35096e-03  1.23374e-02 -4.35956e-05  1.23374e-02 -4.10862e-02  1.32403e-03  1.32403e-03 -1.33982e-05  8.73265e-01 -1.71925e-02  5.53412e-04  5.53412e-04
00133 0005 -4.53125e+00  6.62214e-01  1.13824e+00 -6.94196e-03 -6.94196e-03  9.37352e-01  2.39403e-04  9.37352e-01  2.41331e-03 -3.41979e-02  1.66722e-03  1.66722e-03  1.40614e-02 -5.74950e-05  1.40614e-02 -5.23972e-02  1.80443e-03  1.80443e-03 -1.06984e-05  8.64470e-01 -2.23768e-02  7.70530e-04  7.70530e-04
00133 0006 -4.21875e+00  6.47009e-01  1.15079e+00 -8.11136e-03 -8.11136e-03  9.32243e-01  3.00446e-04  9.32243e-01  4.41208e-03 -4.00135e-02  2.08498e-03  2.08498e-03  1.61789e-02 -7.72163e-05  1.61789e-02 -6.60597e-02  2.44445e-03  2.44445e-03 -8.32927e-06  8.53653e-01 -2.86945e-02  1.06185e-03  1.06185e-03
00133 0007 -3.90625e+00  6.30412e-01  1.16335e+00 -9.46589e-03 -9.46589e-03  9.27216e-01  3.78667e-04  9.27216e-01  6.80087e-03 -4.73331e-02  2.65128e-03  2.65128e-03  1.88212e-02 -1.06040e-04  1.88212e-02 -8.25334e-02  3.29964e-03  3.29964e-03 -8.80171e-06  8.40375e-01 -3.63664e-02  1.45378e-03  1.45378e-03
00133 0008 -3.59375e+00  6.12073e-01  1.17552e+00 -1.10300e-02 -1.10300e-02  9.22429e-01  4.79598e-04  9.22429e-01  9.67839e-03 -5.66669e-02  3.43450e-03  3.43450e-03  2.21711e-02 -1.49322e-04  2.21711e-02 -1.02378e-01  4.44835e-03  4.44835e-03 -1.38520e-05  8.24101e-01 -4.56562e-02  1.98410e-03  1.98410e-03
00133 0009 -3.28125e+00  5.91511e-01  1.18673e+00 -1.28257e-02 -1.28257e-02  9.18099e-01  6.10778e-04  9.18099e-01  1.31980e-02 -6.86972e-02  4.54271e-03  4.54271e-03  2.64791e-02 -2.16285e-04  2.64791e-02 -1.26251e-01  6.00844e-03  6.00844e-03 -1.77432e-05  8.04171e-01 -5.68735e-02  2.70704e-03  2.70704e-03
00133 0010 -2.96875e+00  5.68057e-01  1.19613e+00 -1.48665e-02 -1.48665e-02  9.14533e-01  7.82487e-04  9.14533e-01  1.75976e-02 -8.43730e-02  6.14806e-03  6.14806e-03  3.21085e-02 -3.23523e-04  3.21085e-02 -1.54896e-01  8.14864e-03  8.14864e-03 -2.39313e-05  7.79766e-01 -7.03701e-02  3.70215e-03  3.70215e-03
00133 0011 -2.65625e+00  5.40779e-01  1.20253e+00 -1.71452e-02 -1.71452e-02  9.12154e-01  1.00860e-03  9.12154e-01  2.32483e-02 -1.04961e-01  8.53259e-03  8.53259e-03  3.95751e-02 -5.01818e-04  3.95751e-02 -1.89095e-01  1.11201e-02  1.11201e-02 -3.00859e-05  7.49873e-01 -8.65174e-02  5.08751e-03  5.08751e-03
00134 0004 -2.42188e+00  5.16236e-01  1.20629e+00 -9.55262e-03 -9.55262e-03  9.10564e-01  3.08183e-04  9.10564e-01  2.88442e-02 -1.26413e-01  5.61252e-03  5.61252e-03  4.76262e-02 -1.81145e-04  4.76262e-02 -2.20501e-01  7.11160e-03  7.11160e-03 -2.45467e-05  7.22178e-01 -1.01368e-01  3.26943e-03  3.26943e-03
00134 0005 -2.26562e+00  4.98345e-01  1.20589e+00 -1.01923e-02 -1.01923e-02  9.10725e-01  3.51475e-04  9.10725e-01  3.32397e-02 -1.42488e-01  6.77701e-03  6.77701e-03  5.36962e-02 -2.33725e-04  5.36962e-02 -2.42641e-01  8.36811e-03  8.36811e-03 -2.18093e-05  7.01763e-01 -1.11866e-01  3.85712e-03  3.85712e-03
00134 0006 -2.10938e+00  4.78590e-01  1.20370e+00 -1.08365e-02 -1.08365e-02  9.11564e-01  4.01370e-04  9.11564e-01  3.84147e-02 -1.61044e-01  8.23124e-03  8.23124e-03  6.08375e-02 -3.04926e-04  6.08375e-02 -2.66424e-01  9.86865e-03  9.86865e-03 -2.66066e-05  6.79153e-01 -1.23177e-01  4.56221e-03  4.56221e-03
00134 0007 -1.95312e+00  4.56678e-01  1.19941e+00 -1.14676e-02 -1.14676e-02  9.13205e-01  4.58728e-04  9.13205e-01  4.45615e-02 -1.82435e-01  1.00853e-02  1.00853e-02  6.92665e-02 -4.03513e-04  6.92665e-02 -2.91714e-01  1.16695e-02  1.16695e-02 -3.31948e-05  6.54123e-01 -1.35267e-01  5.41107e-03  5.41107e-03
00134 0008 -1.79688e+00  4.32288e-01  1.19270e+00 -1.20634e-02 -1.20634e-02  9.15783e-01  5.24526e-04  9.15783e-01  5.19280e-02 -2.07051e-01  1.24706e-02  1.24706e-02  7.92474e-02 -5.42323e-04  7.92474e-02 -3.18200e-01  1.38344e-02  1.38344e-02 -4.55404e-05  6.26432e-01 -1.48041e-01  6.43700e-03  6.43700e-03
00134 0009 -1.64062e+00  4.05070e-01  1.18327e+00 -1.25929e-02 -1.25929e-02  9.19434e-01  5.99732e-04  9.19434e-01  6.08335e-02 -2.35297e-01  1.55731e-02  1.55731e-02  9.10973e-02 -7.41601e-04  9.10973e-02 -3.45306e-01  1.64405e-02  1.64405e-02 -6.76966e-05  5.95826e-01 -1.61309e-01  7.68154e-03  7.68154e-03
00134 0010 -1.48438e+00  3.74669e-01  1.17089e+00 -1.30147e-02 -1.30147e-02  9.24292e-01  6.85178e-04  9.24292e-01  7.16887e-02 -2.67573e-01  1.96610e-02  1.96610e-02  1.05189e-01 -1.03433e-03  1.05189e-01 -3.72054e-01  1.95763e-02  1.95763e-02 -1.00324e-04  5.62045e-01 -1.74747e-01  9.19658e-03  9.19658e-03
00134 0011 -1.32812e+00  3.40754e-01  1.15544e+00 -1.32755e-02 -1.32755e-02  9.30462e-01  7.81033e-04  9.30462e-01  8.50227e-02 -3.04250e-01  2.51327e-02  2.51327e-02  1.21947e-01 -1.47577e-03  1.21947e-01 -3.96886e-01  2.33384e-02  2.33384e-02 -1.41609e-04  5.24825e-01 -1.87823e-01  1.10466e-02  1.10466e-02
