resolution,time,cycle,C_norm2,H_norm2,M_norm2,Z_norm2,C_Linf,axis_C_rms,off_axis_C_rms,axis_lapse,horizon_status
h32,0.0,0,2702.07,2700.03,0.710831,0.331973,13.0055,0.6830057505950532,5.516950432628653e-05,0.0734477,0
h32,0.059375,8,2.40605,2.34909,0.0130914,0.0109558,0.859948,0.07470094726780267,0.004662590197981684,0.034279,0
h32,0.084375,16,2.32506,2.25964,0.0216712,0.0109025,0.823185,0.0683692504554215,0.004601730733479774,0.03429,0
h32,0.109375,24,2.2117,2.13291,0.035133,0.010846,0.757674,0.05961482182561723,0.0045144162286241355,0.0343039,0
h32,0.134375,32,2.07811,1.98213,0.0524517,0.0107665,0.687727,0.05021501809921636,0.004406513140708841,0.0343205,1
h32,0.159375,40,1.94244,1.82637,0.072784,0.0106514,0.658058,0.044285789042435623,0.004283071070018368,0.0343392,1
h32,0.184375,48,1.84954,1.71066,0.0950106,0.0107314,0.62226,0.039926154056930875,0.004195231164921296,0.0343594,1
h32,0.209375,56,1.89638,1.73154,0.120603,0.0107339,0.991552,0.0382330281882621,0.004259679245240553,0.0343809,1
h32,0.234375,64,1.77415,1.5856,0.144591,0.0105896,0.956704,0.04001788489052253,0.004112909897687796,0.034403,1
h32,0.259375,72,1.66204,1.45016,0.16823,0.0104366,0.923223,0.04230534507863305,0.003970185280877405,0.0344256,1
h32,0.284375,80,1.56629,1.33196,0.191018,0.0102777,0.892187,0.04576471226708291,0.0038357098075642057,0.0344492,1
h32,0.309375,88,1.50146,1.24456,0.213264,0.0102737,0.863386,0.04931592431217087,0.003713565954525998,0.0344746,1
h32,0.334375,96,1.4168,1.13998,0.233528,0.010115,0.837004,0.04781579144163624,0.003607630405468803,0.0345022,1
h32,0.359375,104,1.35148,1.05631,0.252277,0.0099477,0.813053,0.04756737765955519,0.0035194371053028648,0.0345322,1
h32,0.384375,112,1.28613,0.976948,0.267177,0.00966107,0.790842,0.04508808233601091,0.003442386831487802,0.0345644,1
h32,0.409375,120,1.23738,0.913069,0.282693,0.00950094,0.785883,0.04225272858436667,0.0033910378652584074,0.034599,1
h32,0.434375,128,1.25628,0.907633,0.306613,0.00949446,0.794956,0.04198869635591973,0.0034250108201429484,0.0346357,1
h32,0.459375,136,1.23057,0.868619,0.32031,0.00933335,0.800558,0.040795323714182465,0.0033987005159070893,0.0346747,1
h32,0.484375,144,1.22717,0.851253,0.334248,0.00927635,0.803039,0.04320736816457306,0.003384246023992494,0.034716,1
h32,0.509375,152,1.22298,0.835195,0.346431,0.00913807,0.802368,0.043051474524573696,0.003378826051679854,0.0347593,1
h32,0.534375,160,1.22754,0.828417,0.358079,0.0090018,0.798018,0.04471079302930861,0.003377761434182727,0.0348044,1
h32,0.559375,168,1.24203,0.832021,0.369315,0.00885681,0.790208,0.048568094514727274,0.0033788114701446283,0.0348518,1
h32,0.584375,176,1.37844,0.939011,0.39784,0.00885994,0.947684,0.04553916379578314,0.003583229400401523,0.0349012,1
h32,0.609375,184,1.38225,0.931963,0.408907,0.00874079,0.926642,0.048567318057707747,0.003573757079875532,0.0349526,1
h32,0.634375,192,1.38104,0.920344,0.41957,0.00861363,0.903434,0.050246596868787144,0.0035604147490425585,0.0350065,1
h32,0.659375,200,1.348,0.877338,0.429739,0.00849875,0.876515,0.04453984388152073,0.0035437009504292005,0.0350627,1
h32,0.684375,208,1.34005,0.860006,0.439279,0.00839914,0.84755,0.046298288300501395,0.003523162190904952,0.0351212,1
h32,0.709375,216,1.31763,0.828959,0.448079,0.00829521,0.815887,0.043714610480667514,0.0034993365737835515,0.0351824,1
h32,0.734375,224,1.28479,0.788389,0.45595,0.00820442,0.780662,0.040108382446842936,0.003474567824879823,0.0352458,1
h32,0.759375,232,1.269,0.765896,0.462751,0.00812524,0.744841,0.03959791252239595,0.0034498497460663494,0.0353115,1
