AthenaK Kokkos default execution space: Cuda

Root grid = 4 x 8 x 1 MeshBlocks
Total number of MeshBlocks = 32
Number of logical  levels of refinement = 6 (7 levels total)
Number of physical levels of refinement = 3 (4 levels total)
  Physical level = 0 (logical level = 3): 32 MeshBlocks, cost = 32
Number of parallel ranks = 4
  Rank = 0: 8 MeshBlocks, cost = 8
  Rank = 1: 8 MeshBlocks, cost = 8
  Rank = 2: 8 MeshBlocks, cost = 8
  Rank = 3: 8 MeshBlocks, cost = 8
Load Balancing:
  Maximum normalized cost = 1, Average = 1
AssembleZ4cTasks
Initialized arXiv:1001.4077 Kerr puncture: M=1 chi=0.5 z_h=0 horizon_radius=0.466506 initial_gauge=precollapsed

Setup complete, executing task list(s)...

elapsed=2.199662e-01 cycle=0 time=0.000000e+00 dt=2.500000e-02
AMR_Z4C_CHI_PROLONGATION cycle=1 local_fallback_groups=0,1,1,0 global_fallback_groups=2 global_high_order_groups=1150
elapsed=2.487651e-01 cycle=1 time=2.500000e-02 dt=1.250000e-02
AMR_Z4C_CHI_PROLONGATION cycle=2 local_fallback_groups=0,0,0,0 global_fallback_groups=0 global_high_order_groups=5760
elapsed=2.614071e-01 cycle=2 time=3.750000e-02 dt=6.250000e-03
AMR_Z4C_CHI_PROLONGATION cycle=3 local_fallback_groups=0,0,0,0 global_fallback_groups=0 global_high_order_groups=3456
elapsed=2.756540e-01 cycle=3 time=4.375000e-02 dt=3.125000e-03
elapsed=2.862907e-01 cycle=4 time=4.687500e-02 dt=3.125000e-03
elapsed=2.967247e-01 cycle=5 time=5.000000e-02 dt=3.125000e-03
elapsed=3.071473e-01 cycle=6 time=5.312500e-02 dt=3.125000e-03
elapsed=3.174977e-01 cycle=7 time=5.625000e-02 dt=3.125000e-03
elapsed=3.305879e-01 cycle=8 time=5.937500e-02 dt=3.125000e-03
elapsed=3.409286e-01 cycle=9 time=6.250000e-02 dt=3.125000e-03
elapsed=3.512721e-01 cycle=10 time=6.562500e-02 dt=3.125000e-03
elapsed=3.616254e-01 cycle=11 time=6.875000e-02 dt=3.125000e-03
elapsed=3.717278e-01 cycle=12 time=7.187500e-02 dt=3.125000e-03
elapsed=3.816648e-01 cycle=13 time=7.500000e-02 dt=3.125000e-03
elapsed=3.916059e-01 cycle=14 time=7.812500e-02 dt=3.125000e-03
elapsed=4.015762e-01 cycle=15 time=8.125000e-02 dt=3.125000e-03
elapsed=4.145847e-01 cycle=16 time=8.437500e-02 dt=3.125000e-03
elapsed=4.249364e-01 cycle=17 time=8.750000e-02 dt=3.125000e-03
elapsed=4.351347e-01 cycle=18 time=9.062500e-02 dt=3.125000e-03
elapsed=4.452705e-01 cycle=19 time=9.375000e-02 dt=3.125000e-03
elapsed=4.552799e-01 cycle=20 time=9.687500e-02 dt=3.125000e-03
elapsed=4.664644e-01 cycle=21 time=1.000000e-01 dt=3.125000e-03
elapsed=4.765556e-01 cycle=22 time=1.031250e-01 dt=3.125000e-03
elapsed=4.864933e-01 cycle=23 time=1.062500e-01 dt=3.125000e-03
elapsed=4.997246e-01 cycle=24 time=1.093750e-01 dt=3.125000e-03
elapsed=5.099287e-01 cycle=25 time=1.125000e-01 dt=3.125000e-03
elapsed=5.199543e-01 cycle=26 time=1.156250e-01 dt=3.125000e-03
elapsed=5.299371e-01 cycle=27 time=1.187500e-01 dt=3.125000e-03
elapsed=5.400377e-01 cycle=28 time=1.218750e-01 dt=3.125000e-03
elapsed=5.500423e-01 cycle=29 time=1.250000e-01 dt=3.125000e-03
elapsed=5.600813e-01 cycle=30 time=1.281250e-01 dt=3.125000e-03
elapsed=5.701377e-01 cycle=31 time=1.312500e-01 dt=3.125000e-03
FastFlow wall time: cycle=32 time=1.343750e-01 seconds=1.909681e-01
elapsed=7.744869e-01 cycle=32 time=1.343750e-01 dt=3.125000e-03
elapsed=7.848653e-01 cycle=33 time=1.375000e-01 dt=3.125000e-03
elapsed=7.951443e-01 cycle=34 time=1.406250e-01 dt=3.125000e-03
elapsed=8.053230e-01 cycle=35 time=1.437500e-01 dt=3.125000e-03
elapsed=8.154435e-01 cycle=36 time=1.468750e-01 dt=3.125000e-03
elapsed=8.256666e-01 cycle=37 time=1.500000e-01 dt=3.125000e-03
elapsed=8.357606e-01 cycle=38 time=1.531250e-01 dt=3.125000e-03
elapsed=8.458325e-01 cycle=39 time=1.562500e-01 dt=3.125000e-03
elapsed=8.589166e-01 cycle=40 time=1.593750e-01 dt=3.125000e-03
elapsed=8.692928e-01 cycle=41 time=1.625000e-01 dt=3.125000e-03
elapsed=8.795531e-01 cycle=42 time=1.656250e-01 dt=3.125000e-03
elapsed=8.896556e-01 cycle=43 time=1.687500e-01 dt=3.125000e-03
elapsed=8.996767e-01 cycle=44 time=1.718750e-01 dt=3.125000e-03
elapsed=9.099219e-01 cycle=45 time=1.750000e-01 dt=3.125000e-03
elapsed=9.201167e-01 cycle=46 time=1.781250e-01 dt=3.125000e-03
elapsed=9.300813e-01 cycle=47 time=1.812500e-01 dt=3.125000e-03
elapsed=9.432435e-01 cycle=48 time=1.843750e-01 dt=3.125000e-03
elapsed=9.536071e-01 cycle=49 time=1.875000e-01 dt=3.125000e-03
elapsed=9.638322e-01 cycle=50 time=1.906250e-01 dt=3.125000e-03
elapsed=9.738894e-01 cycle=51 time=1.937500e-01 dt=3.125000e-03
elapsed=9.838448e-01 cycle=52 time=1.968750e-01 dt=3.125000e-03
elapsed=9.938195e-01 cycle=53 time=2.000000e-01 dt=3.125000e-03
elapsed=1.003788e+00 cycle=54 time=2.031250e-01 dt=3.125000e-03
elapsed=1.013888e+00 cycle=55 time=2.062500e-01 dt=3.125000e-03
elapsed=1.026878e+00 cycle=56 time=2.093750e-01 dt=3.125000e-03
elapsed=1.037078e+00 cycle=57 time=2.125000e-01 dt=3.125000e-03
elapsed=1.047239e+00 cycle=58 time=2.156250e-01 dt=3.125000e-03
elapsed=1.057259e+00 cycle=59 time=2.187500e-01 dt=3.125000e-03
elapsed=1.067305e+00 cycle=60 time=2.218750e-01 dt=3.125000e-03
elapsed=1.077386e+00 cycle=61 time=2.250000e-01 dt=3.125000e-03
elapsed=1.087440e+00 cycle=62 time=2.281250e-01 dt=3.125000e-03
elapsed=1.097409e+00 cycle=63 time=2.312500e-01 dt=3.125000e-03
FastFlow wall time: cycle=64 time=2.343750e-01 seconds=6.600738e-02
elapsed=1.176415e+00 cycle=64 time=2.343750e-01 dt=3.125000e-03
elapsed=1.186528e+00 cycle=65 time=2.375000e-01 dt=3.125000e-03
elapsed=1.196806e+00 cycle=66 time=2.406250e-01 dt=3.125000e-03
elapsed=1.206974e+00 cycle=67 time=2.437500e-01 dt=3.125000e-03
elapsed=1.217176e+00 cycle=68 time=2.468750e-01 dt=3.125000e-03
