
Root grid = 4 x 4 x 4 MeshBlocks
Total number of MeshBlocks = 232
Number of logical  levels of refinement = 5 (6 levels total)
Number of physical levels of refinement = 3 (4 levels total)
  Physical level = 0 (logical level = 2): 56 MeshBlocks, cost = 56
  Physical level = 1 (logical level = 3): 56 MeshBlocks, cost = 56
  Physical level = 2 (logical level = 4): 56 MeshBlocks, cost = 56
  Physical level = 3 (logical level = 5): 64 MeshBlocks, cost = 64
Number of parallel ranks = 8
  Rank = 0: 29 MeshBlocks, cost = 29
  Rank = 1: 29 MeshBlocks, cost = 29
  Rank = 2: 29 MeshBlocks, cost = 29
  Rank = 3: 29 MeshBlocks, cost = 29
  Rank = 4: 29 MeshBlocks, cost = 29
  Rank = 5: 29 MeshBlocks, cost = 29
  Rank = 6: 29 MeshBlocks, cost = 29
  Rank = 7: 29 MeshBlocks, cost = 29
Load Balancing:
  Maximum normalized cost = 1, Average = 1
### WARNING in /pscratch/sd/h/hzhu/fo-gh-exact-pullback-20260818.20260818T063217.173370/src/parameter_input.cpp: input parameter <problem>/near_radius = 2.0 was not used by the code (check for a typo)

Setup complete, executing task list(s)...

elapsed=9.508391e+00 cycle=0 time=0.000000e+00 dt=2.069156e-03
elapsed=1.135260e+01 cycle=10 time=2.069156e-02 dt=2.069155e-03
elapsed=1.319508e+01 cycle=20 time=4.138311e-02 dt=2.069155e-03
elapsed=1.503685e+01 cycle=30 time=6.207466e-02 dt=2.069155e-03
elapsed=1.687758e+01 cycle=40 time=8.276621e-02 dt=2.069155e-03
elapsed=1.871863e+01 cycle=50 time=1.034578e-01 dt=2.069155e-03
elapsed=2.056052e+01 cycle=60 time=1.241493e-01 dt=2.069154e-03
elapsed=2.240077e+01 cycle=70 time=1.448408e-01 dt=2.069154e-03
elapsed=2.424470e+01 cycle=80 time=1.655324e-01 dt=2.069153e-03
elapsed=2.608557e+01 cycle=90 time=1.862239e-01 dt=2.069153e-03
elapsed=2.799574e+01 cycle=100 time=2.069154e-01 dt=2.069152e-03
elapsed=2.984527e+01 cycle=110 time=2.276069e-01 dt=2.069151e-03
elapsed=3.168652e+01 cycle=120 time=2.482985e-01 dt=2.069150e-03
elapsed=3.352908e+01 cycle=130 time=2.689899e-01 dt=2.069149e-03
elapsed=3.537030e+01 cycle=140 time=2.896814e-01 dt=2.069148e-03
elapsed=3.721264e+01 cycle=150 time=3.103729e-01 dt=2.069147e-03
elapsed=3.905312e+01 cycle=160 time=3.310644e-01 dt=2.069145e-03
elapsed=4.089402e+01 cycle=170 time=3.517558e-01 dt=2.069144e-03
elapsed=4.273445e+01 cycle=180 time=3.724472e-01 dt=2.069142e-03
elapsed=4.457585e+01 cycle=190 time=3.931387e-01 dt=2.069141e-03
elapsed=4.648211e+01 cycle=200 time=4.138301e-01 dt=2.069139e-03
elapsed=4.832865e+01 cycle=210 time=4.345214e-01 dt=2.069137e-03
elapsed=5.017060e+01 cycle=220 time=4.552128e-01 dt=2.069135e-03
elapsed=5.201235e+01 cycle=230 time=4.759041e-01 dt=2.069133e-03
elapsed=5.385364e+01 cycle=240 time=4.965954e-01 dt=2.069130e-03
elapsed=5.569572e+01 cycle=250 time=5.172867e-01 dt=2.069128e-03
elapsed=5.753759e+01 cycle=260 time=5.379780e-01 dt=2.069125e-03
elapsed=5.937820e+01 cycle=270 time=5.586693e-01 dt=2.069123e-03
elapsed=6.121932e+01 cycle=280 time=5.793605e-01 dt=2.069120e-03
elapsed=6.312824e+01 cycle=290 time=6.000517e-01 dt=2.069117e-03
elapsed=6.497077e+01 cycle=300 time=6.207428e-01 dt=2.069114e-03
elapsed=6.681330e+01 cycle=310 time=6.414339e-01 dt=2.069111e-03
elapsed=6.865586e+01 cycle=320 time=6.621250e-01 dt=2.069108e-03
elapsed=7.049694e+01 cycle=330 time=6.828161e-01 dt=2.069104e-03
elapsed=7.233767e+01 cycle=340 time=7.035071e-01 dt=2.069101e-03
elapsed=7.418054e+01 cycle=350 time=7.241981e-01 dt=2.069097e-03
elapsed=7.602309e+01 cycle=360 time=7.448891e-01 dt=2.069093e-03
elapsed=7.786349e+01 cycle=370 time=7.655800e-01 dt=2.069089e-03
elapsed=7.970647e+01 cycle=380 time=7.862708e-01 dt=2.069085e-03
elapsed=8.161537e+01 cycle=390 time=8.069617e-01 dt=2.069080e-03
elapsed=8.346049e+01 cycle=400 time=8.276525e-01 dt=2.069076e-03
elapsed=8.530329e+01 cycle=410 time=8.483432e-01 dt=2.069071e-03
elapsed=8.714694e+01 cycle=420 time=8.690339e-01 dt=2.069066e-03
elapsed=8.899105e+01 cycle=430 time=8.897245e-01 dt=2.069062e-03
elapsed=9.083438e+01 cycle=440 time=9.104151e-01 dt=2.069056e-03
elapsed=9.267806e+01 cycle=450 time=9.311057e-01 dt=2.069051e-03
elapsed=9.452176e+01 cycle=460 time=9.517961e-01 dt=2.069046e-03
elapsed=9.636452e+01 cycle=470 time=9.724866e-01 dt=2.069040e-03
elapsed=9.820867e+01 cycle=480 time=9.931770e-01 dt=2.069034e-03
elapsed=1.001175e+02 cycle=490 time=1.013867e+00 dt=2.069029e-03
elapsed=1.019585e+02 cycle=500 time=1.034558e+00 dt=2.069022e-03
elapsed=1.037997e+02 cycle=510 time=1.055248e+00 dt=2.069016e-03
elapsed=1.056412e+02 cycle=520 time=1.075938e+00 dt=2.069010e-03
elapsed=1.074834e+02 cycle=530 time=1.096628e+00 dt=2.069003e-03
elapsed=1.093237e+02 cycle=540 time=1.117318e+00 dt=2.068996e-03
elapsed=1.111648e+02 cycle=550 time=1.138008e+00 dt=2.068990e-03
elapsed=1.130057e+02 cycle=560 time=1.158698e+00 dt=2.068982e-03
elapsed=1.148482e+02 cycle=570 time=1.179388e+00 dt=2.068975e-03
elapsed=1.167602e+02 cycle=580 time=1.200077e+00 dt=2.068968e-03
elapsed=1.185974e+02 cycle=590 time=1.220767e+00 dt=2.068960e-03
elapsed=1.204392e+02 cycle=600 time=1.241456e+00 dt=2.068952e-03
elapsed=1.222816e+02 cycle=610 time=1.262146e+00 dt=2.068944e-03
elapsed=1.241236e+02 cycle=620 time=1.282835e+00 dt=2.068936e-03
elapsed=1.259645e+02 cycle=630 time=1.303525e+00 dt=2.068928e-03
elapsed=1.278071e+02 cycle=640 time=1.324214e+00 dt=2.068919e-03
elapsed=1.296501e+02 cycle=650 time=1.344903e+00 dt=2.068910e-03
elapsed=1.314924e+02 cycle=660 time=1.365592e+00 dt=2.068902e-03
elapsed=1.333333e+02 cycle=670 time=1.386281e+00 dt=2.068892e-03
elapsed=1.352405e+02 cycle=680 time=1.406970e+00 dt=2.068883e-03
elapsed=1.370842e+02 cycle=690 time=1.427659e+00 dt=2.068874e-03
elapsed=1.389275e+02 cycle=700 time=1.448347e+00 dt=2.068864e-03
elapsed=1.407690e+02 cycle=710 time=1.469036e+00 dt=2.068854e-03
elapsed=1.426109e+02 cycle=720 time=1.489725e+00 dt=2.068844e-03
elapsed=1.444516e+02 cycle=730 time=1.510413e+00 dt=2.068834e-03
elapsed=1.462934e+02 cycle=740 time=1.531101e+00 dt=2.068823e-03
elapsed=1.481338e+02 cycle=750 time=1.551789e+00 dt=2.068813e-03
elapsed=1.499752e+02 cycle=760 time=1.572478e+00 dt=2.068802e-03
elapsed=1.518158e+02 cycle=770 time=1.593165e+00 dt=2.068791e-03
elapsed=1.537237e+02 cycle=780 time=1.613853e+00 dt=2.068780e-03
elapsed=1.555657e+02 cycle=790 time=1.634541e+00 dt=2.068768e-03
elapsed=1.574086e+02 cycle=800 time=1.655229e+00 dt=2.068757e-03
elapsed=1.592524e+02 cycle=810 time=1.675916e+00 dt=2.068745e-03
elapsed=1.610937e+02 cycle=820 time=1.696604e+00 dt=2.068733e-03
elapsed=1.629340e+02 cycle=830 time=1.717291e+00 dt=2.068720e-03
elapsed=1.647748e+02 cycle=840 time=1.737978e+00 dt=2.068708e-03
elapsed=1.666170e+02 cycle=850 time=1.758665e+00 dt=2.068695e-03
elapsed=1.684608e+02 cycle=860 time=1.779352e+00 dt=2.068682e-03
elapsed=1.703711e+02 cycle=870 time=1.800039e+00 dt=2.068669e-03
elapsed=1.722098e+02 cycle=880 time=1.820725e+00 dt=2.068656e-03
elapsed=1.740534e+02 cycle=890 time=1.841412e+00 dt=2.068642e-03
elapsed=1.758946e+02 cycle=900 time=1.862098e+00 dt=2.068629e-03
elapsed=1.777361e+02 cycle=910 time=1.882784e+00 dt=2.068615e-03
elapsed=1.795777e+02 cycle=920 time=1.903471e+00 dt=2.068601e-03
elapsed=1.814196e+02 cycle=930 time=1.924156e+00 dt=2.068586e-03
elapsed=1.832619e+02 cycle=940 time=1.944842e+00 dt=2.068572e-03
elapsed=1.851039e+02 cycle=950 time=1.965528e+00 dt=2.068557e-03
elapsed=1.869469e+02 cycle=960 time=1.986213e+00 dt=2.068542e-03
elapsed=1.974182e+02 cycle=970 time=2.006899e+00 dt=2.068526e-03
elapsed=1.992634e+02 cycle=980 time=2.027584e+00 dt=2.068511e-03
elapsed=2.011050e+02 cycle=990 time=2.048269e+00 dt=2.068495e-03
elapsed=2.029476e+02 cycle=1000 time=2.068954e+00 dt=2.068479e-03
elapsed=2.047899e+02 cycle=1010 time=2.089639e+00 dt=2.068463e-03
elapsed=2.066323e+02 cycle=1020 time=2.110323e+00 dt=2.068447e-03
elapsed=2.084740e+02 cycle=1030 time=2.131008e+00 dt=2.068430e-03
elapsed=2.103158e+02 cycle=1040 time=2.151692e+00 dt=2.068413e-03
elapsed=2.121570e+02 cycle=1050 time=2.172376e+00 dt=2.068396e-03
elapsed=2.139992e+02 cycle=1060 time=2.193060e+00 dt=2.068379e-03
elapsed=2.159044e+02 cycle=1070 time=2.213743e+00 dt=2.068361e-03
elapsed=2.177467e+02 cycle=1080 time=2.234427e+00 dt=2.068343e-03
elapsed=2.195880e+02 cycle=1090 time=2.255110e+00 dt=2.068325e-03
elapsed=2.214290e+02 cycle=1100 time=2.275793e+00 dt=2.068307e-03
elapsed=2.232721e+02 cycle=1110 time=2.296476e+00 dt=2.068288e-03
elapsed=2.251140e+02 cycle=1120 time=2.317159e+00 dt=2.068269e-03
elapsed=2.269555e+02 cycle=1130 time=2.337842e+00 dt=2.068250e-03
elapsed=2.287980e+02 cycle=1140 time=2.358524e+00 dt=2.068231e-03
elapsed=2.306400e+02 cycle=1150 time=2.379206e+00 dt=2.068211e-03
elapsed=2.324836e+02 cycle=1160 time=2.399889e+00 dt=2.068192e-03
elapsed=2.343971e+02 cycle=1170 time=2.420570e+00 dt=2.068172e-03
elapsed=2.362409e+02 cycle=1180 time=2.441252e+00 dt=2.068151e-03
elapsed=2.380863e+02 cycle=1190 time=2.461933e+00 dt=2.068131e-03
elapsed=2.399297e+02 cycle=1200 time=2.482615e+00 dt=2.068110e-03
elapsed=2.417708e+02 cycle=1210 time=2.503296e+00 dt=2.068089e-03
elapsed=2.436126e+02 cycle=1220 time=2.523976e+00 dt=2.068067e-03
elapsed=2.454527e+02 cycle=1230 time=2.544657e+00 dt=2.068046e-03
