# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     57     35     37      0      0      0      0      0      0   1215    210      0      1      0 
    1     54     31     34      0      0      0      0      0      0   1215    210      0      1      0 
    2     55     33     37      0      0      0      0      0      0   1215    210      0      1      0 
    3     54     31     35      0      0      0      0      0      0   1215    210      0      1      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     54     34     36      0      0      0      0      0      0   1215    210      0      1      0 
    1     52     31     34      0      0      0      0      0      0   1215    210      0      1      0 
    2     54     35     38      0      0      0      0      0      0   1215    210      0      1      0 
    3     53     33     43      0      0      0      0      0      0   1215    210      0      1      0 
    0    106     37     37      0      0      0      0      0      0   1215   1410     21     21      0 
    1    102     34     34      0      0      0      0      0      0   1215   1410     21     21      0 
    0     54     33     36      0      0      0      0      0      0   1215    210      4      5      0 
    1     99     34     33      0      0      0      0      0      0   1215   1410      4      9      0 
    2     55     33     36      0      0      0      0      0      0   1215   1410     10     15      0 
    2    102     37     38      0      0      0      0      0      0   1215   1410      8     11      0 
    3    102     36     43      0      0      0      0      0      0   1215   1410     12     15      0 
    3    103     33     35      0      0      0      0      0      0   1215   1410     21     22      0 
    0    109     37     36     23      0      0      0      0      0   1215   1410  39345  39345      0 
    1    101     35     34     21      0      0      0      0      0   1215   1410  39345  39345      0 
    2    104     39     39     48      1      0      0      0      0   1215   1410  39345  39345      0 
    3    101     37     44     17      0      0      0      0      0   1215   1410  39345  39345      0 
    0    108     39     39     37      1      0      0      0      0   1215   1410  39345  39345      0 
    1    104     35     35     26      1      0      0      0      0   1215   1410  39345  39345      0 
    2    107     36     38     13      0      0      0      0      0   1215   1410  39345  39345      0 
    3    105     34     37     27      1      0      0      0      0   1215   1410  39345  39345      0 
    0    107     37     36      0      0      0      0      0      0   1215   1410  39345  39345      0 
    1     99     35     34      0      0      0      0      0      0   1215   1410  39345  39345      0 
    2    102     39     39      0      0      0      0      0      0   1215   1410  39345  39345      0 
    3     99     37     44      0      0      0      0      0      0   1215   1410  39345  39345      0 
    0    106     39     39      0      0      0      0      0      0   1215   1410  39345  39345      0 
    1    102     34     35      0      0      0      0      0      0   1215   1410  39345  39345      0 
    2    105     37     38      0      0      0      0      0      0   1215   1410  39345  39345      0 
    3    103     34     36      0      0      0      0      0      0   1215   1410  39345  39345      0 
    0    107     37     36      0      0      0      0      0      0   1215   1410  39345  39345      0 
    1     99     35     34      0      0      0      0      0      0   1215   1410  39345  39345      0 
    2    102     39     39      0      0      0      0      0      0   1215   1410  39345  39345      0 
    3     99     37     44      0      0      0      0      0      0   1215   1410  39345  39345      0 
    0    107     39     39      0      0      0      0      0      0   1215   1410  39345  39345      0 
    1    102     35     35      0      0      0      0      0      0   1215   1410  39345  39345      0 
    2    105     37     37      0      0      0      0      0      0   1215   1410  39345  39345      0 
    3    103     34     36      0      0      0      0      0      0   1215   1410  39345  39345      0 
    0    107     37     37      0      0      0      0      0      0   1215   1410  39345  39345      0 
    1    100     35     34      0      0      0      0      0      0   1215   1410  39345  39345      0 
    2    102     39     39      0      0      0      0      0      0   1215   1410  39345  39345      0 
    3     99     37     44      0      0      0      0      0      0   1215   1410  39345  39345      0 
    0    107     39     39      0      0      0      0      0      0   1215   1410  39345  39345      0 
