
Root grid = 4 x 4 x 4 MeshBlocks
Total number of MeshBlocks = 232
Number of logical  levels of refinement = 5 (6 levels total)
Number of physical levels of refinement = 3 (4 levels total)
  Physical level = 0 (logical level = 2): 56 MeshBlocks, cost = 56
  Physical level = 1 (logical level = 3): 56 MeshBlocks, cost = 56
  Physical level = 2 (logical level = 4): 56 MeshBlocks, cost = 56
  Physical level = 3 (logical level = 5): 64 MeshBlocks, cost = 64
Number of parallel ranks = 8
  Rank = 0: 29 MeshBlocks, cost = 29
  Rank = 1: 29 MeshBlocks, cost = 29
  Rank = 2: 29 MeshBlocks, cost = 29
  Rank = 3: 29 MeshBlocks, cost = 29
  Rank = 4: 29 MeshBlocks, cost = 29
  Rank = 5: 29 MeshBlocks, cost = 29
  Rank = 6: 29 MeshBlocks, cost = 29
  Rank = 7: 29 MeshBlocks, cost = 29
Load Balancing:
  Maximum normalized cost = 1, Average = 1
### WARNING in /pscratch/sd/h/hzhu/fo-gh-20m-20260817.57196231/src/src/parameter_input.cpp: input parameter <problem>/near_radius = 2.0 was not used by the code (check for a typo)

Setup complete, executing task list(s)...

elapsed=8.898694e+00 cycle=0 time=0.000000e+00 dt=2.069156e-03
elapsed=1.074144e+01 cycle=10 time=2.069156e-02 dt=2.069155e-03
elapsed=1.258309e+01 cycle=20 time=4.138311e-02 dt=2.069155e-03
elapsed=1.442233e+01 cycle=30 time=6.207466e-02 dt=2.069155e-03
elapsed=1.626021e+01 cycle=40 time=8.276621e-02 dt=2.069155e-03
elapsed=1.809914e+01 cycle=50 time=1.034578e-01 dt=2.069155e-03
elapsed=1.993845e+01 cycle=60 time=1.241493e-01 dt=2.069154e-03
elapsed=2.177822e+01 cycle=70 time=1.448408e-01 dt=2.069154e-03
elapsed=2.361739e+01 cycle=80 time=1.655324e-01 dt=2.069153e-03
elapsed=2.545582e+01 cycle=90 time=1.862239e-01 dt=2.069153e-03
elapsed=2.735908e+01 cycle=100 time=2.069154e-01 dt=2.069152e-03
elapsed=2.920230e+01 cycle=110 time=2.276069e-01 dt=2.069151e-03
elapsed=3.104019e+01 cycle=120 time=2.482985e-01 dt=2.069150e-03
elapsed=3.287888e+01 cycle=130 time=2.689899e-01 dt=2.069149e-03
elapsed=3.471786e+01 cycle=140 time=2.896814e-01 dt=2.069148e-03
elapsed=3.655597e+01 cycle=150 time=3.103729e-01 dt=2.069147e-03
elapsed=3.839559e+01 cycle=160 time=3.310644e-01 dt=2.069145e-03
elapsed=4.023340e+01 cycle=170 time=3.517558e-01 dt=2.069144e-03
elapsed=4.207278e+01 cycle=180 time=3.724472e-01 dt=2.069142e-03
elapsed=4.391154e+01 cycle=190 time=3.931387e-01 dt=2.069141e-03
elapsed=4.581327e+01 cycle=200 time=4.138301e-01 dt=2.069139e-03
elapsed=4.765221e+01 cycle=210 time=4.345214e-01 dt=2.069137e-03
elapsed=4.949299e+01 cycle=220 time=4.552128e-01 dt=2.069135e-03
elapsed=5.133024e+01 cycle=230 time=4.759041e-01 dt=2.069133e-03
elapsed=5.317004e+01 cycle=240 time=4.965954e-01 dt=2.069130e-03
elapsed=5.500837e+01 cycle=250 time=5.172867e-01 dt=2.069128e-03
elapsed=5.684679e+01 cycle=260 time=5.379780e-01 dt=2.069125e-03
elapsed=5.868653e+01 cycle=270 time=5.586693e-01 dt=2.069123e-03
elapsed=6.052575e+01 cycle=280 time=5.793605e-01 dt=2.069120e-03
elapsed=6.243012e+01 cycle=290 time=6.000517e-01 dt=2.069117e-03
