time	cycle	diagnostic	maximum	radius	r_over_r_core	level	rank	gid	x	y	z	i	j	k
3.55351134858106654e+00	995	reference_Ricci	6.08194173724915021e-01	2.52590742770461396e-01	8.41969142568204654e-01	3	3	7	-2.08333333333332593e-02	-1.04166666666666741e-01	-2.29166666666666741e-01	47	45	42
3.55351134858106654e+00	995	reference_Riemann	8.71055829930838521e-01	2.15501675683095889e-01	7.18338918943652982e-01	3	3	9	-1.87500000000000000e-01	2.08333333333333322e-02	-1.04166666666666741e-01	43	0	45
3.55351134858106654e+00	995	spin_connection	1.45149799156521442e+00	2.52590742770461396e-01	8.41969142568204654e-01	3	4	11	-1.04166666666666741e-01	-2.29166666666666741e-01	2.08333333333333322e-02	45	42	0
3.55351134858106654e+00	995	spin_derivative	9.69826157063973349e-01	3.60242009703970412e-01	1.20080669901323467e+00	3	3	7	-1.87500000000000000e-01	-2.70833333333333259e-01	-1.45833333333333259e-01	43	41	44
3.55351134858106654e+00	995	Psi	2.25689593899485219e+00	6.04884630873249063e-01	2.01628210291083043e+00	3	3	7	-2.08333333333332593e-02	-6.04166666666666741e-01	-2.08333333333332593e-02	47	33	47
3.55351134858106654e+00	995	Q	1.22884311644993471e+00	4.97825131056188419e-01	1.65941710352062821e+00	3	5	13	-2.29166666666666741e-01	4.37500000000000000e-01	6.25000000000000000e-02	42	10	1
3.55351134858106654e+00	995	Delta	9.87883393294447076e-01	5.01300392313165255e-01	1.67100130771055100e+00	3	3	9	-3.54166666666666741e-01	3.54166666666666685e-01	-2.08333333333332593e-02	39	8	47
3.55351134858106654e+00	995	Pi	1.17878288664198227e+00	5.21666001064538198e-01	1.73888667021512733e+00	3	4	10	5.20833333333333370e-01	2.08333333333333322e-02	-2.08333333333332593e-02	12	0	47
3.55351134858106654e+00	995	Phi	5.32651268499324981e-01	6.62421378982693376e-01	2.20807126327564474e+00	3	3	9	-3.95833333333333259e-01	3.54166666666666685e-01	-3.95833333333333259e-01	38	8	38
3.55351134858106654e+00	995	GH_constraint	4.30957016034566112e-02	3.96928310067867662e-01	1.32309436689289228e+00	3	5	14	2.29166666666666657e-01	2.29166666666666657e-01	2.29166666666666657e-01	5	5	5
3.55351134858106654e+00	995	reduction_constraint	7.06293234278694299e-03	5.95862470150061885e+00	1.98620823383353979e+01	2	2	6	-5.95833333333333304e+00	-4.16666666666667407e-02	4.16666666666665186e-02	0	23	24
3.55351134858106654e+00	995	curl_constraint	2.60015439585043698e-03	3.45481748995354165e-01	1.15160582998451400e+00	3	4	12	3.12500000000000000e-01	-1.04166666666666741e-01	1.04166666666666671e-01	7	45	2
3.55351134858106654e+00	995	source_curvature	1.31596686186915957e+00	3.24759526419164501e-01	1.08253175473054841e+00	3	3	7	-6.25000000000000000e-02	-3.12500000000000000e-01	-6.25000000000000000e-02	46	40	46
3.55351134858106654e+00	995	source_QQ	1.46964566653731854e+00	5.04751726649404930e-01	1.68250575549801651e+00	3	3	7	-4.79166666666666741e-01	-1.45833333333333259e-01	-6.25000000000000000e-02	36	44	46
3.55351134858106654e+00	995	source_DeltaDelta	7.65645157452070402e-01	4.97825131056188419e-01	1.65941710352062821e+00	3	5	13	-2.29166666666666741e-01	4.37500000000000000e-01	6.25000000000000000e-02	42	10	1
3.55351134858106654e+00	995	source_damping	0.00000000000000000e+00	1.03201360617645594e+01	3.44004535392151993e+01	2	0	0	-5.95833333333333304e+00	-5.95833333333333304e+00	-5.95833333333333304e+00	0	0	0
3.55351134858106654e+00	995	source_frame_correction	1.65749080124280801e+00	5.47643309503954789e-01	1.82547769834651596e+00	3	3	8	3.12500000000000000e-01	-1.04166666666666741e-01	-4.37500000000000000e-01	7	45	37
3.55351134858106654e+00	995	shift_lapse_ratio	6.94151470581451813e-03	7.46228945357179985e-01	2.48742981785726691e+00	3	3	9	-4.79166666666666741e-01	3.12500000000000000e-01	-4.79166666666666741e-01	36	7	36
3.60344236396618678e+00	1009	reference_Ricci	6.08194173724915021e-01	2.52590742770461396e-01	8.41969142568204654e-01	3	3	7	-2.08333333333332593e-02	-1.04166666666666741e-01	-2.29166666666666741e-01	47	45	42
3.60344236396618678e+00	1009	reference_Riemann	8.71055829930838521e-01	2.15501675683095889e-01	7.18338918943652982e-01	3	3	9	-1.87500000000000000e-01	2.08333333333333322e-02	-1.04166666666666741e-01	43	0	45
3.60344236396618678e+00	1009	spin_connection	1.45149799156521442e+00	2.52590742770461396e-01	8.41969142568204654e-01	3	4	11	-1.04166666666666741e-01	-2.29166666666666741e-01	2.08333333333333322e-02	45	42	0
3.60344236396618678e+00	1009	spin_derivative	9.69826318228298123e-01	3.60242009703970412e-01	1.20080669901323467e+00	3	3	7	-1.87500000000000000e-01	-2.70833333333333259e-01	-1.45833333333333259e-01	43	41	44
