time	cycle	diagnostic	maximum	radius	r_over_r_core	level	rank	gid	x	y	z	i	j	k
1.55346038765156225e+00	435	reference_Ricci	7.40713378176840376e+00	4.30499548328579729e-01	1.43499849442859917e+00	3	3	7	-1.87500000000000000e-01	-2.29166666666666741e-01	-3.12500000000000000e-01	43	42	40
1.55346038765156225e+00	435	reference_Riemann	9.66446277318177849e+00	4.26447697717890095e-01	1.42149232572630035e+00	3	3	7	-2.29166666666666741e-01	-6.25000000000000000e-02	-3.54166666666666741e-01	42	46	39
1.55346038765156225e+00	435	spin_connection	1.56084075979146197e+00	4.30499548328579673e-01	1.43499849442859895e+00	3	3	8	2.29166666666666657e-01	-3.12500000000000000e-01	-1.87500000000000000e-01	5	40	43
1.55346038765156225e+00	435	spin_derivative	7.07121831444203774e+00	4.26447697717889929e-01	1.42149232572629991e+00	3	3	7	-2.70833333333333259e-01	-1.87500000000000000e-01	-2.70833333333333259e-01	41	43	41
1.55346038765156225e+00	435	Psi	2.17388463784078079e+00	4.83674448593495843e-01	1.61224816197831955e+00	3	3	7	-2.08333333333332593e-02	-6.25000000000000000e-02	-4.79166666666666741e-01	47	46	36
1.55346038765156225e+00	435	Q	2.43940104448355877e+00	4.57859603663248016e-01	1.52619867887749350e+00	3	4	10	2.29166666666666657e-01	2.08333333333333322e-02	-3.95833333333333259e-01	5	0	38
1.55346038765156225e+00	435	Delta	1.63240299818768508e+00	4.54051973285486854e-01	1.51350657761828966e+00	3	4	11	-1.04166666666666741e-01	-6.25000000000000000e-02	4.37500000000000000e-01	45	46	10
1.55346038765156225e+00	435	Pi	2.23033781669190523e+00	4.54051973285486854e-01	1.51350657761828966e+00	3	3	9	-4.37500000000000000e-01	1.04166666666666671e-01	-6.25000000000000000e-02	37	2	46
1.55346038765156225e+00	435	Phi	3.44594912358062833e-01	3.96928310067867718e-01	1.32309436689289250e+00	3	5	14	2.08333333333333322e-02	3.95833333333333315e-01	2.08333333333333322e-02	0	9	0
1.55346038765156225e+00	435	GH_constraint	6.81223847603755657e-03	6.02007636533328672e-01	2.00669212177776224e+00	3	4	10	1.87500000000000000e-01	1.04166666666666671e-01	-5.62500000000000000e-01	4	2	34
1.55346038765156225e+00	435	reduction_constraint	4.24450032346171955e-04	5.95862470150061796e+00	1.98620823383353944e+01	2	1	3	4.16666666666665186e-02	4.16666666666665186e-02	-5.95833333333333304e+00	24	24	0
1.55346038765156225e+00	435	curl_constraint	1.20546988864594102e-02	6.02007636533328672e-01	2.00669212177776224e+00	3	5	14	1.87500000000000000e-01	5.62500000000000000e-01	1.04166666666666671e-01	4	13	2
1.55346038765156225e+00	435	source_curvature	1.50191339276116604e+01	4.34513616971129335e-01	1.44837872323709793e+00	3	3	8	1.45833333333333343e-01	-1.04166666666666741e-01	-3.95833333333333259e-01	3	45	38
1.55346038765156225e+00	435	source_QQ	6.30854497762671595e+00	4.57859603663248071e-01	1.52619867887749372e+00	3	5	14	2.29166666666666657e-01	2.08333333333333322e-02	3.95833333333333315e-01	5	0	9
1.55346038765156225e+00	435	source_DeltaDelta	2.82047159384340507e+00	4.50212141353631468e-01	1.50070713784543819e+00	3	4	12	4.37500000000000000e-01	-1.04166666666666741e-01	2.08333333333333322e-02	10	45	0
1.55346038765156225e+00	435	source_damping	0.00000000000000000e+00	1.03201360617645594e+01	3.44004535392151993e+01	2	0	0	-5.95833333333333304e+00	-5.95833333333333304e+00	-5.95833333333333304e+00	0	0	0
1.55346038765156225e+00	435	source_frame_correction	6.46466794421217905e-01	4.61635829295007072e-01	1.53878609765002361e+00	3	5	13	-1.04166666666666741e-01	4.37500000000000000e-01	1.04166666666666671e-01	45	10	2
1.55346038765156225e+00	435	shift_lapse_ratio	5.38973777978071569e-02	5.44463931057165729e-01	1.81487977019055258e+00	3	3	7	-1.45833333333333259e-01	-6.25000000000000000e-02	-5.20833333333333259e-01	44	46	35
1.60331193441302977e+00	449	reference_Ricci	7.59043357211099856e+00	4.30499548328579729e-01	1.43499849442859917e+00	3	3	7	-1.87500000000000000e-01	-2.29166666666666741e-01	-3.12500000000000000e-01	43	42	40
1.60331193441302977e+00	449	reference_Riemann	1.00038402621265217e+01	4.26447697717890040e-01	1.42149232572630013e+00	3	3	7	-1.45833333333333259e-01	-1.87500000000000000e-01	-3.54166666666666741e-01	44	43	39
1.60331193441302977e+00	449	spin_connection	1.60513597331146496e+00	4.34513616971129502e-01	1.44837872323709838e+00	3	3	7	-1.04166666666666741e-01	-3.54166666666666741e-01	-2.29166666666666741e-01	45	39	42
1.60331193441302977e+00	449	spin_derivative	7.39716964195625692e+00	4.26447697717890040e-01	1.42149232572630013e+00	3	4	11	-3.54166666666666741e-01	-6.25000000000000000e-02	2.29166666666666657e-01	39	46	5
1.60331193441302977e+00	449	Psi	2.19769129761832449e+00	4.80071609241788044e-01	1.60023869747262681e+00	3	3	8	2.08333333333333322e-02	-2.08333333333332593e-02	-4.79166666666666741e-01	0	47	36
1.60331193441302977e+00	449	Q	2.69545309214021911e+00	4.57859603663248016e-01	1.52619867887749350e+00	3	4	10	2.29166666666666657e-01	2.08333333333333322e-02	-3.95833333333333259e-01	5	0	38
1.60331193441302977e+00	449	Delta	1.80189952635260831e+00	4.54051973285486854e-01	1.51350657761828966e+00	3	4	11	-6.25000000000000000e-02	-1.04166666666666741e-01	4.37500000000000000e-01	46	45	10
1.60331193441302977e+00	449	Pi	2.44187346497403679e+00	4.50212141353631412e-01	1.50070713784543819e+00	3	4	10	1.04166666666666671e-01	4.37500000000000000e-01	-2.08333333333332593e-02	2	10	47
1.60331193441302977e+00	449	Phi	3.94788807544693476e-01	3.96928310067867718e-01	1.32309436689289250e+00	3	5	14	2.08333333333333322e-02	3.95833333333333315e-01	2.08333333333333322e-02	0	9	0
1.60331193441302977e+00	449	GH_constraint	7.59026151875167969e-03	6.02007636533328672e-01	2.00669212177776224e+00	3	5	13	-5.62500000000000000e-01	1.04166666666666671e-01	1.87500000000000000e-01	34	2	4
1.60331193441302977e+00	449	reduction_constraint	4.56134228484844672e-04	5.95862470150061796e+00	1.98620823383353944e+01	2	1	3	4.16666666666665186e-02	4.16666666666665186e-02	-5.95833333333333304e+00	24	24	0
1.60331193441302977e+00	449	curl_constraint	1.36131808641131811e-02	6.02007636533328672e-01	2.00669212177776224e+00	3	5	14	1.87500000000000000e-01	5.62500000000000000e-01	1.04166666666666671e-01	4	13	2
1.60331193441302977e+00	449	source_curvature	1.53962967886467261e+01	4.30499548328579729e-01	1.43499849442859917e+00	3	3	7	-1.87500000000000000e-01	-3.12500000000000000e-01	-2.29166666666666741e-01	43	40	42
1.60331193441302977e+00	449	source_QQ	7.42685215472311722e+00	4.54051973285486854e-01	1.51350657761828966e+00	3	4	11	-6.25000000000000000e-02	-1.04166666666666741e-01	4.37500000000000000e-01	46	45	10
1.60331193441302977e+00	449	source_DeltaDelta	3.32217742787804893e+00	4.50212141353631412e-01	1.50070713784543819e+00	3	4	10	1.04166666666666671e-01	4.37500000000000000e-01	-2.08333333333332593e-02	2	10	47
1.60331193441302977e+00	449	source_damping	0.00000000000000000e+00	1.03201360617645594e+01	3.44004535392151993e+01	2	0	0	-5.95833333333333304e+00	-5.95833333333333304e+00	-5.95833333333333304e+00	0	0	0
1.60331193441302977e+00	449	source_frame_correction	7.38282030685944668e-01	4.57859603663248071e-01	1.52619867887749372e+00	3	5	13	-3.95833333333333259e-01	2.29166666666666657e-01	2.08333333333333322e-02	38	5	0
1.60331193441302977e+00	449	shift_lapse_ratio	6.62818930404489581e-02	5.44463931057165729e-01	1.81487977019055258e+00	3	3	7	-6.25000000000000000e-02	-5.20833333333333259e-01	-1.45833333333333259e-01	46	35	44
1.65311769925376462e+00	463	reference_Ricci	7.73799755377195986e+00	4.30499548328579729e-01	1.43499849442859917e+00	3	3	7	-1.87500000000000000e-01	-2.29166666666666741e-01	-3.12500000000000000e-01	43	42	40
1.65311769925376462e+00	463	reference_Riemann	1.03051949044170428e+01	4.22356977764860364e-01	1.40785659254953455e+00	3	3	7	-2.29166666666666741e-01	-2.08333333333332593e-02	-3.54166666666666741e-01	42	47	39
1.65311769925376462e+00	463	spin_connection	1.65399443617140984e+00	4.34513616971129502e-01	1.44837872323709838e+00	3	3	7	-1.04166666666666741e-01	-2.29166666666666741e-01	-3.54166666666666741e-01	45	42	39
1.65311769925376462e+00	463	spin_derivative	7.70786804123766789e+00	4.26447697717890040e-01	1.42149232572630013e+00	3	3	8	1.45833333333333343e-01	-3.54166666666666741e-01	-1.87500000000000000e-01	3	39	43
1.65311769925376462e+00	463	Psi	2.22407996948393638e+00	4.80071609241788044e-01	1.60023869747262681e+00	3	3	8	2.08333333333333322e-02	-2.08333333333332593e-02	-4.79166666666666741e-01	0	47	36
1.65311769925376462e+00	463	Q	2.97240027830480669e+00	4.54051973285486854e-01	1.51350657761828966e+00	3	3	7	-6.25000000000000000e-02	-1.04166666666666741e-01	-4.37500000000000000e-01	46	45	37
1.65311769925376462e+00	463	Delta	1.98461687242724660e+00	4.50212141353631412e-01	1.50070713784543819e+00	3	4	10	1.04166666666666671e-01	4.37500000000000000e-01	-2.08333333333332593e-02	2	10	47
1.65311769925376462e+00	463	Pi	2.66530780349315899e+00	4.50212141353631412e-01	1.50070713784543819e+00	3	4	10	1.04166666666666671e-01	4.37500000000000000e-01	-2.08333333333332593e-02	2	10	47
1.65311769925376462e+00	463	Phi	4.50706714811306752e-01	3.96928310067867718e-01	1.32309436689289250e+00	3	5	14	2.08333333333333322e-02	3.95833333333333315e-01	2.08333333333333322e-02	0	9	0
1.65311769925376462e+00	463	GH_constraint	8.38795302656913239e-03	6.02007636533328672e-01	2.00669212177776224e+00	3	5	13	-5.62500000000000000e-01	1.04166666666666671e-01	1.87500000000000000e-01	34	2	4
1.65311769925376462e+00	463	reduction_constraint	4.88084299148303904e-04	5.95862470150061796e+00	1.98620823383353944e+01	2	1	3	4.16666666666665186e-02	4.16666666666665186e-02	-5.95833333333333304e+00	24	24	0
1.65311769925376462e+00	463	curl_constraint	1.52467935970726047e-02	6.02007636533328672e-01	2.00669212177776224e+00	3	5	14	1.87500000000000000e-01	5.62500000000000000e-01	1.04166666666666671e-01	4	13	2
1.65311769925376462e+00	463	source_curvature	1.57025571028360762e+01	4.30499548328579729e-01	1.43499849442859917e+00	3	3	9	-3.12500000000000000e-01	1.87500000000000000e-01	-2.29166666666666741e-01	40	4	42
1.65311769925376462e+00	463	source_QQ	8.68082106748166638e+00	4.54051973285486854e-01	1.51350657761828966e+00	3	3	8	6.25000000000000000e-02	-4.37500000000000000e-01	-1.04166666666666741e-01	1	37	45
1.65311769925376462e+00	463	source_DeltaDelta	3.88401100976450797e+00	4.50212141353631412e-01	1.50070713784543819e+00	3	4	10	1.04166666666666671e-01	4.37500000000000000e-01	-2.08333333333332593e-02	2	10	47
1.65311769925376462e+00	463	source_damping	0.00000000000000000e+00	1.03201360617645594e+01	3.44004535392151993e+01	2	0	0	-5.95833333333333304e+00	-5.95833333333333304e+00	-5.95833333333333304e+00	0	0	0
1.65311769925376462e+00	463	source_frame_correction	8.45712282489083589e-01	4.54051973285486854e-01	1.51350657761828966e+00	3	5	14	1.04166666666666671e-01	6.25000000000000000e-02	4.37500000000000000e-01	2	1	10
1.65311769925376462e+00	463	shift_lapse_ratio	8.06163572579585430e-02	5.44463931057165729e-01	1.81487977019055258e+00	3	3	8	1.45833333333333343e-01	-6.25000000000000000e-02	-5.20833333333333259e-01	3	46	35
