time	cycle	diagnostic	maximum	radius	r_over_r_core	level	rank	gid	x	y	z	i	j	k
3.55168123926387524e+00	1298	reference_Ricci	1.39182030698047061e+01	5.41265877365274206e-01	1.80421959121758069e+00	5	23	70	-2.29166666666666741e-01	-1.04166666666666741e-01	-4.79166666666666741e-01	42	45	36
3.55168123926387524e+00	1298	reference_Riemann	2.16206879794867781e+01	5.38048815422706550e-01	1.79349605140902191e+00	5	23	70	-2.08333333333332593e-02	-4.37500000000000000e-01	-3.12500000000000000e-01	47	37	40
3.55168123926387524e+00	1298	spin_connection	4.08580459667590823e+00	4.34513616971129446e-01	1.44837872323709815e+00	5	23	70	-2.29166666666666741e-01	-3.54166666666666741e-01	-1.04166666666666741e-01	42	39	45
3.55168123926387524e+00	1298	spin_derivative	1.96760591718160534e+01	5.31556284257211464e-01	1.77185428085737162e+00	5	23	70	-2.08333333333332593e-02	-2.29166666666666741e-01	-4.79166666666666741e-01	47	42	36
3.55168123926387524e+00	1298	Psi	7.89314580325143478e+00	4.61635829295007016e-01	1.53878609765002339e+00	5	49	148	-2.08333333333332593e-02	4.37500000000000000e-01	1.45833333333333343e-01	47	10	3
3.55168123926387524e+00	1298	Q	1.15360556512227674e+02	4.69097093716570879e-01	1.56365697905523637e+00	5	36	109	2.70833333333333315e-01	2.70833333333333315e-01	-2.70833333333333259e-01	6	6	41
3.55168123926387524e+00	1298	Delta	6.44497137325102045e+01	4.69097093716570879e-01	1.56365697905523637e+00	5	36	109	2.70833333333333315e-01	2.70833333333333315e-01	-2.70833333333333259e-01	6	6	41
3.55168123926387524e+00	1298	Pi	3.56449824331738228e+01	4.54051973285486854e-01	1.51350657761828966e+00	5	32	96	-4.37500000000000000e-01	6.25000000000000000e-02	-1.04166666666666741e-01	37	1	45
3.55168123926387524e+00	1298	Phi	2.96868657725751568e+01	4.83674448593495787e-01	1.61224816197831933e+00	5	45	135	3.54166666666666685e-01	-2.70833333333333259e-01	1.87500000000000000e-01	8	41	4
3.55168123926387524e+00	1298	GH_constraint	4.31551098024476421e+00	5.21666001064537976e-01	1.73888667021512666e+00	5	23	70	-2.08333333333332593e-02	-2.08333333333332593e-02	-5.20833333333333259e-01	47	47	35
3.55168123926387524e+00	1298	reduction_constraint	1.36764553081410001e-01	4.50212141353631412e-01	1.50070713784543819e+00	5	49	148	-2.70833333333333259e-01	6.25000000000000000e-02	3.54166666666666685e-01	41	1	8
3.55168123926387524e+00	1298	curl_constraint	1.11063108519652491e+01	4.80071609241787989e-01	1.60023869747262659e+00	5	45	135	1.87500000000000000e-01	-4.37500000000000000e-01	6.25000000000000000e-02	4	37	1
3.55168123926387524e+00	1298	source_curvature	4.23165549421329530e+01	4.83674448593495898e-01	1.61224816197831977e+00	5	49	148	-4.79166666666666741e-01	6.25000000000000000e-02	2.08333333333333322e-02	36	1	0
3.55168123926387524e+00	1298	source_QQ	2.07808839755240456e+02	4.72783571579592332e-01	1.57594523859864122e+00	5	45	135	2.70833333333333315e-01	-3.12500000000000000e-01	2.29166666666666657e-01	6	40	5
