time	cycle	diagnostic	maximum	radius	r_over_r_core	level	rank	gid	x	y	z	i	j	k
2.55122924630089321e+00	932	reference_Ricci	1.29102097578079942e+01	5.38048815422706550e-01	1.79349605140902191e+00	5	27	83	2.08333333333333322e-02	-3.12500000000000000e-01	-4.37500000000000000e-01	0	40	37
2.55122924630089321e+00	932	reference_Riemann	2.00718449603758167e+01	5.34812402208059812e-01	1.78270800736019952e+00	5	40	122	-2.70833333333333259e-01	-4.37500000000000000e-01	1.45833333333333343e-01	41	37	3
2.55122924630089321e+00	932	spin_connection	3.97264488678793271e+00	4.34513616971129502e-01	1.44837872323709838e+00	5	23	70	-1.04166666666666741e-01	-3.54166666666666741e-01	-2.29166666666666741e-01	45	39	42
2.55122924630089321e+00	932	spin_derivative	1.89207017822364882e+01	5.24983465348089595e-01	1.74994488449363206e+00	5	23	70	-1.04166666666666741e-01	-4.37500000000000000e-01	-2.70833333333333259e-01	45	37	41
2.55122924630089321e+00	932	Psi	5.14974324220961588e+00	4.61635829295007072e-01	1.53878609765002361e+00	5	36	109	2.08333333333333322e-02	1.45833333333333343e-01	-4.37500000000000000e-01	0	3	37
2.55122924630089321e+00	932	Q	3.04247913778347936e+01	4.72783571579592332e-01	1.57594523859864122e+00	5	53	161	2.29166666666666657e-01	2.70833333333333315e-01	3.12500000000000000e-01	5	6	7
2.55122924630089321e+00	932	Delta	2.03902742644259369e+01	4.72783571579592332e-01	1.57594523859864122e+00	5	36	109	2.70833333333333315e-01	2.29166666666666657e-01	-3.12500000000000000e-01	6	5	40
2.55122924630089321e+00	932	Pi	1.37317128152902299e+01	5.01300392313165255e-01	1.67100130771055100e+00	5	49	148	-4.79166666666666741e-01	2.08333333333333322e-02	1.45833333333333343e-01	36	0	3
2.55122924630089321e+00	932	Phi	9.08897556405215212e+00	5.18327304359363694e-01	1.72775768119787898e+00	5	40	122	-2.70833333333333259e-01	-6.25000000000000000e-02	4.37500000000000000e-01	41	46	10
2.55122924630089321e+00	932	GH_constraint	4.03159737118731099e-01	5.63271076441490659e-01	1.87757025480496886e+00	5	36	109	2.08333333333333322e-02	5.62500000000000000e-01	-2.08333333333332593e-02	0	13	47
2.55122924630089321e+00	932	reduction_constraint	2.86525557728409541e-02	4.38490941246858112e-01	1.46163647082286041e+00	5	23	70	-2.08333333333332593e-02	-2.08333333333332593e-02	-4.37500000000000000e-01	47	47	37
2.55122924630089321e+00	932	curl_constraint	1.24232356200540961e+00	4.72783571579592388e-01	1.57594523859864144e+00	5	53	161	1.45833333333333343e-01	4.37500000000000000e-01	1.04166666666666671e-01	3	10	2
2.55122924630089321e+00	932	source_curvature	2.71963024350529814e+01	4.72783571579592332e-01	1.57594523859864122e+00	5	53	161	2.29166666666666657e-01	3.12500000000000000e-01	2.70833333333333315e-01	5	7	6
2.55122924630089321e+00	932	source_QQ	8.03108699190543263e+01	4.72783571579592443e-01	1.57594523859864144e+00	5	49	148	-3.54166666666666741e-01	3.12500000000000000e-01	2.08333333333333322e-02	39	7	0
2.55122924630089321e+00	932	source_DeltaDelta	3.58994731136902345e+01	4.83674448593495843e-01	1.61224816197831955e+00	5	49	148	-6.25000000000000000e-02	2.08333333333333322e-02	4.79166666666666685e-01	46	0	11
2.55122924630089321e+00	932	source_damping	0.00000000000000000e+00	4.14248818143556505e+01	1.38082939381185497e+02	3	0	0	-2.39166666666666679e+01	-2.39166666666666679e+01	-2.39166666666666679e+01	0	0	0
2.55122924630089321e+00	932	source_frame_correction	2.81872489447491255e+01	4.54051973285486854e-01	1.51350657761828966e+00	5	23	70	-6.25000000000000000e-02	-4.37500000000000000e-01	-1.04166666666666741e-01	46	37	45
2.55122924630089321e+00	932	shift_lapse_ratio	1.20055492933769625e+00	5.69402098696518699e-01	1.89800699565506248e+00	5	49	148	-5.62500000000000000e-01	6.25000000000000000e-02	6.25000000000000000e-02	34	1	1
2.60024189567119679e+00	950	reference_Ricci	1.33564244234123919e+01	5.38048815422706550e-01	1.79349605140902191e+00	5	23	70	-3.12500000000000000e-01	-2.08333333333332593e-02	-4.37500000000000000e-01	40	47	37
2.60024189567119679e+00	950	reference_Riemann	2.08755755724381480e+01	5.34812402208059701e-01	1.78270800736019908e+00	5	23	70	-2.70833333333333259e-01	-1.45833333333333259e-01	-4.37500000000000000e-01	41	44	37
2.60024189567119679e+00	950	spin_connection	4.04614324185278473e+00	4.34513616971129280e-01	1.44837872323709771e+00	5	23	70	-1.04166666666666741e-01	-1.45833333333333259e-01	-3.95833333333333259e-01	45	44	38
2.60024189567119679e+00	950	spin_derivative	1.95340391701347507e+01	5.24983465348089595e-01	1.74994488449363206e+00	5	23	70	-6.25000000000000000e-02	-5.20833333333333259e-01	-2.08333333333332593e-02	46	35	47
2.60024189567119679e+00	950	Psi	5.35120941133277039e+00	4.61635829295007072e-01	1.53878609765002361e+00	5	36	109	2.08333333333333322e-02	1.45833333333333343e-01	-4.37500000000000000e-01	0	3	37
2.60024189567119679e+00	950	Q	3.42164844347010231e+01	4.69097093716570823e-01	1.56365697905523615e+00	5	23	70	-2.70833333333333259e-01	-2.70833333333333259e-01	-2.70833333333333259e-01	41	41	41
2.60024189567119679e+00	950	Delta	2.26988165423867230e+01	4.72783571579592332e-01	1.57594523859864122e+00	5	36	109	2.70833333333333315e-01	2.29166666666666657e-01	-3.12500000000000000e-01	6	5	40
2.60024189567119679e+00	950	Pi	1.44941890703187539e+01	5.01300392313165255e-01	1.67100130771055100e+00	5	32	96	-1.45833333333333259e-01	2.08333333333333322e-02	-4.79166666666666741e-01	44	0	36
2.60024189567119679e+00	950	Phi	1.01052225813879026e+01	5.21666001064538198e-01	1.73888667021512733e+00	5	27	83	1.45833333333333343e-01	-1.45833333333333259e-01	-4.79166666666666741e-01	3	44	36
2.60024189567119679e+00	950	GH_constraint	5.15591942326851571e-01	5.63271076441490659e-01	1.87757025480496886e+00	5	36	109	2.08333333333333322e-02	5.62500000000000000e-01	-2.08333333333332593e-02	0	13	47
2.60024189567119679e+00	950	reduction_constraint	3.20105522404155046e-02	4.38490941246858112e-01	1.46163647082286041e+00	5	32	96	-2.08333333333332593e-02	2.08333333333333322e-02	-4.37500000000000000e-01	47	0	37
2.60024189567119679e+00	950	curl_constraint	1.70242423128589526e+00	4.72783571579592388e-01	1.57594523859864144e+00	5	53	161	1.45833333333333343e-01	4.37500000000000000e-01	1.04166666666666671e-01	3	10	2
2.60024189567119679e+00	950	source_curvature	2.99503514577368186e+01	4.72783571579592332e-01	1.57594523859864122e+00	5	53	161	2.29166666666666657e-01	3.12500000000000000e-01	2.70833333333333315e-01	5	7	6
