quantity,n16,n24,n32,n48,p16_24,p24_32,p32_48
rhs_0.5_1,0.24112763424524866,0.12954295327355955,0.054743868663597491,0.01341428196974619,1.532349,2.994094,3.468475
rhs_1_1.5,0.01076223037535263,0.0025857193153371351,0.00090683098915811324,0.00020031938732187481,3.517045,3.642225,3.724224
rhs_1.5_2,0.0006002946029994914,0.00013568416470981985,0.000046524372954128677,0.0000100553927274827,3.667617,3.720613,3.778049
field_0.5_1,0.002457411832732577,0.001280529381169346,0.00053801550441889454,0.00013274419944085718,1.607623,3.014235,3.451501
field_1_1.5,0.00010645798486822305,0.000025678826137981599,0.0000090005076154747178,0.0000019878387097703502,3.507290,3.644251,3.724693
field_1.5_2,0.0000059669262687634439,0.0000013475258454345536,0.00000046198266710001611,0.000000099847951231914262,3.669765,3.721115,3.778078
gauge_0.5_1,0.23789362758975485,0.099722009982480597,0.04473252950249984,0.011598420178069446,2.144296,2.786706,3.329096
gauge_1_1.5,0.0034678032755126615,0.00089136969193508424,0.00032277185746636735,0.000073526957190342152,3.350516,3.531028,3.648387
gauge_1.5_2,0.00011465161052694357,0.000027218335302066354,0.0000095548802720654691,0.000002112467318321487,3.546562,3.638874,3.722134
constraint_0.5_1,0.0024595576550233635,0.0010512104057473729,0.00046658608144409345,0.0001218911681044263,2.096455,2.823447,3.310554
constraint_1_1.5,0.00006467228154729502,0.000015549540371696028,0.0000053957799754986618,0.0000011767450890396863,3.515226,3.679110,3.755847
constraint_1.5_2,0.0000044731411429138384,0.0000010269101672964924,0.00000035282595934164023,0.000000076077277948620414,3.629255,3.713595,3.783865
