kernel	calls	total_seconds	average_seconds	percent
ref_gh scalar source and pi rhs	81	3.565105221	0.0440136447037	59.8329329372
ref_gh stationary reference Ricci	1	0.642106152	0.642106152	10.7764264866
ref_gh stationary frame reference audits	1	0.631255942	0.631255942	10.5943281061
ref_gh flat constraints	2	0.314020979	0.1570104895	5.27019400906
ref_gh reference metric jets	1	0.250159777	0.250159777	4.19841553979
ref_gh reference connection	1	0.108733932	0.108733932	1.82487462727
ref_gh psi rhs	81	0.09889083	0.00122087444444	1.65967847587
ref_gh dissipation	81	0.070500876	0.000870381185185	1.18321169341
ref_gh reference coordinate spin derivative	1	0.053445217	0.053445217	0.896967659114
ref_gh dt	21	0.051460767	0.00245051271429	0.863662761669
ref_gh RK update	80	0.043255941	0.0005406992625	0.725961691606
ref_gh compatible phi rhs	81	0.037459449	0.000462462333333	0.628679537053
ref_gh rk4 base	60	0.023637994	0.000393966566667	0.396714941663
ref_gh to ADM	1	0.010800198	0.010800198	0.181259032366
SendBuff	162	0.009630436	5.94471358025e-05	0.161626991526
RecvBuff	162	0.008174284	5.04585432099e-05	0.13718848563
ref_gh exact trumpet x1 boundaries	81	0.006573423	8.11533703704e-05	0.110321337842
ref_gh reference provider profiles	1	0.006216794	0.006216794	0.104336056141
ref_gh minimum puncture radius	1	0.005725216	0.005725216	0.0960859340031
ref_gh reference spin connection	1	0.005654687	0.005654687	0.0949022503064
ref_gh reference coframe derivative	1	0.001828159	0.001828159	0.0306818755871
ref_gh exact trumpet x2 boundaries	81	0.001645116	2.03100740741e-05	0.0276098766236
ref_gh exact trumpet x3 boundaries	81	0.001631892	2.01468148148e-05	0.0273879390773
ref_gh reference spin derivative	1	0.001596056	0.001596056	0.026786505781
ref_gh reference frame jets	1	0.00147302	0.00147302	0.0247216004611
Kokkos::View::initialization [ref_gh reference workspace] via memset	2	0.001038251	0.0005191255	0.0174249001373
ref_gh reference structure coefficients	1	0.000891883	0.000891883	0.0149684153535
Kokkos::View::initialization [ref_gh reference diagnostic] via memset	2	0.000839695	0.0004198475	0.0140925474869
Kokkos::View::initialization [] via memset	105	0.000819488	7.80464761905e-06	0.0137534146981
Kokkos::View::initialization [ref_gh reference evolution] via memset	2	0.000784464	0.000392232	0.0131656091459
