time	quantity	L2_order	Linf_order	difference_64_96_L2	difference_96_128_L2
0.2	field	4.4018648047672997	4.9647009472065289	1.0102905230254189e-11	1.4632289928990693e-12
0.2	psi	4.7628301048951087	2.576997812220239	9.772869722405546e-13	1.2361075231709349e-13
0.2	dynamic_field	4.4012705476983918	4.9647009472065289	1.1284817019245107e-11	1.6347718350135078e-12
0.2	native_constraint	5.4194559235889166	4.1201071655017234	9.6744981885415388e-10	9.5476958104660931e-11
0.4	field	4.1972697642136634	4.6999603013513784	2.0811068882069794e-11	3.2536559948077318e-12
0.4	psi	3.695484405811249	1.9441664595139785	2.9858524783438797e-12	5.6256308893027701e-13
0.4	dynamic_field	4.1997769855906313	4.6999603013513784	2.3219537167269484e-11	3.6268067715869103e-12
0.4	native_constraint	4.4279432150068629	4.1426679252761129	9.2568799841629336e-10	1.3276706305815546e-10
0.6	field	4.0610037679635962	4.5093948832014714	3.4612409138690948e-11	5.6934212467122447e-12
0.6	psi	3.5714255828186703	1.3437672502741744	7.0344709822679326e-12	1.3876201159553499e-12
0.6	dynamic_field	4.0659116797104566	4.5093948832014714	3.8537678153724803e-11	6.3275140828837375e-12
0.6	native_constraint	5.4752068019363609	4.153294717784183	9.0774118948804969e-10	8.7708166570105584e-11
