kernel	calls	total_seconds	average_seconds	percent
ref_gh scalar source rhs	81	11.879959666	0.146666168716	72.0202973029
ref_gh pi rhs	81	2.110211532	0.0260519942222	12.7928095869
ref_gh stationary frame reference audits	1	0.728027553	0.728027553	4.41354703938
ref_gh stationary reference Ricci	1	0.650817577	0.650817577	3.94547428639
ref_gh flat constraints	2	0.288412457	0.1442062285	1.74845298157
ref_gh reference metric jets	1	0.268958942	0.268958942	1.63051925341
ref_gh reference connection	1	0.114549794	0.114549794	0.694439244897
ref_gh psi rhs	81	0.097893503	0.00120856176543	0.593463226164
ref_gh dissipation	81	0.070824692	0.00087437891358	0.429363021225
ref_gh reference coordinate spin derivative	1	0.055933019	0.055933019	0.339084708255
ref_gh dt	21	0.052635296	0.00250644266667	0.319092806131
ref_gh RK update	80	0.044535644	0.00055669555	0.269990000946
ref_gh compatible phi rhs	81	0.037821602	0.000466933358025	0.229287227995
ref_gh rk4 base	60	0.023834074	0.000397234566667	0.144490145058
ref_gh to ADM	1	0.010682043	0.010682043	0.0647581249678
SendBuff	162	0.00962494	5.94132098765e-05	0.0583496122724
RecvBuff	162	0.008263056	5.10065185185e-05	0.0500934150016
ref_gh exact trumpet x1 boundaries	81	0.006922388	8.54615802469e-05	0.0419658362337
ref_gh reference provider profiles	1	0.006486726	0.006486726	0.0393247071688
ref_gh reference spin connection	1	0.006251347	0.006251347	0.0378977607788
ref_gh minimum puncture radius	1	0.005976529	0.005976529	0.036231721952
ref_gh reference spin derivative	1	0.002127801	0.002127801	0.0128994428373
ref_gh reference coframe derivative	1	0.001833816	0.001833816	0.0111172072323
ref_gh exact trumpet x2 boundaries	81	0.001717746	2.12067407407e-05	0.0104135519892
ref_gh exact trumpet x3 boundaries	81	0.00165919	2.04838271605e-05	0.0100585658909
ref_gh reference frame jets	1	0.001454943	0.001454943	0.00882035211944
Kokkos::View::initialization [ref_gh reference workspace] via memset	2	0.001041659	0.0005208295	0.00631488599098
ref_gh reference structure coefficients	1	0.00092023	0.00092023	0.00557874269361
Kokkos::View::initialization [ref_gh reference diagnostic] via memset	2	0.000848137	0.0004240685	0.00514169076419
Kokkos::View::initialization [] via memset	105	0.000835383	7.95602857143e-06	0.00506437174143
Kokkos::View::initialization [ref_gh reference evolution] via memset	2	0.000787671	0.0003938355	0.00477512560579
ref_gh reference Ricci	1	0.000646268	0.000646268	0.00391789322573
ref_gh reference curvature	1	0.000586667	0.000586667	0.00355657198726
Kokkos::View::initialization [ref_gh reference table_mirror] via memset	1	0.000427286	0.000427286	0.0025903509455
ref_gh stationary initial RHS	1	0.00032613	0.00032613	0.00197710936903
ref_gh stationary trumpet error	1	0.000260599	0.000260599	0.001579838483
Kokkos::View::initialization [ref_gh reference provider] via memset	2	0.000167031	8.35155e-05	0.0010125979058
Kokkos::View::initialization [u_rhs ref_gh] via memset	2	0.000130951	6.54755e-05	0.000793868852864
Kokkos::View::initialization [u1 ref_gh] via memset	2	0.000129605	6.48025e-05	0.000785708949725
ref_gh reference spatial frame	1	0.000121187	0.000121187	0.000734676212263
ref_gh stationary trumpet data	1	0.000107329	0.000107329	0.000650664371475
ref_gh stationary trumpet constraints	1	7.4468e-05	7.4468e-05	0.000451449975449
Kokkos::View::initialization [u0 ref_gh] via memset	2	7.0735e-05	3.53675e-05	0.000428819278259
ref_gh cache metric condition	1	5.657e-05	5.657e-05	0.000342946300574
Kokkos::View::initialization [mb_gid] via memset	1	5.2603e-05	5.2603e-05	0.000318897016954
Kokkos::View::initialization [u_con ref_gh] via memset	2	4.7431e-05	2.37155e-05	0.000287542619454
Kokkos::View::initialization [u_adm] via memset	2	3.4188e-05	1.7094e-05	0.000207259114796
Kokkos::View::initialization [uin] via memset	2	2.092e-05	1.046e-05	0.000126824051759
