case	r_min	quantity	t0	t20	relative_change
n64	0	H_L1	0.00035810709457343386	0.00035810707955376362	4.1941839377682731e-08
n64	0	H_L2	0.018820106904749917	0.018820106904855062	5.5868470810529338e-12
n64	0	H_Linf	1.664525996273631	1.6645259962829173	5.5789753286905582e-12
n64	0	M_L1	0.00039465745770201266	0.00039465745763160966	1.783901253024236e-10
n64	0	M_L2	0.017509118058832256	0.017509118058929598	5.5595189205923171e-12
n64	0	M_Linf	1.6388985767194921	1.6388985767285895	5.5509167178565034e-12
n64	0.125	H_L1	0.00016334942941679222	0.00016334941439419902	9.1965997365829804e-08
n64	0.125	H_L2	0.006455381749017549	0.0064553817490534396	5.5597891420882073e-12
n64	0.125	H_Linf	0.46240816190144457	0.46240816190401068	5.5494565178420977e-12
n64	0.125	M_L1	0.00022451028912520902	0.00022451028905385234	3.1783258105901343e-10
n64	0.125	M_L2	0.0068839429289204931	0.0068839429289590612	5.6026186503321896e-12
n64	0.125	M_Linf	0.44011692964408866	0.4401169296465523	5.5976951506653855e-12
n64	0.25	H_L1	3.8975910601607666e-05	3.897589556409614e-05	3.8581552794685236e-07
n64	0.25	H_L2	0.0006300532067413211	0.0006300532067451491	6.0756656254369594e-12
n64	0.25	H_Linf	0.04389441038866404	0.043894410388923277	5.9059245574676494e-12
n64	0.25	M_L1	6.4238682438328413e-05	6.4238682366004349e-05	1.1258646863563024e-09
n64	0.25	M_L2	0.00090510277268202445	0.00090510277268700679	5.5047258872891063e-12
n64	0.25	M_Linf	0.054595937310673102	0.054595937310973258	5.4977668373620314e-12
n64	0.5	H_L1	8.6396572652936756e-06	8.6396421178976191e-06	1.75324038805977e-06
n64	0.5	H_L2	5.8424394912413509e-05	5.8424394914261078e-05	3.1623238821926741e-11
n64	0.5	H_Linf	0.001788985637099727	0.0017889856371089974	5.1819098283254026e-12
n64	0.5	M_L1	1.6011878372024478e-05	1.6011878298901571e-05	4.5667913473504902e-09
n64	0.5	M_L2	9.3896632827349872e-05	9.3896632827657352e-05	3.274662007127134e-12
n64	0.5	M_Linf	0.0023960354281226852	0.0023960354281381928	6.4721749651443917e-12
n96	0	H_L1	0.00012351620461192015	0.00012351617849154495	2.1147326608849725e-07
n96	0	H_L2	0.01141185083978778	0.011411850839884073	8.4379621482843775e-12
n96	0	H_Linf	1.8786092029412524	1.8786092029570411	8.4044641392577155e-12
n96	0	M_L1	0.00013057600928138339	0.00013057600916515394	8.9012870806882273e-10
n96	0	M_L2	0.010175751248430726	0.010175751248515249	8.3062827087610636e-12
n96	0	M_Linf	1.7440803285382815	1.744080328552557	8.1850987375102715e-12
n96	0.125	H_L1	2.9028959342236179e-05	2.9028933217047781e-05	8.9996985733135038e-07
n96	0.125	H_L2	0.001138597485849028	0.0011385974858588346	8.6128845109989052e-12
n96	0.125	H_Linf	0.13688254127523491	0.13688254127639832	8.4992775314231175e-12
n96	0.125	M_L1	3.7380091213012618e-05	3.7380091095987678e-05	3.1306756232820084e-09
n96	0.125	M_L2	0.0012558032883711941	0.001255803288381815	8.4574109496428233e-12
n96	0.125	M_Linf	0.15759209904638496	0.15759209904772198	8.4840156395589959e-12
n96	0.25	H_L1	8.4838402029552345e-06	8.48381405465866e-06	3.0821297842792983e-06
n96	0.25	H_L2	0.00014506342293310143	0.00014506342293593407	1.9526912771461181e-11
n96	0.25	H_Linf	0.012314807333796751	0.012314807333915989	9.6824862633055763e-12
n96	0.25	M_L1	1.2431810716852336e-05	1.2431810599513267e-05	9.4386145328231824e-09
n96	0.25	M_L2	0.00017963861255380133	0.0001796386125552653	8.1495345997198056e-12
n96	0.25	M_Linf	0.014837840690750045	0.014837840690866355	7.838724113664383e-12
n96	0.5	H_L1	1.7521840404473942e-06	1.7521577044536882e-06	1.503038099765829e-05
n96	0.5	H_L2	1.2140232345070191e-05	1.2140232363515808e-05	1.5193791798623082e-09
n96	0.5	H_Linf	0.00039545732649137744	0.00039545732659707067	2.6726836213165833e-10
n96	0.5	M_L1	3.209040501178441e-06	3.2090403829201796e-06	3.6851595162326365e-08
n96	0.5	M_L2	1.9144131217398155e-05	1.914413121723275e-05	8.6399954079770819e-12
n96	0.5	M_Linf	0.00052595630799386083	0.00052595630799722316	6.3927891465678412e-12
n128	0	H_L1	5.6655496932946282e-05	5.6655529095408869e-05	5.676847672026054e-07
n128	0	H_L2	0.0078216602263561415	0.0078216602264446176	1.1311677941099117e-11
n128	0	H_Linf	1.9922699045088319	1.9922699045312213	1.1238147802029615e-11
n128	0	M_L1	5.8459405073677811e-05	5.8459404913239051e-05	2.7444473657701454e-09
n128	0	M_L2	0.0068267897282429137	0.0068267897283179717	1.0994628272794775e-11
n128	0	M_Linf	1.7981670195492172	1.7981670195688915	1.0941287436310862e-11
n128	0.125	H_L1	8.7986170426894938e-06	8.7986492089067104e-06	3.6558264850549716e-06
n128	0.125	H_L2	0.00035083358691909166	0.00035083358692506936	1.7038546737740834e-11
n128	0.125	H_Linf	0.057996717807733411	0.057996717808366793	1.092100138577489e-11
n128	0.125	M_L1	1.1974099101780812e-05	1.1974098940805687e-05	1.3443610568926086e-08
n128	0.125	M_L2	0.00041687347595938817	0.00041687347596404482	1.1170411646143907e-11
n128	0.125	M_Linf	0.068791471828752254	0.068791471829535503	1.1385836721665718e-11
n128	0.25	H_L1	2.6263430138431995e-06	2.626375209107434e-06	1.2258590772329955e-05
n128	0.25	H_L2	4.3841538832780115e-05	4.3841538849726547e-05	3.8653826423135779e-10
n128	0.25	H_Linf	0.0030587154013483886	0.0030587154014651841	3.8184481674587625e-11
n128	0.25	M_L1	3.8540029272599646e-06	3.8540027660486882e-06	4.1829567691665448e-08
n128	0.25	M_L2	5.4359289090354065e-05	5.435928909095289e-05	1.1016059971997287e-11
n128	0.25	M_Linf	0.0037174830878617983	0.0037174830879163766	1.4681520370666528e-11
n128	0.5	H_L1	5.507727824466368e-07	5.5080521114423546e-07	5.887854053825937e-05
n128	0.5	H_L2	3.810593662313883e-06	3.8105938518306566e-06	4.9734185925164236e-08
n128	0.5	H_Linf	0.00013464969907145408	0.00013464969891652245	1.1506273252361565e-09
n128	0.5	M_L1	1.0103833769454964e-06	1.0103832145320889e-06	1.6074433845328252e-07
n128	0.5	M_L2	6.0129202599582962e-06	6.0129202595868443e-06	6.1775623723446211e-11
n128	0.5	M_Linf	0.00017829976990967457	0.00017829976990805374	9.0904662332335324e-12
