case	requested_time	actual_time	time_offset	regular_error_L1	regular_error_Linf	lapse_min	dt	GH-L2sq	Reduction-L2sq	Curl-L2sq	PsiError-L2sq	Pi-L2sq	Phi-L2sq	GHnear-L2sq	ReductionNear-L2sq	CurlNear-L2sq	Volume	alpha-max	minus-alpha-min	regular-max	G-condition-max	coordinate-g-max	char-speed-max	effective-CFL	minus-detg-margin	NearVolume	bad-state	Q-Linf	Delta-Linf	frame-Ricci-Linf	coordinate-Ricci-Linf	source-curvature-Linf	source-QQ-Linf	source-DeltaDelta-Linf	source-damping-Linf	source-frame-correction-Linf	GH-sqrt_integrated_L2	GH-RMS_L2	Reduction-sqrt_integrated_L2	Reduction-RMS_L2	Curl-sqrt_integrated_L2	Curl-RMS_L2	PsiError-sqrt_integrated_L2	PsiError-RMS_L2	Pi-sqrt_integrated_L2	Pi-RMS_L2	Phi-sqrt_integrated_L2	Phi-RMS_L2	GHnear-sqrt_integrated_L2	GHnear-RMS_L2	ReductionNear-sqrt_integrated_L2	ReductionNear-RMS_L2	CurlNear-sqrt_integrated_L2	CurlNear-RMS_L2
n64	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	not-recorded	not-recorded	2.8074385752412861e-02	5.1180434956951864e-03	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	4.1509780466467072e+02	7.4925629124855520e-01	-2.8074385752412861e-02	1.0000000000000000e+00	1.0000000000000000e+00	6.1934428818468496e+02	6.1058488514770426e-01	5.0000000000000003e-02	-5.1163959243783657e+00	3.1936225080035018e+02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	4.4411886910364192e-16	6.1749563366212519e-10	8.8817841970012523e-16	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00
n64	1.0000000000000001e-01	1.0236086991390370e-01	2.3608699139036904e-03	not-recorded	not-recorded	2.8074385752410811e-02	5.1180434956951872e-03	5.0344802107979512e-33	2.3972245141047501e-24	2.2391726970465850e-35	1.2996666324438189e-24	5.1013314178180757e-33	4.1947461263746578e-34	4.8387702816921777e-33	6.3475698116133136e-26	2.1132388182278911e-35	4.1509780466465332e+02	7.4925629124854476e-01	-2.8074385752410811e-02	9.9999999999997202e-01	1.0000000000000000e+00	6.1934428818466768e+02	6.1058488514770426e-01	5.0000000000000010e-02	-5.1163959243779367e+00	3.1936225080033682e+02	0.0000000000000000e+00	2.2506842963938780e-17	1.7793515291634639e-17	4.4411886910364192e-16	6.1749563366212519e-10	9.1584270974801989e-16	5.0559683330727260e-34	3.3447448608159341e-34	0.0000000000000000e+00	1.2265276607335401e-18	7.0954071136179013e-17	3.4825880124734963e-18	1.5482972951293140e-12	7.5993970654815620e-14	4.7319897475021913e-18	2.3225687414285368e-19	1.1400292243814714e-12	5.5955240441107883e-14	7.1423605466386784e-17	3.5056338307562557e-18	2.0481079381650417e-17	1.0052581958286616e-18	6.9561269983318866e-17	3.8924739261776718e-18	2.5194383921051361e-13	1.4098144344161586e-14	4.5969977357269727e-18	2.5723644535682042e-19
n64	5.0000000000000000e-01	5.0156826257812759e-01	1.5682625781275883e-03	not-recorded	not-recorded	2.8074385752409791e-02	5.1180434956951846e-03	3.8677554040741359e-32	5.9054491273589733e-23	3.1152818947852271e-33	3.2027622867744373e-23	3.9093679524275382e-32	2.4876354732514182e-32	3.8509198315090912e-32	1.5643037619867740e-24	3.0851176085199647e-33	4.1509780466458420e+02	7.4925629124850446e-01	-2.8074385752409791e-02	9.9999999999986422e-01	1.0000000000000000e+00	6.1934428818459889e+02	6.1058488514770437e-01	5.0000000000000010e-02	-5.1163959243762811e+00	3.1936225080028362e+02	0.0000000000000000e+00	8.0231642092955328e-17	6.3404179549897098e-17	4.4411886910364192e-16	6.1749563366212519e-10	8.9384836670489054e-16	5.9670449850095429e-33	3.9776380642869338e-33	0.0000000000000000e+00	5.5528733391581349e-17	1.9666609784287012e-16	9.6528216611146165e-18	7.6846920090261096e-12	3.7718225102014397e-13	5.5814710379838280e-17	2.7395135779518099e-18	5.6592952624637256e-12	2.7777114863894503e-13	1.9772121667710671e-16	9.7046093055021429e-18	1.5772239768819831e-16	7.7413758321679631e-18	1.9623760678088926e-16	1.0980963514802945e-17	1.2507212966871452e-12	6.9987221875588427e-14	5.5543835018118482e-17	3.1080934781639990e-18
n64	1.0000000000000000e+00	1.0031365251562590e+00	3.1365251562589513e-03	not-recorded	not-recorded	2.8074385752410811e-02	5.1180434956951846e-03	6.4557409082451964e-32	2.3871736412019761e-22	1.0099344768812570e-32	1.2942273080356390e-22	6.5411812795715365e-32	5.9507754417786773e-32	6.4468907843540920e-32	6.2571396221984508e-24	1.0019303875382070e-32	4.1509780466449678e+02	7.4925629124845883e-01	-2.8074385752410811e-02	9.9999999999974243e-01	1.0000000000000000e+00	6.1934428818451192e+02	6.1058488514770437e-01	5.0000000000000010e-02	-5.1163959243744106e+00	3.1936225080021632e+02	0.0000000000000000e+00	9.1786189060255683e-17	7.3099962518272522e-17	4.4411886910364192e-16	6.1749563366212519e-10	9.2842528050684120e-16	3.0504765188996370e-33	2.8355077505159139e-33	0.0000000000000000e+00	9.6382197707114616e-17	2.5408150086626133e-16	1.2470900893199037e-17	1.5450481032000188e-11	7.5834492887282640e-13	1.0049549626133785e-16	4.9325486893580307e-18	1.1376411156580264e-11	5.5838026605751725e-13	2.5575733185133785e-16	1.2553154508898678e-17	2.4394211284193382e-16	1.1973236550309176e-17	2.5390728198210647e-16	1.4208013669376413e-17	2.5014275168788025e-12	1.3997360010837714e-13	1.0009647284186426e-16	5.6011471718790512e-18
n64	2.0000000000000000e+00	2.0011550068168278e+00	1.1550068168277861e-03	not-recorded	not-recorded	2.8074385752404670e-02	5.1180434956951846e-03	1.0192544270818639e-31	9.7692285485097968e-22	1.6913827677402070e-32	5.1180797550057236e-22	1.0363526091423950e-31	8.6311281556221064e-32	1.0187508810431220e-31	2.5611261608711940e-23	1.6668444026927310e-32	4.1509780466432488e+02	7.4925629124838011e-01	-2.8074385752404670e-02	9.9999999999953249e-01	1.0000000000000000e+00	6.1934428818434094e+02	6.1058488514770426e-01	5.0000000000000003e-02	-5.1163959243711892e+00	3.1936225080008398e+02	0.0000000000000000e+00	1.3460600968910931e-16	1.0702231394491350e-16	4.4411886910364192e-16	6.1749563366212519e-10	9.0159836801045867e-16	1.0684623239057800e-32	7.9415367712398630e-33	0.0000000000000000e+00	2.4365149030605930e-16	3.1925764314764087e-16	1.5669894949129054e-17	3.1255765145825171e-11	1.5341044040822959e-12	1.3005317250033569e-16	6.3833070080605178e-18	2.2623173417992718e-11	1.1103970679628641e-12	3.2192430929372122e-16	1.5800781019581421e-17	2.9378781723587698e-16	1.4419777669320105e-17	3.1917877138730919e-16	1.7860442250593603e-17	5.0607570193313909e-12	2.8318724987625663e-13	1.2910632837675817e-16	7.2244658131137455e-18
n64	4.0000000000000000e+00	4.0023100136335739e+00	2.3100136335738597e-03	not-recorded	not-recorded	2.8074385752395469e-02	5.1180434956951872e-03	1.0623480262694849e-31	4.0123572203661751e-21	2.7349532474585061e-32	2.0390110714189351e-21	1.1022214915797541e-31	1.0874604314801491e-31	1.0618321577583150e-31	1.0380950424731550e-22	2.6686003185867088e-32	4.1509780466398081e+02	7.4925629124824455e-01	-2.8074385752395469e-02	9.9999999999917066e-01	1.0000000000000000e+00	6.1934428818399704e+02	6.1058488514770426e-01	5.0000000000000010e-02	-5.1163959243656363e+00	3.1936225079981801e+02	0.0000000000000000e+00	1.6356375440208670e-16	1.3377162936207191e-16	4.4411886910364192e-16	6.1749563366212519e-10	8.8230083298300978e-16	1.1652695749475540e-32	1.4463039825005110e-32	0.0000000000000000e+00	4.3367359403326412e-16	3.2593680772037466e-16	1.5997723614945520e-17	6.3343170274041181e-11	3.1090275996318484e-12	1.6537694057692886e-16	8.1170782954489668e-18	4.5155410212054712e-11	2.2163307585428707e-12	3.3199721257561097e-16	1.6295182139335071e-17	3.2976664953875322e-16	1.6185701006415661e-17	3.2585766183386190e-16	1.8234176182216420e-17	1.0188694923655114e-11	5.7013377331450436e-13	1.6335851121342619e-16	9.1411319211173866e-18
n64	8.0000000000000000e+00	8.0046200272674124e+00	4.6200272674123966e-03	not-recorded	not-recorded	2.8074385752380120e-02	5.1180434956951864e-03	1.0921532894285291e-31	1.6239837757931571e-20	2.9583145388217991e-32	8.1452413580323132e-21	1.1598988182820001e-31	1.1136133374472560e-31	1.0917343122343781e-31	4.2867595971846420e-22	2.7984797292348829e-32	4.1509780466329261e+02	7.4925629124803961e-01	-2.8074385752380120e-02	9.9999999999862355e-01	1.0000000000000000e+00	6.1934428818330628e+02	6.1058488514770426e-01	5.0000000000000003e-02	-5.1163959243572341e+00	3.1936225079928380e+02	0.0000000000000000e+00	1.3062989533962940e-16	9.9696216184672753e-17	4.4411886910364192e-16	6.1749563366212519e-10	9.1395158546719844e-16	1.1624895590442761e-32	8.2837928022957095e-33	0.0000000000000000e+00	4.2886216314502951e-16	3.3047742576892133e-16	1.6220587528641281e-17	1.2743562201335847e-10	6.2548316464431816e-12	1.7199751564548249e-16	8.4420312544650783e-18	9.0250990897786347e-11	4.4297249471670896e-12	3.4057287300693815e-16	1.6716095157291029e-17	3.3370845620799842e-16	1.6379173888731727e-17	3.3041403000392975e-16	1.8489139099158539e-17	2.0704491293399704e-11	1.1585713218546776e-12	1.6728657236116958e-16	9.3609363554275472e-18
n64	1.2000000000000000e+01	1.2001811997405561e+01	1.8119974055608168e-03	not-recorded	not-recorded	2.8074385752366829e-02	5.1180434956951846e-03	1.1748862490104930e-31	3.7170009599000549e-20	3.0456443897429160e-32	1.8251483306499139e-20	1.1613783170328099e-31	1.1232030169087920e-31	1.0878668467610351e-31	1.0163775604670430e-21	2.8034727328727191e-32	4.1509780466260872e+02	7.4925629124792015e-01	-2.8074385752366829e-02	9.9999999999830491e-01	1.0000000000000040e+00	6.1934428818261972e+02	6.1058488514770426e-01	5.0000000000000003e-02	-5.1163959243519406e+00	3.1936225079875271e+02	0.0000000000000000e+00	9.6584474902797374e-16	6.8640203147498047e-16	4.4411886910364192e-16	6.1749563366212519e-10	8.9286973755750451e-16	4.6824704494837282e-31	7.0005871129548857e-31	0.0000000000000000e+00	4.2986090189198179e-16	3.4276613733134332e-16	1.6823745584152307e-17	1.9279525305100369e-10	9.4628317499954895e-12	1.7451774665468598e-16	8.5657299536557975e-18	1.3509805071317328e-10	6.6309211633593248e-12	3.4079001115537555e-16	1.6726752794008255e-17	3.3514221114458142e-16	1.6449545858598757e-17	3.2982826542930416e-16	1.8456361185053578e-17	3.1880676913563853e-11	1.7839625939119288e-12	1.6743574089401339e-16	9.3692834518129750e-18
n64	1.6000000000000000e+01	1.6004122011039389e+01	4.1220110393886955e-03	not-recorded	not-recorded	2.8074385752350460e-02	5.1180434956951846e-03	3.0448956061004088e-31	6.6478439223240237e-20	4.2432326847451743e-32	3.2487617891829238e-20	1.1908291330118800e-31	1.1721072083887901e-31	1.3116548223849661e-31	1.8681776574627641e-21	3.0270669782072562e-32	4.1509780466192029e+02	7.4925629124783377e-01	-2.8074385752350460e-02	9.9999999999807387e-01	1.0000000000000051e+00	6.1934428818192714e+02	6.1058488514770437e-01	5.0000000000000010e-02	-5.1163959243488017e+00	3.1936225079821702e+02	0.0000000000000000e+00	1.1226220283645299e-15	7.9226699609555524e-16	4.4411886910364192e-16	6.1749563366212519e-10	8.9962237718398861e-16	6.1999907524004952e-31	8.9703247879311516e-31	0.0000000000000000e+00	4.2246088606345042e-16	5.5180572723562852e-16	2.7083886521508951e-17	2.5783413122245907e-10	1.2655088569638983e-11	2.0599108438826119e-16	1.0110513317727700e-17	1.8024321871246428e-10	8.8467492106970379e-12	3.4508392211343026e-16	1.6937507759730841e-17	3.4236051296678331e-16	1.6803836613095701e-17	3.6216775427762285e-16	2.0265997742288307e-17	4.3222420772820721e-11	2.4186180891376550e-12	1.7398468260761509e-16	9.7357457787802113e-18
n64	2.0000000000000000e+01	2.0000000000000000e+01	0.0000000000000000e+00	not-recorded	not-recorded	2.8074385752335129e-02	5.1180434956951872e-03	5.9497976666392870e-31	1.0443888959998220e-19	5.9211114979210893e-32	5.1002083945979322e-20	1.3108442981248069e-31	1.3849429762511530e-31	1.5668053230261310e-31	3.0120738808785188e-21	3.2148555932333728e-32	4.1509780466122618e+02	7.4925629124775661e-01	-2.8074385752335129e-02	9.9999999999786837e-01	1.0000000000000140e+00	6.1934428818122535e+02	6.1058488514770415e-01	5.0000000000000003e-02	-5.1163959243456469e+00	3.1936225079767439e+02	0.0000000000000000e+00	1.8745571278065840e-15	1.3581924588812909e-15	4.4411886910364192e-16	6.1749563366212519e-10	9.3381267279898281e-16	2.9435080738177511e-30	1.9603352953165931e-30	0.0000000000000000e+00	4.3053267113405552e-16	7.7134931559179381e-16	3.7859587715059014e-17	3.2317006296992022e-10	1.5861925457863210e-11	2.4333334128148343e-16	1.1943356650516645e-17	2.2583640969954184e-10	1.1084567250460357e-11	3.6205583797596842e-16	1.7770528188106164e-17	3.7214821996768344e-16	1.8265885367461496e-17	3.9582891797165743e-16	2.2149591903766272e-17	5.4882364024142756e-11	3.0710792230085322e-12	1.7930018386028980e-16	1.0033187876030941e-17
