scope	metric	scaling_variable	log_log_slope
n64	GH	time	0.34464328529159816
n64	GH	estimated_cycles	0.3446432852915961
n64	Reduction	time	1.0152218597789657
n64	Reduction	estimated_cycles	1.0152218597789646
n64	Curl	time	0.21772541319501607
n64	Curl	estimated_cycles	0.21772541319502237
n64	PsiError	time	0.99800266644720914
n64	PsiError	estimated_cycles	0.99800266644721003
n64	Pi	time	0.055164122094324239
n64	Pi	estimated_cycles	0.055164122094320346
n64	Phi	time	0.079712805645986859
n64	Phi	estimated_cycles	0.07971280564598146
n96	GH	time	0.92857999695139481
n96	GH	estimated_cycles	0.92857999695138971
n96	Reduction	time	1.0154081148910514
n96	Reduction	estimated_cycles	1.0154081148910528
n96	Curl	time	0.6725560360728764
n96	Curl	estimated_cycles	0.67255603607287251
n96	PsiError	time	1.0010746379962463
n96	PsiError	estimated_cycles	1.001074637996241
n96	Pi	time	0.13318520433448452
n96	Pi	estimated_cycles	0.13318520433447981
n96	Phi	time	0.32061306909713755
n96	Phi	estimated_cycles	0.32061306909713388
n128	GH	time	1.53732273101603
n128	GH	estimated_cycles	1.537322731016034
n128	Reduction	time	1.0124918833598291
n128	Reduction	estimated_cycles	1.012491883359826
n128	Curl	time	1.3097925159932622
n128	Curl	estimated_cycles	1.3097925159932644
n128	PsiError	time	1.0024425087976703
n128	PsiError	estimated_cycles	1.0024425087976683
n128	Pi	time	0.134010464395944
n128	Pi	estimated_cycles	0.13401046439594735
n128	Phi	time	0.40369371973356488
n128	Phi	estimated_cycles	0.40369371973357132
t20_across_resolution	GH	resolution_N	3.3973768700435341
t20_across_resolution	Reduction	resolution_N	1.4699446046725058
t20_across_resolution	Curl	resolution_N	3.8628281240274442
t20_across_resolution	PsiError	resolution_N	1.0122674238252884
t20_across_resolution	Pi	resolution_N	0.049113128091278206
t20_across_resolution	Phi	resolution_N	0.85032638199186106
