time	metric	coarse_medium_order	medium_fine_order
0.5	GH_L2	3.345	3.393
0.5	reduction_L2	3.315	1.874
0.5	common_all_H_L2	0.396	0.879
0.5	common_all_M_L2	2.366	2.999
0.5	common_r2to4_H_L2	3.815	3.449
0.5	common_interface_r2_H_L2	3.693	3.239
1.0	GH_L2	3.218	3.748
1.0	reduction_L2	2.794	3.962
1.0	common_all_H_L2	0.397	0.879
1.0	common_all_M_L2	3.116	2.686
1.0	common_r2to4_H_L2	2.319	1.996
1.0	common_interface_r2_H_L2	2.213	1.994
1.5	GH_L2	1.977	2.234
1.5	reduction_L2	2.983	3.483
1.5	common_all_H_L2	0.405	0.882
1.5	common_all_M_L2	2.447	3.437
1.5	common_r2to4_H_L2	1.900	1.761
1.5	common_interface_r2_H_L2	1.967	1.799
1.6	GH_L2	1.378	2.552
1.6	reduction_L2	2.100	2.684
1.6	common_all_H_L2	0.410	0.910
1.6	common_all_M_L2	2.369	3.009
1.6	common_r2to4_H_L2	1.632	1.620
1.6	common_interface_r2_H_L2	1.905	1.774
