target	resolution	metric	value	causal_distance	causally_clean_radius
0.0	medium	GH_L2	0.0	0.0	11.5
0.0	medium	reduction_L2	0.0	0.0	11.5
0.0	medium	curl_L2	0.0	0.0	11.5
0.0	medium	all.H_L2	0.020370965908784136	0.0	11.5
0.0	medium	all.M_L2	0.0	0.0	11.5
0.0	medium	lt1.H_L2	nan	0.0	11.5
0.0	medium	lt1.M_L2	nan	0.0	11.5
0.0	medium	lt2.H_L2	nan	0.0	11.5
0.0	medium	lt2.M_L2	nan	0.0	11.5
0.0	medium	r2to4.H_L2	0.11071889467534445	0.0	11.5
0.0	medium	r2to4.M_L2	0.0	0.0	11.5
0.0	medium	r4to8.H_L2	0.005985449393759697	0.0	11.5
0.0	medium	r4to8.M_L2	0.0	0.0	11.5
0.0	medium	gt8.H_L2	6.442163811489141e-05	0.0	11.5
0.0	medium	gt8.M_L2	0.0	0.0	11.5
0.0	medium	if4.H_L2	nan	0.0	11.5
0.0	medium	if4.M_L2	nan	0.0	11.5
0.0	medium	if2.H_L2	nan	0.0	11.5
0.0	medium	if2.M_L2	nan	0.0	11.5
0.0	medium	r0to1.H_L2	nan	0.0	11.5
0.0	medium	r0to1.M_L2	nan	0.0	11.5
0.0	medium	r1to2.H_L2	nan	0.0	11.5
0.0	medium	r1to2.M_L2	nan	0.0	11.5
0.0	medium	r2to3.H_L2	0.11071889467534445	0.0	11.5
0.0	medium	r2to3.M_L2	0.0	0.0	11.5
0.0	medium	r3to4.H_L2	nan	0.0	11.5
0.0	medium	r3to4.M_L2	nan	0.0	11.5
0.0	medium	r4to6.H_L2	0.010262753012061115	0.0	11.5
0.0	medium	r4to6.M_L2	0.0	0.0	11.5
0.0	medium	r6to8.H_L2	0.0006878678170119043	0.0	11.5
0.0	medium	r6to8.M_L2	0.0	0.0	11.5
