time	cycle	diagnostic	maximum	radius	r_over_r_core	level	rank	gid	x	y	z	i	j	k
2.25017918492984981e+00	627	reference_Ricci	6.08194173724915021e-01	2.52590742770461396e-01	3.77389469358834129e+00	3	2	8	2.08333333333333322e-02	-1.04166666666666741e-01	-2.29166666666666741e-01	0	45	42
2.25017918492984981e+00	627	reference_Riemann	8.71055829930838188e-01	2.15501675683095889e-01	3.21975628005848824e+00	3	2	9	-1.87500000000000000e-01	2.08333333333333322e-02	-1.04166666666666741e-01	43	0	45
2.25017918492984981e+00	627	spin_connection	1.45149799156521397e+00	2.52590742770461396e-01	3.77389469358834129e+00	3	1	7	-2.08333333333332593e-02	-1.04166666666666741e-01	-2.29166666666666741e-01	47	45	42
2.25017918492984981e+00	627	spin_derivative	9.69826156107839399e-01	3.60242009703970412e-01	5.38228516974929594e+00	3	1	7	-1.45833333333333259e-01	-2.70833333333333259e-01	-1.87500000000000000e-01	44	41	43
2.25017918492984981e+00	627	Psi	2.05740127040019827e+00	7.29761662005708245e-01	1.09031852617427578e+01	3	1	7	-7.29166666666666741e-01	-2.08333333333332593e-02	-2.08333333333332593e-02	30	47	47
2.25017918492984981e+00	627	Q	5.53717182865016921e-01	5.01300392313165255e-01	7.48980295039397781e+00	3	1	7	-2.70833333333333259e-01	-2.29166666666666741e-01	-3.54166666666666741e-01	41	42	39
2.25017918492984981e+00	627	Delta	4.62863734092794465e-01	5.11584548242028148e-01	7.64345593491067454e+00	3	3	12	3.95833333333333315e-01	-2.29166666666666741e-01	2.29166666666666657e-01	9	42	5
2.25017918492984981e+00	627	Pi	5.53545897112124652e-01	5.21666001064538087e-01	7.79408038334941100e+00	3	1	7	-5.20833333333333259e-01	-2.08333333333332593e-02	-2.08333333333332593e-02	35	47	47
2.25017918492984981e+00	627	Phi	1.84929762264070180e-01	6.85603444662680417e-01	1.02434284540254890e+01	3	1	7	-3.95833333333333259e-01	-3.95833333333333259e-01	-3.95833333333333259e-01	38	38	38
2.25017918492984981e+00	627	GH_constraint	1.02254919669139059e-03	5.95862470150061885e+00	8.90263114769513635e+01	2	1	5	-4.16666666666667407e-02	-5.95833333333333304e+00	4.16666666666665186e-02	23	0	24
2.25017918492984981e+00	627	reduction_constraint	1.70795556986929860e-03	5.95862470150061885e+00	8.90263114769513635e+01	2	1	6	-5.95833333333333304e+00	-4.16666666666667407e-02	4.16666666666665186e-02	0	23	24
2.25017918492984981e+00	627	curl_constraint	5.30987110796162952e-04	8.30944492731012652e+00	1.24149324610590767e+02	2	6	24	5.95833333333333393e+00	5.79166666666666607e+00	-4.16666666666667407e-02	47	45	23
2.25017918492984981e+00	627	source_curvature	1.24293730190898155e+00	2.65982194475077205e-01	3.97397300197440817e+00	3	2	8	2.08333333333333322e-02	-1.87500000000000000e-01	-1.87500000000000000e-01	0	43	43
2.25017918492984981e+00	627	source_QQ	4.10281901646312785e-01	5.04751726649404930e-01	7.54136846777784431e+00	3	1	7	-3.54166666666666741e-01	-6.25000000000000000e-02	-3.54166666666666741e-01	39	46	39
2.25017918492984981e+00	627	source_DeltaDelta	2.29685937318823419e-01	4.97825131056188364e-01	7.43787994691139698e+00	3	2	9	-3.12500000000000000e-01	2.29166666666666657e-01	-3.12500000000000000e-01	40	5	40
2.25017918492984981e+00	627	source_damping	0.00000000000000000e+00	1.03201360617645594e+01	1.54190554623752121e+02	2	0	0	-5.95833333333333304e+00	-5.95833333333333304e+00	-5.95833333333333304e+00	0	0	0
2.25017918492984981e+00	627	source_frame_correction	6.73096659992055035e-01	4.97825131056188419e-01	7.43787994691139787e+00	3	2	11	-6.25000000000000000e-02	-2.29166666666666741e-01	4.37500000000000000e-01	46	42	10
2.25017918492984981e+00	627	shift_lapse_ratio	4.49286146684377611e-04	7.29761662005708134e-01	1.09031852617427560e+01	3	3	13	-2.70833333333333259e-01	4.79166666666666685e-01	4.79166666666666685e-01	41	11	11
2.30035287444149450e+00	641	reference_Ricci	6.08194173724915021e-01	2.52590742770461396e-01	3.90226311123872449e+00	3	2	8	2.08333333333333322e-02	-1.04166666666666741e-01	-2.29166666666666741e-01	0	45	42
2.30035287444149450e+00	641	reference_Riemann	8.71055829930838188e-01	2.15501675683095889e-01	3.32927576919346446e+00	3	2	9	-1.87500000000000000e-01	2.08333333333333322e-02	-1.04166666666666741e-01	43	0	45
2.30035287444149450e+00	641	spin_connection	1.45149799156521397e+00	2.52590742770461396e-01	3.90226311123872449e+00	3	1	7	-2.08333333333332593e-02	-1.04166666666666741e-01	-2.29166666666666741e-01	47	45	42
