time	cycle	diagnostic	maximum	radius	r_over_r_core	level	rank	gid	x	y	z	i	j	k
2.25347688440088367e+00	419	reference_Ricci	3.59686900265460618e+00	4.27337322849291990e-01	1.42445774283097326e+00	3	3	7	-1.56250000000000000e-01	-2.81250000000000000e-01	-2.81250000000000000e-01	29	27	27
2.25347688440088367e+00	419	reference_Riemann	4.90773335936506960e+00	4.18096505008114128e-01	1.39365501669371383e+00	3	3	7	-3.12500000000000000e-02	-4.06250000000000000e-01	-9.37500000000000000e-02	31	25	30
2.25347688440088367e+00	419	spin_connection	1.56466262803901324e+00	4.27337322849291990e-01	1.42445774283097326e+00	3	3	7	-1.56250000000000000e-01	-2.81250000000000000e-01	-2.81250000000000000e-01	29	27	27
2.25347688440088367e+00	419	spin_derivative	3.79161982198821335e+00	4.27337322849291990e-01	1.42445774283097326e+00	3	3	7	-9.37500000000000000e-02	-4.06250000000000000e-01	-9.37500000000000000e-02	30	25	30
2.25347688440088367e+00	419	Psi	2.28876171769515979e+00	4.70828724166230117e-01	1.56942908055410046e+00	3	4	12	3.12500000000000000e-02	-3.12500000000000000e-02	4.68750000000000000e-01	0	31	7
2.25347688440088367e+00	419	Q	2.44300684250783462e+00	4.45243964024218952e-01	1.48414654674739666e+00	3	3	7	-9.37500000000000000e-02	-1.56250000000000000e-01	-4.06250000000000000e-01	30	29	25
2.25347688440088367e+00	419	Delta	1.76072908876292455e+00	4.36382501367779396e-01	1.45460833789259802e+00	3	3	7	-3.12500000000000000e-02	-4.06250000000000000e-01	-1.56250000000000000e-01	31	25	29
2.25347688440088367e+00	419	Pi	2.08865728762137026e+00	4.36382501367779396e-01	1.45460833789259802e+00	3	3	7	-3.12500000000000000e-02	-1.56250000000000000e-01	-4.06250000000000000e-01	31	29	25
2.25347688440088367e+00	419	Phi	5.73874739370728859e-01	3.89059362437147893e-01	1.29686454145715979e+00	3	3	8	3.43750000000000000e-01	-1.56250000000000000e-01	-9.37500000000000000e-02	5	29	30
2.25347688440088367e+00	419	GH_constraint	1.72211035772871883e-02	6.08372572935368283e-01	2.02790857645122768e+00	3	3	7	-5.93750000000000000e-01	-9.37500000000000000e-02	-9.37500000000000000e-02	22	30	30
2.25347688440088367e+00	419	reduction_constraint	2.07365505393376521e-03	4.70828724166230117e-01	1.56942908055410046e+00	3	4	12	3.12500000000000000e-02	-3.12500000000000000e-02	4.68750000000000000e-01	0	31	7
2.25347688440088367e+00	419	curl_constraint	3.57194765145787269e-02	3.68432066329737351e-01	1.22810688776579124e+00	3	3	9	-3.43750000000000000e-01	9.37500000000000000e-02	-9.37500000000000000e-02	26	1	30
2.25347688440088367e+00	419	source_curvature	7.34242185297925420e+00	4.27337322849291990e-01	1.42445774283097326e+00	3	3	8	9.37500000000000000e-02	-4.06250000000000000e-01	-9.37500000000000000e-02	1	25	30
2.25347688440088367e+00	419	source_QQ	5.21904027451651675e+00	4.45243964024218952e-01	1.48414654674739666e+00	3	4	10	9.37500000000000000e-02	1.56250000000000000e-01	-4.06250000000000000e-01	1	2	25
2.25347688440088367e+00	419	source_DeltaDelta	2.68016790492689871e+00	4.36382501367779396e-01	1.45460833789259802e+00	3	5	14	3.12500000000000000e-02	1.56250000000000000e-01	4.06250000000000000e-01	0	2	6
2.25347688440088367e+00	419	source_damping	0.00000000000000000e+00	1.02840516699402098e+01	3.42801722331340315e+01	2	0	0	-5.93750000000000000e+00	-5.93750000000000000e+00	-5.93750000000000000e+00	0	0	0
2.25347688440088367e+00	419	source_frame_correction	5.06524393830670605e-01	3.46579265825294303e-01	1.15526421941764768e+00	3	3	9	-3.43750000000000000e-01	3.12500000000000000e-02	-3.12500000000000000e-02	26	0	31
2.25347688440088367e+00	419	shift_lapse_ratio	7.60950550699111272e-02	5.47544233372975975e-01	1.82514744457658673e+00	3	5	13	-9.37500000000000000e-02	9.37500000000000000e-02	5.31250000000000000e-01	30	1	8
2.30157864242630916e+00	428	reference_Ricci	3.62057813887643043e+00	4.27337322849291990e-01	1.42445774283097326e+00	3	3	7	-9.37500000000000000e-02	-9.37500000000000000e-02	-4.06250000000000000e-01	30	30	25
2.30157864242630916e+00	428	reference_Riemann	4.95907367224181606e+00	4.18096505008114128e-01	1.39365501669371383e+00	3	3	7	-2.81250000000000000e-01	-2.18750000000000000e-01	-2.18750000000000000e-01	27	28	28
2.30157864242630916e+00	428	spin_connection	1.58567162391354177e+00	4.27337322849291990e-01	1.42445774283097326e+00	3	3	7	-1.56250000000000000e-01	-2.81250000000000000e-01	-2.81250000000000000e-01	29	27	27
2.30157864242630916e+00	428	spin_derivative	3.87181925183879239e+00	4.27337322849291990e-01	1.42445774283097326e+00	3	3	7	-4.06250000000000000e-01	-9.37500000000000000e-02	-9.37500000000000000e-02	25	30	30
2.30157864242630916e+00	428	Psi	2.30978745501747307e+00	4.70828724166230117e-01	1.56942908055410046e+00	3	5	14	3.12500000000000000e-02	3.12500000000000000e-02	4.68750000000000000e-01	0	0	7
2.30157864242630916e+00	428	Q	2.57269588324110776e+00	4.36382501367779396e-01	1.45460833789259802e+00	3	3	7	-1.56250000000000000e-01	-3.12500000000000000e-02	-4.06250000000000000e-01	29	31	25
