time	cycle	diagnostic	maximum	radius	r_over_r_core	level	rank	gid	x	y	z	i	j	k
0.00000000000000000e+00	0	reference_Ricci	6.08223551850790356e-01	2.51460577178610645e-01	8.38201923928702186e-01	3	3	7	-4.68750000000000000e-02	-2.03125000000000000e-01	-1.40625000000000000e-01	62	57	59
0.00000000000000000e+00	0	reference_Riemann	8.71015363644455198e-01	2.13668661424645995e-01	7.12228871415486631e-01	3	3	7	-2.03125000000000000e-01	-4.68750000000000000e-02	-4.68750000000000000e-02	57	62	62
0.00000000000000000e+00	0	spin_connection	1.45153304761935908e+00	2.51460577178610645e-01	8.38201923928702186e-01	3	3	7	-4.68750000000000000e-02	-7.81250000000000000e-02	-2.34375000000000000e-01	62	61	56
0.00000000000000000e+00	0	spin_derivative	9.69827671492824006e-01	3.60053706931341033e-01	1.20017902310447022e+00	3	3	7	-4.68750000000000000e-02	-1.40625000000000000e-01	-3.28125000000000000e-01	62	59	53
0.00000000000000000e+00	0	Psi	2.00000000000000000e+00	1.03381782576767360e+01	3.44605941922557903e+01	2	0	0	-5.96875000000000000e+00	-5.96875000000000000e+00	-5.96875000000000000e+00	0	0	0
0.00000000000000000e+00	0	Q	0.00000000000000000e+00	1.03381782576767360e+01	3.44605941922557903e+01	2	0	0	-5.96875000000000000e+00	-5.96875000000000000e+00	-5.96875000000000000e+00	0	0	0
0.00000000000000000e+00	0	Delta	0.00000000000000000e+00	1.03381782576767360e+01	3.44605941922557903e+01	2	0	0	-5.96875000000000000e+00	-5.96875000000000000e+00	-5.96875000000000000e+00	0	0	0
0.00000000000000000e+00	0	Pi	0.00000000000000000e+00	1.03381782576767360e+01	3.44605941922557903e+01	2	0	0	-5.96875000000000000e+00	-5.96875000000000000e+00	-5.96875000000000000e+00	0	0	0
0.00000000000000000e+00	0	Phi	0.00000000000000000e+00	1.03381782576767360e+01	3.44605941922557903e+01	2	0	0	-5.96875000000000000e+00	-5.96875000000000000e+00	-5.96875000000000000e+00	0	0	0
0.00000000000000000e+00	0	GH_constraint	0.00000000000000000e+00	1.03381782576767360e+01	3.44605941922557903e+01	2	0	0	-5.96875000000000000e+00	-5.96875000000000000e+00	-5.96875000000000000e+00	0	0	0
0.00000000000000000e+00	0	reduction_constraint	0.00000000000000000e+00	1.03381782576767360e+01	3.44605941922557903e+01	2	0	0	-5.96875000000000000e+00	-5.96875000000000000e+00	-5.96875000000000000e+00	0	0	0
0.00000000000000000e+00	0	curl_constraint	0.00000000000000000e+00	1.03381782576767360e+01	3.44605941922557903e+01	2	0	0	-5.96875000000000000e+00	-5.96875000000000000e+00	-5.96875000000000000e+00	0	0	0
0.00000000000000000e+00	0	source_curvature	1.21644710370158071e+00	2.51460577178610645e-01	8.38201923928702186e-01	3	3	7	-4.68750000000000000e-02	-2.03125000000000000e-01	-1.40625000000000000e-01	62	57	59
0.00000000000000000e+00	0	source_QQ	0.00000000000000000e+00	1.03381782576767360e+01	3.44605941922557903e+01	2	0	0	-5.96875000000000000e+00	-5.96875000000000000e+00	-5.96875000000000000e+00	0	0	0
0.00000000000000000e+00	0	source_DeltaDelta	0.00000000000000000e+00	1.03381782576767360e+01	3.44605941922557903e+01	2	0	0	-5.96875000000000000e+00	-5.96875000000000000e+00	-5.96875000000000000e+00	0	0	0
0.00000000000000000e+00	0	source_damping	0.00000000000000000e+00	1.03381782576767360e+01	3.44605941922557903e+01	2	0	0	-5.96875000000000000e+00	-5.96875000000000000e+00	-5.96875000000000000e+00	0	0	0
0.00000000000000000e+00	0	source_frame_correction	0.00000000000000000e+00	1.03381782576767360e+01	3.44605941922557903e+01	2	0	0	-5.96875000000000000e+00	-5.96875000000000000e+00	-5.96875000000000000e+00	0	0	0
0.00000000000000000e+00	0	shift_lapse_ratio	0.00000000000000000e+00	1.03381782576767360e+01	3.44605941922557903e+01	2	0	0	-5.96875000000000000e+00	-5.96875000000000000e+00	-5.96875000000000000e+00	0	0	0
5.11110232494571548e-02	19	reference_Ricci	6.08223551850790356e-01	2.51460577178610645e-01	8.38201923928702186e-01	3	3	7	-4.68750000000000000e-02	-2.03125000000000000e-01	-1.40625000000000000e-01	62	57	59
5.11110232494571548e-02	19	reference_Riemann	8.71015363644455198e-01	2.13668661424645995e-01	7.12228871415486631e-01	3	3	7	-2.03125000000000000e-01	-4.68750000000000000e-02	-4.68750000000000000e-02	57	62	62
5.11110232494571548e-02	19	spin_connection	1.45153304761935908e+00	2.51460577178610645e-01	8.38201923928702186e-01	3	3	7	-4.68750000000000000e-02	-7.81250000000000000e-02	-2.34375000000000000e-01	62	61	56
5.11110232494571548e-02	19	spin_derivative	9.69863988476276084e-01	3.60053706931341033e-01	1.20017902310447022e+00	3	3	7	-4.68750000000000000e-02	-1.40625000000000000e-01	-3.28125000000000000e-01	62	59	53
5.11110232494571548e-02	19	Psi	2.00002621089595589e+00	7.19937877094267042e-01	2.39979292364755681e+00	3	3	7	-1.09375000000000000e-01	-1.09375000000000000e-01	-7.03125000000000000e-01	60	60	41
5.11110232494571548e-02	19	Q	1.12658847417439235e-02	5.00731886217564592e-01	1.66910628739188205e+00	3	3	7	-2.34375000000000000e-01	-2.96875000000000000e-01	-3.28125000000000000e-01	56	54	53
5.11110232494571548e-02	19	Delta	9.40699710612737106e-03	4.98777803109761497e-01	1.66259267703253832e+00	3	3	7	-3.28125000000000000e-01	-2.65625000000000000e-01	-2.65625000000000000e-01	53	55	55
5.11110232494571548e-02	19	Pi	1.12390606474480955e-02	5.16098267653554488e-01	1.72032755884518163e+00	3	3	7	-1.56250000000000000e-02	-1.56250000000000000e-02	-5.15625000000000000e-01	63	63	47
5.11110232494571548e-02	19	Phi	8.82452976929533838e-05	6.76582346706592674e-01	2.25527448902197580e+00	3	3	7	-3.90625000000000000e-01	-3.90625000000000000e-01	-3.90625000000000000e-01	51	51	51
5.11110232494571548e-02	19	GH_constraint	6.87930291036866273e-06	5.96891361032307088e+00	1.98963787010769053e+01	2	6	18	5.96875000000000000e+00	-3.12500000000000000e-02	-3.12500000000000000e-02	63	31	31
5.11110232494571548e-02	19	reduction_constraint	2.99210161655729768e-08	5.96891361032307088e+00	1.98963787010769053e+01	2	2	6	-5.96875000000000000e+00	-3.12500000000000000e-02	-3.12500000000000000e-02	0	31	31
5.11110232494571548e-02	19	curl_constraint	4.63678081501633975e-08	3.07379930826656267e-01	1.02459976942218756e+00	3	4	12	1.09375000000000000e-01	-1.09375000000000000e-01	2.65625000000000000e-01	3	60	8
5.11110232494571548e-02	19	source_curvature	1.21645881861753735e+00	2.51460577178610645e-01	8.38201923928702186e-01	3	3	7	-4.68750000000000000e-02	-7.81250000000000000e-02	-2.34375000000000000e-01	62	61	56
5.11110232494571548e-02	19	source_QQ	1.93646919244502331e-04	5.00731886217564592e-01	1.66910628739188205e+00	3	3	7	-2.34375000000000000e-01	-2.96875000000000000e-01	-3.28125000000000000e-01	56	54	53
5.11110232494571548e-02	19	source_DeltaDelta	1.14982881384541934e-04	5.00731886217564592e-01	1.66910628739188205e+00	3	3	7	-3.28125000000000000e-01	-2.34375000000000000e-01	-2.96875000000000000e-01	53	56	54
5.11110232494571548e-02	19	source_damping	0.00000000000000000e+00	1.03381782576767360e+01	3.44605941922557903e+01	2	0	0	-5.96875000000000000e+00	-5.96875000000000000e+00	-5.96875000000000000e+00	0	0	0
5.11110232494571548e-02	19	source_frame_correction	9.21871631826010930e-03	3.93737599011067252e-01	1.31245866337022421e+00	3	3	7	-3.90625000000000000e-01	-4.68750000000000000e-02	-1.56250000000000000e-02	51	62	63
5.11110232494571548e-02	19	shift_lapse_ratio	2.57659165646076463e-11	5.38326036779756767e-01	1.79442012259918937e+00	3	3	7	-1.09375000000000000e-01	-1.09375000000000000e-01	-5.15625000000000000e-01	60	60	47
1.02221940631145938e-01	38	reference_Ricci	6.08223551850790356e-01	2.51460577178610645e-01	8.38201923928702186e-01	3	3	7	-4.68750000000000000e-02	-2.03125000000000000e-01	-1.40625000000000000e-01	62	57	59
1.02221940631145938e-01	38	reference_Riemann	8.71015363644455198e-01	2.13668661424645995e-01	7.12228871415486631e-01	3	3	7	-2.03125000000000000e-01	-4.68750000000000000e-02	-4.68750000000000000e-02	57	62	62
1.02221940631145938e-01	38	spin_connection	1.45153304761935908e+00	2.51460577178610645e-01	8.38201923928702186e-01	3	3	7	-4.68750000000000000e-02	-7.81250000000000000e-02	-2.34375000000000000e-01	62	61	56
1.02221940631145938e-01	38	spin_derivative	9.70028598028615741e-01	3.60053706931341033e-01	1.20017902310447022e+00	3	3	7	-1.09375000000000000e-01	-1.71875000000000000e-01	-2.96875000000000000e-01	60	58	54
1.02221940631145938e-01	38	Psi	2.00011013116931879e+00	6.88032464259499932e-01	2.29344154753166674e+00	3	3	7	-4.68750000000000000e-02	-1.40625000000000000e-01	-6.71875000000000000e-01	62	59	42
1.02221940631145938e-01	38	Q	2.30231793205535884e-02	4.96816034237020199e-01	1.65605344745673411e+00	3	3	7	-2.96875000000000000e-01	-2.96875000000000000e-01	-2.65625000000000000e-01	54	54	55
1.02221940631145938e-01	38	Delta	1.90613515855722060e-02	4.96816034237020199e-01	1.65605344745673411e+00	3	3	7	-2.96875000000000000e-01	-2.96875000000000000e-01	-2.65625000000000000e-01	54	54	55
1.02221940631145938e-01	38	Pi	2.29715443890461460e-02	4.84878770286965632e-01	1.61626256762321874e+00	3	3	7	-1.56250000000000000e-02	-4.84375000000000000e-01	-1.56250000000000000e-02	63	48	63
1.02221940631145938e-01	38	Phi	3.52809014884230827e-04	6.76582346706592674e-01	2.25527448902197580e+00	3	3	7	-3.90625000000000000e-01	-3.90625000000000000e-01	-3.90625000000000000e-01	51	51	51
1.02221940631145938e-01	38	GH_constraint	2.59239562561413309e-05	5.96891361032307088e+00	1.98963787010769053e+01	2	8	22	-3.12500000000000000e-02	5.96875000000000000e+00	-3.12500000000000000e-02	31	63	31
1.02221940631145938e-01	38	reduction_constraint	2.39575091286100901e-07	5.96891361032307088e+00	1.98963787010769053e+01	2	10	28	-3.12500000000000000e-02	-3.12500000000000000e-02	5.96875000000000000e+00	31	31	63
1.02221940631145938e-01	38	curl_constraint	3.78002800730592879e-07	3.07379930826656267e-01	1.02459976942218756e+00	3	3	9	-2.65625000000000000e-01	1.09375000000000000e-01	-1.09375000000000000e-01	55	3	60
1.02221940631145938e-01	38	source_curvature	1.21649396829707324e+00	2.51460577178610645e-01	8.38201923928702186e-01	3	3	7	-4.68750000000000000e-02	-2.03125000000000000e-01	-1.40625000000000000e-01	62	57	59
1.02221940631145938e-01	38	source_QQ	8.06149415184027169e-04	4.96816034237020199e-01	1.65605344745673411e+00	3	3	7	-2.96875000000000000e-01	-2.96875000000000000e-01	-2.65625000000000000e-01	54	54	55
1.02221940631145938e-01	38	source_DeltaDelta	4.77426890446991836e-04	4.96816034237020199e-01	1.65605344745673411e+00	3	3	7	-2.96875000000000000e-01	-2.96875000000000000e-01	-2.65625000000000000e-01	54	54	55
1.02221940631145938e-01	38	source_damping	0.00000000000000000e+00	1.03381782576767360e+01	3.44605941922557903e+01	2	0	0	-5.96875000000000000e+00	-5.96875000000000000e+00	-5.96875000000000000e+00	0	0	0
1.02221940631145938e-01	38	source_frame_correction	1.81286560561425697e-02	3.75975294234873914e-01	1.25325098078291308e+00	3	3	7	-1.09375000000000000e-01	-3.59375000000000000e-01	-1.56250000000000000e-02	60	52	63
1.02221940631145938e-01	38	shift_lapse_ratio	1.61757602430148845e-09	5.38326036779756767e-01	1.79442012259918937e+00	3	3	7	-1.09375000000000000e-01	-1.09375000000000000e-01	-5.15625000000000000e-01	60	60	47
1.50642576771534614e-01	56	reference_Ricci	6.08223551850790356e-01	2.51460577178610645e-01	8.38201923928702186e-01	3	3	7	-4.68750000000000000e-02	-2.03125000000000000e-01	-1.40625000000000000e-01	62	57	59
1.50642576771534614e-01	56	reference_Riemann	8.71015363644455198e-01	2.13668661424645995e-01	7.12228871415486631e-01	3	3	7	-2.03125000000000000e-01	-4.68750000000000000e-02	-4.68750000000000000e-02	57	62	62
1.50642576771534614e-01	56	spin_connection	1.45153304761935908e+00	2.51460577178610645e-01	8.38201923928702186e-01	3	3	7	-4.68750000000000000e-02	-7.81250000000000000e-02	-2.34375000000000000e-01	62	61	56
1.50642576771534614e-01	56	spin_derivative	9.70450223395391776e-01	3.62755836445121882e-01	1.20918612148373961e+00	3	3	7	-1.09375000000000000e-01	-1.09375000000000000e-01	-3.28125000000000000e-01	60	60	53
1.50642576771534614e-01	56	Psi	2.00025073920773977e+00	6.56063961725531719e-01	2.18687987241843906e+00	3	3	7	-1.56250000000000000e-02	-1.40625000000000000e-01	-6.40625000000000000e-01	63	59	43
1.50642576771534614e-01	56	Q	3.47412299969341032e-02	4.92869071737109532e-01	1.64289690579036507e+00	3	3	7	-7.81250000000000000e-02	-4.84375000000000000e-01	-4.68750000000000000e-02	61	48	62
1.50642576771534614e-01	56	Delta	2.85218192695542334e-02	4.90883689762656505e-01	1.63627896587552168e+00	3	3	7	-2.03125000000000000e-01	-2.65625000000000000e-01	-3.59375000000000000e-01	57	55	52
1.50642576771534614e-01	56	Pi	3.46763217904462254e-02	4.84878770286965632e-01	1.61626256762321874e+00	3	3	7	-4.84375000000000000e-01	-1.56250000000000000e-02	-1.56250000000000000e-02	48	63	63
1.50642576771534614e-01	56	Phi	7.65936048748230651e-04	6.76582346706592674e-01	2.25527448902197580e+00	3	3	8	3.90625000000000000e-01	-3.90625000000000000e-01	-3.90625000000000000e-01	12	51	51
1.50642576771534614e-01	56	GH_constraint	5.19889354695141458e-05	5.96891361032307088e+00	1.98963787010769053e+01	2	1	3	-3.12500000000000000e-02	-3.12500000000000000e-02	-5.96875000000000000e+00	31	31	0
1.50642576771534614e-01	56	reduction_constraint	7.68781844698085854e-07	5.96891361032307088e+00	1.98963787010769053e+01	2	10	28	3.12500000000000000e-02	3.12500000000000000e-02	5.96875000000000000e+00	32	32	63
1.50642576771534614e-01	56	curl_constraint	1.24132312624089078e-06	3.07379930826656267e-01	1.02459976942218756e+00	3	3	9	-1.09375000000000000e-01	2.65625000000000000e-01	-1.09375000000000000e-01	60	8	60
1.50642576771534614e-01	56	source_curvature	1.21654889838621427e+00	2.51460577178610645e-01	8.38201923928702186e-01	3	3	7	-4.68750000000000000e-02	-2.03125000000000000e-01	-1.40625000000000000e-01	62	57	59
1.50642576771534614e-01	56	source_QQ	1.82733806821324947e-03	4.92869071737109532e-01	1.64289690579036507e+00	3	3	7	-3.90625000000000000e-01	-1.40625000000000000e-01	-2.65625000000000000e-01	51	59	55
1.50642576771534614e-01	56	source_DeltaDelta	1.07902228967916782e-03	4.92869071737109532e-01	1.64289690579036507e+00	3	3	7	-3.90625000000000000e-01	-1.40625000000000000e-01	-2.65625000000000000e-01	51	59	55
1.50642576771534614e-01	56	source_damping	0.00000000000000000e+00	1.03381782576767360e+01	3.44605941922557903e+01	2	0	0	-5.96875000000000000e+00	-5.96875000000000000e+00	-5.96875000000000000e+00	0	0	0
1.50642576771534614e-01	56	source_frame_correction	2.64372028761434459e-02	3.65437986360203138e-01	1.21812662120067716e+00	3	3	7	-3.59375000000000000e-01	-4.68750000000000000e-02	-4.68750000000000000e-02	52	62	62
1.50642576771534614e-01	56	shift_lapse_ratio	1.62688334289201613e-08	5.38326036779756767e-01	1.79442012259918937e+00	3	3	7	-1.09375000000000000e-01	-1.09375000000000000e-01	-5.15625000000000000e-01	60	60	47
2.01752817743016372e-01	75	reference_Ricci	6.08223551850790356e-01	2.51460577178610645e-01	8.38201923928702186e-01	3	3	7	-4.68750000000000000e-02	-2.03125000000000000e-01	-1.40625000000000000e-01	62	57	59
2.01752817743016372e-01	75	reference_Riemann	8.71015363644455198e-01	2.13668661424645995e-01	7.12228871415486631e-01	3	3	7	-2.03125000000000000e-01	-4.68750000000000000e-02	-4.68750000000000000e-02	57	62	62
2.01752817743016372e-01	75	spin_connection	1.45153304761935908e+00	2.51460577178610645e-01	8.38201923928702186e-01	3	3	7	-4.68750000000000000e-02	-7.81250000000000000e-02	-2.34375000000000000e-01	62	61	56
2.01752817743016372e-01	75	spin_derivative	9.71569055965148753e-01	3.73368848292141287e-01	1.24456282764047099e+00	3	3	7	-1.40625000000000000e-01	-1.09375000000000000e-01	-3.28125000000000000e-01	59	60	53
2.01752817743016372e-01	75	Psi	2.00047327529510577e+00	6.16148254785323535e-01	2.05382751595107838e+00	3	3	7	-4.68750000000000000e-02	-7.81250000000000000e-02	-6.09375000000000000e-01	62	61	44
2.01752817743016372e-01	75	Q	4.78591330915983312e-02	4.88890245223812969e-01	1.62963415074604323e+00	3	3	7	-4.68750000000000000e-02	-4.68750000000000000e-02	-4.84375000000000000e-01	62	62	48
2.01752817743016372e-01	75	Delta	3.89360962200766894e-02	4.86888639090090114e-01	1.62296213030030034e+00	3	3	7	-4.68750000000000000e-02	-1.56250000000000000e-02	-4.84375000000000000e-01	62	63	48
2.01752817743016372e-01	75	Pi	4.77851913662803163e-02	4.84878770286965632e-01	1.61626256762321874e+00	3	3	7	-1.56250000000000000e-02	-4.84375000000000000e-01	-1.56250000000000000e-02	63	48	63
2.01752817743016372e-01	75	Phi	1.37346018501186082e-03	6.76582346706592674e-01	2.25527448902197580e+00	3	3	7	-3.90625000000000000e-01	-3.90625000000000000e-01	-3.90625000000000000e-01	51	51	51
