time	cycle	diagnostic	maximum	radius	r_over_r_core	level	rank	gid	x	y	z	i	j	k
0.00000000000000000e+00	0	reference_Ricci	4.92307624875691185e-01	4.33012701892219298e-01	1.44337567297406433e+00	0	0	0	2.50000000000000000e-01	2.50000000000000000e-01	2.50000000000000000e-01	4	4	4
0.00000000000000000e+00	0	reference_Riemann	7.04510016811672024e-01	4.33012701892219298e-01	1.44337567297406433e+00	0	0	0	2.50000000000000000e-01	2.50000000000000000e-01	2.50000000000000000e-01	4	4	4
0.00000000000000000e+00	0	spin_connection	1.30591103773439077e+00	4.33012701892219298e-01	1.44337567297406433e+00	0	0	0	2.50000000000000000e-01	2.50000000000000000e-01	2.50000000000000000e-01	4	4	4
0.00000000000000000e+00	0	spin_derivative	9.53349616177239456e-01	4.33012701892219298e-01	1.44337567297406433e+00	0	0	0	2.50000000000000000e-01	2.50000000000000000e-01	2.50000000000000000e-01	4	4	4
0.00000000000000000e+00	0	Psi	2.00000000000000000e+00	3.03108891324553520e+00	1.01036297108184510e+01	0	0	0	1.75000000000000000e+00	1.75000000000000000e+00	1.75000000000000000e+00	7	7	7
0.00000000000000000e+00	0	Q	0.00000000000000000e+00	3.03108891324553520e+00	1.01036297108184510e+01	0	0	0	1.75000000000000000e+00	1.75000000000000000e+00	1.75000000000000000e+00	7	7	7
0.00000000000000000e+00	0	Delta	0.00000000000000000e+00	3.03108891324553520e+00	1.01036297108184510e+01	0	0	0	1.75000000000000000e+00	1.75000000000000000e+00	1.75000000000000000e+00	7	7	7
0.00000000000000000e+00	0	Pi	0.00000000000000000e+00	3.03108891324553520e+00	1.01036297108184510e+01	0	0	0	1.75000000000000000e+00	1.75000000000000000e+00	1.75000000000000000e+00	7	7	7
0.00000000000000000e+00	0	Phi	0.00000000000000000e+00	3.03108891324553520e+00	1.01036297108184510e+01	0	0	0	1.75000000000000000e+00	1.75000000000000000e+00	1.75000000000000000e+00	7	7	7
0.00000000000000000e+00	0	GH_constraint	0.00000000000000000e+00	3.03108891324553520e+00	1.01036297108184510e+01	0	0	0	1.75000000000000000e+00	1.75000000000000000e+00	1.75000000000000000e+00	7	7	7
