path	time	r_core	r_min	r_max	samples	measure	maximum	radius	r_over_r_core
shrinking_width	0.00000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	Ricci	6.08237320612648125e-01	2.49998474121093717e-01	8.33328247070312389e-01
shrinking_width	0.00000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	Riemann	8.71055890298100044e-01	2.15574645996093717e-01	7.18582153320312389e-01
shrinking_width	0.00000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	spin	1.45154947718682137e+00	2.49998474121093717e-01	8.33328247070312389e-01
shrinking_width	0.00000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	spin_derivative	9.69831455414159715e-01	3.59037780761718717e-01	1.19679260253906250e+00
shrinking_width	0.00000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	matched_source	1.21647464122529625e+00	2.49998474121093717e-01	8.33328247070312389e-01
shrinking_width	0.00000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	dB_dr	6.24999998835846782e+00	4.49995422363281161e-01	1.49998474121093728e+00
shrinking_width	0.00000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	d2B_dr2	6.41500298698219638e+01	5.36604309082031161e-01	1.78868103027343728e+00
shrinking_width	5.00000000000000000e-01	2.14959393172136776e-01	1.07479696586068388e-01	6.44878179516410355e-01	32769	Ricci	3.15444918267452969e+01	2.88176000447350977e-01	1.34060668945312500e+00
shrinking_width	5.00000000000000000e-01	2.14959393172136776e-01	1.07479696586068388e-01	6.44878179516410355e-01	32769	Riemann	3.27023274113906695e+01	2.87437995938932211e-01	1.33717346191406250e+00
shrinking_width	5.00000000000000000e-01	2.14959393172136776e-01	1.07479696586068388e-01	6.44878179516410355e-01	32769	spin	1.50119667097625187e+00	3.11070540308519106e-01	1.44711303710937500e+00
shrinking_width	5.00000000000000000e-01	2.14959393172136776e-01	1.07479696586068388e-01	6.44878179516410355e-01	32769	spin_derivative	2.29340786589498151e+01	2.87733197742299718e-01	1.33854675292968750e+00
shrinking_width	5.00000000000000000e-01	2.14959393172136776e-01	1.07479696586068388e-01	6.44878179516410355e-01	32769	matched_source	6.30889836534905939e+01	2.88176000447350977e-01	1.34060668945312500e+00
shrinking_width	5.00000000000000000e-01	2.14959393172136776e-01	1.07479696586068388e-01	6.44878179516410355e-01	32769	dB_dr	8.72257764054099383e+00	3.22435809738167767e-01	1.49998474121093750e+00
shrinking_width	5.00000000000000000e-01	2.14959393172136776e-01	1.07479696586068388e-01	6.44878179516410355e-01	32769	d2B_dr2	1.24947196912126174e+02	3.84493788846090534e-01	1.78868103027343750e+00
shrinking_width	1.00000000000000000e+00	1.54025135709777605e-01	7.70125678548888026e-02	5.99999999999999978e-01	32769	Ricci	3.63754255193107497e+02	1.92996139308701131e-01	1.25301716774562544e+00
shrinking_width	1.00000000000000000e+00	1.54025135709777605e-01	7.70125678548888026e-02	5.99999999999999978e-01	32769	Riemann	3.79166642609728513e+02	1.93107861477433307e-01	1.25374251798289249e+00
