receiver_gid,sender_gid,coarse_j,coarse_i,rho,z,variable,received_value,refreshed_value,difference,consumer_neighbor_gid,consumer_coarse_j,consumer_coarse_i,consumer_ox1,consumer_ox2
8,9,4,20,2.0625,-7.9375,chi,0.59081946369844263,0.59081948934592377,2.56474811388685e-08,2,2,18,0,-1
8,9,4,20,2.0625,-7.9375,chi,0.59081946369844263,0.59081948934592377,2.56474811388685e-08,2,2,19,0,-1
8,9,4,20,2.0625,-7.9375,chi,0.59081946369844263,0.59081948934592377,2.56474811388685e-08,2,2,20,0,-1
8,9,4,20,2.0625,-7.9375,chi,0.59081946369844263,0.59081948934592377,2.56474811388685e-08,2,2,21,0,-1
8,9,4,20,2.0625,-7.9375,chi,0.59081946369844263,0.59081948934592377,2.56474811388685e-08,2,3,18,0,-1
8,9,4,20,2.0625,-7.9375,chi,0.59081946369844263,0.59081948934592377,2.56474811388685e-08,2,3,19,0,-1
8,9,4,20,2.0625,-7.9375,chi,0.59081946369844263,0.59081948934592377,2.56474811388685e-08,2,3,20,0,-1
8,9,4,20,2.0625,-7.9375,chi,0.59081946369844263,0.59081948934592377,2.56474811388685e-08,2,3,21,0,-1
8,9,4,20,2.0625,-7.9375,gxx,0.99307992352433594,0.99307986079429988,-6.2730036054503557e-08,2,2,18,0,-1
8,9,4,20,2.0625,-7.9375,gxx,0.99307992352433594,0.99307986079429988,-6.2730036054503557e-08,2,2,19,0,-1
8,9,4,20,2.0625,-7.9375,gxx,0.99307992352433594,0.99307986079429988,-6.2730036054503557e-08,2,2,20,0,-1
8,9,4,20,2.0625,-7.9375,gxx,0.99307992352433594,0.99307986079429988,-6.2730036054503557e-08,2,2,21,0,-1
8,9,4,20,2.0625,-7.9375,gxx,0.99307992352433594,0.99307986079429988,-6.2730036054503557e-08,2,3,18,0,-1
8,9,4,20,2.0625,-7.9375,gxx,0.99307992352433594,0.99307986079429988,-6.2730036054503557e-08,2,3,19,0,-1
8,9,4,20,2.0625,-7.9375,gxx,0.99307992352433594,0.99307986079429988,-6.2730036054503557e-08,2,3,20,0,-1
8,9,4,20,2.0625,-7.9375,gxx,0.99307992352433594,0.99307986079429988,-6.2730036054503557e-08,2,3,21,0,-1
8,9,4,20,2.0625,-7.9375,gxy,-0.0072720423715638615,-0.0072720529450684759,-1.057350461439871e-08,2,2,18,0,-1
8,9,4,20,2.0625,-7.9375,gxy,-0.0072720423715638615,-0.0072720529450684759,-1.057350461439871e-08,2,2,19,0,-1
8,9,4,20,2.0625,-7.9375,gxy,-0.0072720423715638615,-0.0072720529450684759,-1.057350461439871e-08,2,2,20,0,-1
8,9,4,20,2.0625,-7.9375,gxy,-0.0072720423715638615,-0.0072720529450684759,-1.057350461439871e-08,2,2,21,0,-1
8,9,4,20,2.0625,-7.9375,gxy,-0.0072720423715638615,-0.0072720529450684759,-1.057350461439871e-08,2,3,18,0,-1
8,9,4,20,2.0625,-7.9375,gxy,-0.0072720423715638615,-0.0072720529450684759,-1.057350461439871e-08,2,3,19,0,-1
8,9,4,20,2.0625,-7.9375,gxy,-0.0072720423715638615,-0.0072720529450684759,-1.057350461439871e-08,2,3,20,0,-1
8,9,4,20,2.0625,-7.9375,gxy,-0.0072720423715638615,-0.0072720529450684759,-1.057350461439871e-08,2,3,21,0,-1
8,9,4,20,2.0625,-7.9375,gyy,1.0152528461954096,1.0152528663010452,2.010563560084222e-08,2,2,18,0,-1
8,9,4,20,2.0625,-7.9375,gyy,1.0152528461954096,1.0152528663010452,2.010563560084222e-08,2,2,19,0,-1
8,9,4,20,2.0625,-7.9375,gyy,1.0152528461954096,1.0152528663010452,2.010563560084222e-08,2,2,20,0,-1
8,9,4,20,2.0625,-7.9375,gyy,1.0152528461954096,1.0152528663010452,2.010563560084222e-08,2,2,21,0,-1
8,9,4,20,2.0625,-7.9375,gyy,1.0152528461954096,1.0152528663010452,2.010563560084222e-08,2,3,18,0,-1
8,9,4,20,2.0625,-7.9375,gyy,1.0152528461954096,1.0152528663010452,2.010563560084222e-08,2,3,19,0,-1
8,9,4,20,2.0625,-7.9375,gyy,1.0152528461954096,1.0152528663010452,2.010563560084222e-08,2,3,20,0,-1
8,9,4,20,2.0625,-7.9375,gyy,1.0152528461954096,1.0152528663010452,2.010563560084222e-08,2,3,21,0,-1
8,9,4,20,2.0625,-7.9375,gzz,0.99189193992317437,0.99189198310983551,4.3186661136118687e-08,2,2,18,0,-1
8,9,4,20,2.0625,-7.9375,gzz,0.99189193992317437,0.99189198310983551,4.3186661136118687e-08,2,2,19,0,-1
8,9,4,20,2.0625,-7.9375,gzz,0.99189193992317437,0.99189198310983551,4.3186661136118687e-08,2,2,20,0,-1
8,9,4,20,2.0625,-7.9375,gzz,0.99189193992317437,0.99189198310983551,4.3186661136118687e-08,2,2,21,0,-1
8,9,4,20,2.0625,-7.9375,gzz,0.99189193992317437,0.99189198310983551,4.3186661136118687e-08,2,3,18,0,-1
8,9,4,20,2.0625,-7.9375,gzz,0.99189193992317437,0.99189198310983551,4.3186661136118687e-08,2,3,19,0,-1
8,9,4,20,2.0625,-7.9375,gzz,0.99189193992317437,0.99189198310983551,4.3186661136118687e-08,2,3,20,0,-1
8,9,4,20,2.0625,-7.9375,gzz,0.99189193992317437,0.99189198310983551,4.3186661136118687e-08,2,3,21,0,-1
8,9,4,20,2.0625,-7.9375,Khat,0.0020719865487682349,0.002071447835311031,-5.3871345720392025e-07,2,2,18,0,-1
8,9,4,20,2.0625,-7.9375,Khat,0.0020719865487682349,0.002071447835311031,-5.3871345720392025e-07,2,2,19,0,-1
8,9,4,20,2.0625,-7.9375,Khat,0.0020719865487682349,0.002071447835311031,-5.3871345720392025e-07,2,2,20,0,-1
8,9,4,20,2.0625,-7.9375,Khat,0.0020719865487682349,0.002071447835311031,-5.3871345720392025e-07,2,2,21,0,-1
8,9,4,20,2.0625,-7.9375,Khat,0.0020719865487682349,0.002071447835311031,-5.3871345720392025e-07,2,3,18,0,-1
8,9,4,20,2.0625,-7.9375,Khat,0.0020719865487682349,0.002071447835311031,-5.3871345720392025e-07,2,3,19,0,-1
8,9,4,20,2.0625,-7.9375,Khat,0.0020719865487682349,0.002071447835311031,-5.3871345720392025e-07,2,3,20,0,-1
8,9,4,20,2.0625,-7.9375,Khat,0.0020719865487682349,0.002071447835311031,-5.3871345720392025e-07,2,3,21,0,-1
8,9,4,20,2.0625,-7.9375,Axx,0.00047072166845692475,0.00047024828245144563,-4.7338600547912031e-07,2,2,18,0,-1
8,9,4,20,2.0625,-7.9375,Axx,0.00047072166845692475,0.00047024828245144563,-4.7338600547912031e-07,2,2,19,0,-1
8,9,4,20,2.0625,-7.9375,Axx,0.00047072166845692475,0.00047024828245144563,-4.7338600547912031e-07,2,2,20,0,-1
8,9,4,20,2.0625,-7.9375,Axx,0.00047072166845692475,0.00047024828245144563,-4.7338600547912031e-07,2,2,21,0,-1
8,9,4,20,2.0625,-7.9375,Axx,0.00047072166845692475,0.00047024828245144563,-4.7338600547912031e-07,2,3,18,0,-1
8,9,4,20,2.0625,-7.9375,Axx,0.00047072166845692475,0.00047024828245144563,-4.7338600547912031e-07,2,3,19,0,-1
8,9,4,20,2.0625,-7.9375,Axx,0.00047072166845692475,0.00047024828245144563,-4.7338600547912031e-07,2,3,20,0,-1
8,9,4,20,2.0625,-7.9375,Axx,0.00047072166845692475,0.00047024828245144563,-4.7338600547912031e-07,2,3,21,0,-1
8,9,4,20,2.0625,-7.9375,Axy,0.00060660099631105417,0.00060615395347394217,-4.470428371119951e-07,2,2,18,0,-1
8,9,4,20,2.0625,-7.9375,Axy,0.00060660099631105417,0.00060615395347394217,-4.470428371119951e-07,2,2,19,0,-1
