receiver_gid,coarse_j,coarse_i,rho,z,authoritative_writers,refresh_writers,authoritative_writer_count,consumer_count
8,0,2,-0.1875,-8.4375,physical_boundary,,1,1
8,0,3,-0.0625,-8.4375,physical_boundary,,1,2
8,0,4,0.0625,-8.4375,coarser_receive:gid=2,,1,3
8,0,5,0.1875,-8.4375,coarser_receive:gid=2,,1,4
8,0,6,0.3125,-8.4375,coarser_receive:gid=2,,1,5
8,0,7,0.4375,-8.4375,coarser_receive:gid=2,,1,5
8,0,8,0.5625,-8.4375,coarser_receive:gid=2,,1,5
8,0,9,0.6875,-8.4375,coarser_receive:gid=2,,1,5
8,0,10,0.8125,-8.4375,coarser_receive:gid=2,,1,5
8,0,11,0.9375,-8.4375,coarser_receive:gid=2,,1,5
8,0,12,1.0625,-8.4375,coarser_receive:gid=2,,1,5
8,0,13,1.1875,-8.4375,coarser_receive:gid=2,,1,5
8,0,14,1.3125,-8.4375,coarser_receive:gid=2,,1,5
8,0,15,1.4375,-8.4375,coarser_receive:gid=2,,1,5
8,0,16,1.5625,-8.4375,coarser_receive:gid=2,,1,5
8,0,17,1.6875,-8.4375,coarser_receive:gid=2,,1,5
8,0,18,1.8125,-8.4375,coarser_receive:gid=2,,1,5
8,0,19,1.9375,-8.4375,coarser_receive:gid=2,,1,5
8,0,20,2.0625,-8.4375,coarser_receive:gid=2,,1,4
8,0,21,2.1875,-8.4375,coarser_receive:gid=2,,1,3
8,0,22,2.3125,-8.4375,coarser_receive:gid=2,,1,2
8,0,23,2.4375,-8.4375,coarser_receive:gid=2,,1,1
8,1,2,-0.1875,-8.3125,physical_boundary,,1,2
8,1,3,-0.0625,-8.3125,physical_boundary,,1,4
8,1,4,0.0625,-8.3125,coarser_receive:gid=2,,1,6
8,1,5,0.1875,-8.3125,coarser_receive:gid=2,,1,8
8,1,6,0.3125,-8.3125,coarser_receive:gid=2,,1,10
8,1,7,0.4375,-8.3125,coarser_receive:gid=2,,1,10
8,1,8,0.5625,-8.3125,coarser_receive:gid=2,,1,10
8,1,9,0.6875,-8.3125,coarser_receive:gid=2,,1,10
8,1,10,0.8125,-8.3125,coarser_receive:gid=2,,1,10
8,1,11,0.9375,-8.3125,coarser_receive:gid=2,,1,10
8,1,12,1.0625,-8.3125,coarser_receive:gid=2,,1,10
8,1,13,1.1875,-8.3125,coarser_receive:gid=2,,1,10
8,1,14,1.3125,-8.3125,coarser_receive:gid=2,,1,10
8,1,15,1.4375,-8.3125,coarser_receive:gid=2,,1,10
8,1,16,1.5625,-8.3125,coarser_receive:gid=2,,1,10
8,1,17,1.6875,-8.3125,coarser_receive:gid=2,,1,10
