receiver_gid,fine_j,fine_i,rho,z,variable,current,preserved,difference,captured,current_minus_captured,distance_to_known_seam
8,0,32,1.78125,-8.21875,chi,0.59643807961845385,0.59643807961096318,7.4906747471459312e-12,0.59643807961845385,0,8.8236022706857096
8,0,32,1.78125,-8.21875,gxx,0.99226740826820647,0.9922674082865276,-1.8321122396969258e-11,0.99226740826820647,0,8.8236022706857096
8,0,32,1.78125,-8.21875,gxy,-0.0056539282105784192,-0.0056539282074902922,-3.0881269763582964e-12,-0.0056539282105784192,0,8.8236022706857096
8,0,32,1.78125,-8.21875,gyy,1.0164413574742037,1.0164413574683315,5.872191621847378e-12,1.0164413574742037,0,8.8236022706857096
8,0,32,1.78125,-8.21875,gzz,0.99152281272224752,0.99152281270963427,1.2613243782766403e-11,0.99152281272224752,0,8.8236022706857096
8,0,32,1.78125,-8.21875,Khat,-0.0016440961011680161,-0.001644095943829877,-1.5733813904517113e-10,-0.0016440961011680161,0,8.8236022706857096
8,0,32,1.78125,-8.21875,Axx,0.0016395388725746697,0.0016395390108330926,-1.3825842293951895e-10,0.0016395388725746699,-2.1684043449710089e-19,8.8236022706857096
8,0,32,1.78125,-8.21875,Axy,0.00047281796187940197,0.00047281809244396656,-1.3056456458528098e-10,0.00047281796187940197,0,8.8236022706857096
8,0,32,1.78125,-8.21875,Ayy,-0.0034698370346540096,-0.003469837056991869,2.233785942676314e-11,-0.0034698370346540096,0,8.8236022706857096
8,0,32,1.78125,-8.21875,Azz,0.0017412878758569571,0.0017412877576101343,1.1824682270671072e-10,0.0017412878758569571,0,8.8236022706857096
8,0,32,1.78125,-8.21875,Gamx,-0.00080731391919140055,-0.00080731396390825078,4.4716850231343863e-11,-0.00080731391919140044,-1.0842021724855044e-19,8.8236022706857096
8,0,32,1.78125,-8.21875,Gamy,-0.0080935616308382505,-0.0080935617297042909,9.8866040354472773e-11,-0.0080935616308382505,0,8.8236022706857096
8,0,32,1.78125,-8.21875,Theta,-6.7493838996898363e-05,-6.7493746890088242e-05,-9.2106810121116676e-11,-6.7493838996898363e-05,0,8.8236022706857096
8,0,32,1.78125,-8.21875,alpha,0.77606336553067157,0.77606336553061472,5.6843418860808015e-14,0.77606336553067157,0,8.8236022706857096
8,0,32,1.78125,-8.21875,betax,-0.00036217055411666622,-0.0003621705548364592,7.1979298606542064e-13,-0.00036217055411666627,5.4210108624275222e-20,8.8236022706857096
8,0,32,1.78125,-8.21875,betay,-0.003564061585324717,-0.0035640615843060422,-1.0186747279039565e-12,-0.0035640615853247161,-8.6736173798840355e-19,8.8236022706857096
8,0,32,1.78125,-8.21875,Bx,0.00042904610344795586,0.00042904610337926325,6.8692610193793469e-14,0.00042904610344795586,0,8.8236022706857096
8,0,32,1.78125,-8.21875,By,-0.0030179707462303748,-0.003017970746259336,2.8961208431432794e-14,-0.0030179707462303744,-4.3368086899420177e-19,8.8236022706857096
8,0,33,1.84375,-8.21875,chi,0.59667488948120218,0.59667488949083303,-9.6308516717158454e-12,0.59667488948120206,1.1102230246251565e-16,8.8002186141169236
8,0,33,1.84375,-8.21875,gxx,0.99235037760835043,0.99235037758479472,2.3555712935774409e-11,0.99235037760835043,0,8.8002186141169236
8,0,33,1.84375,-8.21875,gxy,-0.0058300007965015757,-0.0058300008004720247,3.9704489696035239e-12,-0.0058300007965015757,0,8.8002186141169236
8,0,33,1.84375,-8.21875,gyy,1.0163304097246946,1.0163304097322443,-7.5497386120559895e-12,1.0163304097246946,0,8.8002186141169236
8,0,33,1.84375,-8.21875,gzz,0.99155013198457886,0.99155013200079578,-1.6216916698397199e-11,0.99155013198457886,0,8.8002186141169236
8,0,33,1.84375,-8.21875,Khat,-0.0016417356615159085,-0.0016417358638078014,2.0229189287221394e-10,-0.0016417356615159085,0,8.8002186141169236
8,0,33,1.84375,-8.21875,Axx,0.0016294190324754175,0.0016294188547145881,1.7776082949366723e-10,0.0016294190324754175,0,8.8002186141169236
8,0,33,1.84375,-8.21875,Axy,0.00048490745947626695,0.00048490729160754109,1.6786872586438406e-10,0.00048490745947626695,0,8.8002186141169236
8,0,33,1.84375,-8.21875,Ayy,-0.003462022839227022,-0.0034620228105069167,-2.8720105287038944e-11,-0.0034620228392270216,-4.3368086899420177e-19,8.8002186141169236
8,0,33,1.84375,-8.21875,Azz,0.001744031865193884,0.0017440320172255133,-1.5203162925629676e-10,0.001744031865193884,0,8.8002186141169236
8,0,33,1.84375,-8.21875,Gamx,-0.00082036714545409757,-0.00082036708796100438,-5.7493093185562172e-11,-0.00082036714545409746,-1.0842021724855044e-19,8.8002186141169236
8,0,33,1.84375,-8.21875,Gamy,-0.0081270279350176972,-0.008127027807904216,-1.2711348119920363e-10,-0.0081270279350176972,0,8.8002186141169236
8,0,33,1.84375,-8.21875,Theta,-7.3357915217065568e-05,-7.335803364010715e-05,1.1842304158235679e-10,-7.3357915217065568e-05,0,8.8002186141169236
8,0,33,1.84375,-8.21875,alpha,0.77620676487018048,0.77620676487025364,-7.3163697322797816e-14,0.77620676487018048,0,8.8002186141169236
8,0,33,1.84375,-8.21875,betax,-0.00037030286055279242,-0.00037030285962734438,-9.2544803200964032e-13,-0.00037030286055279236,-5.4210108624275222e-20,8.8002186141169236
8,0,33,1.84375,-8.21875,betay,-0.0035865931259471693,-0.0035865931272568942,1.3097248979798692e-12,-0.0035865931259471693,0,8.8002186141169236
8,0,33,1.84375,-8.21875,Bx,0.00044383864073696495,0.00044383864082528401,-8.8319054760560567e-14,0.00044383864073696495,0,8.8002186141169236
