group,comparison,field,first_derivative_rms,first_derivative_linf,second_derivative_rms,second_derivative_linf
L4_to_L5,P5_BLOCK-P5_STITCHED,chi,2.111033274490159e-15,1.2434497875801753e-14,1.7725372999614019e-13,1.0231815394945443e-12
L4_to_L5,P5_BLOCK-P5_STITCHED,gammatilde,3.966025783285339e-15,3.552713678800501e-14,3.3134146642873685e-13,3.865352482534945e-12
L4_to_L5,P5_BLOCK-P5_STITCHED,Khat,1.7193062390637294e-16,1.5543122344752192e-15,1.3947283537094403e-14,1.4233059175694507e-13
L4_to_L5,P5_BLOCK-P5_STITCHED,Atilde,1.1839895746176746e-16,1.3877787807814457e-15,9.758361228229507e-15,1.1379786002407855e-13
L4_to_L5,P5_BLOCK-P5_STITCHED,Gammatilde,1.980654952852661e-16,2.6645352591003757e-15,1.6117058378923922e-14,1.9895196601282805e-13
L4_to_L5,P5_STITCHED-P8_STITCHED,chi,4.19165918322944e-06,1.500830548362142e-05,0.0002576144942186579,0.0014963387106199377
L4_to_L5,P5_STITCHED-P8_STITCHED,gammatilde,8.545835396196301e-06,5.952767380801305e-05,0.0005002529099714285,0.005591922085114831
L4_to_L5,P5_STITCHED-P8_STITCHED,Khat,0.011346678787060563,0.06301326185403722,0.48296258539541226,3.2602348938113126
L4_to_L5,P5_STITCHED-P8_STITCHED,Atilde,8.93544507951783e-05,0.0011822478009565207,0.007120711564591491,0.14760823333778356
L4_to_L5,P5_STITCHED-P8_STITCHED,Gammatilde,3.116557754587054e-05,0.0001892108655249091,0.0015946017208696114,0.011800293858476793
L5_to_L6,P5_BLOCK-P5_STITCHED,chi,4.255525275560209e-15,2.1316282072803006e-14,6.933224469858622e-13,4.092726157978177e-12
L5_to_L6,P5_BLOCK-P5_STITCHED,gammatilde,7.502122107367386e-15,6.394884621840902e-14,1.261173624242247e-12,1.1823431123048067e-11
L5_to_L6,P5_BLOCK-P5_STITCHED,Khat,4.6989067150012845e-15,1.1368683772161603e-13,6.373128973613659e-13,1.546140993013978e-11
L5_to_L6,P5_BLOCK-P5_STITCHED,Atilde,9.941048351664795e-16,2.9753977059954195e-14,1.61315538639458e-13,7.275957614183426e-12
L5_to_L6,P5_BLOCK-P5_STITCHED,Gammatilde,8.422814324560173e-16,9.381384558082573e-15,1.3998989045380447e-13,1.3642420526593924e-12
L5_to_L6,P5_STITCHED-P8_STITCHED,chi,0.0005939605687911714,0.012569809224744044,0.08454968392599552,2.661723566675274
L5_to_L6,P5_STITCHED-P8_STITCHED,gammatilde,0.0007766945779306426,0.029262241193827164,0.09742113563416781,4.369397464664971
L5_to_L6,P5_STITCHED-P8_STITCHED,Khat,1.1440996353639075,25.426279196057465,143.62343301165964,4794.958232588264
L5_to_L6,P5_STITCHED-P8_STITCHED,Atilde,0.17439294327011967,5.33132477869637,25.023311457407893,1107.070211820047
L5_to_L6,P5_STITCHED-P8_STITCHED,Gammatilde,0.01962883043916458,0.7930703081389243,1.9801767305886442,99.66885833584354
