group,representation,field,rectangle_nz,rectangle_nrho,high_mode_fraction_radius_ge_0p75_nyquist,checkerboard_projection_fraction
L4_to_L5,P5_BLOCK,chi,122,51,0.0076164896846175854,5.122188341032124e-13
L4_to_L5,P5_BLOCK,gammatilde,122,51,0.0026770209103023435,1.3867303326550466e-08
L4_to_L5,P5_BLOCK,Khat,122,51,0.00802630062322152,3.2359779623046595e-12
L4_to_L5,P5_BLOCK,Atilde,122,51,0.0034183754951137434,3.993692651490996e-09
L4_to_L5,P5_BLOCK,Gammatilde,122,51,0.005033989000541965,8.521984534047335e-09
L4_to_L5,P5_STITCHED,chi,122,51,0.0076164896846176115,5.122188342037245e-13
L4_to_L5,P5_STITCHED,gammatilde,122,51,0.002677020910302341,1.3867303326550397e-08
L4_to_L5,P5_STITCHED,Khat,122,51,0.008026300623221518,3.2359779622933977e-12
L4_to_L5,P5_STITCHED,Atilde,122,51,0.003418375495113745,3.9936926514908356e-09
L4_to_L5,P5_STITCHED,Gammatilde,122,51,0.005033989000541963,8.521984534047894e-09
L4_to_L5,P8_STITCHED,chi,122,51,0.007616143787239265,5.105981860591763e-13
L4_to_L5,P8_STITCHED,gammatilde,122,51,0.002676986149309337,1.3867291544101112e-08
L4_to_L5,P8_STITCHED,Khat,122,51,0.008468262449285257,7.310042644898784e-13
L4_to_L5,P8_STITCHED,Atilde,122,51,0.003418231903977627,3.9978887724341885e-09
L4_to_L5,P8_STITCHED,Gammatilde,122,51,0.005034603900150692,8.524894223718962e-09
L5_to_L6,P5_BLOCK,chi,122,51,0.0006030353377229047,4.942040072695322e-15
L5_to_L6,P5_BLOCK,gammatilde,122,51,0.0027763320816465414,6.675272259712735e-09
L5_to_L6,P5_BLOCK,Khat,122,51,0.00204608599819232,6.5019001760342456e-18
L5_to_L6,P5_BLOCK,Atilde,122,51,0.00278117645039181,5.012184301502745e-10
L5_to_L6,P5_BLOCK,Gammatilde,122,51,0.002811897587081146,1.900578431401747e-08
L5_to_L6,P5_STITCHED,chi,122,51,0.0006030353377229062,4.94204007905429e-15
L5_to_L6,P5_STITCHED,gammatilde,122,51,0.0027763320816465466,6.675272259713049e-09
L5_to_L6,P5_STITCHED,Khat,122,51,0.002046085998192321,6.5019001616914316e-18
L5_to_L6,P5_STITCHED,Atilde,122,51,0.0027811764503918096,5.012184301502777e-10
L5_to_L6,P5_STITCHED,Gammatilde,122,51,0.002811897587081147,1.9005784314016818e-08
L5_to_L6,P8_STITCHED,chi,122,51,0.0006041789882825104,4.941729929069303e-15
L5_to_L6,P8_STITCHED,gammatilde,122,51,0.002776956527922789,6.67529591416811e-09
L5_to_L6,P8_STITCHED,Khat,122,51,0.0018964124454913167,7.037579412552077e-18
L5_to_L6,P8_STITCHED,Atilde,122,51,0.0027210821932250506,5.017488154152766e-10
L5_to_L6,P8_STITCHED,Gammatilde,122,51,0.0028136100519788668,1.9007355936027834e-08
