group,comparison,variable,rms,linf
L4_to_L5,P5_BLOCK-P5_STITCHED,chi,5.724176007637989e-17,2.220446049250313e-16
L4_to_L5,P5_BLOCK-P5_STITCHED,gxx,1.7416512132098098e-16,8.881784197001252e-16
L4_to_L5,P5_BLOCK-P5_STITCHED,gxy,3.824895044305152e-18,2.7755575615628914e-17
L4_to_L5,P5_BLOCK-P5_STITCHED,gxz,0.0,0.0
L4_to_L5,P5_BLOCK-P5_STITCHED,gyy,1.6757995856153e-16,8.881784197001252e-16
L4_to_L5,P5_BLOCK-P5_STITCHED,gyz,0.0,0.0
L4_to_L5,P5_BLOCK-P5_STITCHED,gzz,1.0803801482146043e-16,4.440892098500626e-16
L4_to_L5,P5_BLOCK-P5_STITCHED,Khat,4.560840923978962e-18,4.163336342344337e-17
L4_to_L5,P5_BLOCK-P5_STITCHED,Axx,4.695197618358384e-18,2.7755575615628914e-17
L4_to_L5,P5_BLOCK-P5_STITCHED,Axy,3.0544518536015786e-18,2.0816681711721685e-17
L4_to_L5,P5_BLOCK-P5_STITCHED,Axz,0.0,0.0
L4_to_L5,P5_BLOCK-P5_STITCHED,Ayy,4.531213482684665e-18,2.7755575615628914e-17
L4_to_L5,P5_BLOCK-P5_STITCHED,Ayz,0.0,0.0
L4_to_L5,P5_BLOCK-P5_STITCHED,Azz,2.5135807281654314e-18,2.0816681711721685e-17
L4_to_L5,P5_BLOCK-P5_STITCHED,Gamx,8.560408719212838e-18,5.551115123125783e-17
L4_to_L5,P5_BLOCK-P5_STITCHED,Gamy,2.5243691612008178e-18,1.3877787807814457e-17
L4_to_L5,P5_BLOCK-P5_STITCHED,Gamz,0.0,0.0
L4_to_L5,P5_BLOCK-P5_STITCHED,Theta,1.0102842677331569e-19,8.673617379884035e-19
L4_to_L5,P5_BLOCK-P5_STITCHED,alpha,7.783303525485513e-17,3.3306690738754696e-16
L4_to_L5,P5_BLOCK-P5_STITCHED,betax,3.7945647135481386e-18,2.0816681711721685e-17
L4_to_L5,P5_BLOCK-P5_STITCHED,betay,1.1374891178823833e-18,6.938893903907228e-18
L4_to_L5,P5_BLOCK-P5_STITCHED,betaz,0.0,0.0
L4_to_L5,P5_BLOCK-P5_STITCHED,Bx,3.0168980816246884e-19,1.734723475976807e-18
L4_to_L5,P5_BLOCK-P5_STITCHED,By,4.702362623821418e-20,2.168404344971009e-19
L4_to_L5,P5_BLOCK-P5_STITCHED,Bz,0.0,0.0
L4_to_L5,P5_STITCHED-P8_STITCHED,chi,1.2667286997124732e-07,4.283501934265743e-07
L4_to_L5,P5_STITCHED-P8_STITCHED,gxx,5.021817143403552e-07,1.385323779468095e-06
L4_to_L5,P5_STITCHED-P8_STITCHED,gxy,7.82323350559063e-08,3.3588045961902013e-07
L4_to_L5,P5_STITCHED-P8_STITCHED,gxz,0.0,0.0
L4_to_L5,P5_STITCHED-P8_STITCHED,gyy,3.232015322804653e-07,1.2335679306918479e-06
L4_to_L5,P5_STITCHED-P8_STITCHED,gyz,0.0,0.0
L4_to_L5,P5_STITCHED-P8_STITCHED,gzz,1.7801585134292149e-07,6.12245258269084e-07
L4_to_L5,P5_STITCHED-P8_STITCHED,Khat,0.00033708662758933695,0.0018962334763169657
L4_to_L5,P5_STITCHED-P8_STITCHED,Axx,4.3829223081530004e-06,1.7085404768003853e-05
L4_to_L5,P5_STITCHED-P8_STITCHED,Axy,1.0989559885172369e-06,4.804367498717835e-06
L4_to_L5,P5_STITCHED-P8_STITCHED,Axz,0.0,0.0
L4_to_L5,P5_STITCHED-P8_STITCHED,Ayy,4.609222902642837e-06,3.0338625360077504e-05
L4_to_L5,P5_STITCHED-P8_STITCHED,Ayz,0.0,0.0
L4_to_L5,P5_STITCHED-P8_STITCHED,Azz,2.044177154932251e-06,1.1199654237487033e-05
L4_to_L5,P5_STITCHED-P8_STITCHED,Gamx,1.4822408138817305e-06,5.394251930301852e-06
L4_to_L5,P5_STITCHED-P8_STITCHED,Gamy,6.056916764425156e-07,3.033810632159864e-06
L4_to_L5,P5_STITCHED-P8_STITCHED,Gamz,0.0,0.0
L4_to_L5,P5_STITCHED-P8_STITCHED,Theta,0.0001698768063620089,0.0009529420416254427
L4_to_L5,P5_STITCHED-P8_STITCHED,alpha,2.802610808027499e-07,1.0981159374034988e-06
L4_to_L5,P5_STITCHED-P8_STITCHED,betax,5.118483017997971e-07,2.1457948857772635e-06
L4_to_L5,P5_STITCHED-P8_STITCHED,betay,2.0548439190057478e-07,1.3963801687878058e-06
L4_to_L5,P5_STITCHED-P8_STITCHED,betaz,0.0,0.0
L4_to_L5,P5_STITCHED-P8_STITCHED,Bx,1.3298112621806072e-07,3.468505061121792e-07
L4_to_L5,P5_STITCHED-P8_STITCHED,By,4.199051934322521e-08,1.6377818745215867e-07
L4_to_L5,P5_STITCHED-P8_STITCHED,Bz,0.0,0.0
L5_to_L6,P5_BLOCK-P5_STITCHED,chi,5.684237389080637e-17,2.220446049250313e-16
L5_to_L6,P5_BLOCK-P5_STITCHED,gxx,1.5766397852311567e-16,6.661338147750939e-16
L5_to_L6,P5_BLOCK-P5_STITCHED,gxy,3.9976465486385324e-18,2.7755575615628914e-17
L5_to_L6,P5_BLOCK-P5_STITCHED,gxz,0.0,0.0
L5_to_L6,P5_BLOCK-P5_STITCHED,gyy,1.5657967120326628e-16,8.881784197001252e-16
L5_to_L6,P5_BLOCK-P5_STITCHED,gyz,0.0,0.0
L5_to_L6,P5_BLOCK-P5_STITCHED,gzz,1.1407615046583107e-16,5.551115123125783e-16
L5_to_L6,P5_BLOCK-P5_STITCHED,Khat,5.524060891801807e-17,1.7763568394002505e-15
