order,metric,stencil_class,hierarchy_origin,magnitude,gid,i,j,rho,z
o2,C,ACTIVE_ONLY,BALANCE_INDUCED_CHILD,0.0065267396292021185,60,28,27,7.890625,1.859375
o2,C,ACTIVE_ONLY,EXPLICIT_REFINED_CHILD,5.989434056349934,30,7,28,5.1171875,-0.0546875
o2,C,ACTIVE_ONLY,UNCHANGED_LEAF,0.07402860677658386,72,3,4,10.21875,0.28125
o2,C,AXIS,UNCHANGED_LEAF,0.023217702818840717,80,0,28,0.0625,15.5625
o2,C,COARSE_FINE,BALANCE_INDUCED_CHILD,0.007478337706275666,60,28,31,7.890625,1.984375
o2,C,COARSE_FINE,EXPLICIT_REFINED_CHILD,1.3310241854684575,30,2,28,5.0390625,-0.0546875
o2,C,COARSE_FINE,UNCHANGED_LEAF,0.21649542769074578,27,31,28,4.984375,-0.109375
o2,C,MIXED_CORNER,BALANCE_INDUCED_CHILD,0.007609402142554565,32,0,0,6.015625,-1.984375
o2,C,MIXED_CORNER,EXPLICIT_REFINED_CHILD,3.1594849586303,30,2,29,5.0390625,-0.0390625
o2,C,MIXED_CORNER,UNCHANGED_LEAF,0.9849246227374279,50,31,0,4.984375,0.015625
o2,C,PHYSICAL_BOUNDARY,UNCHANGED_LEAF,0.041852362669824825,75,31,4,15.9375,0.5625
o2,C,SAME_LEVEL_SEAM,BALANCE_INDUCED_CHILD,0.006679238322357644,32,1,24,6.046875,-1.234375
o2,C,SAME_LEVEL_SEAM,EXPLICIT_REFINED_CHILD,8.491680402195522,30,8,31,5.1328125,-0.0078125
o2,C,SAME_LEVEL_SEAM,UNCHANGED_LEAF,0.11910415511726788,27,28,31,4.890625,-0.015625
o2,H2,ACTIVE_ONLY,BALANCE_INDUCED_CHILD,0.004334062981722448,57,19,4,6.609375,0.140625
o2,H2,ACTIVE_ONLY,EXPLICIT_REFINED_CHILD,1.3062778394674002,30,7,28,5.1171875,-0.0546875
o2,H2,ACTIVE_ONLY,UNCHANGED_LEAF,0.015533588141100212,22,28,28,3.890625,-0.109375
o2,H2,AXIS,UNCHANGED_LEAF,0.004227500472852582,43,0,17,0.03125,1.09375
o2,H2,COARSE_FINE,BALANCE_INDUCED_CHILD,0.0015838898845093115,32,4,2,6.140625,-1.921875
o2,H2,COARSE_FINE,EXPLICIT_REFINED_CHILD,0.38033305645990745,30,2,28,5.0390625,-0.0546875
o2,H2,COARSE_FINE,UNCHANGED_LEAF,0.013369278779259364,27,31,28,4.984375,-0.109375
o2,H2,MIXED_CORNER,BALANCE_INDUCED_CHILD,0.004335909617738678,32,2,29,6.078125,-1.078125
o2,H2,MIXED_CORNER,EXPLICIT_REFINED_CHILD,0.5968060982013745,51,2,1,5.0390625,0.0234375
o2,H2,MIXED_CORNER,UNCHANGED_LEAF,0.09506176844545933,27,31,31,4.984375,-0.015625
o2,H2,PHYSICAL_BOUNDARY,UNCHANGED_LEAF,0.014199813645856933,77,31,6,15.9375,4.8125
o2,H2,SAME_LEVEL_SEAM,BALANCE_INDUCED_CHILD,0.0064154256140442,32,1,24,6.046875,-1.234375
o2,H2,SAME_LEVEL_SEAM,EXPLICIT_REFINED_CHILD,6.5238257643071655,51,8,0,5.1328125,0.0078125
o2,H2,SAME_LEVEL_SEAM,UNCHANGED_LEAF,0.015574351254349895,45,28,2,3.890625,0.078125
o2,M2,ACTIVE_ONLY,BALANCE_INDUCED_CHILD,0.003545118376250884,34,14,10,6.453125,-0.671875
o2,M2,ACTIVE_ONLY,EXPLICIT_REFINED_CHILD,5.8332928118353315,30,7,28,5.1171875,-0.0546875
o2,M2,ACTIVE_ONLY,UNCHANGED_LEAF,0.05638777508839538,50,28,3,4.890625,0.109375
o2,M2,AXIS,UNCHANGED_LEAF,0.0017552244473758765,43,2,10,0.15625,0.65625
o2,M2,COARSE_FINE,BALANCE_INDUCED_CHILD,0.002246084629393925,34,0,27,6.015625,-0.140625
o2,M2,COARSE_FINE,EXPLICIT_REFINED_CHILD,1.274345438803836,30,2,28,5.0390625,-0.0546875
o2,M2,COARSE_FINE,UNCHANGED_LEAF,0.21606247153069508,27,31,28,4.984375,-0.109375
o2,M2,MIXED_CORNER,BALANCE_INDUCED_CHILD,0.007193996821009454,32,0,0,6.015625,-1.984375
o2,M2,MIXED_CORNER,EXPLICIT_REFINED_CHILD,3.106229889266543,30,2,29,5.0390625,-0.0390625
o2,M2,MIXED_CORNER,UNCHANGED_LEAF,0.9803176588905939,50,31,0,4.984375,0.015625
o2,M2,PHYSICAL_BOUNDARY,UNCHANGED_LEAF,0.003291955503509412,42,29,3,15.6875,-3.5625
o2,M2,SAME_LEVEL_SEAM,BALANCE_INDUCED_CHILD,0.0037943998608868284,32,0,4,6.015625,-1.859375
o2,M2,SAME_LEVEL_SEAM,EXPLICIT_REFINED_CHILD,6.399051020427837,30,4,31,5.0703125,-0.0078125
o2,M2,SAME_LEVEL_SEAM,UNCHANGED_LEAF,0.11854288896319896,27,28,31,4.890625,-0.015625
o2,Z2,ACTIVE_ONLY,BALANCE_INDUCED_CHILD,0.002198972038868357,60,28,28,7.890625,1.890625
o2,Z2,ACTIVE_ONLY,EXPLICIT_REFINED_CHILD,0.02306163109084631,30,7,28,5.1171875,-0.0546875
o2,Z2,ACTIVE_ONLY,UNCHANGED_LEAF,0.031428716844518555,71,28,3,9.78125,0.21875
o2,Z2,AXIS,UNCHANGED_LEAF,0.010485442777133947,0,0,3,0.0625,-15.5625
o2,Z2,COARSE_FINE,BALANCE_INDUCED_CHILD,0.002568721244675134,60,28,31,7.890625,1.984375
o2,Z2,COARSE_FINE,EXPLICIT_REFINED_CHILD,0.006969290505087742,51,2,3,5.0390625,0.0546875
o2,Z2,COARSE_FINE,UNCHANGED_LEAF,0.016674633423730604,74,3,29,10.21875,3.84375
o2,Z2,MIXED_CORNER,BALANCE_INDUCED_CHILD,0.002728247633966537,60,31,31,7.984375,1.984375
o2,Z2,MIXED_CORNER,EXPLICIT_REFINED_CHILD,0.011257431696104252,51,2,2,5.0390625,0.0390625
o2,Z2,MIXED_CORNER,UNCHANGED_LEAF,0.03300654193338744,71,31,2,9.96875,0.15625
o2,Z2,PHYSICAL_BOUNDARY,UNCHANGED_LEAF,0.018199459293315685,42,31,28,15.9375,-0.4375
o2,Z2,SAME_LEVEL_SEAM,BALANCE_INDUCED_CHILD,0.0014701906597459388,60,0,24,7.015625,1.765625
o2,Z2,SAME_LEVEL_SEAM,EXPLICIT_REFINED_CHILD,0.12545427946305865,30,7,30,5.1171875,-0.0234375
o2,Z2,SAME_LEVEL_SEAM,UNCHANGED_LEAF,0.032930318940888194,71,31,3,9.96875,0.21875
o4,C,ACTIVE_ONLY,BALANCE_INDUCED_CHILD,0.006556258390733093,60,28,27,7.890625,1.859375
o4,C,ACTIVE_ONLY,EXPLICIT_REFINED_CHILD,8.230778468648252,30,7,28,5.1171875,-0.0546875
o4,C,ACTIVE_ONLY,UNCHANGED_LEAF,0.07407439125425706,72,3,4,10.21875,0.28125
o4,C,AXIS,UNCHANGED_LEAF,0.023223597031038018,80,0,28,0.0625,15.5625
o4,C,COARSE_FINE,BALANCE_INDUCED_CHILD,0.007502679423947197,60,28,31,7.890625,1.984375
o4,C,COARSE_FINE,EXPLICIT_REFINED_CHILD,2.030264869244862,51,2,4,5.0390625,0.0703125
o4,C,COARSE_FINE,UNCHANGED_LEAF,0.041628813904742656,74,3,30,10.21875,3.90625
o4,C,MIXED_CORNER,BALANCE_INDUCED_CHILD,0.008875273645959197,32,0,0,6.015625,-1.984375
o4,C,MIXED_CORNER,EXPLICIT_REFINED_CHILD,4.09080133535085,30,2,29,5.0390625,-0.0390625
o4,C,MIXED_CORNER,UNCHANGED_LEAF,0.3477589046901527,50,31,0,4.984375,0.015625
o4,C,PHYSICAL_BOUNDARY,UNCHANGED_LEAF,0.042235168020726487,75,31,4,15.9375,0.5625
o4,C,SAME_LEVEL_SEAM,BALANCE_INDUCED_CHILD,0.007211017848128433,32,0,25,6.015625,-1.203125
o4,C,SAME_LEVEL_SEAM,EXPLICIT_REFINED_CHILD,10.941550927794056,30,8,31,5.1328125,-0.0078125
o4,C,SAME_LEVEL_SEAM,UNCHANGED_LEAF,0.07818551165165503,71,31,4,9.96875,0.28125
o4,H2,ACTIVE_ONLY,BALANCE_INDUCED_CHILD,0.004544029292064617,57,19,4,6.609375,0.140625
o4,H2,ACTIVE_ONLY,EXPLICIT_REFINED_CHILD,1.855467047020503,30,7,28,5.1171875,-0.0546875
o4,H2,ACTIVE_ONLY,UNCHANGED_LEAF,0.017007197391599425,22,28,28,3.890625,-0.109375
o4,H2,AXIS,UNCHANGED_LEAF,0.004704423707165634,18,0,14,0.03125,-1.09375
o4,H2,COARSE_FINE,BALANCE_INDUCED_CHILD,0.001715878587689019,32,4,2,6.140625,-1.921875
o4,H2,COARSE_FINE,EXPLICIT_REFINED_CHILD,0.4458228251788321,30,2,28,5.0390625,-0.0546875
o4,H2,COARSE_FINE,UNCHANGED_LEAF,0.01088984938735514,39,28,0,11.78125,-3.96875
o4,H2,MIXED_CORNER,BALANCE_INDUCED_CHILD,0.004617282011137427,32,2,29,6.078125,-1.078125
o4,H2,MIXED_CORNER,EXPLICIT_REFINED_CHILD,0.7617699010332468,51,2,1,5.0390625,0.0234375
o4,H2,MIXED_CORNER,UNCHANGED_LEAF,0.0575338531323466,27,31,31,4.984375,-0.015625
o4,H2,PHYSICAL_BOUNDARY,UNCHANGED_LEAF,0.017888582131046906,77,31,8,15.9375,5.0625
o4,H2,SAME_LEVEL_SEAM,BALANCE_INDUCED_CHILD,0.006920839900378469,32,0,25,6.015625,-1.203125
o4,H2,SAME_LEVEL_SEAM,EXPLICIT_REFINED_CHILD,8.202690171102716,51,8,0,5.1328125,0.0078125
o4,H2,SAME_LEVEL_SEAM,UNCHANGED_LEAF,0.017014346871044746,45,28,2,3.890625,0.078125
o4,M2,ACTIVE_ONLY,BALANCE_INDUCED_CHILD,0.0036710906432584193,34,14,10,6.453125,-0.671875
o4,M2,ACTIVE_ONLY,EXPLICIT_REFINED_CHILD,8.010121141333263,30,7,28,5.1171875,-0.0546875
o4,M2,ACTIVE_ONLY,UNCHANGED_LEAF,0.014734902966183613,38,28,3,9.78125,-3.78125
o4,M2,AXIS,UNCHANGED_LEAF,0.0018323659908787001,43,2,11,0.15625,0.71875
o4,M2,COARSE_FINE,BALANCE_INDUCED_CHILD,0.002077694567205233,34,0,26,6.015625,-0.171875
o4,M2,COARSE_FINE,EXPLICIT_REFINED_CHILD,2.0233123523549272,51,2,4,5.0390625,0.0703125
o4,M2,COARSE_FINE,UNCHANGED_LEAF,0.03420778122559791,50,31,3,4.984375,0.109375
o4,M2,MIXED_CORNER,BALANCE_INDUCED_CHILD,0.00840962624001899,32,0,0,6.015625,-1.984375
o4,M2,MIXED_CORNER,EXPLICIT_REFINED_CHILD,4.025972924311229,30,2,29,5.0390625,-0.0390625
o4,M2,MIXED_CORNER,UNCHANGED_LEAF,0.3428902095863885,50,31,0,4.984375,0.015625
o4,M2,PHYSICAL_BOUNDARY,UNCHANGED_LEAF,0.0032770003065791115,42,29,3,15.6875,-3.5625
o4,M2,SAME_LEVEL_SEAM,BALANCE_INDUCED_CHILD,0.0041802877137445465,32,0,4,6.015625,-1.859375
o4,M2,SAME_LEVEL_SEAM,EXPLICIT_REFINED_CHILD,9.219261085931018,30,4,31,5.0703125,-0.0078125
o4,M2,SAME_LEVEL_SEAM,UNCHANGED_LEAF,0.01492945787071057,74,1,28,10.09375,3.78125
o4,Z2,ACTIVE_ONLY,BALANCE_INDUCED_CHILD,0.0022170174156296747,60,28,28,7.890625,1.890625
o4,Z2,ACTIVE_ONLY,EXPLICIT_REFINED_CHILD,0.02910928113948682,30,7,28,5.1171875,-0.0546875
o4,Z2,ACTIVE_ONLY,UNCHANGED_LEAF,0.03149799423047174,71,28,3,9.78125,0.21875
o4,Z2,AXIS,UNCHANGED_LEAF,0.010488738185983879,0,0,3,0.0625,-15.5625
o4,Z2,COARSE_FINE,BALANCE_INDUCED_CHILD,0.002593608766220727,60,28,31,7.890625,1.984375
o4,Z2,COARSE_FINE,EXPLICIT_REFINED_CHILD,0.006892318656985135,51,2,3,5.0390625,0.0546875
o4,Z2,COARSE_FINE,UNCHANGED_LEAF,0.016707276609202952,74,3,29,10.21875,3.84375
o4,Z2,MIXED_CORNER,BALANCE_INDUCED_CHILD,0.0027534221363304857,60,31,31,7.984375,1.984375
o4,Z2,MIXED_CORNER,EXPLICIT_REFINED_CHILD,0.012993893810654513,51,2,2,5.0390625,0.0390625
o4,Z2,MIXED_CORNER,UNCHANGED_LEAF,0.03308701613771387,71,31,2,9.96875,0.15625
o4,Z2,PHYSICAL_BOUNDARY,UNCHANGED_LEAF,0.018322328695639566,42,31,28,15.9375,-0.4375
o4,Z2,SAME_LEVEL_SEAM,BALANCE_INDUCED_CHILD,0.0014919275474065629,60,0,24,7.015625,1.765625
o4,Z2,SAME_LEVEL_SEAM,EXPLICIT_REFINED_CHILD,0.13982590158581862,30,7,30,5.1171875,-0.0234375
o4,Z2,SAME_LEVEL_SEAM,UNCHANGED_LEAF,0.033003765815218744,71,31,3,9.96875,0.21875
o6,C,ACTIVE_ONLY,BALANCE_INDUCED_CHILD,0.0065635271580152445,60,28,27,7.890625,1.859375
o6,C,ACTIVE_ONLY,EXPLICIT_REFINED_CHILD,9.160871435746039,30,7,28,5.1171875,-0.0546875
o6,C,ACTIVE_ONLY,UNCHANGED_LEAF,0.0740792392991368,72,3,4,10.21875,0.28125
o6,C,AXIS,UNCHANGED_LEAF,0.02322700496304139,80,0,28,0.0625,15.5625
o6,C,COARSE_FINE,BALANCE_INDUCED_CHILD,0.007509687382049696,60,28,31,7.890625,1.984375
o6,C,COARSE_FINE,EXPLICIT_REFINED_CHILD,2.2493035520267055,51,2,4,5.0390625,0.0703125
o6,C,COARSE_FINE,UNCHANGED_LEAF,0.041721499453100844,74,3,30,10.21875,3.90625
o6,C,MIXED_CORNER,BALANCE_INDUCED_CHILD,0.009568937417764373,32,0,0,6.015625,-1.984375
o6,C,MIXED_CORNER,EXPLICIT_REFINED_CHILD,4.568999945932373,30,2,29,5.0390625,-0.0390625
o6,C,MIXED_CORNER,UNCHANGED_LEAF,0.2776561490339168,50,31,0,4.984375,0.015625
o6,C,PHYSICAL_BOUNDARY,UNCHANGED_LEAF,0.04236445821795476,75,31,4,15.9375,0.5625
o6,C,SAME_LEVEL_SEAM,BALANCE_INDUCED_CHILD,0.007513309335678115,32,0,25,6.015625,-1.203125
o6,C,SAME_LEVEL_SEAM,EXPLICIT_REFINED_CHILD,12.155144384478826,30,8,31,5.1328125,-0.0078125
o6,C,SAME_LEVEL_SEAM,UNCHANGED_LEAF,0.07818605814478544,71,31,4,9.96875,0.28125
o6,H2,ACTIVE_ONLY,BALANCE_INDUCED_CHILD,0.004590615916359722,34,19,27,6.609375,-0.140625
o6,H2,ACTIVE_ONLY,EXPLICIT_REFINED_CHILD,2.1102976084130685,30,7,28,5.1171875,-0.0546875
o6,H2,ACTIVE_ONLY,UNCHANGED_LEAF,0.017281021831712644,22,28,28,3.890625,-0.109375
o6,H2,AXIS,UNCHANGED_LEAF,0.004747544866400159,18,0,14,0.03125,-1.09375
o6,H2,COARSE_FINE,BALANCE_INDUCED_CHILD,0.0017517730728440124,32,4,2,6.140625,-1.921875
o6,H2,COARSE_FINE,EXPLICIT_REFINED_CHILD,0.4960809702763651,30,2,28,5.0390625,-0.0546875
o6,H2,COARSE_FINE,UNCHANGED_LEAF,0.012176641198287156,39,28,0,11.78125,-3.96875
o6,H2,MIXED_CORNER,BALANCE_INDUCED_CHILD,0.0047169479882033264,32,2,29,6.078125,-1.078125
o6,H2,MIXED_CORNER,EXPLICIT_REFINED_CHILD,0.8128207728678793,51,2,1,5.0390625,0.0234375
o6,H2,MIXED_CORNER,UNCHANGED_LEAF,0.044539951706940695,27,31,31,4.984375,-0.015625
o6,H2,PHYSICAL_BOUNDARY,UNCHANGED_LEAF,0.01986146636983373,77,31,10,15.9375,5.3125
o6,H2,SAME_LEVEL_SEAM,BALANCE_INDUCED_CHILD,0.007215365238063233,32,0,25,6.015625,-1.203125
o6,H2,SAME_LEVEL_SEAM,EXPLICIT_REFINED_CHILD,9.00298950372201,51,8,0,5.1328125,0.0078125
o6,H2,SAME_LEVEL_SEAM,UNCHANGED_LEAF,0.01727525204063249,45,28,2,3.890625,0.078125
o6,M2,ACTIVE_ONLY,BALANCE_INDUCED_CHILD,0.0036865613134071207,34,14,10,6.453125,-0.671875
o6,M2,ACTIVE_ONLY,EXPLICIT_REFINED_CHILD,8.906544994270456,30,7,28,5.1171875,-0.0546875
o6,M2,ACTIVE_ONLY,UNCHANGED_LEAF,0.01468808102512315,38,28,3,9.78125,-3.78125
o6,M2,AXIS,UNCHANGED_LEAF,0.0018361085440082314,43,2,11,0.15625,0.71875
