hierarchy_origin,stencil_class,metric,cell_count,coordinate_volume,proper_volume,coordinate_integral,proper_integral,linf,max_gid,max_i,max_j,max_rho,max_z,coordinate_rms,proper_rms,coordinate_fraction_of_t3,proper_fraction_of_t3
BALANCE_INDUCED_CHILD,ACTIVE_ONLY,C,5408,232.2815068247966,614.8200903701619,0.0013466402460995703,0.0035807339950758516,0.0065635271580152445,60,28,27,7.890625,1.859375,0.0024077892855980136,0.002413303843125716,3.4497389172570646e-05,4.081320434841645e-05
BALANCE_INDUCED_CHILD,ACTIVE_ONLY,H2,5408,232.2815068247966,614.8200903701619,0.00030133840130389805,0.0008008235284260974,0.004590615916359722,34,19,27,6.609375,-0.140625,0.0011389900301208855,0.0011412857295821594,5.381009741443795e-05,6.249418123938164e-05
BALANCE_INDUCED_CHILD,ACTIVE_ONLY,M2,5408,232.2815068247966,614.8200903701619,0.00018313170238099398,0.00048754658557370443,0.0036865613134071207,34,14,10,6.453125,-0.671875,0.0008879212483378669,0.0008905002268559314,6.851064486735096e-06,7.84881607511084e-06
BALANCE_INDUCED_CHILD,ACTIVE_ONLY,Z2,5408,232.2815068247966,614.8200903701619,0.00015663020485813273,0.00041734828312443725,0.0022214972032806746,60,28,28,7.890625,1.890625,0.0008211650193034396,0.00082390149407341,0.0001364575365549655,0.00019000644494514122
BALANCE_INDUCED_CHILD,COARSE_FINE,C,780,34.41447548101735,90.35674757075462,0.00029155824217233126,0.000764861608656653,0.007509687382049696,60,28,31,7.890625,1.984375,0.002910664065519871,0.002909451596054539,7.468957040175841e-06,8.717892246475361e-06
BALANCE_INDUCED_CHILD,COARSE_FINE,H2,780,34.41447548101735,90.35674757075462,9.358464868370153e-06,2.4827112656946815e-05,0.0017517730728440124,32,4,2,6.140625,-1.921875,0.0005214728831212976,0.0005241828557065654,1.6711441490284397e-06,1.937443173133446e-06
BALANCE_INDUCED_CHILD,COARSE_FINE,M2,780,34.41447548101735,90.35674757075462,1.6477686631340495e-05,4.3635734666914094e-05,0.0020943224917483456,34,0,26,6.015625,-0.171875,0.0006919545067546851,0.0006949296650853024,6.164399294922003e-07,7.024741139350493e-07
BALANCE_INDUCED_CHILD,COARSE_FINE,Z2,780,34.41447548101735,90.35674757075462,4.662850916805893e-05,0.00012245599767353883,0.0025989704513417772,60,28,31,7.890625,1.984375,0.001164005916298961,0.0011641521257357921,4.062314481467377e-05,5.575062776338807e-05
BALANCE_INDUCED_CHILD,MIXED_CORNER,C,288,12.370021073509827,32.682629359620435,8.743007156486095e-05,0.00023262597884278694,0.009568937417764373,32,0,0,6.015625,-1.984375,0.0026585522318043958,0.0026679065444583584,2.2397289943580826e-06,2.651470794624035e-06
BALANCE_INDUCED_CHILD,MIXED_CORNER,H2,288,12.370021073509827,32.682629359620435,1.00119918777866e-05,2.6698572217994272e-05,0.0047169479882033264,32,2,29,6.078125,-1.078125,0.0008996529835535667,0.0009038274436207482,1.7878446820089681e-06,2.08348700031736e-06
BALANCE_INDUCED_CHILD,MIXED_CORNER,M2,288,12.370021073509827,32.682629359620435,2.091804175317153e-05,5.77846764356151e-05,0.009079213099505087,32,0,0,6.015625,-1.984375,0.0013003950061316037,0.0013296821799333204,7.825562211454039e-07,9.302522276291701e-07
BALANCE_INDUCED_CHILD,MIXED_CORNER,Z2,288,12.370021073509827,32.682629359620435,1.0200607064123661e-05,2.6776875883610875e-05,0.0027593489562590134,60,31,31,7.984375,1.984375,0.0009080876922323865,0.0009051518812189159,8.886853672931396e-06,1.2190727023705544e-05
BALANCE_INDUCED_CHILD,SAME_LEVEL_SEAM,C,1716,72.79237382273396,193.15123556209028,0.0003668814097576396,0.0009813586120361192,0.007513309335678115,32,0,25,6.015625,-1.203125,0.0022450184368446283,0.0022540581913282533,9.39853892622695e-06,1.1185524986549588e-05
BALANCE_INDUCED_CHILD,SAME_LEVEL_SEAM,H2,1716,72.79237382273396,193.15123556209028,0.00012006699899310829,0.0003200951964020892,0.007215365238063233,32,0,25,6.015625,-1.203125,0.0012843071097197209,0.0012873327949942108,2.144040349362139e-05,2.497939496997892e-05
BALANCE_INDUCED_CHILD,SAME_LEVEL_SEAM,M2,1716,72.79237382273396,193.15123556209028,7.016719643921484e-05,0.00018905138533710262,0.004364932341695579,32,0,4,6.015625,-1.859375,0.0009818024715921123,0.0009893300185415074,2.6249960078368214e-06,3.043462094006416e-06
BALANCE_INDUCED_CHILD,SAME_LEVEL_SEAM,Z2,1716,72.79237382273396,193.15123556209028,3.2413604292273904e-05,8.663122217533431e-05,0.0014955461884229935,60,0,24,7.015625,1.765625,0.0006672993806948266,0.000669712608537282,2.823900151696375e-05,3.94406571498464e-05
EXPLICIT_REFINED_CHILD,ACTIVE_ONLY,C,5408,45.62672455487032,117.32962028799987,11.16975808729101,26.227898517798724,9.160871435746039,30,7,28,5.1171875,-0.0546875,0.4947801150711845,0.47280048646096545,0.28613988986057326,0.29894557465271104
EXPLICIT_REFINED_CHILD,ACTIVE_ONLY,H2,5408,45.62672455487032,117.32962028799987,0.28020942269462956,0.655240152420146,2.1102976084130685,30,7,28,5.1171875,-0.0546875,0.0783667292570927,0.07473024718090218,0.05003708875602371,0.05113323396122413
EXPLICIT_REFINED_CHILD,ACTIVE_ONLY,M2,5408,45.62672455487032,117.32962028799987,10.876695731489358,25.542520838935896,8.906544994270456,30,7,28,5.1171875,-0.0546875,0.4882461679729172,0.4665820700659122,0.4069035720751514,0.4111987532916206
EXPLICIT_REFINED_CHILD,ACTIVE_ONLY,Z2,5408,45.62672455487032,117.32962028799987,0.00014073338469505452,0.0003390878344507893,0.0321698370873064,30,7,28,5.1171875,-0.0546875,0.0017562604443204905,0.0017000131148826602,0.00012260809467703562,0.0001543767557058114
EXPLICIT_REFINED_CHILD,COARSE_FINE,C,936,7.896933096035288,20.79971202934929,0.19946340096720624,0.47303541339927213,2.2493035520267055,51,2,4,5.0390625,0.0703125,0.15892871814416173,0.1508058422123122,0.005109728889196916,0.005391657413717821
EXPLICIT_REFINED_CHILD,COARSE_FINE,H2,936,7.896933096035288,20.79971202934929,0.004833990054221089,0.011443988636417634,0.4960809702763651,30,2,28,5.0390625,-0.0546875,0.02474136446672307,0.023456329182869433,0.000863207193615307,0.0008930590505392563
EXPLICIT_REFINED_CHILD,COARSE_FINE,M2,936,7.896933096035288,20.79971202934929,0.19452741984558564,0.46134104763802397,2.2437625842720226,51,2,4,5.0390625,0.0703125,0.15694995081127736,0.14893006794533628,0.007277384966518031,0.007426943676672308
EXPLICIT_REFINED_CHILD,COARSE_FINE,Z2,936,7.896933096035288,20.79971202934929,9.684229113630123e-06,2.4772702574310107e-05,0.006508744793781938,51,2,3,5.0390625,0.0546875,0.0011073968874149647,0.001091334873136905,8.43698090975987e-06,1.1278285638531243e-05
EXPLICIT_REFINED_CHILD,MIXED_CORNER,C,288,2.4298255680108563,6.274624272305392,0.7317927808378889,1.7230672452996494,4.568999945932373,30,2,29,5.0390625,-0.0390625,0.5487904075241743,0.5240313277097305,0.018746610631430474,0.019639519630663856
