stencil_class,metric,cell_count,coordinate_volume,proper_volume,coordinate_integral,proper_integral,coordinate_fraction_of_t3,proper_fraction_of_t3,coordinate_rms,proper_rms,linf,max_gid,max_i,max_j,max_rho,max_z
ACTIVE_ONLY,C,58136,16989.733070613474,31519.46192046354,15.434919576643587,34.380400821264494,0.3954021343302649,0.3918677919745917,0.030141086799907405,0.03302676759184365,9.160871435746039,30,7,28,5.1171875,-0.0546875
ACTIVE_ONLY,H2,58136,16989.733070613474,31519.46192046354,0.31472695966325276,0.7240913665487186,0.05620089668342725,0.05650620328788593,0.004304014198732218,0.004792998435484492,2.1102976084130685,30,7,28,5.1171875,-0.0546875
ACTIVE_ONLY,M2,58136,16989.733070613474,31519.46192046354,11.018628134832467,25.816945808411838,0.41221334660036135,0.4156166103242978,0.02546657176131919,0.02861956537328096,8.906544994270456,30,7,28,5.1171875,-0.0546875
ACTIVE_ONLY,Z2,58136,16989.733070613474,31519.46192046354,0.6662068271622213,1.2801299424584847,0.5804049260677202,0.5828056548200586,0.006261974022852797,0.006372907728708867,0.0321698370873064,30,7,28,5.1171875,-0.0546875
SAME_LEVEL_SEAM,C,18564,5330.908441829621,9952.143178392222,21.40862529290067,48.87438309704272,0.5484327982310474,0.5570701949615613,0.06337146960484531,0.07007810292877568,12.155144384478826,30,8,31,5.1328125,-0.0078125
SAME_LEVEL_SEAM,H2,18564,5330.908441829621,9952.143178392222,5.196135906037466,11.92057075109369,0.9278756974639791,0.9302502768117268,0.031220484540469412,0.03460909293902465,9.00298950372201,51,8,0,5.1328125,0.0078125
SAME_LEVEL_SEAM,M2,18564,5330.908441829621,9952.143178392222,14.743699599342946,34.04074435132572,0.5515704567525065,0.5480082301448775,0.052589933907116554,0.058484558568976185,10.273596434468395,30,4,31,5.0703125,-0.0078125
SAME_LEVEL_SEAM,Z2,18564,5330.908441829621,9952.143178392222,0.2589271719296353,0.5171009469094165,0.2255795046725783,0.23542090999983656,0.0069692846363673825,0.007208242002538184,0.1426959260821539,30,7,30,5.1171875,-0.0234375
COARSE_FINE,C,6084,1044.5488777028534,2251.820244433801,0.45751652202049137,0.9885550544738188,0.01172037265241134,0.011267550033982698,0.020928543622207186,0.020952390076805175,2.2493035520267055,51,2,4,5.0390625,0.0703125
COARSE_FINE,H2,6084,1044.5488777028534,2251.820244433801,0.0074279920597696185,0.016547356517417813,0.001326418984770476,0.0012913125807686647,0.0026666826297490217,0.0027107998465431336,0.4960809702763651,30,2,28,5.0390625,-0.0546875
COARSE_FINE,M2,6084,1044.5488777028534,2251.820244433801,0.2340803504776792,0.5403958370426527,0.008757083319543094,0.008699614884416312,0.014969872317166694,0.015491345419485821,2.2437625842720226,51,2,4,5.0390625,0.0703125
COARSE_FINE,Z2,6084,1044.5488777028534,2251.820244433801,0.034235507039932896,0.06868915183500171,0.029826258336384043,0.03127215822899235,0.005724980328715241,0.005523027647957247,0.016709700011817596,74,3,29,10.21875,3.84375
AXIS,C,936,7.179030087304731,15.259762982302368,0.0006574813212868525,0.0011291001423581561,1.6842946050233713e-05,1.2869482877885028e-05,0.009569931361468062,0.008601859348850048,0.02322700496304139,80,0,28,0.0625,15.5625
AXIS,H2,936,7.179030087304731,15.259762982302368,2.158111952283638e-06,5.268334957362862e-06,3.8537476100343014e-07,4.111271309701386e-07,0.0005482821388232074,0.0005875743050636266,0.004747544866400159,18,0,14,0.03125,-1.09375
AXIS,M2,936,7.179030087304731,15.259762982302368,6.902828557584553e-07,2.3516053978894414e-06,2.5823886838828662e-08,3.785754796652514e-08,0.00031008492758989305,0.0003925620655735657,0.0018361085440082314,43,2,11,0.15625,0.71875
AXIS,Z2,936,7.179030087304731,15.259762982302368,0.00013599345230590678,0.0002329529464926777,0.00011847862617607806,0.00010605665098512457,0.00435237305214751,0.003907151127374717,0.01049053028716182,0,0,3,0.0625,-15.5625
PHYSICAL_BOUNDARY,C,1248,1458.7789137403217,2311.100455090448,0.6788440021424693,1.1530995699164455,0.01739020187255164,0.013143028341616335,0.02157199217381588,0.02233695624757405,0.04236445821795476,75,31,4,15.9375,0.5625
