hierarchy_origin,stencil_class,metric,cell_count,coordinate_jump,proper_jump,fraction_global_coordinate_jump,fraction_global_proper_jump
BALANCE_INDUCED_CHILD,ACTIVE_ONLY,C,5408,-5.370384245719559e-05,-0.00013677012715647912,-1.6946565780482755e-06,-1.8587007187737512e-06
BALANCE_INDUCED_CHILD,ACTIVE_ONLY,H2,5408,2.8764973961660574e-05,7.547913251808396e-05,5.391144730280402e-06,6.1605204851533615e-06
BALANCE_INDUCED_CHILD,ACTIVE_ONLY,M2,5408,4.223080763105611e-06,9.660486062089545e-06,1.6021582937961153e-07,1.57486924297458e-07
BALANCE_INDUCED_CHILD,ACTIVE_ONLY,Z2,5408,-5.188089924391567e-06,-1.2721242971419393e-05,-0.009772854621948024,-0.010427785318385651
BALANCE_INDUCED_CHILD,COARSE_FINE,C,780,8.408538753403777e-05,0.00021851971508276923,2.6533642395489907e-06,2.969674445252847e-06
BALANCE_INDUCED_CHILD,COARSE_FINE,H2,780,-3.102560039913204e-05,-8.177258216811122e-05,-5.814832383248585e-06,-6.674184648980166e-06
BALANCE_INDUCED_CHILD,COARSE_FINE,M2,780,-1.0029143189836685e-05,-2.659646520331636e-05,-3.804870387903552e-07,-4.3358020239704933e-07
BALANCE_INDUCED_CHILD,COARSE_FINE,Z2,780,2.2653756230134714e-05,5.9250850911408876e-05,0.042673097325721394,0.04856877229874247
BALANCE_INDUCED_CHILD,MIXED_CORNER,C,288,1.2855534304441314e-05,3.5010735853318544e-05,4.0566400422299287e-07,4.757945411640161e-07
BALANCE_INDUCED_CHILD,MIXED_CORNER,H2,288,-4.5037527735751376e-06,-1.1859305896198967e-05,-8.440954288402097e-07,-9.67942986039612e-07
BALANCE_INDUCED_CHILD,MIXED_CORNER,M2,288,1.1390363678846096e-05,3.23811926399022e-05,4.32129212324063e-07,5.278838353645577e-07
BALANCE_INDUCED_CHILD,MIXED_CORNER,Z2,288,1.5830647384271036e-06,3.9152183300440275e-06,0.0029820341920142462,0.003209360619243966
BALANCE_INDUCED_CHILD,SAME_LEVEL_SEAM,C,1716,-7.195839186103699e-05,-0.00018652801040103465,-2.2706897036329824e-06,-2.5349084205148145e-06
BALANCE_INDUCED_CHILD,SAME_LEVEL_SEAM,H2,1716,3.464794394880883e-05,9.22215735735491e-05,6.493733687492208e-06,7.527019378989402e-06
BALANCE_INDUCED_CHILD,SAME_LEVEL_SEAM,M2,1716,1.410081628290465e-05,3.891909092810836e-05,5.349587427813542e-07,6.34465790574842e-07
BALANCE_INDUCED_CHILD,SAME_LEVEL_SEAM,Z2,1716,-1.8297009592505363e-05,-4.847880617137308e-05,-0.03446625200601429,-0.039738772727041384
EXPLICIT_REFINED_CHILD,ACTIVE_ONLY,C,5408,10.945380842145285,25.706827478940593,0.34538797960628626,0.3493547875248589
EXPLICIT_REFINED_CHILD,ACTIVE_ONLY,H2,5408,0.1726069201318145,0.40615466474095674,0.032350068841322265,0.033149879295151924
EXPLICIT_REFINED_CHILD,ACTIVE_ONLY,M2,5408,10.786320897690839,25.33173389351751,0.4092129527040628,0.4129623325753072
EXPLICIT_REFINED_CHILD,ACTIVE_ONLY,Z2,5408,-0.0008805289798331559,-0.0020169459479278534,-1.6586608628089305,-1.653319521609042
EXPLICIT_REFINED_CHILD,COARSE_FINE,C,936,0.16062887776890036,0.38066208500871684,0.005068739439874228,0.005173182958337983
EXPLICIT_REFINED_CHILD,COARSE_FINE,H2,936,-0.013789520004727624,-0.032712860966172055,-0.0025844382200960582,-0.002669986304649074
