selection_rank,receiver_gid,receiver_i,receiver_j,variable,offset_i,offset_j,operators,source_gid,source_i,source_j,source_status,source_rho,source_z,writer,receiver_stored_value,expected_sender_active_value,absolute_mismatch,exact_byte_equal
1,30,8,31,gamma_xx,-3,-3,mixed_rho_z,30,5,28,ACTIVE,5.0859375,-0.0546875,ACTIVE_STATE,1.9297447858437982,1.9297447858437982,0.0,True
1,30,8,31,gamma_xx,-2,-3,mixed_rho_z,30,6,28,ACTIVE,5.1015625,-0.0546875,ACTIVE_STATE,1.9269656698518538,1.9269656698518538,0.0,True
1,30,8,31,gamma_xx,-1,-3,mixed_rho_z,30,7,28,ACTIVE,5.1171875,-0.0546875,ACTIVE_STATE,1.9259758967482499,1.9259758967482499,0.0,True
1,30,8,31,gamma_xx,0,-3,pure_z,30,8,28,ACTIVE,5.1328125,-0.0546875,ACTIVE_STATE,1.926812376935888,1.926812376935888,0.0,True
1,30,8,31,gamma_xx,1,-3,mixed_rho_z,30,9,28,ACTIVE,5.1484375,-0.0546875,ACTIVE_STATE,1.9296913358970322,1.9296913358970322,0.0,True
1,30,8,31,gamma_xx,2,-3,mixed_rho_z,30,10,28,ACTIVE,5.1640625,-0.0546875,ACTIVE_STATE,1.9344198941358364,1.9344198941358364,0.0,True
1,30,8,31,gamma_xx,3,-3,mixed_rho_z,30,11,28,ACTIVE,5.1796875,-0.0546875,ACTIVE_STATE,1.9403756121972369,1.9403756121972369,0.0,True
1,30,8,31,gamma_xx,-3,-2,mixed_rho_z,30,5,29,ACTIVE,5.0859375,-0.0390625,ACTIVE_STATE,1.9205674446815413,1.9205674446815413,0.0,True
1,30,8,31,gamma_xx,-2,-2,mixed_rho_z,30,6,29,ACTIVE,5.1015625,-0.0390625,ACTIVE_STATE,1.9154137757112675,1.9154137757112675,0.0,True
1,30,8,31,gamma_xx,-1,-2,mixed_rho_z,30,7,29,ACTIVE,5.1171875,-0.0390625,ACTIVE_STATE,1.913831160299141,1.913831160299141,0.0,True
1,30,8,31,gamma_xx,0,-2,pure_z,30,8,29,ACTIVE,5.1328125,-0.0390625,ACTIVE_STATE,1.915923033829761,1.915923033829761,0.0,True
1,30,8,31,gamma_xx,1,-2,mixed_rho_z,30,9,29,ACTIVE,5.1484375,-0.0390625,ACTIVE_STATE,1.9206822591284367,1.9206822591284367,0.0,True
1,30,8,31,gamma_xx,2,-2,mixed_rho_z,30,10,29,ACTIVE,5.1640625,-0.0390625,ACTIVE_STATE,1.9276964721968846,1.9276964721968846,0.0,True
1,30,8,31,gamma_xx,3,-2,mixed_rho_z,30,11,29,ACTIVE,5.1796875,-0.0390625,ACTIVE_STATE,1.935402393431792,1.935402393431792,0.0,True
1,30,8,31,gamma_xx,-3,-1,mixed_rho_z,30,5,30,ACTIVE,5.0859375,-0.0234375,ACTIVE_STATE,1.9115247582064838,1.9115247582064838,0.0,True
1,30,8,31,gamma_xx,-2,-1,mixed_rho_z,30,6,30,ACTIVE,5.1015625,-0.0234375,ACTIVE_STATE,1.902402904275746,1.902402904275746,0.0,True
1,30,8,31,gamma_xx,-1,-1,mixed_rho_z,30,7,30,ACTIVE,5.1171875,-0.0234375,ACTIVE_STATE,1.8998402517120982,1.8998402517120982,0.0,True
1,30,8,31,gamma_xx,0,-1,pure_z,30,8,30,ACTIVE,5.1328125,-0.0234375,ACTIVE_STATE,1.9040373042682892,1.9040373042682892,0.0,True
1,30,8,31,gamma_xx,1,-1,mixed_rho_z,30,9,30,ACTIVE,5.1484375,-0.0234375,ACTIVE_STATE,1.9116132074161698,1.9116132074161698,0.0,True
1,30,8,31,gamma_xx,2,-1,mixed_rho_z,30,10,30,ACTIVE,5.1640625,-0.0234375,ACTIVE_STATE,1.921826874960027,1.921826874960027,0.0,True
1,30,8,31,gamma_xx,3,-1,mixed_rho_z,30,11,30,ACTIVE,5.1796875,-0.0234375,ACTIVE_STATE,1.9316613084684149,1.9316613084684149,0.0,True
1,30,8,31,gamma_xx,-3,0,pure_rho,30,5,31,ACTIVE,5.0859375,-0.0078125,ACTIVE_STATE,1.9067775002114729,1.9067775002114729,0.0,True
1,30,8,31,gamma_xx,-2,0,pure_rho,30,6,31,ACTIVE,5.1015625,-0.0078125,ACTIVE_STATE,1.8955734105270634,1.8955734105270634,0.0,True
1,30,8,31,gamma_xx,-1,0,pure_rho,30,7,31,ACTIVE,5.1171875,-0.0078125,ACTIVE_STATE,1.8924985471266766,1.8924985471266766,0.0,True
1,30,8,31,gamma_xx,0,0,center;pure_rho;pure_z,30,8,31,ACTIVE,5.1328125,-0.0078125,ACTIVE_STATE,1.897799179530335,1.897799179530335,0.0,True
1,30,8,31,gamma_xx,1,0,pure_rho,30,9,31,ACTIVE,5.1484375,-0.0078125,ACTIVE_STATE,1.9068550871344474,1.9068550871344474,0.0,True
1,30,8,31,gamma_xx,2,0,pure_rho,30,10,31,ACTIVE,5.1640625,-0.0078125,ACTIVE_STATE,1.918755813843391,1.918755813843391,0.0,True
1,30,8,31,gamma_xx,3,0,pure_rho,30,11,31,ACTIVE,5.1796875,-0.0078125,ACTIVE_STATE,1.9297163703084395,1.9297163703084395,0.0,True
1,30,8,31,gamma_xx,-3,1,mixed_rho_z,51,5,0,SAME_LEVEL_GHOST,5.0859375,0.0078125,SAME_RANK_SAME_LEVEL_COPY,1.9067864732833673,1.9067864732833673,0.0,True
1,30,8,31,gamma_xx,-2,1,mixed_rho_z,51,6,0,SAME_LEVEL_GHOST,5.1015625,0.0078125,SAME_RANK_SAME_LEVEL_COPY,1.8955946962589088,1.8955946962589088,0.0,True
1,30,8,31,gamma_xx,-1,1,mixed_rho_z,51,7,0,SAME_LEVEL_GHOST,5.1171875,0.0078125,SAME_RANK_SAME_LEVEL_COPY,1.892524113567055,1.892524113567055,0.0,True
1,30,8,31,gamma_xx,0,1,pure_z,51,8,0,SAME_LEVEL_GHOST,5.1328125,0.0078125,SAME_RANK_SAME_LEVEL_COPY,1.897820633324582,1.897820633324582,0.0,True
1,30,8,31,gamma_xx,1,1,mixed_rho_z,51,9,0,SAME_LEVEL_GHOST,5.1484375,0.0078125,SAME_RANK_SAME_LEVEL_COPY,1.9068704811751498,1.9068704811751498,0.0,True
1,30,8,31,gamma_xx,2,1,mixed_rho_z,51,10,0,SAME_LEVEL_GHOST,5.1640625,0.0078125,SAME_RANK_SAME_LEVEL_COPY,1.9187638041512736,1.9187638041512736,0.0,True
1,30,8,31,gamma_xx,3,1,mixed_rho_z,51,11,0,SAME_LEVEL_GHOST,5.1796875,0.0078125,SAME_RANK_SAME_LEVEL_COPY,1.9297199937813732,1.9297199937813732,0.0,True
1,30,8,31,gamma_xx,-3,2,mixed_rho_z,51,5,1,SAME_LEVEL_GHOST,5.0859375,0.0234375,SAME_RANK_SAME_LEVEL_COPY,1.9115455221151363,1.9115455221151363,0.0,True
1,30,8,31,gamma_xx,-2,2,mixed_rho_z,51,6,1,SAME_LEVEL_GHOST,5.1015625,0.0234375,SAME_RANK_SAME_LEVEL_COPY,1.9024436304669252,1.9024436304669252,0.0,True
1,30,8,31,gamma_xx,-1,2,mixed_rho_z,51,7,1,SAME_LEVEL_GHOST,5.1171875,0.0234375,SAME_RANK_SAME_LEVEL_COPY,1.8998881246386867,1.8998881246386867,0.0,True
1,30,8,31,gamma_xx,0,2,pure_z,51,8,1,SAME_LEVEL_GHOST,5.1328125,0.0234375,SAME_RANK_SAME_LEVEL_COPY,1.9040788336726797,1.9040788336726797,0.0,True
1,30,8,31,gamma_xx,1,2,mixed_rho_z,51,9,1,SAME_LEVEL_GHOST,5.1484375,0.0234375,SAME_RANK_SAME_LEVEL_COPY,1.9116445890648883,1.9116445890648883,0.0,True
1,30,8,31,gamma_xx,2,2,mixed_rho_z,51,10,1,SAME_LEVEL_GHOST,5.1640625,0.0234375,SAME_RANK_SAME_LEVEL_COPY,1.9218453485118332,1.9218453485118332,0.0,True
1,30,8,31,gamma_xx,3,2,mixed_rho_z,51,11,1,SAME_LEVEL_GHOST,5.1796875,0.0234375,SAME_RANK_SAME_LEVEL_COPY,1.9316716131177534,1.9316716131177534,0.0,True
1,30,8,31,gamma_xx,-3,3,mixed_rho_z,51,5,2,SAME_LEVEL_GHOST,5.0859375,0.0390625,SAME_RANK_SAME_LEVEL_COPY,1.92059260736431,1.92059260736431,0.0,True
1,30,8,31,gamma_xx,-2,3,mixed_rho_z,51,6,2,SAME_LEVEL_GHOST,5.1015625,0.0390625,SAME_RANK_SAME_LEVEL_COPY,1.9154483910058224,1.9154483910058224,0.0,True
1,30,8,31,gamma_xx,-1,3,mixed_rho_z,51,7,2,SAME_LEVEL_GHOST,5.1171875,0.0390625,SAME_RANK_SAME_LEVEL_COPY,1.913869628609736,1.913869628609736,0.0,True
1,30,8,31,gamma_xx,0,3,pure_z,51,8,2,SAME_LEVEL_GHOST,5.1328125,0.0390625,SAME_RANK_SAME_LEVEL_COPY,1.9159593016605354,1.9159593016605354,0.0,True
1,30,8,31,gamma_xx,1,3,mixed_rho_z,51,9,2,SAME_LEVEL_GHOST,5.1484375,0.0390625,SAME_RANK_SAME_LEVEL_COPY,1.9207129621861074,1.9207129621861074,0.0,True
1,30,8,31,gamma_xx,2,3,mixed_rho_z,51,10,2,SAME_LEVEL_GHOST,5.1640625,0.0390625,SAME_RANK_SAME_LEVEL_COPY,1.92771886208218,1.92771886208218,0.0,True
1,30,8,31,gamma_xx,3,3,mixed_rho_z,51,11,2,SAME_LEVEL_GHOST,5.1796875,0.0390625,SAME_RANK_SAME_LEVEL_COPY,1.9354182483926912,1.9354182483926912,0.0,True
1,30,8,31,gamma_xy,-3,-3,mixed_rho_z,30,5,28,ACTIVE,5.0859375,-0.0546875,ACTIVE_STATE,-0.0017429497017299386,-0.0017429497017299386,0.0,True
1,30,8,31,gamma_xy,-2,-3,mixed_rho_z,30,6,28,ACTIVE,5.1015625,-0.0546875,ACTIVE_STATE,-0.0023766026175588606,-0.0023766026175588606,0.0,True
1,30,8,31,gamma_xy,-1,-3,mixed_rho_z,30,7,28,ACTIVE,5.1171875,-0.0546875,ACTIVE_STATE,-0.0026190237494043618,-0.0026190237494043618,0.0,True
1,30,8,31,gamma_xy,0,-3,pure_z,30,8,28,ACTIVE,5.1328125,-0.0546875,ACTIVE_STATE,-0.0025214983497937236,-0.0025214983497937236,0.0,True
1,30,8,31,gamma_xy,1,-3,mixed_rho_z,30,9,28,ACTIVE,5.1484375,-0.0546875,ACTIVE_STATE,-0.0030337559812960127,-0.0030337559812960127,0.0,True
