phase,receiver_gid,sender_gid,face,ghost_depth,variable,rho,z,abs_delta,relative_delta
t3_00_RESTRICT,51,30,inner_x2,2,Khat,5.109375,-0.046875,0.12350358680721751,0.12350358680721751
t3_00_RESTRICT,30,51,outer_x2,2,Khat,5.109375,0.046875,0.12300141794430464,0.12300141794430464
t3_00_RESTRICT,51,30,inner_x2,1,Theta,5.109375,-0.015625,0.08670364215778636,0.08670364215778636
t3_00_RESTRICT,30,51,outer_x2,1,Theta,5.109375,0.015625,0.08559635051496683,0.08559635051496683
t3_00_RESTRICT,51,30,inner_x2,2,Khat,5.140625,-0.046875,0.08247132813955038,0.08136356364612451
t3_00_RESTRICT,30,51,outer_x2,2,Khat,5.140625,0.046875,0.081935223965518,0.08078019999160418
t3_00_RESTRICT,51,30,inner_x2,1,Theta,5.140625,-0.015625,0.05518571921270782,0.05518571921270782
t3_00_RESTRICT,30,51,outer_x2,1,Theta,5.140625,0.015625,0.054041816976601736,0.054041816976601736
t3_01_MPI_RECEIVE,28,29,outer_x1,1,chi,5.515625,-0.984375,0.0,0.0
t3_01_MPI_RECEIVE,28,29,outer_x1,1,chi,5.515625,-0.953125,0.0,0.0
t3_01_MPI_RECEIVE,28,29,outer_x1,1,chi,5.515625,-0.921875,0.0,0.0
t3_01_MPI_RECEIVE,28,29,outer_x1,1,chi,5.515625,-0.890625,0.0,0.0
t3_01_MPI_RECEIVE,28,29,outer_x1,1,chi,5.515625,-0.859375,0.0,0.0
t3_01_MPI_RECEIVE,28,29,outer_x1,1,chi,5.515625,-0.828125,0.0,0.0
t3_01_MPI_RECEIVE,28,29,outer_x1,1,chi,5.515625,-0.796875,0.0,0.0
t3_01_MPI_RECEIVE,28,29,outer_x1,1,chi,5.515625,-0.765625,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,51,30,inner_x2,2,Khat,5.109375,-0.046875,0.28677378470336334,0.28677378470336334
t3_03_SAME_LEVEL_COARSE_REFRESH,30,51,outer_x2,2,Khat,5.109375,0.046875,0.28438663892577215,0.28438663892577215
t3_03_SAME_LEVEL_COARSE_REFRESH,51,30,inner_x2,2,Khat,5.140625,-0.046875,0.197242122835531,0.19459274364867685
t3_03_SAME_LEVEL_COARSE_REFRESH,30,51,outer_x2,2,Khat,5.140625,0.046875,0.19502384402276973,0.1922746330677118
t3_03_SAME_LEVEL_COARSE_REFRESH,51,30,inner_x2,1,Theta,5.109375,-0.015625,0.07599154565026628,0.07599154565026628
t3_03_SAME_LEVEL_COARSE_REFRESH,30,51,outer_x2,1,Theta,5.109375,0.015625,0.07528519959429475,0.07528519959429475
t3_03_SAME_LEVEL_COARSE_REFRESH,30,51,outer_x2,2,Khat,5.078125,0.046875,0.08083311420124928,0.05156567165567682
t3_03_SAME_LEVEL_COARSE_REFRESH,51,30,inner_x2,2,Khat,5.078125,-0.046875,0.08073357327896491,0.05144522245133165
