family,valid_cells,proper_ring_integral,coordinate_ring_integral,proper_ring_volume,coordinate_ring_volume,rms,linf,linf_rho,linf_z,linf_distance_parent_meshblock_seam,finite_count,nonfinite_count,group,representation
C,6222,0.0038902571014023785,0.0014657917984096758,716.9829813264005,271.41968439450807,0.0023293498900082477,0.006563844741006744,7.890625,1.859375,0.109375,6222,0,L4_to_L5,P5_BLOCK
H,6222,0.000879544874161376,0.00033231548353822933,716.9829813264005,271.41968439450807,0.0011075786546660654,0.004672107634574523,6.359375,-0.984375,0.359375,6222,0,L4_to_L5,P5_BLOCK
M,6222,0.0004953003123531498,0.00018684134754755506,716.9829813264005,271.41968439450807,0.0008311508959212197,0.0036881373254142053,6.453125,-0.671875,0.453125,6222,0,L4_to_L5,P5_BLOCK
Z,6222,0.00045675761420088787,0.00017146588716166383,716.9829813264005,271.41968439450807,0.0007981572710525329,0.002221524168265466,7.890625,1.890625,0.109375,6222,0,L4_to_L5,P5_BLOCK
C,6222,0.0033264194338607227,0.0012560797112059767,716.9829813264005,271.41968439450807,0.002153942378639651,0.0065401911198092934,7.890625,1.859375,0.109375,6222,0,L4_to_L5,P5_STITCHED
H,6222,0.0008820920501201448,0.0003332719379600781,716.9829813264005,271.41968439450807,0.0011091812779081243,0.00474047591394811,6.359375,-0.984375,0.359375,6222,0,L4_to_L5,P5_STITCHED
M,6222,0.0004939232314658411,0.0001863111794081805,716.9829813264005,271.41968439450807,0.0008299946694385216,0.003685305555609637,6.453125,-0.671875,0.453125,6222,0,L4_to_L5,P5_STITCHED
Z,6222,0.0003155056735476089,0.00011893129379012048,716.9829813264005,271.41968439450807,0.0006633598207720274,0.0022132323041966903,7.890625,1.890625,0.109375,6222,0,L4_to_L5,P5_STITCHED
C,6222,0.0031308552613757137,0.0011813003475183337,716.9829804991448,271.41968439450807,0.0020896669406115205,0.005831084207671771,7.890625,1.859375,0.109375,6222,0,L4_to_L5,P8_STITCHED
H,6222,0.0008294051211529865,0.0003133163809945407,716.9829804991448,271.41968439450807,0.0010755458601103755,0.004429767740500861,6.609375,0.140625,0.140625,6222,0,L4_to_L5,P8_STITCHED
M,6222,0.00048801613646780805,0.000184079964187685,716.9829804991448,271.41968439450807,0.0008250165636566616,0.003591239126417748,6.453125,-0.671875,0.453125,6222,0,L4_to_L5,P8_STITCHED
Z,6222,0.0003149741629519928,0.00011872790376252421,716.9829804991448,271.41968439450807,0.0006628008274164316,0.002199698471850964,7.890625,1.890625,0.109375,6222,0,L4_to_L5,P8_STITCHED
C,6222,72.65135825215665,31.304374401486044,133.00810927092354,51.97239561070663,0.7390652947966238,12.249057943824583,5.1328125,-0.0078125,0.0078125,6222,0,L5_to_L6,P5_BLOCK
H,6222,12.641497417267008,5.504224618785681,133.00810927092354,51.97239561070663,0.3082905412102577,9.025836895618998,5.1328125,0.0078125,0.0078125,6222,0,L5_to_L6,P5_BLOCK
M,6222,59.92770426948542,25.764694220983124,133.00810927092354,51.97239561070663,0.671235257787795,10.283351203099992,5.0703125,-0.0078125,0.0078125,6222,0,L5_to_L6,P5_BLOCK
Z,6222,0.004694920825994884,0.0020334709586688864,133.00810927092354,51.97239561070663,0.005941212367678068,0.1427645162914664,5.1171875,-0.0234375,0.0234375,6222,0,L5_to_L6,P5_BLOCK
C,6222,72.64992173724416,31.303767138342224,133.00810927092357,51.97239561070663,0.739057988095201,12.24906341619359,5.1328125,-0.0078125,0.0078125,6222,0,L5_to_L6,P5_STITCHED
H,6222,12.641514362148168,5.504231525899533,133.00810927092357,51.97239561070663,0.3082907478291676,9.02583369059711,5.1328125,0.0078125,0.0078125,6222,0,L5_to_L6,P5_STITCHED
M,6222,59.926557640789895,25.76419751060874,133.00810927092357,51.97239561070663,0.6712288362061658,10.283434594477535,5.0703125,-0.0078125,0.0078125,6222,0,L5_to_L6,P5_STITCHED
Z,6222,0.004618213051457992,0.0020041059878474084,133.00810927092357,51.97239561070663,0.005892477354798164,0.14276717909995665,5.1171875,-0.0234375,0.0234375,6222,0,L5_to_L6,P5_STITCHED
C,6222,25.08754136357408,10.780824941009698,133.00811130008066,51.97239561070663,0.4343001581276422,5.900656015903702,5.1328125,0.0078125,0.0078125,6222,0,L5_to_L6,P8_STITCHED
H,6222,5.251179836524743,2.284197490681275,133.00811130008066,51.97239561070663,0.19869611817410945,5.755822668383534,5.1171875,0.0078125,0.0078125,6222,0,L5_to_L6,P8_STITCHED
M,6222,19.767355027395283,8.466802680073439,133.00811130008066,51.97239561070663,0.3855096182343719,5.743409211202681,5.0703125,-0.0078125,0.0078125,6222,0,L5_to_L6,P8_STITCHED
Z,6222,0.004063833447410993,0.0017631508631149775,133.00811130008066,51.97239561070663,0.005527501727096467,0.13171739821312128,5.1171875,-0.0234375,0.0234375,6222,0,L5_to_L6,P8_STITCHED
