group,comparison,field,first_derivative_rms,first_derivative_linf,second_derivative_rms,second_derivative_linf
L4_to_L5,P5_BLOCK-P5_STITCHED,chi,2.111033274490159e-15,1.2434497875801753e-14,1.7725373750656207e-13,1.0231815394945443e-12
L4_to_L5,P5_BLOCK-P5_STITCHED,gammatilde,3.3203185367349076e-15,2.5757174171303632e-14,2.732763121941058e-13,2.277289468111121e-12
L4_to_L5,P5_BLOCK-P5_STITCHED,Khat,1.7249935937404776e-16,1.5543122344752192e-15,1.3988629084757762e-14,1.4233059175694507e-13
L4_to_L5,P5_BLOCK-P5_STITCHED,Atilde,1.1761360060634316e-16,1.3322676295501878e-15,9.762612409563888e-15,1.1379786002407855e-13
L4_to_L5,P5_BLOCK-P5_STITCHED,Gammatilde,1.986942082693325e-16,2.6645352591003757e-15,1.6162940722218114e-14,1.9895196601282805e-13
L4_to_L5,P5_STITCHED-P8_STITCHED,chi,4.191659183229422e-06,1.500830548362142e-05,0.0002576144942186578,0.0014963387106199377
L4_to_L5,P5_STITCHED-P8_STITCHED,gammatilde,8.545835396213198e-06,5.952767380901225e-05,0.0005002529099697889,0.005591922085143253
L4_to_L5,P5_STITCHED-P8_STITCHED,Khat,0.011346678787060563,0.06301326185403722,0.48296258539541226,3.2602348938113126
L4_to_L5,P5_STITCHED-P8_STITCHED,Atilde,8.935445079522015e-05,0.0011822478009564097,0.0071207115645926964,0.14760823333780485
L4_to_L5,P5_STITCHED-P8_STITCHED,Gammatilde,3.116557754589344e-05,0.0001892108655249091,0.0015946017208706132,0.011800293858476793
L5_to_L6,P5_BLOCK-P5_STITCHED,chi,4.241312293125548e-15,2.1316282072803006e-14,6.92342749065012e-13,4.092726157978177e-12
L5_to_L6,P5_BLOCK-P5_STITCHED,gammatilde,6.281791616221577e-15,5.1514348342607263e-14,1.0496919523011632e-12,9.102052445086883e-12
L5_to_L6,P5_BLOCK-P5_STITCHED,Khat,4.700148342293681e-15,1.1368683772161603e-13,6.375387514679443e-13,1.546140993013978e-11
L5_to_L6,P5_BLOCK-P5_STITCHED,Atilde,1.0375722537860506e-15,3.197442310920451e-14,1.6085276885117632e-13,5.6843418860808015e-12
L5_to_L6,P5_BLOCK-P5_STITCHED,Gammatilde,8.460925728027707e-16,9.381384558082573e-15,1.403342544171382e-13,1.3642420526593924e-12
L5_to_L6,P5_STITCHED-P8_STITCHED,chi,0.0005939605687911683,0.012569809224744044,0.0845496839259955,2.661723566675274
L5_to_L6,P5_STITCHED-P8_STITCHED,gammatilde,0.0007766945779306611,0.029262241193827147,0.09742113563416802,4.369397464663265
L5_to_L6,P5_STITCHED-P8_STITCHED,Khat,1.1440996353639068,25.426279196057465,143.62343301165964,4794.958232588264
L5_to_L6,P5_STITCHED-P8_STITCHED,Atilde,0.17439294327011962,5.33132477869637,25.02331145740787,1107.070211820047
L5_to_L6,P5_STITCHED-P8_STITCHED,Gammatilde,0.01962883043916474,0.7930703081389243,1.9801767305886544,99.66885833584354
