group,representation,field,rectangle_nz,rectangle_nrho,high_mode_fraction_radius_ge_0p75_nyquist,checkerboard_projection_fraction
L4_to_L5,P5_BLOCK,chi,122,51,0.007616489684617586,5.122188341032124e-13
L4_to_L5,P5_BLOCK,gammatilde,122,51,0.002677020910302342,1.3867303326550635e-08
L4_to_L5,P5_BLOCK,Khat,122,51,0.008026300623221518,3.2359779623037015e-12
L4_to_L5,P5_BLOCK,Atilde,122,51,0.0034183754951137434,3.993692651491057e-09
L4_to_L5,P5_BLOCK,Gammatilde,122,51,0.005033989000541965,8.521984534047289e-09
L4_to_L5,P5_STITCHED,chi,122,51,0.0076164896846176115,5.122188342037245e-13
L4_to_L5,P5_STITCHED,gammatilde,122,51,0.002677020910302341,1.386730332655023e-08
L4_to_L5,P5_STITCHED,Khat,122,51,0.00802630062322152,3.2359779622929186e-12
L4_to_L5,P5_STITCHED,Atilde,122,51,0.0034183754951137447,3.993692651490874e-09
L4_to_L5,P5_STITCHED,Gammatilde,122,51,0.005033989000541965,8.521984534047851e-09
L4_to_L5,P8_STITCHED,chi,122,51,0.007616143787239264,5.105981860591763e-13
L4_to_L5,P8_STITCHED,gammatilde,122,51,0.002676986149309335,1.3867291544100636e-08
L4_to_L5,P8_STITCHED,Khat,122,51,0.00846826244928526,7.31004264488396e-13
L4_to_L5,P8_STITCHED,Atilde,122,51,0.0034182319039776257,3.997888772434204e-09
L4_to_L5,P8_STITCHED,Gammatilde,122,51,0.005034603900150686,8.524894223718624e-09
L5_to_L6,P5_BLOCK,chi,122,51,0.0006030353377229013,4.942040069419486e-15
L5_to_L6,P5_BLOCK,gammatilde,122,51,0.00277633208164655,6.67527225972175e-09
L5_to_L6,P5_BLOCK,Khat,122,51,0.002046085998192336,6.501900130088614e-18
L5_to_L6,P5_BLOCK,Atilde,122,51,0.0027811764503923213,5.012184301378758e-10
L5_to_L6,P5_BLOCK,Gammatilde,122,51,0.0028118975870798212,1.90057843141754e-08
L5_to_L6,P5_STITCHED,chi,122,51,0.0006030353377229031,4.942040075778455e-15
L5_to_L6,P5_STITCHED,gammatilde,122,51,0.002776332081646555,6.675272259721848e-09
L5_to_L6,P5_STITCHED,Khat,122,51,0.0020460859981923374,6.501900104563267e-18
L5_to_L6,P5_STITCHED,Atilde,122,51,0.0027811764503923213,5.012184301379041e-10
L5_to_L6,P5_STITCHED,Gammatilde,122,51,0.002811897587079824,1.9005784314175167e-08
L5_to_L6,P8_STITCHED,chi,122,51,0.0006041789882823288,4.9417299281058345e-15
L5_to_L6,P8_STITCHED,gammatilde,122,51,0.0027769565279230244,6.675295914228083e-09
L5_to_L6,P8_STITCHED,Khat,122,51,0.001896412445491422,7.037578966475308e-18
L5_to_L6,P8_STITCHED,Atilde,122,51,0.0027210821932283262,5.017488154378703e-10
L5_to_L6,P8_STITCHED,Gammatilde,122,51,0.00281361005198002,1.9007355935621268e-08
