group,comparison,variable,rms,linf
L4_to_L5,P5_BLOCK-P5_STITCHED,chi,5.724176007637989e-17,2.220446049250313e-16
L4_to_L5,P5_BLOCK-P5_STITCHED,gxx,1.4466365137649276e-16,6.661338147750939e-16
L4_to_L5,P5_BLOCK-P5_STITCHED,gxy,3.2883826969217637e-18,2.0816681711721685e-17
L4_to_L5,P5_BLOCK-P5_STITCHED,gxz,0.0,0.0
L4_to_L5,P5_BLOCK-P5_STITCHED,gyy,1.3698281007476942e-16,6.661338147750939e-16
L4_to_L5,P5_BLOCK-P5_STITCHED,gyz,0.0,0.0
L4_to_L5,P5_BLOCK-P5_STITCHED,gzz,8.629415675403035e-17,3.3306690738754696e-16
L4_to_L5,P5_BLOCK-P5_STITCHED,Khat,4.574394401220374e-18,4.163336342344337e-17
L4_to_L5,P5_BLOCK-P5_STITCHED,Axx,4.731888157943286e-18,2.7755575615628914e-17
L4_to_L5,P5_BLOCK-P5_STITCHED,Axy,3.0519907767923883e-18,2.0816681711721685e-17
L4_to_L5,P5_BLOCK-P5_STITCHED,Axz,0.0,0.0
L4_to_L5,P5_BLOCK-P5_STITCHED,Ayy,4.507678731650763e-18,2.7755575615628914e-17
L4_to_L5,P5_BLOCK-P5_STITCHED,Ayz,0.0,0.0
L4_to_L5,P5_BLOCK-P5_STITCHED,Azz,2.50980112902966e-18,2.0816681711721685e-17
L4_to_L5,P5_BLOCK-P5_STITCHED,Gamx,8.564023852256175e-18,5.551115123125783e-17
L4_to_L5,P5_BLOCK-P5_STITCHED,Gamy,2.5304747635194825e-18,1.3877787807814457e-17
L4_to_L5,P5_BLOCK-P5_STITCHED,Gamz,0.0,0.0
L4_to_L5,P5_BLOCK-P5_STITCHED,Theta,1.0105179935730247e-19,8.673617379884035e-19
L4_to_L5,P5_BLOCK-P5_STITCHED,alpha,7.783303525485513e-17,3.3306690738754696e-16
L4_to_L5,P5_BLOCK-P5_STITCHED,betax,3.7945647135481386e-18,2.0816681711721685e-17
L4_to_L5,P5_BLOCK-P5_STITCHED,betay,1.1374891178823833e-18,6.938893903907228e-18
L4_to_L5,P5_BLOCK-P5_STITCHED,betaz,0.0,0.0
L4_to_L5,P5_BLOCK-P5_STITCHED,Bx,3.0204029017545745e-19,1.734723475976807e-18
L4_to_L5,P5_BLOCK-P5_STITCHED,By,4.696833235451072e-20,2.168404344971009e-19
L4_to_L5,P5_BLOCK-P5_STITCHED,Bz,0.0,0.0
L4_to_L5,P5_STITCHED-P8_STITCHED,chi,1.2667286997124732e-07,4.283501934265743e-07
L4_to_L5,P5_STITCHED-P8_STITCHED,gxx,5.021817143375539e-07,1.385323779468095e-06
L4_to_L5,P5_STITCHED-P8_STITCHED,gxy,7.823233505589664e-08,3.3588045961902013e-07
L4_to_L5,P5_STITCHED-P8_STITCHED,gxz,0.0,0.0
L4_to_L5,P5_STITCHED-P8_STITCHED,gyy,3.2320153228410087e-07,1.2335679304698033e-06
L4_to_L5,P5_STITCHED-P8_STITCHED,gyz,0.0,0.0
L4_to_L5,P5_STITCHED-P8_STITCHED,gzz,1.7801585134386447e-07,6.122452583801063e-07
L4_to_L5,P5_STITCHED-P8_STITCHED,Khat,0.00033708662758933695,0.0018962334763169657
L4_to_L5,P5_STITCHED-P8_STITCHED,Axx,4.382922308154804e-06,1.7085404768010792e-05
L4_to_L5,P5_STITCHED-P8_STITCHED,Axy,1.0989559885169237e-06,4.8043674987161e-06
L4_to_L5,P5_STITCHED-P8_STITCHED,Axz,0.0,0.0
L4_to_L5,P5_STITCHED-P8_STITCHED,Ayy,4.609222902642966e-06,3.0338625360074034e-05
L4_to_L5,P5_STITCHED-P8_STITCHED,Ayz,0.0,0.0
L4_to_L5,P5_STITCHED-P8_STITCHED,Azz,2.044177154932778e-06,1.1199654237487033e-05
L4_to_L5,P5_STITCHED-P8_STITCHED,Gamx,1.4822408138818444e-06,5.394251930301852e-06
L4_to_L5,P5_STITCHED-P8_STITCHED,Gamy,6.056916764424851e-07,3.033810632159864e-06
L4_to_L5,P5_STITCHED-P8_STITCHED,Gamz,0.0,0.0
L4_to_L5,P5_STITCHED-P8_STITCHED,Theta,0.00016987680636200894,0.0009529420416254427
L4_to_L5,P5_STITCHED-P8_STITCHED,alpha,2.802610808027499e-07,1.0981159374034988e-06
L4_to_L5,P5_STITCHED-P8_STITCHED,betax,5.118483017997971e-07,2.1457948857772635e-06
L4_to_L5,P5_STITCHED-P8_STITCHED,betay,2.0548439190057478e-07,1.3963801687878058e-06
L4_to_L5,P5_STITCHED-P8_STITCHED,betaz,0.0,0.0
L4_to_L5,P5_STITCHED-P8_STITCHED,Bx,1.329811262180609e-07,3.468505061121792e-07
L4_to_L5,P5_STITCHED-P8_STITCHED,By,4.199051934322518e-08,1.6377818745215867e-07
L4_to_L5,P5_STITCHED-P8_STITCHED,Bz,0.0,0.0
L5_to_L6,P5_BLOCK-P5_STITCHED,chi,5.677262862050182e-17,2.220446049250313e-16
L5_to_L6,P5_BLOCK-P5_STITCHED,gxx,1.3236391174876313e-16,6.661338147750939e-16
L5_to_L6,P5_BLOCK-P5_STITCHED,gxy,3.485005978324446e-18,2.7755575615628914e-17
L5_to_L6,P5_BLOCK-P5_STITCHED,gxz,0.0,0.0
L5_to_L6,P5_BLOCK-P5_STITCHED,gyy,1.2798098854391926e-16,6.661338147750939e-16
L5_to_L6,P5_BLOCK-P5_STITCHED,gyz,0.0,0.0
L5_to_L6,P5_BLOCK-P5_STITCHED,gzz,9.13134369040474e-17,4.440892098500626e-16
