variable,f_high_50,f_high_65,f_high_80,k90_over_nyquist,k95_over_nyquist,k99_over_nyquist,dominant_k_over_nyquist,f_high_50_rho,f_high_50_z,etaD_p95_rho,etaD_p95_z,eta4_p95_rho,eta4_p95_z,predominant_short_direction
z4c_Axy,0.915361498266428,0.7674778532494275,0.5071430432978329,0.96875,0.984375,1.0,1.0,0.5214910504605833,0.829571201359581,0.0018186277632123496,0.0037483402236777284,4.086915868039046,5.132157262115724,z
z4c_Gamy,0.6731407008544583,0.4375819598740467,0.31707212964207476,0.96875,0.984375,1.0,1.0,0.42789477248089614,0.479413964357082,0.0008113133446677719,0.0009907393435314032,6.171652275747886,5.683745250030008,z
z4c_Gamx,0.665091400958205,0.44375864096682627,0.22604364536496707,0.90625,0.9375,1.0,0.65625,0.590149160721891,0.19742422090644665,0.0069750377968801,0.0014778029052350196,5.599745350841811,3.525407604313283,rho
z4c_Khat,0.6090673683577512,0.4104686271280691,0.2228015082944621,0.90625,0.96875,1.0,0.046875,0.525465674507977,0.19347867997164772,0.00022352667274455287,6.0371646097616416e-05,5.378201802952631,1.2158951755821847,rho
z4c_Theta,0.6090586328577233,0.4029988651591192,0.21218254506392636,0.90625,0.9375,1.0,0.6875,0.5247440782358089,0.19360356567148757,0.03287273231587509,0.0302147718829845,7.229831938050851,7.694073543203035,rho
z4c_Azz,0.6087928344404465,0.40409520801633253,0.21406761953873985,0.90625,0.9375,1.0,0.09375,0.524712871869297,0.1931010687688918,0.0015203411068404969,0.0013129851690822827,8.74853433095786,7.8219872101970696,rho
z4c_Ayy,0.6084776752160495,0.40395686804670833,0.21402314256164354,0.90625,0.9375,1.0,0.09375,0.5242453495964887,0.19314651391906432,0.0038516253777247673,0.0019244057507610353,6.538564834783684,7.798636586660698,rho
z4c_gzz,0.6081215090659746,0.40784093887519757,0.2233556095407683,0.90625,0.96875,1.0,0.265625,0.5227591415433931,0.19438307530934032,1.8286898292977548e-06,2.2213832829468246e-06,2.8607861458298194,4.014489240072365,rho
z4c_chi,0.6062762790196495,0.4052481565799194,0.21935129495225664,0.90625,0.9375,1.0,1.0,0.5209624144395597,0.19402288811025484,1.918214470255953e-06,2.3728375185200464e-06,2.968122968248635,3.741569868757705,rho
z4c_betax,0.6054293571743588,0.4171770186247132,0.19847859872436477,0.875,0.9375,1.0,0.03125,0.5440818800616578,0.17479762763622111,6.503106424896568e-05,5.4219816345882065e-05,0.9643730462526633,1.0147703226367042,rho
z4c_Axx,0.6004447352548794,0.41636025043977526,0.23400645518744947,0.90625,0.96875,1.0,0.09375,0.5129800009070616,0.20247226820589634,0.0030663995905314337,0.0009176700003927926,7.714867219147599,5.96000898543067,rho
z4c_gyy,0.568129143371704,0.4239739216703884,0.26776406853428997,0.9375,0.96875,1.0,0.0625,0.48576246400771844,0.18729726521498571,3.018468141535644e-06,6.567938557460207e-06,4.8567879498553745,5.120297256275184,rho
z4c_gxy,0.40387775632012085,0.3075359944170467,0.1604728386426525,0.875,0.9375,0.984375,0.0625,0.31297724372638247,0.3091133569364791,0.00021565278247959082,0.0002661113282912438,5.726723597890823,3.7685463578070633,rho
z4c_gxx,0.32937519036727947,0.2796656480708698,0.20598341206384496,0.90625,0.96875,1.0,0.09375,0.2978840774712632,0.053974647026210326,3.851850995186442e-06,7.561704244784255e-06,4.200195049968914,5.621198750114057,rho
z4c_Bx,0.1149268005949138,0.05184415144167806,0.01773291896932593,0.5,0.65625,0.84375,0.0625,0.11715834226163145,0.00109160630101685,4.3086094437208474e-05,1.6551893040567753e-05,2.591399491495043,0.6568620733353774,rho
z4c_By,0.04605350395543593,0.02298622966298008,0.012026108590164597,0.359375,0.46875,0.84375,0.03125,0.04108848614135607,0.011481102689494427,0.0005708640107676558,0.00023694842732298232,1.9726116881385687,1.2223290206236868,rho
z4c_betay,0.03870543540756045,0.03373771064696754,0.027291490047137337,0.203125,0.296875,0.953125,0.03125,0.04661300905489307,0.02291422038257479,3.152904613208729e-05,3.99599600361274e-05,1.5376528346367622,2.5340374910950314,rho
z4c_alpha,0.0018973392931008316,0.0009453477173358959,0.000383679245780546,0.09375,0.125,0.25,0.03125,0.001870842839884678,9.3125345452262e-05,1.4531746799990677e-08,5.2059288003192694e-09,0.3313235153247087,0.2468886875815372,rho
z4c_Axz,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,z
z4c_Ayz,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,z
z4c_Bz,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,z
z4c_Gamz,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,z
z4c_betaz,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,z
z4c_gxz,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,z
z4c_gyz,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,z
